src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,UNgr,-5,-6,2024-09-03 17-13-54,40748969979,25187,40762080327
alcatel,zCd,-5,-104,2024-09-03 17-12-39,40788298321,19812,40765097442
alcatel,DcXhu,90,43,2024-09-03 17-12-38,40733093414,14892,40737264086
alcatel,NZNVX,50,10,2024-09-03 17-14-07,40722845049,-32373,40701478956
alcatel,CNUZS,77,116,2024-09-03 17-11-07,40735214258,-7767,40705841177
alcatel,bhzszK,30,107,2024-09-03 17-14-22,40702553489,26538,40702215068
alcatel,HpG,42,31,2024-09-03 17-10-44,40782488984,-8108,40756692832
alcatel,RYN,24,-85,2024-09-03 17-10-51,40743038425,22075,40724695147
alcatel,HoLNWG,-10,-72,2024-09-03 17-11-03,40733924171,-28589,40793527877
alcatel,Kgdrp,-58,125,2024-09-03 17-10-04,40762173516,-10901,40766048256
alcatel,UYem,-74,-85,2024-09-03 17-12-38,40744466047,15272,40780177524
alcatel,DzS,-10,-71,2024-09-03 17-12-42,40711080679,16615,40754815649
alcatel,QiCMh,-3,-65,2024-09-03 17-13-03,40759059406,11192,40771939281
alcatel,mHsT,90,-25,2024-09-03 17-14-10,40763476056,8315,40746551592
alcatel,ORxKbf,65,-113,2024-09-03 17-14-41,40772514043,29960,40736085994
alcatel,LKwjW,-68,104,2024-09-03 17-11-08,40798955347,-6313,40719808310
alcatel,Sro,6,106,2024-09-03 17-10-18,40772614399,-5545,40763375855
alcatel,tStNP,-101,-91,2024-09-03 17-12-38,40739884130,-26611,40779109851
alcatel,gPnsT,-103,-45,2024-09-03 17-12-01,40775817427,-19105,40755935903
alcatel,mSeazf,-124,-4,2024-09-03 17-13-11,40738744149,-22097,40787803049
alcatel,RYflOo,49,74,2024-09-03 17-10-17,40743458176,-14545,40790630610
alcatel,xBfM,-7,38,2024-09-03 17-15-00,40729893888,-26519,40794943449
alcatel,trwbp,-111,-11,2024-09-03 17-13-17,40771452537,-3700,40750044230
alcatel,fvAW,97,-10,2024-09-03 17-13-04,40725793943,-7932,40778346528
alcatel,SUk,-63,50,2024-09-03 17-12-25,40728177097,-5384,40734338217
alcatel,GGpan,-24,-12,2024-09-03 17-13-13,40724156241,-12152,40786018966
alcatel,rPICh,-34,-116,2024-09-03 17-11-48,40733888693,22736,40798661605
alcatel,feKXQ,-55,53,2024-09-03 17-10-53,40754594918,27052,40783260850
alcatel,RkaYD,-51,32,2024-09-03 17-14-15,40762617413,-28453,40784882432
alcatel,rzkJr,-3,-62,2024-09-03 17-11-57,40793756416,29489,40755261742
alcatel,gDsR,79,-128,2024-09-03 17-13-33,40778453260,19205,40740281046
alcatel,VFV,89,-117,2024-09-03 17-10-10,40733214067,-1415,40710352297
alcatel,pxWFv,95,-77,2024-09-03 17-11-51,40703415618,-619,40702116415
alcatel,sJAD,105,-12,2024-09-03 17-11-12,40707460759,-11567,40758766582
alcatel,QRTv,-4,-118,2024-09-03 17-10-51,40751152787,-10344,40739775096
alcatel,MZIYf,-65,11,2024-09-03 17-10-21,40704022936,-8193,40790037492
alcatel,BpEl,-14,33,2024-09-03 17-11-39,40773822752,17113,40701134175
alcatel,MQlIRo,43,-15,2024-09-03 17-14-46,40780952051,23417,40721336798
alcatel,ksrfF,-55,45,2024-09-03 17-12-30,40768711313,-28946,40756958385
alcatel,eAq,-29,122,2024-09-03 17-13-37,40734348245,-32314,40768669811
alcatel,pxJI,-106,-35,2024-09-03 17-13-18,40785112484,27061,40797015498
alcatel,aCaU,115,125,2024-09-03 17-14-31,40771724821,907,40727307430
alcatel,vNv,-4,-26,2024-09-03 17-14-50,40792878123,27363,40743113099
alcatel,KUQzEm,-62,5,2024-09-03 17-12-31,40770302056,26660,40758745833
alcatel,Sns,-104,9,2024-09-03 17-14-57,40795838736,18382,40737278788
alcatel,bXPqX,64,56,2024-09-03 17-11-55,40724396404,18381,40717116653
alcatel,yMGb,64,19,2024-09-03 17-13-15,40779994851,8925,40724162048
alcatel,tSjlr,-127,90,2024-09-03 17-14-15,40773626959,-244,40738225820
alcatel,dkr,-1,-20,2024-09-03 17-13-17,40745240451,-30923,40761584416
alcatel,cbUd,92,-27,2024-09-03 17-12-25,40786542008,-9095,40773700249
alcatel,cpu,-108,-44,2024-09-03 17-13-17,40778826355,5551,40735687544
alcatel,GUtz,25,97,2024-09-03 17-11-42,40762342997,-7149,40753898742
alcatel,sdw,40,-124,2024-09-03 17-13-07,40731077312,-9656,40737741682
alcatel,JjMoi,64,-60,2024-09-03 17-13-29,40742685615,-29281,40705557096
alcatel,TyE,69,21,2024-09-03 17-11-08,40714052723,8737,40792838773
alcatel,WxEjBh,-96,-41,2024-09-03 17-12-18,40750356552,26708,40701720048
alcatel,mxQrO,60,89,2024-09-03 17-12-53,40731382446,-12811,40772435897
alcatel,fEAcsR,13,95,2024-09-03 17-13-53,40721083492,-19460,40777812603
alcatel,KsZO,39,-26,2024-09-03 17-10-50,40741686498,-30831,40786456346
alcatel,wfNYOH,-10,-19,2024-09-03 17-12-04,40757448123,21877,40739221744
alcatel,WcgjCD,-106,66,2024-09-03 17-13-59,40725919188,27737,40782053762
alcatel,OLrQ,-6,-97,2024-09-03 17-13-45,40728337106,5548,40782466507
alcatel,dGlFw,-105,114,2024-09-03 17-13-39,40701309516,-31324,40715464119
alcatel,SSCD,127,-102,2024-09-03 17-14-56,40738932246,-25746,40783569994
alcatel,ICRLDi,-108,44,2024-09-03 17-10-12,40746808551,-16196,40757563048
alcatel,YFs,11,74,2024-09-03 17-14-32,40770633355,28463,40787412325
alcatel,YOpQ,104,23,2024-09-03 17-11-44,40702589904,24923,40712265533
alcatel,cpcTB,0,65,2024-09-03 17-13-20,40787766823,-1279,40724361853
alcatel,FSHq,-43,-37,2024-09-03 17-11-21,40787142393,-14530,40726165226
alcatel,vRj,118,48,2024-09-03 17-11-08,40753523036,26869,40758940224
alcatel,Mdi,-80,-110,2024-09-03 17-11-54,40727494598,-4876,40778309978
alcatel,oquzh,102,-20,2024-09-03 17-14-29,40723274591,6199,40799631938
alcatel,hzo,13,-15,2024-09-03 17-13-17,40723480636,-8743,40771610900
alcatel,sVmLql,-68,-1,2024-09-03 17-11-12,40740845214,-5179,40773824321
alcatel,VZL,-76,-24,2024-09-03 17-10-53,40726826420,-14811,40780575062
alcatel,xNxX,80,-19,2024-09-03 17-11-48,40761111846,-13263,40706143486
alcatel,rwYdAi,37,46,2024-09-03 17-14-21,40744564039,-23489,40715477388
alcatel,SWrarw,69,91,2024-09-03 17-14-16,40737589474,28295,40778184387
alcatel,wjjgu,112,-78,2024-09-03 17-14-38,40786235510,13823,40749278608
alcatel,Frg,104,-48,2024-09-03 17-10-54,40760835964,-529,40744392985
alcatel,tnrzZv,-106,66,2024-09-03 17-10-31,40787200075,-6674,40772033184
alcatel,JOPFv,-1,-19,2024-09-03 17-11-40,40715900741,-18705,40755531423
alcatel,NRz,62,9,2024-09-03 17-10-29,40737565872,26055,40710529859
alcatel,uXUmRo,17,52,2024-09-03 17-10-26,40762831420,-16152,40708176435
alcatel,pRofSE,-9,0,2024-09-03 17-13-51,40746913120,-13976,40731523880
alcatel,vIUbVP,41,-12,2024-09-03 17-14-50,40772428913,-26843,40743806191
alcatel,cLBJGp,98,31,2024-09-03 17-14-02,40700619265,31728,40767059245
alcatel,jxIgU,-56,-37,2024-09-03 17-11-44,40770926572,-29560,40745510408
alcatel,Olj,110,108,2024-09-03 17-14-50,40719389654,5508,40752807838
alcatel,afFdxd,-31,40,2024-09-03 17-12-52,40712553410,-28846,40799585871
alcatel,CdVJ,73,-8,2024-09-03 17-10-25,40703711883,-25870,40738489140
alcatel,LFGMu,-97,120,2024-09-03 17-10-23,40753816281,28745,40779766645
alcatel,iXkXe,15,-2,2024-09-03 17-15-00,40745803703,-31471,40752978993
alcatel,UNJV,117,-43,2024-09-03 17-14-42,40735437805,10923,40733850381
alcatel,kzd,-9,16,2024-09-03 17-13-26,40742389006,12939,40792279464
alcatel,wTFk,4,-19,2024-09-03 17-11-36,40759306627,-6538,40731399116
alcatel,yEnD,99,-15,2024-09-03 17-14-25,40778675414,22419,40746127628
alcatel,DafSRf,-125,-25,2024-09-03 17-11-06,40799728269,30609,40705962094
alcatel,wzxXlr,-56,-31,2024-09-03 17-10-23,40789792330,1347,40724555144
alcatel,AZC,57,71,2024-09-03 17-11-43,40762609913,-25902,40759128024
alcatel,dLD,-73,-98,2024-09-03 17-12-56,40724303981,-3316,40705260614
alcatel,woDvMn,52,35,2024-09-03 17-11-28,40710412629,-29604,40760541455
alcatel,ghc,50,-112,2024-09-03 17-12-45,40706711873,-21318,40745949416
alcatel,HLWi,56,-8,2024-09-03 17-15-01,40739629998,17818,40779312603
alcatel,HFUmWQ,113,107,2024-09-03 17-13-02,40785937524,16724,40758069309
alcatel,ViQE,113,-7,2024-09-03 17-11-01,40724386709,-226,40766409093
alcatel,YhMO,-105,108,2024-09-03 17-12-13,40709813800,19610,40713788710
alcatel,IcgPA,-119,62,2024-09-03 17-10-13,40706877090,25206,40781105627
alcatel,DYddBX,87,-43,2024-09-03 17-11-35,40731777693,20892,40762717013
alcatel,EOqvAC,-116,-59,2024-09-03 17-13-50,40723510655,11832,40791143671
alcatel,PIwP,13,86,2024-09-03 17-10-41,40712366300,4246,40725490942
alcatel,mECzbz,73,-59,2024-09-03 17-10-46,40730293859,-17657,40757611848
alcatel,SAg,-64,-119,2024-09-03 17-11-04,40746103341,5637,40735831155
alcatel,jEXuo,98,92,2024-09-03 17-12-18,40788051402,14649,40751950643
alcatel,mdq,38,111,2024-09-03 17-12-00,40771860119,-10745,40768994723
alcatel,YhyWIy,-59,-45,2024-09-03 17-10-26,40707711722,-21327,40768323150
alcatel,oXsY,45,-118,2024-09-03 17-10-24,40753487341,-3830,40726695405
alcatel,KPUip,-34,119,2024-09-03 17-11-35,40736581826,-17624,40732445024
alcatel,MrWpxh,-51,-116,2024-09-03 17-13-35,40714541124,7619,40791163430
alcatel,Anm,-25,8,2024-09-03 17-13-54,40743048839,13698,40781493967
alcatel,IUywYH,-122,4,2024-09-03 17-11-25,40798704698,29364,40759183469
alcatel,NplQo,127,117,2024-09-03 17-12-50,40721196866,178,40726321949
alcatel,hIqOxk,-54,33,2024-09-03 17-10-07,40778752256,14567,40772778202
alcatel,VqcFZ,-65,3,2024-09-03 17-10-32,40707704919,-26862,40784446297
alcatel,qaZ,69,120,2024-09-03 17-12-39,40725959312,-2069,40708737563
alcatel,hBExC,-8,31,2024-09-03 17-13-36,40741338098,19789,40709452696
alcatel,IsVKp,82,-60,2024-09-03 17-14-13,40748337276,9702,40713537199
alcatel,lqruAC,-91,87,2024-09-03 17-10-06,40765936763,-3483,40771890967
alcatel,eJX,23,121,2024-09-03 17-14-14,40748826598,11995,40736339490
alcatel,Prn,85,40,2024-09-03 17-11-23,40792030216,-28399,40726178128
alcatel,dWaC,-84,-88,2024-09-03 17-13-03,40703803569,-7765,40733550771
alcatel,FSr,61,-52,2024-09-03 17-14-41,40742597577,-4736,40788310938
alcatel,iyZ,15,85,2024-09-03 17-11-03,40797704305,1361,40753193645
alcatel,ZjaWM,-56,-125,2024-09-03 17-12-54,40727458974,22152,40734654124
alcatel,SvKfS,114,121,2024-09-03 17-11-40,40715974172,27623,40706485865
alcatel,WCRT,-3,74,2024-09-03 17-10-27,40786846525,18664,40797342813
alcatel,CfAX,-26,-36,2024-09-03 17-13-04,40745692384,1699,40738599497
alcatel,bkZoGt,-87,79,2024-09-03 17-12-12,40714069390,-6366,40716996414
alcatel,JmVUbp,-58,-29,2024-09-03 17-10-11,40776430853,-3242,40749295650
alcatel,ysk,49,-94,2024-09-03 17-10-20,40796330176,7389,40727154417
alcatel,foqlho,70,-84,2024-09-03 17-10-37,40717286223,-24524,40723125686
alcatel,Mehsu,-42,49,2024-09-03 17-12-53,40749676332,-25724,40721411509
alcatel,wXqI,56,24,2024-09-03 17-11-39,40707279716,-27955,40709878229
alcatel,vTATqW,47,-14,2024-09-03 17-13-03,40706585574,-7090,40708855132
alcatel,aiqpKe,63,28,2024-09-03 17-11-29,40794050492,-27800,40772511872
alcatel,kscATl,-86,-52,2024-09-03 17-13-24,40776774193,-25165,40712822518
alcatel,hFm,-19,-114,2024-09-03 17-12-02,40725843402,26366,40795722141
alcatel,sXIP,66,-61,2024-09-03 17-12-02,40776216039,9157,40739219319
alcatel,XYuLDZ,-95,68,2024-09-03 17-11-02,40727154009,-32147,40719111097
alcatel,Xwc,74,51,2024-09-03 17-14-08,40741033331,6481,40754649145
alcatel,xOkE,-98,-7,2024-09-03 17-11-13,40766192096,-16226,40776157651
alcatel,rkw,-111,37,2024-09-03 17-14-24,40788136064,28213,40729210553
alcatel,gib,96,-112,2024-09-03 17-11-27,40772408934,21889,40759646771
alcatel,kGm,-105,65,2024-09-03 17-12-46,40779713445,-22429,40729527721
alcatel,ipoAOr,92,23,2024-09-03 17-13-02,40734232063,-13622,40768130646
alcatel,vkhHV,117,-26,2024-09-03 17-14-28,40757081483,30597,40714049439
alcatel,ZfbHa,-44,-97,2024-09-03 17-14-04,40739588315,-11632,40709765479
alcatel,pHcyPI,-91,-10,2024-09-03 17-12-38,40797372385,-13574,40727844909
alcatel,xLLhGR,82,50,2024-09-03 17-11-48,40727999758,-31453,40700183911
alcatel,PGxoi,-80,93,2024-09-03 17-14-34,40739336907,7664,40756594858
alcatel,bzvofD,21,-111,2024-09-03 17-11-29,40731826997,25904,40795746628
alcatel,VhlmvT,3,-84,2024-09-03 17-15-00,40729149115,-4240,40724141259
alcatel,XEDsK,-18,43,2024-09-03 17-13-53,40719934949,30833,40796443364
alcatel,Aul,-28,51,2024-09-03 17-13-33,40700582061,14283,40737689232
alcatel,JDxiS,-74,-110,2024-09-03 17-14-35,40719373821,-4340,40783433721
alcatel,ULM,-64,6,2024-09-03 17-10-16,40716200004,14031,40721902655
alcatel,KYX,16,-19,2024-09-03 17-12-01,40712286865,31432,40728288540
alcatel,taNmS,-20,-36,2024-09-03 17-13-51,40710815359,11096,40732716394
alcatel,mxiysq,-103,-38,2024-09-03 17-14-28,40796037660,27932,40736394967
alcatel,mwqtC,-65,101,2024-09-03 17-12-32,40735744117,23278,40702049680
alcatel,Wuv,-100,7,2024-09-03 17-13-43,40717213563,-6665,40766591343
alcatel,Iqpko,44,-6,2024-09-03 17-14-32,40776662464,21802,40722721017
alcatel,kfsc,38,61,2024-09-03 17-13-15,40753922790,-29950,40789977010
alcatel,JOwb,82,13,2024-09-03 17-13-05,40733132923,9117,40746059586
alcatel,PDv,29,-53,2024-09-03 17-10-44,40752611867,15511,40707187071
alcatel,Ezv,-21,116,2024-09-03 17-10-22,40749004443,17392,40735134359
alcatel,XaatlP,9,-95,2024-09-03 17-13-21,40756613667,287,40715977478
alcatel,IPa,-65,37,2024-09-03 17-12-33,40754944756,-25717,40745954042
alcatel,MLiW,18,63,2024-09-03 17-11-56,40755515039,-10483,40719043617
alcatel,VMtyLC,-31,33,2024-09-03 17-14-33,40721860220,16162,40732351468
alcatel,MpN,62,28,2024-09-03 17-14-50,40702865044,20707,40710585088
alcatel,pGP,-106,109,2024-09-03 17-12-43,40748175901,3478,40786529118
alcatel,oUA,91,-44,2024-09-03 17-11-01,40793251737,-15163,40783647775
alcatel,vHvI,6,-79,2024-09-03 17-11-34,40743676955,4564,40780686136
alcatel,jrW,28,124,2024-09-03 17-11-18,40790530588,13433,40715146091
alcatel,hty,1,-78,2024-09-03 17-11-23,40767646227,27017,40777104796
