src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,JgS,-33,14,2024-09-03 17-29-44,40757404367,5454,40715892028
alcatel,EQjEwT,-92,29,2024-09-03 17-28-19,40781222565,-12713,40726101084
alcatel,kuVUrx,-58,58,2024-09-03 17-29-01,40792938429,20810,40748596096
alcatel,zlGImf,95,26,2024-09-03 17-25-28,40730303377,-7931,40707203921
alcatel,ysWPXw,33,-8,2024-09-03 17-28-08,40793962598,-32298,40741215653
alcatel,pilHI,-22,-2,2024-09-03 17-26-47,40761577034,-6401,40769497830
alcatel,nwU,-16,104,2024-09-03 17-26-35,40713346692,-29852,40757359847
alcatel,bqNpy,35,60,2024-09-03 17-27-25,40708361602,-17738,40703913765
alcatel,JAOX,86,-84,2024-09-03 17-26-26,40705151115,19956,40748369414
alcatel,lNb,20,106,2024-09-03 17-26-37,40718724748,-18845,40739384620
alcatel,lxwCi,-99,-126,2024-09-03 17-27-21,40717591865,12473,40752753603
alcatel,IfI,41,-20,2024-09-03 17-28-05,40701883331,22658,40777951032
alcatel,WXSwUC,-7,-54,2024-09-03 17-28-16,40759358424,-22189,40749166318
alcatel,HMcvS,-22,14,2024-09-03 17-25-30,40749604255,26066,40774462667
alcatel,mTeI,-7,-113,2024-09-03 17-25-43,40770074861,4733,40737407237
alcatel,wkLiH,5,-124,2024-09-03 17-27-37,40749789887,23935,40792768653
alcatel,BbLQzz,26,16,2024-09-03 17-25-19,40771997361,19744,40759364444
alcatel,veSb,-78,66,2024-09-03 17-25-18,40755879835,7729,40761078299
alcatel,zshrLf,-13,123,2024-09-03 17-26-14,40720231161,25094,40705303343
alcatel,eSm,-77,83,2024-09-03 17-26-18,40794293532,-24096,40770949522
alcatel,qvMbvj,-100,60,2024-09-03 17-26-12,40718417755,22782,40719090487
alcatel,ZPSH,-10,88,2024-09-03 17-25-56,40782965939,10689,40764999675
alcatel,SjzXGh,88,110,2024-09-03 17-28-26,40795418386,28345,40714878993
alcatel,umEl,126,103,2024-09-03 17-28-44,40775052006,12337,40789579864
alcatel,iurtZ,-13,-122,2024-09-03 17-26-35,40798805013,20947,40718177611
alcatel,AgjP,-58,27,2024-09-03 17-26-32,40700139191,6172,40784066020
alcatel,YUdNXf,59,57,2024-09-03 17-28-42,40742580716,-15424,40726402930
alcatel,Fzkj,-113,-101,2024-09-03 17-26-57,40774175605,23241,40774727614
alcatel,qixkhY,97,95,2024-09-03 17-26-22,40783764494,-4368,40722078437
alcatel,yMmdef,-106,3,2024-09-03 17-27-54,40791063239,-21867,40717290251
alcatel,yaoxl,39,74,2024-09-03 17-25-09,40725930964,-12375,40793511843
alcatel,lxz,38,1,2024-09-03 17-25-41,40739658956,-24933,40789066288
alcatel,omkzC,89,87,2024-09-03 17-29-27,40773577730,-24682,40784110745
alcatel,RsIzq,30,-124,2024-09-03 17-29-58,40761882084,-11951,40733424009
alcatel,BSw,-95,-7,2024-09-03 17-29-36,40734577331,-10815,40744454001
alcatel,Tqwmo,-28,-78,2024-09-03 17-25-27,40700117989,6155,40729801427
alcatel,xECvg,119,96,2024-09-03 17-26-22,40717335771,-7232,40723410154
alcatel,jUDp,-109,10,2024-09-03 17-26-33,40791425753,-31207,40766741430
alcatel,UlL,-9,-116,2024-09-03 17-27-52,40753254815,18630,40710354959
alcatel,cWv,23,-18,2024-09-03 17-29-37,40717983115,11364,40796705722
alcatel,vEaQZ,-51,41,2024-09-03 17-28-16,40731576215,2145,40716347222
alcatel,QaMORm,-72,26,2024-09-03 17-25-33,40750813994,-13895,40776313284
alcatel,IdTUCt,-101,116,2024-09-03 17-29-43,40735369137,8010,40741065441
alcatel,btr,24,-10,2024-09-03 17-25-53,40769168849,-22580,40766285794
alcatel,gbsoz,95,39,2024-09-03 17-26-16,40729827858,-19974,40769451181
alcatel,RoQYp,48,-57,2024-09-03 17-29-38,40779078546,31996,40713316291
alcatel,dCqURo,-126,28,2024-09-03 17-27-56,40799526914,-21192,40709402127
alcatel,Rrfppo,55,49,2024-09-03 17-26-15,40736542945,15689,40725996871
alcatel,wqKH,-89,-86,2024-09-03 17-28-00,40795140475,-32294,40744629595
alcatel,FlhVP,-31,-80,2024-09-03 17-27-06,40746589113,16836,40751717728
alcatel,kCjabI,44,9,2024-09-03 17-26-26,40774817294,-25849,40795029874
alcatel,TVZ,43,117,2024-09-03 17-29-25,40776801939,-10889,40754807425
alcatel,OjSCEY,46,-15,2024-09-03 17-29-17,40777577246,-6620,40744799050
alcatel,MCxBgy,98,13,2024-09-03 17-29-23,40785188160,-15030,40792293375
alcatel,AXbXyr,-72,-76,2024-09-03 17-26-24,40742075119,-4382,40788870875
alcatel,GLHNYj,82,-89,2024-09-03 17-25-17,40774887287,674,40701822881
alcatel,yfcNbL,-85,-123,2024-09-03 17-25-34,40785407533,-982,40711771518
alcatel,BZo,-8,-107,2024-09-03 17-25-02,40777282096,4849,40743386136
alcatel,MKwR,55,8,2024-09-03 17-26-08,40794680737,-21593,40772974917
alcatel,IKxl,68,-23,2024-09-03 17-28-17,40700835635,-23577,40727354950
alcatel,lYvq,-77,-70,2024-09-03 17-29-01,40724308809,25504,40749130130
alcatel,TNrrp,-100,-116,2024-09-03 17-25-43,40768238099,-29684,40719466539
alcatel,kaqQdq,-92,-10,2024-09-03 17-28-33,40794228726,-13738,40705594774
alcatel,uHrZ,-95,45,2024-09-03 17-27-28,40723110093,21531,40707328900
alcatel,wHmk,69,-55,2024-09-03 17-26-40,40763031932,-9564,40710333007
alcatel,LivFO,76,96,2024-09-03 17-28-32,40751057399,-23304,40774426458
alcatel,gZTcb,-126,-92,2024-09-03 17-28-29,40780125621,-300,40756180762
alcatel,PciRy,-50,-90,2024-09-03 17-29-38,40791394066,17640,40769995800
alcatel,pwZG,-21,13,2024-09-03 17-28-20,40742402299,-30097,40739859458
alcatel,JOPdh,68,36,2024-09-03 17-27-35,40780574743,1099,40717308695
alcatel,aNy,77,-115,2024-09-03 17-26-29,40716410099,15317,40796346664
alcatel,neKr,-77,115,2024-09-03 17-25-24,40767394014,29331,40726238627
alcatel,Agj,-102,66,2024-09-03 17-25-19,40797028841,-9291,40774620968
alcatel,uLdf,12,-42,2024-09-03 17-25-13,40753482763,-2438,40712101472
alcatel,WPrk,-81,5,2024-09-03 17-28-29,40782131978,11804,40709947351
alcatel,tOP,-111,95,2024-09-03 17-28-05,40717090554,-25818,40702570289
alcatel,kyZ,-96,73,2024-09-03 17-29-23,40735086103,-27587,40743611742
alcatel,KHYu,-21,110,2024-09-03 17-25-38,40796777513,-19661,40758977281
alcatel,YnENue,-35,83,2024-09-03 17-25-30,40762582118,-21745,40700893666
alcatel,ZgNnT,-81,107,2024-09-03 17-26-43,40778957024,31858,40738155117
alcatel,fSN,-85,18,2024-09-03 17-25-59,40772869548,11309,40706946932
alcatel,iIn,-43,-5,2024-09-03 17-26-22,40752243633,-21681,40729145903
alcatel,KnA,-46,125,2024-09-03 17-29-35,40712829741,11066,40796983025
alcatel,PlrVxO,118,-100,2024-09-03 17-29-09,40750395176,11356,40721781371
alcatel,iFdZ,-52,42,2024-09-03 17-27-47,40706264151,-28746,40721635773
alcatel,jDm,124,-36,2024-09-03 17-29-39,40758443673,30278,40732028263
alcatel,RErW,4,-110,2024-09-03 17-29-36,40731480783,-17001,40729290931
alcatel,GOdcYM,65,120,2024-09-03 17-28-28,40796886541,30309,40707913042
alcatel,GJdmP,52,-106,2024-09-03 17-26-30,40766170995,10541,40716967070
alcatel,OoK,-49,49,2024-09-03 17-29-10,40782675494,-32313,40727074595
alcatel,SwYFCM,-92,48,2024-09-03 17-26-31,40754545450,-11079,40724311092
alcatel,Bpk,40,69,2024-09-03 17-28-17,40716467953,-215,40725677550
alcatel,bJEzZ,-55,95,2024-09-03 17-27-19,40701819144,30427,40785047028
alcatel,HMvnPC,57,15,2024-09-03 17-26-55,40784853429,-5333,40775929159
alcatel,aXpEyh,-127,76,2024-09-03 17-28-30,40732862675,-10318,40719066906
alcatel,TOSKB,-107,-109,2024-09-03 17-28-50,40731311357,-25101,40729265175
alcatel,BiO,2,12,2024-09-03 17-27-21,40719710821,15360,40768806976
alcatel,eQUQgw,-13,55,2024-09-03 17-25-46,40721813316,-6351,40799377730
alcatel,wVdy,-88,63,2024-09-03 17-28-56,40710104888,32515,40745290529
alcatel,hRgAO,1,58,2024-09-03 17-27-15,40758812474,22792,40786745154
alcatel,WObvT,50,-12,2024-09-03 17-28-39,40706444337,-11773,40755088154
alcatel,XPzaS,22,111,2024-09-03 17-26-04,40756133387,3188,40763556549
alcatel,aetXhM,-63,-66,2024-09-03 17-25-28,40718310790,-7990,40736115544
alcatel,oAbUGG,-116,-70,2024-09-03 17-29-04,40725751209,17574,40714028724
alcatel,fUKq,60,-49,2024-09-03 17-25-30,40722015051,-30861,40758307263
alcatel,ZtM,34,107,2024-09-03 17-29-59,40746565358,20386,40796275805
alcatel,tKJju,117,57,2024-09-03 17-28-25,40714628610,-6340,40738765492
alcatel,iCke,50,53,2024-09-03 17-25-38,40784072344,-30603,40734578331
alcatel,BOA,-124,-90,2024-09-03 17-25-30,40700753494,-9580,40736683183
alcatel,dSZt,84,16,2024-09-03 17-27-13,40748120220,-7470,40796998935
alcatel,YLOl,54,-79,2024-09-03 17-25-51,40754261413,9120,40739294864
alcatel,OxRXC,80,-9,2024-09-03 17-27-21,40752423987,11165,40740956835
alcatel,yVYkNm,9,3,2024-09-03 17-25-05,40723405381,-23231,40786104474
alcatel,xXLNNV,40,58,2024-09-03 17-26-19,40767181456,11417,40704338745
alcatel,swcJB,-18,42,2024-09-03 17-28-50,40763310252,-26147,40731829111
alcatel,BUe,122,19,2024-09-03 17-26-50,40752792360,-12509,40759543659
alcatel,GwqPto,60,88,2024-09-03 17-27-34,40714028236,30942,40748420372
alcatel,JjSi,-91,-82,2024-09-03 17-29-53,40773945686,32639,40746270570
alcatel,UNA,34,92,2024-09-03 17-28-23,40700393331,-10630,40766949076
alcatel,ZKr,12,-110,2024-09-03 17-26-25,40762534461,-26131,40715824390
alcatel,MVoOY,71,-24,2024-09-03 17-25-07,40749197013,-23726,40733679810
alcatel,tZmy,98,-79,2024-09-03 17-25-41,40715008677,432,40733974252
alcatel,BQYa,-23,-49,2024-09-03 17-28-10,40707235831,-14590,40794613809
alcatel,rSM,-41,-117,2024-09-03 17-28-49,40746061949,-16551,40744793157
alcatel,ZwyZ,-29,88,2024-09-03 17-26-31,40741646972,-22224,40771317909
alcatel,isvT,6,-39,2024-09-03 17-29-25,40779553421,-11032,40778961585
