src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,ESFsg,51,79,2024-09-03 17-47-12,40732906003,-13617,40767187866
alcatel,CYu,-77,55,2024-09-03 17-49-21,40714750628,10060,40784323581
alcatel,aOttNX,-27,127,2024-09-03 17-49-45,40778419790,10673,40785860315
alcatel,Gry,41,97,2024-09-03 17-49-41,40766889214,6728,40759116076
alcatel,VoieWO,77,-40,2024-09-03 17-47-00,40737255286,14617,40782156089
alcatel,ORmiX,-82,108,2024-09-03 17-46-13,40729446980,2320,40752402997
alcatel,ksllw,99,-104,2024-09-03 17-46-02,40768151011,-2777,40705977325
alcatel,XlPo,-126,113,2024-09-03 17-46-29,40752174367,12784,40761465378
alcatel,vgpGws,-125,-13,2024-09-03 17-45-39,40777691917,5750,40725682204
alcatel,EBQ,55,120,2024-09-03 17-49-51,40768436781,27596,40733864653
alcatel,GdLk,-11,-72,2024-09-03 17-47-56,40779973273,-25945,40715958424
alcatel,aRvfEL,-19,-65,2024-09-03 17-47-07,40761827883,-7157,40751543917
alcatel,jjJ,95,-118,2024-09-03 17-48-33,40770123212,-20174,40776308887
alcatel,rzoIj,94,-30,2024-09-03 17-48-28,40796860501,14544,40727953546
alcatel,WXoGzG,-125,-13,2024-09-03 17-48-25,40707302302,19164,40740779611
alcatel,vRLvS,30,-126,2024-09-03 17-46-40,40741126993,-14719,40766616894
alcatel,GGA,22,63,2024-09-03 17-49-30,40746483367,-11931,40727802298
alcatel,ThOPCR,-82,-86,2024-09-03 17-46-42,40712140942,4502,40722683348
alcatel,WTg,0,-30,2024-09-03 17-46-01,40709004379,23289,40704707023
alcatel,QhZXH,87,-127,2024-09-03 17-46-43,40731717068,10784,40744365954
alcatel,dRQvUV,85,36,2024-09-03 17-48-06,40790622255,-14637,40742072291
alcatel,Oip,80,-49,2024-09-03 17-47-31,40768892065,3874,40792997825
alcatel,ZbE,55,-71,2024-09-03 17-49-57,40758406829,19840,40701019201
alcatel,xZVNYm,14,-5,2024-09-03 17-48-58,40797498240,-1331,40718882498
alcatel,VLwLzD,83,-12,2024-09-03 17-49-38,40797141548,27914,40791569322
alcatel,CZAwzb,-31,44,2024-09-03 17-49-27,40787237125,-2384,40778692558
alcatel,MOFKMx,84,-13,2024-09-03 17-48-12,40708086974,7994,40757210486
alcatel,Dtwt,-25,71,2024-09-03 17-47-38,40717407355,-25454,40796940843
alcatel,iAfHC,-43,-7,2024-09-03 17-48-42,40773245798,-23798,40706433793
alcatel,olIHm,-110,113,2024-09-03 17-46-03,40719503634,25409,40790214424
alcatel,ijG,5,4,2024-09-03 17-48-15,40738733614,-29012,40730661472
alcatel,PxgQP,-57,-114,2024-09-03 17-46-54,40707606156,25076,40785938307
alcatel,HXwxKv,20,-12,2024-09-03 17-48-53,40755513719,-26413,40770641847
alcatel,UEvPM,-113,102,2024-09-03 17-45-44,40763943830,29716,40784525528
alcatel,cBcO,-49,-81,2024-09-03 17-45-29,40721761421,26602,40735413469
alcatel,gqhA,-17,-119,2024-09-03 17-49-55,40776326930,-26110,40769030980
alcatel,Vcpmnl,89,-128,2024-09-03 17-45-23,40774624702,15826,40723595764
alcatel,Pyuc,-67,-113,2024-09-03 17-47-34,40709430234,-15322,40755197699
alcatel,zXf,63,62,2024-09-03 17-47-53,40702504308,-16153,40783247934
alcatel,fdz,-30,59,2024-09-03 17-46-53,40737981285,12287,40718555367
alcatel,DHu,37,43,2024-09-03 17-45-53,40732818141,-6125,40784402281
alcatel,UbmCvj,-21,5,2024-09-03 17-47-05,40777452382,12576,40774870714
alcatel,tFa,95,82,2024-09-03 17-46-55,40761107746,6778,40741293639
alcatel,ZdSr,-74,1,2024-09-03 17-45-50,40751270275,4713,40718020727
alcatel,aAj,-52,-5,2024-09-03 17-48-30,40723057558,239,40748760473
alcatel,SfeSX,-84,74,2024-09-03 17-45-58,40787237243,-1195,40782399230
alcatel,cULY,-41,-9,2024-09-03 17-48-00,40759396441,-21388,40753308578
alcatel,LOXF,98,-27,2024-09-03 17-49-19,40720004024,12828,40700369380
alcatel,OMrh,-67,84,2024-09-03 17-46-12,40779114813,-27679,40772379247
alcatel,UXSVNF,-73,-46,2024-09-03 17-49-52,40746603297,-18218,40753542434
alcatel,TvhEA,-55,-4,2024-09-03 17-47-34,40713416544,-15724,40741525995
alcatel,DgJ,72,79,2024-09-03 17-46-15,40778709718,-25111,40799979348
alcatel,ERgCb,76,-103,2024-09-03 17-49-02,40796764006,24080,40743720349
alcatel,EGyoCu,-86,3,2024-09-03 17-46-35,40748729826,-26144,40798483606
alcatel,wCskS,45,-22,2024-09-03 17-45-21,40723998202,-13902,40795593454
alcatel,ffsHS,51,92,2024-09-03 17-46-47,40760167154,21681,40753377034
alcatel,dyoHs,-10,113,2024-09-03 17-48-59,40744960406,8342,40732538608
alcatel,OXh,69,-62,2024-09-03 17-49-47,40723944208,-22878,40717970773
alcatel,dbW,-76,125,2024-09-03 17-45-35,40767187145,9226,40782862019
alcatel,GnxWv,-100,-59,2024-09-03 17-47-54,40710123241,32355,40790903338
alcatel,RbUIA,-120,-37,2024-09-03 17-49-43,40743322272,-15451,40789558541
alcatel,IbsIf,-85,-103,2024-09-03 17-49-02,40730056064,7934,40734948457
alcatel,BcC,20,-28,2024-09-03 17-49-58,40774485523,8192,40734274033
alcatel,vfjab,34,28,2024-09-03 17-45-37,40748317113,6293,40759993455
alcatel,FwS,92,-39,2024-09-03 17-46-57,40766379490,10391,40729757749
alcatel,TREZpP,-21,51,2024-09-03 17-47-58,40717218133,-12742,40749347825
alcatel,EjKn,42,-74,2024-09-03 17-48-22,40732445626,13351,40775927565
alcatel,vFpGnT,75,27,2024-09-03 17-48-59,40739486601,15116,40773686633
alcatel,KXr,-15,-126,2024-09-03 17-49-45,40707759543,-32571,40783456109
alcatel,xJKYU,40,53,2024-09-03 17-45-27,40741579662,-15456,40775097560
alcatel,OCV,-91,4,2024-09-03 17-48-02,40743271729,-20607,40756074717
alcatel,zOG,-44,100,2024-09-03 17-48-24,40766142658,7872,40751339572
alcatel,OvZq,63,-63,2024-09-03 17-46-54,40775268843,18968,40784678345
alcatel,yXz,-3,33,2024-09-03 17-45-32,40762903024,-29032,40738777696
alcatel,Llsk,31,-118,2024-09-03 17-49-48,40751374044,-25361,40701077913
alcatel,dYlC,-71,-72,2024-09-03 17-45-11,40768911518,-29775,40780098650
alcatel,WNWmr,-52,-100,2024-09-03 17-49-04,40779808158,9999,40752223347
alcatel,mfFYzL,-64,-47,2024-09-03 17-45-55,40705989009,-12215,40705677164
alcatel,Pwwwlj,-16,24,2024-09-03 17-49-50,40720668211,4395,40753689231
alcatel,MEC,40,122,2024-09-03 17-49-48,40752850766,-16109,40716612757
alcatel,tknS,-8,-99,2024-09-03 17-47-20,40714818016,-32512,40737777795
alcatel,uACI,-26,47,2024-09-03 17-49-39,40762472025,-27448,40708019638
alcatel,TYKO,-41,-117,2024-09-03 17-47-31,40775963604,-24885,40735352608
alcatel,HIcKI,-87,89,2024-09-03 17-47-26,40793197266,32273,40764351346
alcatel,HTygK,117,60,2024-09-03 17-45-04,40767987164,8171,40715292094
alcatel,uHrJYa,6,8,2024-09-03 17-47-21,40715328703,-22463,40714462505
alcatel,iHPiI,-86,-32,2024-09-03 17-50-01,40710233311,-23251,40739450261
alcatel,gnaIdj,-67,-72,2024-09-03 17-46-38,40799327875,5994,40755266451
alcatel,cGPvrl,-83,81,2024-09-03 17-48-13,40798523968,-7567,40726066364
alcatel,tGCA,52,-21,2024-09-03 17-47-46,40740398911,15997,40737408749
alcatel,Tuno,-20,73,2024-09-03 17-46-52,40745747086,5375,40793471103
alcatel,KvIQVV,44,-14,2024-09-03 17-45-51,40764296701,-10912,40717635018
alcatel,ldooiW,-71,25,2024-09-03 17-48-16,40790080613,-31676,40758242165
alcatel,WoS,87,-106,2024-09-03 17-45-59,40705226041,-26233,40771765680
alcatel,PkZnnb,45,-88,2024-09-03 17-45-35,40794459792,20415,40753875014
alcatel,TmO,-34,-78,2024-09-03 17-49-39,40715046455,-14505,40718575879
alcatel,hnqh,-23,-37,2024-09-03 17-46-20,40732513045,29141,40702536654
alcatel,CCSvU,124,85,2024-09-03 17-49-27,40765156335,19160,40745184869
alcatel,dxsAPb,92,126,2024-09-03 17-46-05,40741559536,9487,40746964987
alcatel,mPPUyl,-47,22,2024-09-03 17-45-08,40762207451,-20783,40702739833
alcatel,Onyyp,-58,-95,2024-09-03 17-49-11,40798919149,1860,40710803136
alcatel,hcjSgX,-100,0,2024-09-03 17-47-45,40739198682,-8686,40704487235
alcatel,EjhjSk,-23,-84,2024-09-03 17-48-32,40764347686,-31943,40768285061
alcatel,FQxPUG,-16,-76,2024-09-03 17-46-50,40784826507,17364,40733528378
alcatel,dUVdnn,116,93,2024-09-03 17-49-14,40780152235,-22871,40731085051
alcatel,UMGqM,75,69,2024-09-03 17-45-39,40717950222,-8789,40706178809
alcatel,eel,-84,-62,2024-09-03 17-46-40,40770607056,-12715,40760354495
alcatel,bel,12,-56,2024-09-03 17-47-27,40783679172,28556,40764358953
alcatel,AKywP,57,-65,2024-09-03 17-47-14,40739486089,-4178,40759368030
alcatel,yqwLT,-8,-127,2024-09-03 17-46-29,40773865563,-26772,40729159267
alcatel,olvhXg,121,-24,2024-09-03 17-49-29,40738885336,-27431,40756077587
alcatel,fwFp,40,64,2024-09-03 17-49-03,40728837890,-4983,40759527964
alcatel,bcn,-89,-122,2024-09-03 17-49-06,40732793409,16071,40780685857
alcatel,VSOnF,36,81,2024-09-03 17-47-52,40776212602,-20360,40773755120
alcatel,oodf,107,-119,2024-09-03 17-48-36,40778400808,17070,40773500711
alcatel,QInJnz,37,87,2024-09-03 17-47-41,40798694977,-14064,40721939148
alcatel,fBSGfa,39,-84,2024-09-03 17-47-25,40733684413,-30380,40727143938
alcatel,NQmc,-35,-114,2024-09-03 17-45-49,40743158330,16857,40752911373
alcatel,nlIRv,69,-64,2024-09-03 17-48-30,40711034997,-29413,40765751352
alcatel,SoZuYO,-119,2,2024-09-03 17-49-20,40790434973,-28337,40734897885
alcatel,OMaWOc,10,-67,2024-09-03 17-47-47,40771986575,27075,40794964653
alcatel,HXXR,-18,-57,2024-09-03 17-45-28,40779003336,19893,40713802359
alcatel,DBO,-59,78,2024-09-03 17-46-01,40794787659,-29161,40734869469
alcatel,nal,23,-2,2024-09-03 17-48-39,40789387590,6918,40785125157
alcatel,tMQht,-8,-34,2024-09-03 17-45-12,40745791336,-26333,40704245805
alcatel,pNhM,58,-100,2024-09-03 17-45-35,40742213365,32112,40750040110
alcatel,kpG,-13,-99,2024-09-03 17-48-15,40743894951,32572,40716141290
alcatel,zSQkjI,-35,-126,2024-09-03 17-46-40,40765322589,20773,40795070940
alcatel,rLwL,11,-30,2024-09-03 17-45-08,40778148844,-15224,40745813503
alcatel,LRhpyg,111,53,2024-09-03 17-49-41,40734578590,19479,40748057858
alcatel,RRmn,77,33,2024-09-03 17-48-35,40750366847,21981,40776697462
alcatel,Acr,32,30,2024-09-03 17-49-38,40741545746,-6326,40746441745
alcatel,yGsDIl,75,72,2024-09-03 17-47-29,40761325035,24179,40738189673
alcatel,kuNW,51,62,2024-09-03 17-46-40,40794866149,-26882,40722153347
alcatel,sow,73,-12,2024-09-03 17-46-32,40702336754,-10234,40714255347
alcatel,SAioJa,-41,73,2024-09-03 17-47-23,40748986146,-19283,40753145705
alcatel,xxVDZ,101,-106,2024-09-03 17-45-53,40747900947,31990,40780764873
alcatel,BNvVtT,-107,-66,2024-09-03 17-45-30,40770900226,-5498,40740579825
alcatel,SzJtgu,83,30,2024-09-03 17-46-17,40709463652,492,40770375004
alcatel,nlVnfN,97,-117,2024-09-03 17-45-10,40763982765,-17418,40763872696
alcatel,kpcGe,-124,-37,2024-09-03 17-47-36,40780308836,-1584,40725309634
alcatel,CdtCms,0,30,2024-09-03 17-46-01,40797568717,25383,40704058959
alcatel,PBAna,78,111,2024-09-03 17-48-58,40728262501,20725,40732045305
alcatel,dvLw,-68,-52,2024-09-03 17-45-35,40790624196,223,40778943629
alcatel,NkAfK,62,123,2024-09-03 17-49-23,40742391091,-18317,40799538354
alcatel,QCSS,-118,124,2024-09-03 17-49-25,40709877796,-4563,40737546183
alcatel,xYBS,-41,-106,2024-09-03 17-49-03,40758419413,-25949,40705659427
alcatel,SUX,-117,118,2024-09-03 17-45-43,40712629726,-19359,40787362530
alcatel,OxYD,-109,-57,2024-09-03 17-49-35,40798004981,3399,40707400580
alcatel,omT,-39,-4,2024-09-03 17-45-20,40799823340,5281,40771605373
alcatel,bsj,-67,-73,2024-09-03 17-49-34,40700671971,-16830,40769175808
alcatel,YRn,-34,-23,2024-09-03 17-47-21,40799890496,-22946,40730143505
alcatel,FDIkds,-50,93,2024-09-03 17-45-22,40702574765,-25211,40798150226
alcatel,JTGWTS,29,87,2024-09-03 17-48-13,40744265897,24202,40753216133
alcatel,iaefvy,-14,13,2024-09-03 17-49-51,40783572421,6215,40747145737
alcatel,wjFlpC,14,-86,2024-09-03 17-45-13,40706518632,-26671,40771924252
alcatel,XBCCS,-72,-111,2024-09-03 17-49-04,40740908041,-27551,40799518446
alcatel,VJA,-83,13,2024-09-03 17-47-46,40767561850,3106,40796947277
alcatel,ZcUziS,-23,7,2024-09-03 17-46-00,40793213472,-23933,40700799613
alcatel,hodgPZ,-122,84,2024-09-03 17-46-40,40722265679,-15673,40760797785
alcatel,sOOMR,115,8,2024-09-03 17-47-47,40710356148,-9903,40788740181
alcatel,FXVUF,-103,-93,2024-09-03 17-46-20,40764476251,-12717,40793658397
alcatel,FbT,-11,-67,2024-09-03 17-47-01,40750691606,-15457,40737823064
alcatel,fnupAD,25,111,2024-09-03 17-48-25,40748197535,-2297,40777871785
alcatel,dwnA,-10,-90,2024-09-03 17-48-42,40739190561,-1942,40781669307
alcatel,BFG,104,79,2024-09-03 17-47-56,40725173020,26436,40770420984
alcatel,vDewA,-65,-48,2024-09-03 17-49-22,40766536057,15736,40781499242
alcatel,EsngAO,90,-75,2024-09-03 17-46-55,40797391919,17011,40762894242
alcatel,hyzm,7,19,2024-09-03 17-49-33,40792571774,-20579,40783067355
alcatel,pmXyni,63,-23,2024-09-03 17-48-15,40746098745,7895,40747698234
alcatel,pfLhn,-39,22,2024-09-03 17-47-02,40718934431,20785,40710154653
alcatel,YqQNP,34,27,2024-09-03 17-49-02,40705805842,26017,40714625860
alcatel,fzwixE,-117,102,2024-09-03 17-47-55,40773691926,4081,40770634131
alcatel,ExoF,114,-70,2024-09-03 17-46-30,40741917493,14984,40778462135
alcatel,aXQ,-4,-90,2024-09-03 17-46-52,40701721281,9470,40760790653
alcatel,puTeI,71,92,2024-09-03 17-46-34,40746164188,-29905,40748619660
alcatel,ZEFQQm,-54,-47,2024-09-03 17-49-38,40795255072,1667,40711191675
alcatel,XsucRV,-114,-2,2024-09-03 17-49-02,40758791352,18172,40719683527
alcatel,LnQw,-66,66,2024-09-03 17-47-46,40747167816,-26267,40789788464
alcatel,kQUef,-110,90,2024-09-03 17-48-00,40794300528,26347,40777195127
alcatel,Qeu,111,45,2024-09-03 17-49-55,40774239827,-10095,40745291805
alcatel,hUos,-49,39,2024-09-03 17-48-58,40786965532,10467,40760364056
alcatel,EMgOD,-101,-95,2024-09-03 17-48-28,40709809861,26184,40700254329
alcatel,oAaQMM,-90,-12,2024-09-03 17-48-59,40757930325,27394,40795769328
alcatel,dfqdMy,-109,49,2024-09-03 17-45-14,40746359518,-30955,40791725999
alcatel,YvbO,88,121,2024-09-03 17-47-49,40766705848,3351,40797523531
alcatel,enB,87,-90,2024-09-03 17-49-58,40778490625,27451,40750118026
alcatel,TkanP,-31,-49,2024-09-03 17-46-54,40746491153,6083,40701066662
alcatel,WmGHQ,63,-74,2024-09-03 17-46-46,40748176478,-19036,40753816876
alcatel,kHkal,71,3,2024-09-03 17-49-49,40702651888,-20972,40705088551
alcatel,rST,-109,-39,2024-09-03 17-45-20,40707314108,-26105,40775025589
alcatel,QHko,-25,-75,2024-09-03 17-46-20,40727886814,-21610,40722708782
alcatel,uQJiea,-23,49,2024-09-03 17-46-11,40789194159,-12915,40739790224
alcatel,bRXRH,-33,-106,2024-09-03 17-49-11,40798262834,7309,40704828515
alcatel,qDPqt,54,47,2024-09-03 17-46-18,40704463584,-4779,40744261870
alcatel,bwe,9,-38,2024-09-03 17-47-15,40735890481,29568,40795085145
alcatel,TPqh,-113,-53,2024-09-03 17-49-17,40754487332,-17115,40717490541
alcatel,ZimB,92,72,2024-09-03 17-47-21,40713222827,-14003,40710379651
alcatel,TEz,41,52,2024-09-03 17-46-09,40713571729,-10041,40777481952
alcatel,HJquYB,-58,-109,2024-09-03 17-49-25,40729866017,-20298,40711741506
alcatel,JZj,200,77,2024-09-03 17-49-37,40787403637,3653,40711684753
alcatel,UFD,-41,49,2024-09-03 17-46-10,40787605731,-10082,40745855919
alcatel,zjT,9,-109,2024-09-03 17-47-48,40713077605,-32375,40757971091
alcatel,csEhj,-118,-63,2024-09-03 17-46-41,40751889830,24966,40744142591
alcatel,ftyp,-121,-106,2024-09-03 17-48-26,40712851588,-15793,40756588989
alcatel,vEPat,-72,66,2024-09-03 17-45-50,40741637234,-379,40743350087
alcatel,PWVUzK,-116,23,2024-09-03 17-45-22,40745413970,22377,40744875477
alcatel,nwAft,58,23,2024-09-03 17-47-09,40770738148,-20300,40712625090
alcatel,Ruu,5,-61,2024-09-03 17-46-38,40734851424,-18152,40719184805
alcatel,BNEVW,127,-119,2024-09-03 17-47-07,40788874314,4350,40772286246
alcatel,rHK,51,-58,2024-09-03 17-45-03,40739731353,5718,40745098632
alcatel,VNDIFL,85,114,2024-09-03 17-48-40,40798103647,4404,40773253131
alcatel,fLD,-128,17,2024-09-03 17-49-01,40753286235,29203,40750384989
alcatel,tOn,42,78,2024-09-03 17-47-12,40742643478,-10604,40769340069
alcatel,MhBjxR,-102,-126,2024-09-03 17-47-31,40758668713,24722,40700875179
alcatel,mBkMur,-126,89,2024-09-03 17-46-32,40739642400,14488,40736605800
alcatel,GcZs,91,30,2024-09-03 17-46-56,40748180069,7185,40769943853
alcatel,oNoNnd,-85,-39,2024-09-03 17-45-58,40727470930,11923,40724363007
alcatel,RUUpFQ,-125,-128,2024-09-03 17-49-32,40707353834,-28219,40748922261
alcatel,TfZnpo,-111,-46,2024-09-03 17-46-24,40770052415,-25714,40747075856
alcatel,gIw,-56,29,2024-09-03 17-45-18,40790693504,-2531,40796488612
alcatel,feEHbQ,10,1,2024-09-03 17-45-18,40724755506,26263,40706869687
alcatel,IjS,103,83,2024-09-03 17-45-17,40752951926,10612,40790904462
alcatel,RmLTQj,24,67,2024-09-03 17-49-55,40785016915,24753,40740774725
alcatel,HNUrnt,49,3,2024-09-03 17-47-01,40771860246,-26018,40787226067
alcatel,rCvJ,-122,59,2024-09-03 17-47-46,40715034857,17627,40717247827
alcatel,eCzBKY,-124,73,2024-09-03 17-48-32,40709406490,-12885,40759364459
alcatel,Llo,110,50,2024-09-03 17-49-15,40704058989,-1040,40741605300
alcatel,GyS,96,79,2024-09-03 17-49-33,40720670095,19606,40731368546
alcatel,EfZRYW,54,-75,2024-09-03 17-47-11,40715662315,16427,40728975571
