src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,Hoz,-5,-59,2024-09-03 18-12-01,40718511255,10298,40791897335
alcatel,zjNhs,-2,-107,2024-09-03 18-11-28,40797713106,-20610,40745942407
alcatel,PEru,41,-68,2024-09-03 18-14-04,40704636799,-16894,40751187040
alcatel,BpRAf,80,-24,2024-09-03 18-11-05,40769081167,-1892,40705221378
alcatel,DSQ,-13,-108,2024-09-03 18-13-57,40742170429,30819,40700038587
alcatel,bKCxkG,-96,94,2024-09-03 18-14-59,40728388306,405,40707656279
alcatel,gss,46,14,2024-09-03 18-10-02,40754719700,4652,40775018067
alcatel,EvZrTB,94,-25,2024-09-03 18-10-53,40762137020,29968,40740223361
alcatel,jdXuXP,122,56,2024-09-03 18-12-24,40794179807,7578,40712033211
alcatel,mueUy,35,16,2024-09-03 18-13-43,40776664855,1687,40705444439
alcatel,vYBKPz,-124,100,2024-09-03 18-13-51,40796799653,10031,40770342814
alcatel,weKx,55,-79,2024-09-03 18-13-25,40751199323,-14041,40748708445
alcatel,FJaze,10,-69,2024-09-03 18-14-43,40793045618,7315,40794076213
alcatel,pkY,84,-24,2024-09-03 18-12-44,40721530282,-24813,40788619747
alcatel,YQkv,22,33,2024-09-03 18-12-08,40776814840,-4761,40789641866
alcatel,qScd,31,-7,2024-09-03 18-13-08,40712493875,4698,40731495497
alcatel,xkD,-6,-26,2024-09-03 18-14-06,40716003837,2322,40765097004
alcatel,Rlzi,68,110,2024-09-03 18-14-12,40702912872,-31337,40728603448
alcatel,TFO,-69,38,2024-09-03 18-12-46,40739337609,-19108,40792849035
alcatel,qUrb,-93,25,2024-09-03 18-11-02,40742493759,-31570,40769649059
alcatel,zxXLZy,40,21,2024-09-03 18-14-34,40713932103,-17336,40750767877
alcatel,uXHdTz,-127,3,2024-09-03 18-13-07,40717329333,24746,40751678865
alcatel,KSE,24,-124,2024-09-03 18-10-42,40744032964,29536,40723722525
alcatel,nTdXtc,-114,38,2024-09-03 18-12-58,40769331070,26905,40795791459
alcatel,ehF,-127,-117,2024-09-03 18-13-02,40757944554,19270,40782159619
alcatel,VHiF,-97,114,2024-09-03 18-12-04,40711269987,-11924,40728798955
alcatel,gAo,121,-54,2024-09-03 18-14-01,40761111671,2548,40749425733
alcatel,oktO,-23,-100,2024-09-03 18-11-21,40760802195,-27659,40729905889
alcatel,ZRLEB,-28,-70,2024-09-03 18-13-40,40773450071,-17188,40783938171
alcatel,MbS,-50,-12,2024-09-03 18-11-59,40717150860,-31251,40746160154
alcatel,LVomnc,-78,-1,2024-09-03 18-10-27,40724699011,-11139,40759081184
alcatel,MId,-93,40,2024-09-03 18-11-43,40701082099,-8861,40771306986
alcatel,VcDqbg,-5,-106,2024-09-03 18-14-27,40728827226,20917,40733122287
alcatel,KbNtF,-51,82,2024-09-03 18-13-51,40727309336,-14446,40766651917
alcatel,TwUxl,-118,-38,2024-09-03 18-12-33,40756256702,-25754,40707478723
alcatel,ulu,-2,-26,2024-09-03 18-10-52,40755841754,12853,40792389623
alcatel,wkY,-49,10,2024-09-03 18-12-44,40772530823,29557,40757920700
alcatel,ySj,-53,-109,2024-09-03 18-14-28,40779486389,19377,40792698982
alcatel,gelT,-114,91,2024-09-03 18-12-45,40717633092,2799,40756089308
alcatel,AZqFN,-38,-23,2024-09-03 18-14-46,40720760554,-26482,40719469887
alcatel,TdM,-35,-47,2024-09-03 18-14-14,40748637398,22717,40758727872
alcatel,pJp,46,-8,2024-09-03 18-11-17,40759870024,-21459,40736510200
alcatel,xlq,111,-60,2024-09-03 18-12-26,40712241756,16942,40739417049
alcatel,eWnt,120,103,2024-09-03 18-14-22,40773643782,-32397,40783218203
alcatel,oyhooD,-12,3,2024-09-03 18-14-05,40729152715,15580,40716431245
alcatel,MJYaAk,-51,65,2024-09-03 18-12-18,40723764298,13410,40763309275
alcatel,nCwHDk,-90,34,2024-09-03 18-12-09,40783547411,-22862,40737473654
alcatel,HSsU,73,79,2024-09-03 18-11-42,40758724771,5811,40726351831
alcatel,KdeUR,114,85,2024-09-03 18-10-58,40784000110,-20365,40741865499
alcatel,RkAM,-33,86,2024-09-03 18-12-09,40746240985,9649,40701642599
alcatel,crhhj,-20,102,2024-09-03 18-15-01,40770017427,6633,40782340089
alcatel,fCVH,-50,-27,2024-09-03 18-13-29,40796806361,-28286,40787535434
alcatel,NEAwPR,59,-105,2024-09-03 18-10-35,40725106250,8155,40796089833
alcatel,tDVijB,106,4,2024-09-03 18-10-20,40798208668,30511,40704935850
alcatel,jEn,114,92,2024-09-03 18-11-29,40778143443,-30510,40727553945
alcatel,lgfoBH,55,92,2024-09-03 18-14-42,40792894310,23042,40706094079
alcatel,HzAnH,50,2,2024-09-03 18-13-10,40760954674,12701,40713538276
alcatel,vsZtSL,76,89,2024-09-03 18-10-38,40731713478,-29246,40772330176
alcatel,BqYpP,-42,1,2024-09-03 18-12-06,40716733477,32016,40799630637
alcatel,fQc,-88,-111,2024-09-03 18-11-48,40704764001,7275,40723567605
alcatel,oPRoN,-18,-11,2024-09-03 18-14-08,40766104126,20115,40710557773
alcatel,MteFX,-58,-90,2024-09-03 18-13-32,40710238459,-19647,40779807882
alcatel,yrV,48,-80,2024-09-03 18-13-47,40746950734,-9983,40740927654
alcatel,KZP,-128,116,2024-09-03 18-10-34,40799234112,-12698,40702961104
alcatel,ZVzBT,68,-104,2024-09-03 18-13-43,40792352759,-4017,40757224024
alcatel,QJV,-99,13,2024-09-03 18-13-10,40771598975,18454,40776424248
alcatel,YaELk,-80,-122,2024-09-03 18-14-09,40759656378,9359,40776310037
alcatel,IxxRkA,106,63,2024-09-03 18-10-15,40738908190,22203,40775215168
alcatel,PzqU,-122,-13,2024-09-03 18-10-40,40740622672,-30470,40728418716
alcatel,Ehs,88,-5,2024-09-03 18-12-40,40735643540,13007,40748535861
alcatel,ezxRF,55,41,2024-09-03 18-13-30,40720264420,13197,40785956949
alcatel,kCSk,44,-83,2024-09-03 18-14-16,40752453383,-19772,40704146615
alcatel,Gjftz,117,83,2024-09-03 18-14-57,40740369841,31063,40763878116
alcatel,hSMaOk,29,-33,2024-09-03 18-12-37,40752640558,-3236,40781149675
alcatel,cPUYO,-93,-56,2024-09-03 18-11-43,40755818315,20860,40744397516
alcatel,Iyqi,67,19,2024-09-03 18-10-05,40758426595,23742,40732959804
alcatel,ZISo,74,114,2024-09-03 18-11-12,40703515612,-6348,40781396549
alcatel,oqKY,25,-98,2024-09-03 18-12-58,40774059995,18478,40722368323
alcatel,Hwcj,-82,22,2024-09-03 18-12-08,40711545435,-5379,40741977382
alcatel,nonX,-23,-68,2024-09-03 18-12-52,40777412434,-28509,40754448560
alcatel,wSKDia,-98,73,2024-09-03 18-12-08,40797699941,30555,40702221035
alcatel,CDQ,-69,-96,2024-09-03 18-14-48,40778708244,-12461,40767381732
alcatel,MfVKIC,117,-84,2024-09-03 18-11-03,40761340649,14120,40702386698
alcatel,tsyL,37,-32,2024-09-03 18-13-48,40720021214,-32481,40781797627
alcatel,jwccoV,-127,-118,2024-09-03 18-12-47,40759061214,5512,40776991164
alcatel,EIt,26,109,2024-09-03 18-12-09,40746804291,19487,40764590809
alcatel,dCe,-1,-106,2024-09-03 18-11-44,40773772429,-1474,40752282058
alcatel,Dvbnk,-82,59,2024-09-03 18-14-59,40771181319,2506,40748709263
alcatel,sTE,-76,-27,2024-09-03 18-11-41,40793992465,26837,40762722002
alcatel,Jwsy,50,78,2024-09-03 18-14-16,40744715968,5478,40715622024
alcatel,SHxu,71,7,2024-09-03 18-10-50,40755104436,1783,40710195948
alcatel,uCADH,-53,13,2024-09-03 18-12-25,40766598360,21459,40716526450
alcatel,aZEr,2,-56,2024-09-03 18-13-30,40766279458,16757,40702475736
alcatel,fuaoJC,37,-82,2024-09-03 18-11-48,40772011867,-12937,40749686296
alcatel,IMm,-97,-1,2024-09-03 18-10-48,40764808549,-10639,40743062386
alcatel,MsWY,75,-50,2024-09-03 18-12-04,40753571994,-5955,40738807926
alcatel,WLzn,-114,47,2024-09-03 18-14-59,40729382735,31118,40719006766
alcatel,uAS,77,127,2024-09-03 18-10-12,40742033974,4505,40707037892
alcatel,Qgi,-61,-13,2024-09-03 18-12-05,40715414285,-1995,40782927754
alcatel,Syh,-5,41,2024-09-03 18-11-02,40778228101,-10102,40709134511
alcatel,hwj,87,-122,2024-09-03 18-13-05,40799774744,3176,40715249215
alcatel,ZWbgLQ,-24,-57,2024-09-03 18-13-52,40771190594,30867,40749049995
alcatel,SMik,-77,-23,2024-09-03 18-10-16,40705064653,31752,40771302061
alcatel,Prfa,-17,-101,2024-09-03 18-13-35,40727084541,9340,40700608620
alcatel,PDp,-95,-100,2024-09-03 18-11-13,40705009196,-8569,40791680638
alcatel,bFWSW,28,-35,2024-09-03 18-12-29,40791070895,16671,40706748007
alcatel,VbnFVd,24,-118,2024-09-03 18-14-25,40744976510,-309,40792369303
alcatel,UsL,85,36,2024-09-03 18-14-32,40750871007,-5394,40717016161
alcatel,Paryw,-108,-28,2024-09-03 18-13-50,40759483374,-21584,40784407752
alcatel,CCmFul,47,-4,2024-09-03 18-10-08,40794302952,13112,40763061919
alcatel,NYT,-128,78,2024-09-03 18-11-21,40797416047,15715,40724815747
alcatel,EseT,-42,72,2024-09-03 18-10-47,40700695069,19862,40713050615
alcatel,plYGHJ,97,-53,2024-09-03 18-10-27,40788418704,-22148,40787581278
alcatel,VAt,-5,-23,2024-09-03 18-10-51,40722233623,-11196,40784311901
alcatel,hqM,-17,60,2024-09-03 18-14-50,40765902822,-12287,40727397467
alcatel,gIkeIS,-94,-62,2024-09-03 18-11-08,40721366313,10439,40769144855
alcatel,pbI,-80,78,2024-09-03 18-11-21,40764636998,18575,40727516056
alcatel,sNz,-109,38,2024-09-03 18-14-09,40760575810,24825,40720007855
alcatel,rOjTKj,-49,29,2024-09-03 18-12-57,40709021348,-7738,40707862984
alcatel,LhC,-54,-65,2024-09-03 18-14-05,40730833436,23642,40768796241
alcatel,vRJBN,-31,-21,2024-09-03 18-10-03,40758763380,-28721,40722684607
alcatel,XCo,-23,106,2024-09-03 18-11-25,40752617923,5394,40730629035
alcatel,iOsb,0,15,2024-09-03 18-10-56,40793000590,-28373,40750105247
alcatel,sgRu,121,-113,2024-09-03 18-10-35,40779083145,-32580,40709735545
alcatel,DKHRMW,-97,103,2024-09-03 18-11-45,40715040759,8168,40773134261
alcatel,EGcTxT,29,-27,2024-09-03 18-13-20,40781357709,317,40756896349
alcatel,DeAdw,-60,-113,2024-09-03 18-12-19,40764163800,-1681,40751043753
alcatel,aNf,47,67,2024-09-03 18-13-47,40777038640,-1092,40713261748
alcatel,Vot,-117,25,2024-09-03 18-10-21,40736787481,-23416,40773389039
alcatel,cBggvi,-110,-128,2024-09-03 18-14-38,40761924362,-16867,40737799365
alcatel,JJeSO,-81,42,2024-09-03 18-14-51,40794488116,1139,40766557766
alcatel,lBxLJu,-80,18,2024-09-03 18-13-22,40798390065,-18478,40719161075
alcatel,fdj,-67,5,2024-09-03 18-14-55,40700981344,7817,40731714406
alcatel,LaCc,125,-81,2024-09-03 18-13-59,40774339774,13543,40758842923
alcatel,DTc,50,85,2024-09-03 18-10-21,40773422305,15599,40709713149
alcatel,QIDv,-12,36,2024-09-03 18-13-13,40779873047,11191,40781272078
alcatel,LFFLlJ,-124,-107,2024-09-03 18-10-11,40724600506,-23239,40746385607
