src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,YeimUN,-91,25,2024-09-03 18-22-30,40707430146,-9658,40757207620
alcatel,rRJk,56,-74,2024-09-03 18-23-26,40742784996,-13323,40764894677
alcatel,xIBqIx,-12,118,2024-09-03 18-23-27,40790309049,-32028,40708986235
alcatel,qanUMF,-93,114,2024-09-03 18-20-51,40734553701,4493,40747028791
alcatel,AIR,12,-41,2024-09-03 18-23-13,40727988118,19158,40751796526
alcatel,RxehQk,56,-98,2024-09-03 18-20-27,40733688195,2232,40798489459
alcatel,TUw,-44,112,2024-09-03 18-20-05,40773002251,-27557,40752665012
alcatel,hxIBot,-90,-100,2024-09-03 18-24-14,40759268033,-14487,40770238201
alcatel,rHVJ,-31,100,2024-09-03 18-21-20,40781625841,-31,40729397483
alcatel,hUT,-57,93,2024-09-03 18-21-29,40700119462,8190,40789429077
alcatel,qQTxAa,-120,12,2024-09-03 18-21-45,40761699676,-32730,40715623211
alcatel,uRN,95,69,2024-09-03 18-24-55,40755288288,-24012,40724711027
alcatel,iQCMC,-60,-126,2024-09-03 18-20-57,40740242042,18477,40757776030
alcatel,MIrMA,38,-87,2024-09-03 18-24-29,40757793135,-9201,40789662550
alcatel,VkKa,36,-98,2024-09-03 18-20-10,40730716852,27983,40782660375
alcatel,MUfGnk,109,-12,2024-09-03 18-20-46,40796880903,29152,40741040764
alcatel,OLNWcK,-85,104,2024-09-03 18-22-40,40795876110,-22275,40761365993
alcatel,CKUA,-17,123,2024-09-03 18-20-05,40749887352,-30710,40783394555
alcatel,gbFT,-71,73,2024-09-03 18-20-31,40755102809,7646,40742969545
alcatel,lWfX,-85,92,2024-09-03 18-21-34,40706129851,-8647,40740757527
alcatel,zaKsz,-23,16,2024-09-03 18-21-04,40722160219,10540,40772484336
alcatel,Fdgg,-51,-111,2024-09-03 18-20-51,40799941494,2188,40797636503
alcatel,ATtOyz,-126,120,2024-09-03 18-24-15,40786149627,21687,40786359744
alcatel,cyv,-105,112,2024-09-03 18-23-57,40783944952,-10893,40787617506
alcatel,MLW,-97,-88,2024-09-03 18-21-48,40714287160,25148,40749319690
alcatel,RSwhza,-14,126,2024-09-03 18-23-36,40774027566,19504,40766709197
alcatel,NiXPg,1,-53,2024-09-03 18-20-34,40740964375,20592,40765445968
alcatel,RTa,31,-50,2024-09-03 18-20-14,40737730296,3995,40709218664
alcatel,KpTqSf,28,-3,2024-09-03 18-22-06,40779675174,30080,40746756875
alcatel,KMEda,95,-42,2024-09-03 18-20-51,40767966482,-2450,40731815935
alcatel,ViA,-76,32,2024-09-03 18-21-27,40702045718,-9932,40791447680
alcatel,aID,20,123,2024-09-03 18-23-49,40782357457,-29057,40767431943
alcatel,CnftU,25,-70,2024-09-03 18-22-42,40700099496,20737,40772412242
alcatel,XTX,2,100,2024-09-03 18-22-01,40794776865,-7617,40726928746
alcatel,qKHyM,88,42,2024-09-03 18-23-59,40772838950,14257,40710206453
alcatel,CemoXN,68,-22,2024-09-03 18-22-43,40788464056,-30567,40751011879
alcatel,XNsf,9,74,2024-09-03 18-23-14,40753600777,14507,40732278522
alcatel,thtVhf,25,47,2024-09-03 18-20-09,40715161899,31071,40765944292
alcatel,GUp,63,11,2024-09-03 18-22-50,40774368145,-29148,40751970646
alcatel,XkAb,-113,73,2024-09-03 18-22-44,40771708595,22000,40728104973
alcatel,wgx,18,-114,2024-09-03 18-24-08,40716714966,-24613,40763045837
alcatel,zuyx,52,-1,2024-09-03 18-24-15,40732574469,-28608,40744369822
alcatel,ciuIxu,-98,-83,2024-09-03 18-24-34,40746632612,-11914,40768744462
alcatel,AyJZR,40,59,2024-09-03 18-20-59,40724559837,21718,40774374351
alcatel,eue,31,47,2024-09-03 18-21-38,40790095075,-2716,40725748892
alcatel,keo,-39,-100,2024-09-03 18-22-51,40766503297,-10355,40740201031
alcatel,IWQ,-103,-57,2024-09-03 18-24-39,40794177783,-15235,40748597293
alcatel,EzyyZ,26,114,2024-09-03 18-24-39,40791424760,1511,40700306916
alcatel,yTFNWH,124,-12,2024-09-03 18-24-12,40752876025,30467,40734802381
alcatel,xnl,-69,-97,2024-09-03 18-22-28,40753179192,5262,40753966215
alcatel,zVcqN,-92,5,2024-09-03 18-21-32,40779902627,-28513,40728453826
alcatel,VJeZ,126,-56,2024-09-03 18-20-59,40780782833,-27634,40713352147
alcatel,UiA,106,51,2024-09-03 18-22-37,40781992480,-11998,40705481879
alcatel,Zaw,-5,95,2024-09-03 18-20-46,40782451040,25627,40724081577
alcatel,JEc,51,69,2024-09-03 18-24-05,40747643667,-24979,40781506371
alcatel,sNSuT,100,1,2024-09-03 18-20-55,40740505142,5138,40744533813
alcatel,bmohNR,-76,-88,2024-09-03 18-23-55,40729934714,-5880,40775742587
alcatel,MZhzH,10,14,2024-09-03 18-23-13,40717575377,8538,40778230519
alcatel,SnFrG,49,107,2024-09-03 18-24-31,40754935557,16999,40786884875
alcatel,yrN,-15,-50,2024-09-03 18-22-01,40721041293,9646,40700028486
alcatel,mbf,60,-18,2024-09-03 18-23-59,40760864097,25920,40795708503
alcatel,RRP,72,3,2024-09-03 18-23-47,40752466545,15089,40785507095
alcatel,sjikW,57,-92,2024-09-03 18-24-32,40780395349,-13586,40739220555
alcatel,mtdYW,56,-60,2024-09-03 18-21-07,40785168436,-1789,40787527129
