src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,jFQIa,30,81,2024-09-03 18-28-35,40734769316,27587,40757789318
alcatel,HoP,-62,26,2024-09-03 18-25-52,40775214641,2317,40781730602
alcatel,NHim,-60,-124,2024-09-03 18-29-07,40769361862,29215,40721199546
alcatel,TyBt,69,-53,2024-09-03 18-28-47,40704104911,12275,40775501382
alcatel,vVWI,43,-94,2024-09-03 18-26-46,40710520665,5824,40723172656
alcatel,PLL,-11,-12,2024-09-03 18-25-08,40718054430,3888,40762668174
alcatel,SNLbX,121,107,2024-09-03 18-25-37,40729576226,19514,40757049154
alcatel,rqGA,-45,67,2024-09-03 18-26-32,40719075692,3222,40787985242
alcatel,CSDrkf,102,-60,2024-09-03 18-25-54,40770939965,22956,40703110195
alcatel,SNg,-76,-4,2024-09-03 18-29-45,40746652647,323,40735446612
alcatel,xYLmR,55,29,2024-09-03 18-28-22,40746462383,6145,40714979075
alcatel,uJbdXs,40,-122,2024-09-03 18-28-09,40718879452,-19218,40745826874
alcatel,pgsE,-103,50,2024-09-03 18-26-47,40793604641,19239,40720079241
alcatel,Pkq,-50,55,2024-09-03 18-28-32,40798338604,14957,40779451553
alcatel,nApN,120,89,2024-09-03 18-28-37,40750576305,12198,40748153545
alcatel,Mddlp,86,-109,2024-09-03 18-25-07,40782291010,29204,40702046472
alcatel,PVZt,49,116,2024-09-03 18-25-42,40722926772,25891,40705649985
alcatel,rJw,113,31,2024-09-03 18-25-44,40721767066,24387,40746061773
alcatel,IMhWeg,74,63,2024-09-03 18-25-38,40754042969,-25030,40752025901
alcatel,XzCyj,111,-72,2024-09-03 18-27-06,40714935415,-30305,40721758598
alcatel,IEOR,-125,103,2024-09-03 18-29-55,40746977767,-30030,40708805122
alcatel,ADw,56,44,2024-09-03 18-29-05,40763705824,32665,40727856927
alcatel,eWLiv,56,95,2024-09-03 18-28-46,40709152597,-13984,40715377598
alcatel,ImhooT,-86,-96,2024-09-03 18-29-54,40750033410,-23163,40731601755
alcatel,fYUoDk,-32,31,2024-09-03 18-28-16,40723749579,-20157,40735325608
alcatel,KgLTzT,21,70,2024-09-03 18-25-18,40702006921,-17911,40716853891
alcatel,exiQ,21,3,2024-09-03 18-29-47,40739580331,-1610,40724272064
alcatel,oshOb,-42,-52,2024-09-03 18-26-59,40722286283,-22906,40769867879
alcatel,OHdnme,-116,123,2024-09-03 18-26-00,40775108832,12154,40775861000
alcatel,IJTR,13,77,2024-09-03 18-25-59,40707527667,8912,40759111126
alcatel,HNOU,95,-28,2024-09-03 18-26-59,40722557406,-341,40713073059
