src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,fAUggw,-4,-40,2024-09-03 19-03-11,40748315763,-3478,40757455037
alcatel,vhsHJF,120,84,2024-09-03 19-02-16,40733419224,-26802,40717268483
alcatel,pneLP,-118,-13,2024-09-03 19-00-47,40731164476,25658,40728628890
alcatel,xBOxUf,5,16,2024-09-03 19-01-48,40771894005,14284,40721158072
alcatel,ltvgLl,-62,3,2024-09-03 19-02-13,40765775969,5224,40798474026
alcatel,yspmT,-66,109,2024-09-03 19-03-16,40780203802,-1707,40795512910
alcatel,diro,-81,-108,2024-09-03 19-00-45,40729425324,18137,40704179331
alcatel,qLMhs,114,104,2024-09-03 19-00-19,40772386415,-4638,40747042963
alcatel,ApHEkY,-49,-10,2024-09-03 19-03-04,40727196381,-16304,40711323451
alcatel,SzByB,-18,33,2024-09-03 19-04-55,40750802450,32000,40757433875
alcatel,OkLgG,91,-23,2024-09-03 19-04-31,40714267824,27108,40745659771
alcatel,BVZjOg,-18,-79,2024-09-03 19-03-58,40729390463,-12867,40742196252
alcatel,VEXMWf,2,71,2024-09-03 19-01-11,40771858210,-20045,40757791308
alcatel,TKqMA,-20,-95,2024-09-03 19-00-50,40749133920,-7961,40771309246
alcatel,aiZLeN,-7,51,2024-09-03 19-04-03,40740149834,-19258,40736804483
alcatel,LlsY,123,-34,2024-09-03 19-02-39,40773046155,-6567,40715543293
alcatel,sLf,117,90,2024-09-03 19-03-29,40746419179,-30349,40715531509
alcatel,JmoQjS,20,-51,2024-09-03 19-01-01,40760197653,6438,40772915048
alcatel,dAqn,-106,18,2024-09-03 19-02-46,40760874275,-5731,40787037652
alcatel,frKXeU,-124,81,2024-09-03 19-00-17,40733592296,-23871,40773140677
alcatel,GnwB,-5,-26,2024-09-03 19-04-31,40789769780,6819,40764577549
alcatel,sqBe,-117,80,2024-09-03 19-03-27,40774095785,8965,40712658750
alcatel,Ewq,36,-30,2024-09-03 19-01-22,40732307983,-8204,40720117314
alcatel,esutd,-75,80,2024-09-03 19-01-41,40782367430,19295,40759794983
alcatel,bUek,117,-71,2024-09-03 19-04-42,40734103380,-5264,40738330988
alcatel,Ypv,-3,18,2024-09-03 19-03-14,40742777578,30065,40788162359
alcatel,PWYuHj,-7,16,2024-09-03 19-01-51,40737103038,14549,40742312963
alcatel,WyJR,60,32,2024-09-03 19-01-08,40737750204,-7253,40788917154
alcatel,kCZ,-78,11,2024-09-03 19-02-05,40729268190,-3957,40721093992
alcatel,lNiKc,19,-70,2024-09-03 19-04-29,40790650425,5869,40762309305
alcatel,vBh,-66,59,2024-09-03 19-04-22,40742440068,-28884,40789487746
alcatel,heh,-113,115,2024-09-03 19-00-51,40775181594,-24681,40758699307
alcatel,dzTt,-24,-125,2024-09-03 19-04-48,40760194783,32267,40748541665
alcatel,TtDkK,-98,17,2024-09-03 19-04-53,40794675071,2813,40753804133
alcatel,KYOjKS,54,37,2024-09-03 19-00-16,40723365554,3730,40790372953
alcatel,OOo,105,14,2024-09-03 19-03-19,40790505452,-20321,40788726183
alcatel,gws,73,76,2024-09-03 19-04-56,40770511984,-27638,40790986707
alcatel,lmyCZ,-67,93,2024-09-03 19-02-38,40745976462,-2710,40771574147
alcatel,LWzlL,-64,12,2024-09-03 19-02-44,40788340748,18905,40721202387
alcatel,Zmv,100,87,2024-09-03 19-04-19,40702594551,6944,40722913181
alcatel,XMHQmd,-94,123,2024-09-03 19-00-04,40715261745,-8134,40731703786
alcatel,QClQ,95,113,2024-09-03 19-03-15,40777221860,-14105,40703096017
alcatel,AhyC,108,79,2024-09-03 19-03-48,40787512507,-7443,40710724453
alcatel,tHfbWy,25,-9,2024-09-03 19-01-06,40777734808,3631,40719532222
alcatel,oPfXbj,-59,115,2024-09-03 19-01-09,40794748364,-20678,40745387614
alcatel,PKJEq,23,11,2024-09-03 19-01-45,40702346156,-17482,40780398609
alcatel,Cyml,10,66,2024-09-03 19-00-02,40752248689,-13938,40762833508
alcatel,dxBDwX,86,-102,2024-09-03 19-00-29,40737415842,4504,40723242359
alcatel,XGcT,-94,18,2024-09-03 19-03-14,40721102661,10980,40742620392
alcatel,wVK,-28,-46,2024-09-03 19-01-47,40781090504,9564,40789920357
alcatel,hoLY,114,48,2024-09-03 19-03-36,40724940715,-19,40701169482
alcatel,HSlQmN,8,-89,2024-09-03 19-03-28,40794180501,-8125,40748602430
alcatel,hRUAU,121,-77,2024-09-03 19-02-22,40700193956,2156,40799089362
alcatel,HAwcl,89,-42,2024-09-03 19-04-45,40773213202,13102,40719698225
alcatel,MHFv,-39,85,2024-09-03 19-04-08,40742030361,7291,40759149833
alcatel,mXccz,-55,-101,2024-09-03 19-03-19,40700344104,25573,40735827269
alcatel,KLZ,-77,78,2024-09-03 19-04-21,40754956353,-25321,40749375264
alcatel,EZQvzp,26,-125,2024-09-03 19-04-04,40704096474,8999,40714585699
alcatel,JbX,126,-76,2024-09-03 19-02-27,40761085777,-19784,40703267816
alcatel,zbGG,31,32,2024-09-03 19-03-28,40795428997,-15053,40769178751
alcatel,IPs,-116,24,2024-09-03 19-00-41,40798995587,31411,40792301483
alcatel,oPJz,-127,-56,2024-09-03 19-03-56,40716455447,-16455,40748698281
alcatel,IHDPib,47,-65,2024-09-03 19-00-36,40711996203,27195,40741842096
alcatel,mQnc,49,-61,2024-09-03 19-01-19,40792750926,10693,40767773646
alcatel,meXrHB,-78,107,2024-09-03 19-03-25,40705843841,13107,40733581020
alcatel,CzjPOF,-7,-122,2024-09-03 19-04-13,40726675652,6830,40721881921
alcatel,TfTH,42,-51,2024-09-03 19-01-14,40740476103,27103,40743021024
alcatel,GoTrE,37,12,2024-09-03 19-00-54,40766535411,-23351,40705503434
alcatel,yHndz,-111,-109,2024-09-03 19-04-39,40712879736,-4699,40728442298
alcatel,wii,94,-70,2024-09-03 19-03-23,40756455296,30132,40745370253
alcatel,KQH,15,-73,2024-09-03 19-03-03,40708668405,-15384,40772705826
alcatel,HbGN,7,-36,2024-09-03 19-02-53,40707041666,30201,40706333861
alcatel,zsTj,48,68,2024-09-03 19-02-35,40730041029,10768,40702033030
alcatel,ZPFjM,-75,-59,2024-09-03 19-01-11,40765735022,14808,40795047914
alcatel,tpj,-69,64,2024-09-03 19-01-55,40722624805,14283,40716755869
alcatel,aQPy,26,-32,2024-09-03 19-00-35,40791904786,-29793,40736656827
alcatel,PUam,-47,31,2024-09-03 19-02-17,40729464493,19084,40754760166
alcatel,lGga,1,-7,2024-09-03 19-02-18,40780039632,-1099,40730190225
alcatel,quYhI,5,62,2024-09-03 19-04-12,40782064030,-30950,40774912120
alcatel,ZJi,-71,106,2024-09-03 19-03-26,40713119648,23828,40792324882
alcatel,BGAOEe,70,-47,2024-09-03 19-01-39,40729954568,19134,40734684215
alcatel,DCAn,50,54,2024-09-03 19-02-40,40725534602,-19702,40772299544
alcatel,jPML,-12,35,2024-09-03 19-00-07,40717134731,12959,40705989350
alcatel,HKOcLT,81,62,2024-09-03 19-01-58,40766795462,24390,40763908141
alcatel,RaZw,-46,123,2024-09-03 19-01-31,40782545238,21059,40750322014
alcatel,uXzOB,-19,2,2024-09-03 19-00-43,40747624571,27582,40771490352
alcatel,YdCTX,-105,14,2024-09-03 19-03-51,40782823708,-29588,40701623833
alcatel,GAa,-14,-124,2024-09-03 19-00-31,40788569994,-14301,40787373567
alcatel,DxoDuL,110,27,2024-09-03 19-03-50,40701230541,15770,40777288129
alcatel,Pvh,-36,-18,2024-09-03 19-02-36,40768210897,-13771,40794509313
alcatel,SoCREv,57,-88,2024-09-03 19-00-19,40769527501,-12733,40743935999
alcatel,aaH,-128,18,2024-09-03 19-01-26,40700506607,-7759,40729651092
alcatel,CSDiA,23,112,2024-09-03 19-00-54,40725178738,840,40792055588
