src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,gocxJm,-36,81,2024-09-03 19-30-54,40791999931,19820,40779395594
alcatel,abU,10,9,2024-09-03 19-30-20,40769537052,-7145,40716051263
alcatel,OpYyR,33,-87,2024-09-03 19-30-38,40791188970,-27842,40796233053
alcatel,GkZCrc,-100,-116,2024-09-03 19-34-01,40775679468,3350,40736222757
alcatel,mQc,-90,-44,2024-09-03 19-30-45,40722761067,28612,40761204826
alcatel,gzr,94,97,2024-09-03 19-31-09,40709142745,4011,40780491411
alcatel,KlVli,64,73,2024-09-03 19-30-49,40780458589,27745,40723244756
alcatel,ZwP,102,41,2024-09-03 19-33-26,40751098895,20,40793570047
alcatel,FNi,-113,-47,2024-09-03 19-33-23,40789134402,16365,40774808319
alcatel,ItrT,-10,-99,2024-09-03 19-34-04,40701359954,2546,40740759292
alcatel,lRnHrD,15,27,2024-09-03 19-32-05,40769602049,11765,40739302236
alcatel,wZgm,88,39,2024-09-03 19-30-45,40740291735,30391,40750681000
alcatel,Slcuh,91,61,2024-09-03 19-32-18,40756986250,8135,40756663862
alcatel,hZi,-118,-69,2024-09-03 19-34-51,40794546896,29580,40706668271
alcatel,mXRVv,-2,-114,2024-09-03 19-31-08,40727927484,5588,40769773194
alcatel,BeSP,42,70,2024-09-03 19-33-23,40728448352,11609,40724586943
alcatel,dfbJT,-118,-119,2024-09-03 19-34-55,40700819354,-471,40701320199
alcatel,WbG,49,-104,2024-09-03 19-32-48,40776687627,20842,40727488635
alcatel,cQPu,44,-102,2024-09-03 19-30-35,40768120972,-7160,40735094167
alcatel,ngq,76,-79,2024-09-03 19-34-42,40785002716,11206,40722046394
alcatel,LSZ,49,-39,2024-09-03 19-32-40,40775342426,18967,40785117020
alcatel,HRwIRm,-47,0,2024-09-03 19-31-28,40732311900,-13324,40748238537
alcatel,wcRyp,-71,-128,2024-09-03 19-33-46,40787606752,15358,40731191827
