src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,TblQ,91,16,2024-09-03 19-39-15,40761101571,-8539,40752089898
alcatel,RkJs,88,119,2024-09-03 19-35-50,40718289671,22623,40753549089
alcatel,gmBC,-124,88,2024-09-03 19-39-35,40786593212,-2574,40719353359
alcatel,IMSU,2,-33,2024-09-03 19-37-46,40710343768,28390,40796941156
alcatel,GxH,24,117,2024-09-03 19-38-22,40779993276,16234,40716911164
alcatel,ZZGU,-31,113,2024-09-03 19-38-17,40782913914,-21579,40750691779
alcatel,zXNdi,-13,-4,2024-09-03 19-39-44,40785905257,-685,40748143578
alcatel,xPX,67,0,2024-09-03 19-39-10,40734465566,3053,40729704049
alcatel,SSW,-82,34,2024-09-03 19-35-40,40786477107,22604,40781871418
alcatel,gIq,-103,38,2024-09-03 19-36-18,40765740059,4633,40714334323
alcatel,tkSg,-115,-100,2024-09-03 19-36-40,40706154782,24847,40743710773
alcatel,oyEaBj,-97,-72,2024-09-03 19-35-38,40792397327,32109,40786145516
alcatel,bNtdh,-97,-63,2024-09-03 19-35-11,40765951961,28168,40722807140
alcatel,qvWovF,113,-43,2024-09-03 19-36-13,40743033422,29997,40727292918
alcatel,zjMEJN,95,-127,2024-09-03 19-35-28,40758697703,-2473,40721166743
alcatel,AAzxV,-9,-76,2024-09-03 19-37-15,40785837815,-24430,40783080893
alcatel,VHWj,-71,32,2024-09-03 19-38-24,40744008397,-30540,40769721471
alcatel,bGr,-99,-59,2024-09-03 19-37-49,40726928469,18541,40736651223
alcatel,xQyS,48,17,2024-09-03 19-37-22,40722305699,-21989,40758954692
alcatel,ZNWRQt,-34,-112,2024-09-03 19-35-27,40743111056,-8353,40745551855
alcatel,rnc,8,22,2024-09-03 19-35-22,40762718813,13631,40702186079
alcatel,EUuBi,-16,-104,2024-09-03 19-39-32,40761024762,26807,40778606342
alcatel,OXYUjy,65,109,2024-09-03 19-35-16,40796690221,25003,40780158630
alcatel,qqVrSI,-99,-46,2024-09-03 19-39-23,40741079504,-2563,40736016750
alcatel,pvg,-109,72,2024-09-03 19-39-34,40764387185,-32682,40753965029
alcatel,XiA,49,-26,2024-09-03 19-36-29,40773944396,20487,40767176055
alcatel,lHxn,102,57,2024-09-03 19-35-58,40714189739,23692,40784605662
alcatel,Nvin,-4,-113,2024-09-03 19-35-40,40749378559,-19988,40745460652
alcatel,rYOF,58,-97,2024-09-03 19-35-08,40734609902,24072,40795484456
alcatel,tveah,122,-88,2024-09-03 19-37-54,40736003699,4523,40744977528
alcatel,DuQSm,-10,-72,2024-09-03 19-36-55,40718832063,-12958,40716862521
alcatel,BdpT,-77,-54,2024-09-03 19-36-07,40780370184,25373,40725339759
alcatel,mkMGx,53,73,2024-09-03 19-35-44,40723554523,27016,40700457230
alcatel,FWC,-98,-63,2024-09-03 19-37-42,40790007663,-24480,40729580932
alcatel,HCr,24,-24,2024-09-03 19-37-18,40708958546,27279,40744602091
alcatel,fNVe,82,-77,2024-09-03 19-36-14,40716275698,29467,40778701528
alcatel,hRw,-71,36,2024-09-03 19-39-25,40700386575,29194,40795245664
alcatel,CpZo,8,98,2024-09-03 19-35-40,40714780015,20803,40799829204
alcatel,frwsVP,-121,-18,2024-09-03 19-38-15,40777745149,9291,40794479009
alcatel,ZiFBF,50,-81,2024-09-03 19-38-21,40788626670,-14917,40736376994
alcatel,ZLMUpE,48,-19,2024-09-03 19-39-53,40792290162,32053,40754159681
alcatel,iEFJQ,-81,14,2024-09-03 19-38-13,40734437759,8986,40748028158
alcatel,BUL,-95,-85,2024-09-03 19-38-50,40775632950,15682,40733073517
alcatel,sNnGV,-109,-79,2024-09-03 19-36-19,40770378112,14544,40761304466
alcatel,Xihr,9,-118,2024-09-03 19-35-48,40702801594,-11629,40703052476
alcatel,MBCA,-32,-23,2024-09-03 19-37-31,40705623459,5386,40709026870
alcatel,CYqwn,-111,-43,2024-09-03 19-35-23,40756545832,-19387,40731403509
alcatel,MqDOg,73,-50,2024-09-03 19-37-42,40762514940,20711,40755776410
alcatel,SBe,-127,-90,2024-09-03 19-35-03,40774674792,3972,40771231935
alcatel,BQOyyd,-22,33,2024-09-03 19-35-09,40782331062,-10622,40747749391
alcatel,ueC,69,-74,2024-09-03 19-35-49,40737913987,13535,40779437968
alcatel,CKmvTi,-6,112,2024-09-03 19-37-18,40720034323,30722,40741152519
alcatel,fRG,-111,32,2024-09-03 19-35-57,40795777041,-16808,40708162330
alcatel,tVupa,-109,-62,2024-09-03 19-35-39,40792724172,-26255,40766721494
alcatel,rPwB,-117,13,2024-09-03 19-39-53,40733060492,492,40713456574
alcatel,gDpzuf,25,-91,2024-09-03 19-37-42,40795316379,-8017,40720023150
alcatel,uKzcF,-97,-69,2024-09-03 19-37-34,40743276213,9321,40749860985
alcatel,dvSYo,-4,-97,2024-09-03 19-36-27,40772450344,-15572,40759109540
alcatel,jbyY,-93,-42,2024-09-03 19-39-46,40766048134,21980,40725119910
alcatel,oVrW,-55,-26,2024-09-03 19-37-44,40777977568,-19625,40712425820
alcatel,xUcjy,82,56,2024-09-03 19-36-17,40786939157,21254,40771855031
alcatel,OUCj,-15,94,2024-09-03 19-39-36,40768252126,-3438,40704175954
alcatel,MCNXcb,119,74,2024-09-03 19-36-52,40723291683,17511,40774158484
alcatel,FRdVUg,-100,60,2024-09-03 19-37-22,40730334404,1042,40742616472
alcatel,mwOj,123,104,2024-09-03 19-38-08,40770979714,-22930,40754075200
alcatel,pVlNbk,81,-70,2024-09-03 19-35-31,40712352609,28277,40755123421
alcatel,pcQAf,89,-1,2024-09-03 19-36-33,40796115433,24457,40704932829
alcatel,xXsOdQ,-117,20,2024-09-03 19-39-35,40756277301,30106,40738047345
alcatel,yEv,-16,-9,2024-09-03 19-37-30,40720152358,6080,40747510376
alcatel,Rwulj,-28,103,2024-09-03 19-39-05,40708147559,-9552,40747666696
alcatel,oPXdEP,67,118,2024-09-03 19-35-37,40755925402,29570,40745916689
alcatel,BAK,-24,105,2024-09-03 19-36-45,40798859101,31407,40701050315
alcatel,QMe,-85,70,2024-09-03 19-35-11,40761540820,13004,40705544788
alcatel,xMDLN,55,46,2024-09-03 19-36-48,40756192250,21372,40756302981
alcatel,WgohV,-46,41,2024-09-03 19-37-38,40713653613,-12101,40718075678
alcatel,ysIC,-52,-112,2024-09-03 19-37-52,40706557500,-19369,40703461433
alcatel,sgzfQG,11,-51,2024-09-03 19-36-32,40715274122,5890,40739247616
alcatel,AroZp,110,-15,2024-09-03 19-35-54,40789708091,-19605,40760514302
