src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,vjfO,33,30,2024-09-03 19-42-03,40711521744,28209,40796596575
alcatel,NWc,77,-48,2024-09-03 19-41-41,40755955485,-30206,40794629328
alcatel,kCg,-8,81,2024-09-03 19-42-23,40709258887,27885,40741072992
alcatel,xMhrKY,-120,30,2024-09-03 19-43-03,40769950995,-10575,40751318029
alcatel,uSSeh,-30,60,2024-09-03 19-43-09,40726084649,13503,40703760390
alcatel,Pvwf,-88,58,2024-09-03 19-43-06,40700106021,-9747,40710496366
alcatel,banAg,74,61,2024-09-03 19-42-32,40748099963,32471,40784789039
alcatel,ncYNE,75,66,2024-09-03 19-43-38,40703940114,-11272,40736552118
alcatel,skb,-14,19,2024-09-03 19-42-24,40799457632,-26884,40717390621
alcatel,SmloWS,67,-105,2024-09-03 19-41-53,40765571472,13318,40748867086
alcatel,ZHuAbY,-87,3,2024-09-03 19-42-12,40771767440,-1416,40749982673
alcatel,bjnMxq,-58,-121,2024-09-03 19-41-29,40701582944,2085,40763263524
alcatel,SRqoo,-13,-99,2024-09-03 19-44-48,40773963710,-31738,40764477218
alcatel,oFusfJ,88,13,2024-09-03 19-40-27,40703877563,4648,40722847572
alcatel,SWJ,-5,-39,2024-09-03 19-43-37,40769752282,27924,40781731756
alcatel,fNEnHv,119,-95,2024-09-03 19-40-27,40747582985,18094,40731962254
alcatel,gPK,-39,-1,2024-09-03 19-42-16,40723479671,1454,40774113524
alcatel,Pqqp,-16,-2,2024-09-03 19-41-13,40734601716,-4310,40788041715
alcatel,iBpDKC,-92,23,2024-09-03 19-44-27,40756559451,9515,40759258200
alcatel,xAs,-71,-72,2024-09-03 19-40-11,40710429247,-12289,40749823071
alcatel,wyl,126,123,2024-09-03 19-42-10,40703131439,-27432,40762459121
alcatel,MUzaj,32,12,2024-09-03 19-40-02,40765201827,-5889,40749972068
alcatel,vIkv,-36,-119,2024-09-03 19-44-30,40773824652,-2484,40755564285
alcatel,Enuh,-76,-13,2024-09-03 19-40-47,40768795931,-20634,40791446601
alcatel,bZoKV,102,-74,2024-09-03 19-43-35,40733094921,23769,40762180884
alcatel,ItP,82,-74,2024-09-03 19-44-07,40757557320,21781,40767579242
alcatel,GMad,-46,62,2024-09-03 19-44-38,40796506747,-32765,40797684222
alcatel,Ipy,14,63,2024-09-03 19-44-06,40720641239,11036,40708085732
alcatel,IskgHQ,93,69,2024-09-03 19-41-01,40785158679,-1648,40790445866
alcatel,BFz,-81,127,2024-09-03 19-44-46,40717580185,2450,40739912934
alcatel,KcNcPt,-95,85,2024-09-03 19-42-07,40728135515,15716,40700751017
alcatel,lCAVGc,112,-106,2024-09-03 19-43-14,40773388634,-2740,40705290217
alcatel,hsVyeO,0,-52,2024-09-03 19-44-48,40779733760,-12021,40713944950
alcatel,WXXsX,71,108,2024-09-03 19-44-42,40740645315,-28912,40794232972
alcatel,crdzz,-12,88,2024-09-03 19-43-29,40795697077,-29310,40714200504
alcatel,rNK,42,117,2024-09-03 19-42-46,40746781627,31465,40708492879
alcatel,QoWEK,42,26,2024-09-03 19-41-16,40799383431,-13725,40743180523
alcatel,YKF,54,105,2024-09-03 19-44-41,40789001261,-25207,40735201343
alcatel,ZBpu,-5,-77,2024-09-03 19-41-07,40739002176,-21031,40788352611
alcatel,CtO,-54,-60,2024-09-03 19-40-39,40777284107,-12650,40709599527
alcatel,MzIYj,-94,93,2024-09-03 19-41-59,40774611913,-1219,40795989603
alcatel,IsnZsW,-113,-3,2024-09-03 19-40-43,40787155077,4956,40751802657
alcatel,KgbZH,-47,66,2024-09-03 19-43-39,40762125121,18169,40770401504
alcatel,wGg,16,112,2024-09-03 19-41-15,40769902884,-12075,40746088684
alcatel,oZb,-71,71,2024-09-03 19-41-35,40775186389,-16928,40756871681
alcatel,oRiBZO,17,29,2024-09-03 19-44-21,40786259832,5819,40799275564
alcatel,FFNRLk,110,-66,2024-09-03 19-41-27,40790687536,29313,40785485909
alcatel,Yfky,-94,31,2024-09-03 19-40-46,40723240079,12118,40744832368
alcatel,JecI,-68,-16,2024-09-03 19-42-00,40798726926,21290,40751590865
alcatel,MrGnq,107,-115,2024-09-03 19-40-47,40716634783,-30413,40761496191
alcatel,jEymaW,-106,9,2024-09-03 19-40-13,40757380766,15155,40785113952
alcatel,WkYHs,-77,-67,2024-09-03 19-43-40,40746463524,16772,40724737875
alcatel,pnUR,-42,5,2024-09-03 19-43-37,40709297763,-1422,40748527975
alcatel,RteJ,-81,-4,2024-09-03 19-40-01,40781468761,17903,40739185508
alcatel,sFG,23,-99,2024-09-03 19-43-22,40743857095,-8970,40721295220
alcatel,dKe,-76,67,2024-09-03 19-43-31,40765219947,-24505,40767678954
alcatel,xjuQpe,-39,-10,2024-09-03 19-42-56,40708786056,-5087,40753735004
alcatel,WTL,75,22,2024-09-03 19-40-47,40732386428,26099,40728985451
alcatel,RnlXOP,127,-70,2024-09-03 19-42-30,40701815519,-14589,40741847227
alcatel,Tme,-64,-91,2024-09-03 19-42-17,40704338040,14343,40708015474
alcatel,xnfZnc,-88,-27,2024-09-03 19-40-03,40700801998,-18089,40736513168
alcatel,DRh,-82,-19,2024-09-03 19-42-01,40729192335,2547,40731769875
alcatel,fhBre,84,43,2024-09-03 19-40-07,40793751581,-4333,40718535406
alcatel,gHiMVu,-30,-116,2024-09-03 19-44-16,40735425336,18293,40717618054
alcatel,bRZL,-33,48,2024-09-03 19-42-28,40747874676,11920,40771756672
alcatel,yvmDtW,3,83,2024-09-03 19-44-10,40752378496,-20735,40782407210
alcatel,mEvBXD,-48,-4,2024-09-03 19-44-43,40748722569,15630,40728473839
alcatel,xjHu,48,-7,2024-09-03 19-41-23,40769020907,17319,40727596711
alcatel,aQL,23,72,2024-09-03 19-40-47,40723106215,19953,40728768903
alcatel,CDZDlf,81,114,2024-09-03 19-44-24,40744769084,-15682,40723286559
alcatel,tUxV,85,-43,2024-09-03 19-40-23,40791967976,19699,40710255104
