src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,Snv,121,-74,2024-09-03 19-57-52,40714269747,3990,40790641196
alcatel,gqijpw,100,-99,2024-09-03 19-57-42,40715506856,-6239,40753527376
alcatel,NRBt,-20,-18,2024-09-03 19-59-40,40799549508,-20353,40788209787
alcatel,VUmtR,-110,-66,2024-09-03 19-55-07,40737687868,5682,40774613502
alcatel,xqUOx,-104,42,2024-09-03 19-58-28,40770192859,-23930,40723897402
alcatel,dzk,-90,10,2024-09-03 19-56-30,40788756132,-7394,40704170706
alcatel,ltehHx,114,-64,2024-09-03 19-55-53,40734870849,-9479,40733997893
alcatel,QzwWH,-104,13,2024-09-03 19-58-49,40704590779,-28990,40730412750
alcatel,Qsw,-30,97,2024-09-03 19-57-41,40794593900,11444,40786479010
alcatel,FDJ,82,-45,2024-09-03 19-55-17,40787430841,-7676,40711832763
alcatel,yFaEJY,-65,34,2024-09-03 19-59-27,40732242423,15617,40727877200
alcatel,zVxim,-26,50,2024-09-03 19-56-25,40781449494,17946,40787724859
alcatel,OEQM,-73,-94,2024-09-03 19-57-42,40711573474,-9546,40710921028
alcatel,PFAGZ,-83,101,2024-09-03 19-58-10,40743003635,-348,40716626609
alcatel,zmv,-57,-60,2024-09-03 19-55-47,40765731769,-26017,40747091388
alcatel,KbMPPT,-47,-29,2024-09-03 19-57-26,40710589283,-26461,40726051051
alcatel,tuxk,76,-71,2024-09-03 19-56-20,40755097959,1053,40751950750
alcatel,WdRcW,104,-125,2024-09-03 19-56-34,40725565409,-14641,40790370599
alcatel,kGzReE,10,42,2024-09-03 19-56-02,40731737226,27108,40762418000
alcatel,siBSVv,-95,-47,2024-09-03 19-57-26,40795905248,23586,40755503296
alcatel,rEO,59,52,2024-09-03 19-56-43,40722137632,23986,40780854070
alcatel,FVu,99,-104,2024-09-03 19-59-43,40759125850,-757,40714735315
alcatel,lhqVE,-85,-6,2024-09-03 19-56-32,40725309087,-9956,40739413147
alcatel,kRecND,-67,4,2024-09-03 19-58-49,40743518909,13096,40776690891
alcatel,tysLdt,-60,-97,2024-09-03 19-57-53,40740415826,-4069,40754644265
alcatel,dYa,10,-93,2024-09-03 19-56-21,40770581425,-6710,40725154938
alcatel,xFIr,36,-6,2024-09-03 19-55-02,40778240951,14471,40765432573
alcatel,REbn,-86,-117,2024-09-03 19-55-58,40725178434,18220,40767058315
alcatel,bUr,-85,47,2024-09-03 19-55-58,40716359381,27528,40703001175
alcatel,GZYKb,62,68,2024-09-03 19-55-28,40732774664,-18101,40778849580
alcatel,cdWurk,-45,101,2024-09-03 19-59-34,40718650317,7370,40768822178
alcatel,RqH,96,-68,2024-09-03 19-57-01,40751362278,-31114,40783625722
alcatel,MWDGBb,106,93,2024-09-03 19-55-06,40794483466,-7633,40724463765
alcatel,THcu,51,-128,2024-09-03 19-55-42,40756461912,-1114,40734293925
alcatel,qsii,-46,-1,2024-09-03 19-56-18,40731527552,23543,40752739683
alcatel,YSvu,112,-106,2024-09-03 19-57-49,40734716000,22627,40794011024
alcatel,ErBm,12,-74,2024-09-03 19-58-22,40747336675,-10552,40785126204
alcatel,qkrR,-31,-16,2024-09-03 19-56-21,40785382763,24561,40707093277
alcatel,ITR,-128,84,2024-09-03 19-57-47,40723037127,31774,40749001628
alcatel,EPgzJQ,-19,15,2024-09-03 19-55-08,40774905606,-18248,40764255772
alcatel,NZCL,21,-121,2024-09-03 19-58-54,40703883019,-3578,40724770495
