src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,ZlluYH,39,-76,2024-09-03 20-17-15,40712879197,13512,40767680914
alcatel,rXq,106,-79,2024-09-03 20-19-04,40781104826,27528,40773885478
alcatel,PKRop,84,-119,2024-09-03 20-19-05,40731171573,4822,40722812027
alcatel,GOli,5,114,2024-09-03 20-16-38,40770821151,-23314,40759936589
alcatel,bLbcd,36,48,2024-09-03 20-17-29,40780842928,1392,40767899181
alcatel,Opr,-82,112,2024-09-03 20-17-13,40707606022,-21979,40791393863
alcatel,JoH,33,97,2024-09-03 20-16-38,40796483249,-7382,40701438499
alcatel,EpBMz,-17,20,2024-09-03 20-17-30,40750691160,14152,40725231872
alcatel,WikByK,36,-41,2024-09-03 20-17-02,40799881169,16582,40777699612
alcatel,MMEWE,-72,-21,2024-09-03 20-15-19,40782887655,-7297,40717982602
alcatel,LJsOfa,21,-99,2024-09-03 20-17-57,40714478441,-2805,40757903084
alcatel,HRk,55,-78,2024-09-03 20-16-54,40730204984,15721,40773512822
alcatel,DLuo,109,-109,2024-09-03 20-15-31,40747408002,14653,40753357791
alcatel,dXcgzF,-61,-3,2024-09-03 20-19-49,40772777115,32588,40794612977
alcatel,apgd,81,107,2024-09-03 20-18-50,40703795941,-30040,40753047551
alcatel,LyUIX,61,-45,2024-09-03 20-16-07,40759718116,-20476,40752181586
alcatel,rrJIzV,-88,66,2024-09-03 20-15-27,40705533392,10724,40709969585
alcatel,KYrHz,-85,-33,2024-09-03 20-15-46,40741819851,-3085,40753829448
alcatel,FrR,100,-110,2024-09-03 20-15-33,40763475308,-21054,40763026834
alcatel,nbK,-31,3,2024-09-03 20-19-52,40719508340,25239,40706431367
alcatel,AsX,-115,-57,2024-09-03 20-15-37,40724620591,-30223,40704186619
alcatel,xiF,-95,-125,2024-09-03 20-17-48,40724676453,29946,40707773054
alcatel,xViP,-29,83,2024-09-03 20-15-31,40777608629,15438,40727585462
alcatel,PpAmqe,-74,65,2024-09-03 20-19-56,40774455714,26833,40744578229
alcatel,Rwd,110,-117,2024-09-03 20-18-44,40794561766,12433,40785521523
alcatel,EoY,-82,40,2024-09-03 20-16-19,40706884811,31260,40707922183
alcatel,cbqH,120,63,2024-09-03 20-15-22,40774496540,30211,40706183326
alcatel,mbqf,-42,17,2024-09-03 20-15-27,40709559456,-11870,40783662635
alcatel,UpcTE,-34,-86,2024-09-03 20-15-18,40793332990,-4837,40790542676
alcatel,GAj,70,-63,2024-09-03 20-18-32,40763608416,-12706,40770688549
alcatel,qvoX,-82,-71,2024-09-03 20-19-45,40710598641,24860,40764943721
