src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,xAX,-22,-122,2024-09-03 20-37-58,40739180439,-18248,40774046226
alcatel,CLj,-81,-50,2024-09-03 20-36-14,40790224699,-7550,40740019578
alcatel,zQeibP,21,8,2024-09-03 20-36-50,40717882907,4706,40726976652
alcatel,Jkc,80,117,2024-09-03 20-35-11,40724340097,13256,40728989601
alcatel,XVK,-110,77,2024-09-03 20-36-50,40765947566,-30381,40709796720
alcatel,gsrN,-5,77,2024-09-03 20-35-01,40767314083,-10454,40791360392
alcatel,eAd,123,-113,2024-09-03 20-39-43,40788438364,-28275,40705199980
alcatel,SkNRc,-90,58,2024-09-03 20-39-10,40708590017,7485,40709919543
alcatel,KTNm,59,-48,2024-09-03 20-39-28,40739015559,-23059,40772711508
alcatel,Dbdvtc,89,90,2024-09-03 20-35-46,40786025126,-8130,40778095951
alcatel,grRP,-7,61,2024-09-03 20-36-01,40721182064,-28139,40752753497
alcatel,kUCWGz,7,-93,2024-09-03 20-39-51,40753190271,-11640,40708831816
alcatel,Tbnbw,-26,71,2024-09-03 20-35-45,40763692802,3231,40792873509
alcatel,PWW,-21,-23,2024-09-03 20-35-17,40707628021,26513,40774976244
alcatel,AyNxJ,-84,57,2024-09-03 20-35-55,40792937847,-32345,40740744160
alcatel,hPWHU,42,38,2024-09-03 20-37-55,40752253315,1872,40766892189
alcatel,roVhts,-107,-84,2024-09-03 20-39-46,40741177373,24060,40757303832
alcatel,oMPuNw,48,-85,2024-09-03 20-36-17,40799123065,3378,40760510951
alcatel,dvzfX,-110,78,2024-09-03 20-37-11,40709889118,-27039,40732877773
alcatel,qklQO,98,108,2024-09-03 20-37-13,40715477089,24826,40731198124
alcatel,cnYuhX,14,9,2024-09-03 20-37-16,40722114517,21417,40757545018
alcatel,Vtc,-120,-64,2024-09-03 20-38-28,40762540025,25714,40770344244
alcatel,NZtP,-114,79,2024-09-03 20-36-19,40738018160,-3040,40712424017
alcatel,Oxp,-8,95,2024-09-03 20-35-37,40736140302,-32107,40797824206
alcatel,jTLblk,119,124,2024-09-03 20-39-37,40764262645,-2017,40703388659
alcatel,VsI,-120,-6,2024-09-03 20-36-48,40773010959,-16197,40700316385
alcatel,qAjs,81,11,2024-09-03 20-36-50,40788993699,-8108,40759712171
alcatel,Tnro,72,57,2024-09-03 20-38-27,40711320174,-17017,40740357315
