src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,qSESy,12,59,2024-09-03 20-42-54,40709771022,-2237,40707650138
alcatel,kmC,-95,-15,2024-09-03 20-42-04,40748507935,-7203,40754334119
alcatel,Ghh,94,-5,2024-09-03 20-44-23,40777354171,430,40783933382
alcatel,lPbTMR,35,69,2024-09-03 20-43-40,40715160994,32355,40789820527
alcatel,KMprsi,28,-123,2024-09-03 20-42-27,40788884425,32632,40700827359
alcatel,XYGe,8,-107,2024-09-03 20-43-07,40723321428,13890,40789697083
alcatel,jOLgX,8,88,2024-09-03 20-44-59,40779527226,25702,40755599828
alcatel,zOL,74,-44,2024-09-03 20-41-21,40747186493,-25168,40767856555
alcatel,usAgVZ,90,32,2024-09-03 20-45-00,40747713627,13095,40791973349
alcatel,FRPjC,-44,-41,2024-09-03 20-41-05,40727129899,1632,40733510606
alcatel,hwB,92,71,2024-09-03 20-44-37,40704035114,-9609,40722974164
alcatel,RQq,124,79,2024-09-03 20-44-50,40781784683,11065,40713053432
alcatel,SoFi,109,39,2024-09-03 20-43-40,40724557632,26478,40744840600
alcatel,EEaNdK,-78,-69,2024-09-03 20-41-46,40779519157,8796,40774617892
alcatel,fZdWHp,-27,106,2024-09-03 20-44-19,40785315062,1615,40775337230
alcatel,lgL,39,-112,2024-09-03 20-40-29,40718000512,8211,40700472488
alcatel,BWMKcW,-61,9,2024-09-03 20-40-46,40719582256,-30525,40706664261
alcatel,PVzh,-1,123,2024-09-03 20-41-48,40715047746,-290,40753384940
alcatel,hmUs,48,51,2024-09-03 20-43-02,40704775262,-11912,40744506530
alcatel,VkoXXC,-71,90,2024-09-03 20-40-29,40736599838,-16371,40795786977
alcatel,xdVDEF,-119,58,2024-09-03 20-40-23,40711953058,10310,40791662045
alcatel,GXM,54,-42,2024-09-03 20-41-08,40727883311,27272,40719836451
alcatel,PooBTs,-114,-90,2024-09-03 20-43-03,40727329137,14612,40743592966
alcatel,vZrnne,104,90,2024-09-03 20-40-40,40777633903,6258,40762269731
alcatel,LLEENj,26,-89,2024-09-03 20-41-27,40740316898,14549,40788776936
alcatel,QnpVx,-101,8,2024-09-03 20-43-01,40772194083,-10322,40741857394
alcatel,YopRTR,64,-108,2024-09-03 20-41-27,40748095395,-10750,40793882651
alcatel,FqFJQ,-66,-77,2024-09-03 20-42-51,40747284554,-6650,40714985330
alcatel,IvHYz,-41,-105,2024-09-03 20-44-22,40782195807,-2144,40723563456
alcatel,ufZIUC,127,-6,2024-09-03 20-41-25,40729190087,3380,40783129135
alcatel,vBP,-45,-21,2024-09-03 20-44-51,40743733461,-802,40750588999
alcatel,AfwENR,15,80,2024-09-03 20-40-52,40732059747,-12458,40748384946
alcatel,bUTII,60,-23,2024-09-03 20-44-00,40716732558,-9660,40758139538
alcatel,tBaxp,-96,-46,2024-09-03 20-40-17,40733483281,-11393,40779224859
alcatel,wqaL,-121,69,2024-09-03 20-41-18,40714104704,-13974,40758655939
alcatel,lKEj,28,-71,2024-09-03 20-42-31,40712024595,-7867,40750160255
alcatel,RfBeG,-58,-105,2024-09-03 20-41-41,40721086735,-7174,40783768448
alcatel,nuot,-102,-9,2024-09-03 20-42-05,40798738150,-20148,40729287297
alcatel,rbf,-126,110,2024-09-03 20-43-45,40748322067,-11528,40732178657
alcatel,yrth,95,-127,2024-09-03 20-41-10,40780493032,-5813,40784997829
alcatel,voGvq,118,9,2024-09-03 20-43-53,40749934496,26810,40792140327
alcatel,ZZnvZ,-77,-105,2024-09-03 20-43-26,40766627143,21675,40768129170
alcatel,FedpnJ,-58,120,2024-09-03 20-44-58,40787194903,5229,40738477744
alcatel,aicPU,115,-72,2024-09-03 20-41-49,40783630956,26945,40760678529
alcatel,nZKt,77,45,2024-09-03 20-42-41,40734046861,-8635,40738599969
alcatel,PrY,-99,-121,2024-09-03 20-40-22,40712943274,30919,40747071433
alcatel,lgJUq,-123,62,2024-09-03 20-40-54,40784322382,15172,40757862685
alcatel,vDD,42,99,2024-09-03 20-40-42,40733798350,28749,40753365596
alcatel,kjRRbb,-45,-102,2024-09-03 20-44-41,40724610949,14432,40780306967
alcatel,MDY,38,-16,2024-09-03 20-43-09,40768471418,-1890,40767216494
alcatel,UkH,-12,-10,2024-09-03 20-40-02,40790068259,-21962,40776345399
alcatel,WyIXRS,-51,7,2024-09-03 20-43-05,40765716291,765,40780993848
alcatel,dPn,8,-97,2024-09-03 20-44-30,40724536700,-29434,40791765854
alcatel,MGxmK,46,105,2024-09-03 20-40-44,40702271460,-24597,40764515170
alcatel,lOoHC,-61,-63,2024-09-03 20-40-06,40709395457,10973,40784097837
alcatel,QsiQSB,-43,-5,2024-09-03 20-42-44,40717738013,13258,40787068740
alcatel,ObYlB,-3,-114,2024-09-03 20-41-09,40720629035,-26662,40748232290
alcatel,Bira,46,-127,2024-09-03 20-42-30,40761089820,-23459,40754054123
alcatel,rHOW,6,10,2024-09-03 20-40-19,40750707958,29015,40755194784
alcatel,djLW,62,-28,2024-09-03 20-40-53,40735688949,-15773,40798093749
alcatel,YsE,59,84,2024-09-03 20-42-43,40722776438,-7113,40775809601
alcatel,lKejZ,-102,-88,2024-09-03 20-44-19,40726593756,24897,40706295080
alcatel,DppijD,94,101,2024-09-03 20-43-27,40768656962,7652,40799520013
alcatel,WWBlz,47,-68,2024-09-03 20-41-58,40773304655,-5391,40778129988
alcatel,QjMe,52,28,2024-09-03 20-41-11,40727705118,2898,40786059359
alcatel,LGMIl,84,-111,2024-09-03 20-43-22,40721769925,-27704,40727296225
alcatel,Ufgjt,-59,-62,2024-09-03 20-40-24,40784059592,-1695,40743001055
alcatel,WvXE,-14,-74,2024-09-03 20-41-55,40772264855,-31022,40719026952
alcatel,uRUI,-12,60,2024-09-03 20-41-25,40753345984,25037,40754370408
alcatel,XhLN,-27,-122,2024-09-03 20-43-06,40751836892,-24563,40793744453
alcatel,VNnmsD,16,64,2024-09-03 20-43-15,40751570537,16045,40795141933
alcatel,EpR,-126,-55,2024-09-03 20-44-59,40791150992,29513,40744597417
alcatel,ixAEvE,-120,-76,2024-09-03 20-43-42,40752852138,10069,40752495131
alcatel,EsY,95,37,2024-09-03 20-43-20,40714039964,17721,40719350045
alcatel,WCTT,-1,61,2024-09-03 20-43-50,40745194348,-1397,40795813826
alcatel,iDPl,-66,65,2024-09-03 20-41-31,40765195915,7076,40764876107
alcatel,tuTSh,87,-42,2024-09-03 20-43-00,40768494037,-19039,40781512271
alcatel,iYBSG,64,31,2024-09-03 20-40-36,40734807732,9542,40758104335
alcatel,gHdX,24,15,2024-09-03 20-43-26,40741480862,26363,40703107879
alcatel,akUMt,48,52,2024-09-03 20-42-02,40754848005,-8114,40743183526
alcatel,iVDkdu,97,-46,2024-09-03 20-44-01,40754845058,-4890,40789300438
alcatel,mgQ,-82,-121,2024-09-03 20-42-05,40760367433,23357,40731310857
alcatel,pXfNn,-125,-39,2024-09-03 20-40-43,40755261032,21256,40747882455
alcatel,WdHH,80,-60,2024-09-03 20-41-16,40780829731,-13999,40770579433
alcatel,iQCUER,-8,-23,2024-09-03 20-40-33,40745758148,7209,40737264337
alcatel,ytTC,-105,20,2024-09-03 20-44-17,40715676819,-10963,40743892016
alcatel,pdT,-7,12,2024-09-03 20-42-12,40703094601,5307,40770000145
alcatel,JwF,-29,-7,2024-09-03 20-44-59,40798171755,-25322,40751211124
alcatel,XYF,-86,-51,2024-09-03 20-42-27,40726836192,3414,40785189849
alcatel,UUtTv,-85,-57,2024-09-03 20-40-24,40791988789,-6717,40724993161
alcatel,qyNO,-28,112,2024-09-03 20-43-17,40761257084,29295,40761157619
alcatel,ZJV,97,-23,2024-09-03 20-43-13,40767495294,-8037,40756171222
alcatel,ZPERp,119,-5,2024-09-03 20-44-53,40743079831,-23028,40727635326
alcatel,lzlFa,56,-128,2024-09-03 20-43-17,40737251840,23213,40784095685
alcatel,CLLR,-45,58,2024-09-03 20-44-32,40775667945,-9310,40703646558
alcatel,pTiJF,1,81,2024-09-03 20-43-35,40760686265,16729,40734925378
alcatel,Xad,101,30,2024-09-03 20-44-55,40723554902,-8548,40771775793
alcatel,ufmH,85,-13,2024-09-03 20-43-04,40766881394,-11842,40723636283
alcatel,HuQe,3,77,2024-09-03 20-44-15,40743443408,-5381,40786248536
alcatel,OlDj,-60,0,2024-09-03 20-40-24,40703712953,-25886,40703516257
alcatel,jHsXal,-47,-32,2024-09-03 20-42-40,40768370774,-7346,40712610983
alcatel,FhiGV,66,32,2024-09-03 20-44-33,40740378880,-10001,40799499911
alcatel,nrhoY,-96,114,2024-09-03 20-40-46,40770273152,-11645,40750798488
alcatel,egPu,-56,82,2024-09-03 20-40-06,40741831229,26154,40769206121
alcatel,dbb,-47,-32,2024-09-03 20-42-08,40772010852,-13981,40750387872
alcatel,oQIIU,104,-16,2024-09-03 20-41-00,40722739484,24652,40746049489
alcatel,ewaXAV,100,42,2024-09-03 20-40-19,40761432553,24882,40719332848
alcatel,ZouaHn,123,-39,2024-09-03 20-42-42,40761365147,-966,40735276386
