src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,sipH,-70,91,2024-09-03 20-54-28,40739335572,16331,40783435597
alcatel,LNe,125,-55,2024-09-03 20-50-38,40791070289,4414,40735504076
alcatel,KoW,-88,115,2024-09-03 20-53-11,40784774343,16462,40752791965
alcatel,SRC,13,-47,2024-09-03 20-54-26,40770893201,17570,40744491865
alcatel,gfA,-106,19,2024-09-03 20-51-31,40727585701,-30746,40701279662
alcatel,BEt,109,103,2024-09-03 20-54-43,40756459116,27230,40782685047
alcatel,seaAZZ,-79,94,2024-09-03 20-50-04,40796592756,-30150,40788096805
alcatel,qVbm,-87,21,2024-09-03 20-50-38,40726010995,25607,40707124122
alcatel,pwAsd,-5,-76,2024-09-03 20-50-53,40775830294,1407,40705322584
alcatel,uGLfL,-122,-78,2024-09-03 20-51-30,40758334183,-803,40771189149
alcatel,EagtW,123,-108,2024-09-03 20-53-03,40724422785,-30536,40788785530
alcatel,LNE,63,-60,2024-09-03 20-54-17,40769726399,-21425,40782218493
alcatel,ihxcp,1,-95,2024-09-03 20-53-28,40793007740,-22237,40740443207
alcatel,kqofee,-56,-38,2024-09-03 20-51-07,40740680342,-13077,40788294362
alcatel,yggPk,-18,114,2024-09-03 20-51-44,40744718110,21714,40712083267
alcatel,nFes,93,-115,2024-09-03 20-51-17,40736829213,-13710,40774055908
alcatel,fMWnp,-76,-103,2024-09-03 20-51-29,40758613139,-1186,40719215781
alcatel,FfQRG,40,48,2024-09-03 20-52-50,40770150904,-6310,40779854518
alcatel,beu,38,32,2024-09-03 20-54-36,40729167505,-16753,40763030811
alcatel,wEmj,-49,47,2024-09-03 20-52-43,40754468886,-24774,40756134033
alcatel,jtWM,8,-77,2024-09-03 20-52-21,40758390092,1635,40729748953
alcatel,DpnAN,12,-65,2024-09-03 20-54-56,40761634051,4951,40710856104
alcatel,SKjOZ,-119,-108,2024-09-03 20-50-48,40784227082,17258,40783952188
alcatel,PArZj,-65,-53,2024-09-03 20-54-49,40755684677,-14696,40773579205
alcatel,ISR,72,109,2024-09-03 20-50-19,40785679659,-19581,40744489255
alcatel,QZR,122,-39,2024-09-03 20-54-41,40720605277,-17574,40798094189
alcatel,Mfd,87,21,2024-09-03 20-50-05,40702959550,-15109,40732243692
alcatel,uTUNhf,-72,-29,2024-09-03 20-54-32,40737882606,19323,40715180103
alcatel,lgW,-29,115,2024-09-03 20-53-39,40732864797,12755,40788074634
alcatel,Phn,-53,-118,2024-09-03 20-52-36,40732514575,17548,40782737309
alcatel,WEdJqu,27,-92,2024-09-03 20-50-57,40783748565,23357,40785095097
alcatel,tOmOum,-51,-17,2024-09-03 20-53-35,40764859795,-2774,40704374162
alcatel,cBgi,94,-63,2024-09-03 20-54-38,40737028944,-9385,40780121120
alcatel,ZimUh,-19,-59,2024-09-03 20-54-42,40765967465,14549,40798907223
alcatel,GnKXV,-123,-53,2024-09-03 20-51-55,40746984327,-19743,40711179093
alcatel,Uzn,-41,-19,2024-09-03 20-53-26,40764507535,-22022,40744518722
alcatel,VNee,-125,57,2024-09-03 20-51-09,40746148831,-18588,40783464812
alcatel,xeVHJe,-15,57,2024-09-03 20-50-07,40720446217,30020,40788447638
alcatel,afKAma,60,-22,2024-09-03 20-52-37,40755737815,-4224,40758732137
alcatel,YjidBh,-16,55,2024-09-03 20-54-51,40712213180,25458,40716116541
alcatel,xju,56,24,2024-09-03 20-52-49,40706417967,26524,40777615420
alcatel,yDtJPf,-92,54,2024-09-03 20-51-33,40749100861,-5249,40753065430
alcatel,FYBEG,-31,-70,2024-09-03 20-51-46,40704445677,-7613,40760294841
alcatel,bmDNP,122,58,2024-09-03 20-51-22,40720915250,-3413,40795515797
alcatel,XrjoQf,-16,87,2024-09-03 20-50-14,40744417589,-21257,40725961708
alcatel,hSCaYe,99,44,2024-09-03 20-53-54,40740972075,21604,40743627574
alcatel,jWY,-15,-110,2024-09-03 20-51-14,40785124470,8814,40714752235
alcatel,OaWMQJ,119,-49,2024-09-03 20-54-55,40752073211,32492,40779497155
alcatel,bRDcy,106,10,2024-09-03 20-52-16,40797184330,5661,40784988887
alcatel,HEu,77,78,2024-09-03 20-50-27,40720575846,-22122,40775566650
alcatel,OgP,3,74,2024-09-03 20-50-33,40725631622,-135,40764692814
alcatel,GTYbQ,-128,35,2024-09-03 20-50-15,40787655628,25463,40773902430
