src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,xWUyg,17,40,2024-09-03 20-57-31,40708708830,-18689,40700764504
alcatel,NBCIs,-50,126,2024-09-03 20-56-33,40704580949,13085,40766130032
alcatel,icAuA,18,-83,2024-09-03 20-58-08,40733288980,-22524,40779655292
alcatel,jCW,15,122,2024-09-03 20-56-54,40795330337,-30247,40730892642
alcatel,DEGSY,-81,52,2024-09-03 20-59-20,40762556948,-5010,40767681290
alcatel,pMEZ,-38,76,2024-09-03 20-58-38,40767184136,-26642,40749535165
alcatel,rwqPnE,62,84,2024-09-03 20-56-00,40742590921,1501,40754865586
alcatel,WupKGb,28,-18,2024-09-03 20-56-32,40751097398,27548,40771415470
alcatel,qIbe,119,42,2024-09-03 20-59-42,40738092051,-25266,40741129505
alcatel,BZpT,-103,83,2024-09-03 20-59-19,40739770726,20133,40776260322
alcatel,LCgoEG,101,48,2024-09-03 20-59-46,40768507948,10405,40759229853
alcatel,ReDVz,-47,16,2024-09-03 20-57-07,40714145986,-3929,40781874005
alcatel,bJTO,97,-98,2024-09-03 20-57-47,40753377905,-12666,40760293599
alcatel,pNLTtK,86,-100,2024-09-03 20-58-50,40782474749,10449,40757688272
alcatel,ZFgWk,16,-114,2024-09-03 20-57-52,40705389721,12992,40738390100
alcatel,SuWroc,15,27,2024-09-03 20-59-35,40711339905,-15458,40727813804
alcatel,yapP,-35,40,2024-09-03 20-56-32,40782932122,-20234,40793974447
alcatel,fGYQD,109,-106,2024-09-03 20-59-54,40742166997,-9428,40774847578
alcatel,CYeXnD,-126,-52,2024-09-03 20-57-21,40785064648,10221,40761420352
alcatel,UaS,81,-121,2024-09-03 20-58-34,40784112514,6435,40775923238
alcatel,eOHkts,103,-59,2024-09-03 20-57-49,40753872812,-5200,40756785739
alcatel,HSos,1,78,2024-09-03 20-56-30,40705749214,-27188,40702710639
alcatel,rANC,86,-18,2024-09-03 20-57-24,40735688722,-21759,40713163309
alcatel,iFDsBe,6,-119,2024-09-03 20-59-07,40768745804,-13244,40734237526
alcatel,CnsqT,-33,-30,2024-09-03 20-58-50,40734992643,16415,40759079882
alcatel,mkf,81,-15,2024-09-03 20-57-16,40731026986,-9995,40796820342
alcatel,qlqpaZ,103,5,2024-09-03 20-58-17,40750538617,-5676,40711270171
alcatel,nsSbuH,-52,-15,2024-09-03 20-56-30,40719118708,24949,40745098286
alcatel,rUe,7,-75,2024-09-03 20-55-59,40728325711,-9052,40756808278
alcatel,KSaW,-92,9,2024-09-03 20-57-11,40762293048,23270,40719689428
alcatel,msdErT,109,-93,2024-09-03 20-57-08,40745800796,-9581,40771579714
alcatel,UEsaRB,43,9,2024-09-03 20-55-57,40773624711,-12330,40762179368
alcatel,fQZxpo,-93,-9,2024-09-03 20-58-57,40707219412,-18857,40720047371
alcatel,Iye,-81,-118,2024-09-03 20-55-45,40793449352,-1728,40768417569
alcatel,IoC,-72,22,2024-09-03 20-59-48,40774926610,-22614,40732732953
alcatel,zmecpj,-75,117,2024-09-03 20-58-08,40773394727,-117,40749324012
alcatel,Zny,12,-58,2024-09-03 20-59-55,40722123588,29431,40702154528
alcatel,FdMcK,64,82,2024-09-03 20-55-01,40736223482,-24269,40713778937
alcatel,KUaY,-64,-8,2024-09-03 20-58-32,40763241713,17760,40738719072
alcatel,WJWG,22,106,2024-09-03 20-57-52,40754504021,-21002,40737226863
alcatel,oLX,-100,53,2024-09-03 20-55-25,40712575433,21998,40791323639
alcatel,YhYjJ,-120,-49,2024-09-03 20-55-45,40796096487,9005,40767978054
alcatel,tNqS,-128,23,2024-09-03 20-56-56,40730691448,-31224,40788804847
alcatel,DzZ,107,-114,2024-09-03 20-55-34,40775599900,-37,40727587933
alcatel,VylVr,27,59,2024-09-03 20-59-34,40718375063,-19349,40795968222
alcatel,NSrJ,-64,-66,2024-09-03 20-56-25,40723718001,2582,40751756727
alcatel,Svp,99,-37,2024-09-03 20-57-43,40718211780,-27617,40723223462
alcatel,uKyzBn,-37,-12,2024-09-03 20-58-43,40798445446,7493,40754056245
alcatel,RDCXs,126,-67,2024-09-03 20-58-58,40776023907,957,40770894581
alcatel,WbCl,-7,51,2024-09-03 20-57-57,40793559147,-753,40725819283
alcatel,KisNDD,93,45,2024-09-03 20-59-00,40700198273,-3028,40726410203
alcatel,GNtBEo,-34,108,2024-09-03 20-57-37,40734552956,-23849,40725628226
alcatel,OfZRm,36,55,2024-09-03 20-58-27,40727672480,7232,40777439700
alcatel,qDSeUh,-75,-100,2024-09-03 20-56-43,40742046661,-5959,40707556024
alcatel,FXXz,114,-12,2024-09-03 20-58-09,40756984263,-32010,40722208918
