src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,gtOFJx,-89,-76,2024-09-03 21-16-25,40798033918,13992,40769095986
alcatel,nCxx,-85,-76,2024-09-03 21-19-50,40734187311,28297,40776298955
alcatel,DAxa,110,89,2024-09-03 21-16-56,40792960598,31556,40712062821
alcatel,VOsc,61,95,2024-09-03 21-16-21,40723833448,30172,40736690444
alcatel,mNodU,91,11,2024-09-03 21-17-07,40755539984,8539,40739784467
alcatel,nAjnda,27,-127,2024-09-03 21-18-28,40715430737,-24355,40795706835
alcatel,qlkTq,-23,-36,2024-09-03 21-17-55,40712206460,-1706,40747984745
alcatel,nTas,-19,-5,2024-09-03 21-15-19,40731215091,19170,40742848706
alcatel,MsPOXD,87,113,2024-09-03 21-17-36,40729250206,-2596,40746901669
alcatel,pNVUJa,-24,6,2024-09-03 21-15-26,40755490986,29603,40796530906
alcatel,BHcM,-101,-112,2024-09-03 21-16-26,40714145073,-2184,40734163635
alcatel,rFunS,-122,117,2024-09-03 21-17-22,40740480422,-3271,40742846413
alcatel,XmOLe,-21,34,2024-09-03 21-18-40,40707099684,-8915,40754714156
alcatel,oXYlhX,-16,-101,2024-09-03 21-18-11,40710416670,22987,40779092990
alcatel,sZSSVW,20,-109,2024-09-03 21-15-29,40728328025,12951,40729903376
alcatel,aBHw,-33,-84,2024-09-03 21-19-24,40780576341,-10322,40792353497
alcatel,eBsWc,-95,68,2024-09-03 21-19-45,40706004127,-20329,40797321533
alcatel,pKwn,-102,26,2024-09-03 21-16-04,40706785245,-26453,40796687277
alcatel,WwrlZJ,-72,-75,2024-09-03 21-16-20,40731734688,4274,40708217298
alcatel,gNawmD,108,-103,2024-09-03 21-19-31,40794470991,-17028,40762034081
alcatel,nLLIgr,-120,-112,2024-09-03 21-17-22,40786274002,14918,40727167392
alcatel,mBftpe,-18,-103,2024-09-03 21-16-39,40758106293,29356,40736853037
alcatel,KzdS,-13,64,2024-09-03 21-18-33,40782881426,-31466,40798872206
alcatel,jOsPD,-73,-107,2024-09-03 21-19-19,40711325466,32152,40773235802
alcatel,Ipim,28,97,2024-09-03 21-18-30,40750228233,-8650,40718324271
alcatel,rwNW,18,-110,2024-09-03 21-17-39,40796463834,25077,40770450633
alcatel,JVFQs,86,-72,2024-09-03 21-15-47,40717676968,30318,40713918888
alcatel,PAwbf,101,-23,2024-09-03 21-19-27,40711525672,26859,40788336022
alcatel,MpPb,-45,115,2024-09-03 21-18-18,40781358411,-6380,40776883881
alcatel,Lwxr,69,-4,2024-09-03 21-16-47,40794339623,-19273,40722152264
alcatel,EZnHRu,66,30,2024-09-03 21-19-24,40710434708,17445,40783560981
alcatel,XWoX,-120,53,2024-09-03 21-15-47,40779883425,23509,40757519299
alcatel,gpmnJJ,63,43,2024-09-03 21-15-51,40785038489,31529,40709085451
alcatel,lxvd,-51,75,2024-09-03 21-17-37,40767660239,-16706,40726338740
alcatel,BTZ,-69,-86,2024-09-03 21-19-30,40774253330,-11939,40798228929
alcatel,XUlZE,109,-88,2024-09-03 21-19-06,40778293325,-19870,40746858140
alcatel,vfq,73,35,2024-09-03 21-18-59,40797442077,10408,40709119183
alcatel,vpCilz,-12,-99,2024-09-03 21-16-02,40767915777,-2218,40766294725
alcatel,SUJ,80,-54,2024-09-03 21-18-53,40780554474,20435,40740417009
alcatel,ZopBdx,5,49,2024-09-03 21-17-00,40713736933,-5898,40747352207
alcatel,sHhf,78,-38,2024-09-03 21-15-35,40761810362,-13734,40791177316
alcatel,ZCBqpV,-83,123,2024-09-03 21-19-28,40711295680,30348,40744677787
alcatel,MbFXxp,48,-116,2024-09-03 21-17-52,40782747954,5818,40787164921
alcatel,EGE,34,-41,2024-09-03 21-17-15,40762362000,-29730,40713019112
alcatel,owLx,7,21,2024-09-03 21-17-33,40750490849,-32634,40722467261
alcatel,rfDxl,94,79,2024-09-03 21-15-12,40711886681,19939,40771161725
alcatel,rbnxWV,56,65,2024-09-03 21-16-46,40798291031,-20317,40710861614
alcatel,pDTdH,-18,57,2024-09-03 21-16-18,40778404793,-30653,40752197053
alcatel,tFN,76,-16,2024-09-03 21-15-52,40761892381,11724,40744580547
alcatel,GwTXRN,15,91,2024-09-03 21-15-57,40721690264,31331,40727419873
alcatel,utn,-62,-63,2024-09-03 21-18-58,40778872729,7296,40741269469
alcatel,EGfS,99,-65,2024-09-03 21-19-27,40727781362,11073,40736176644
alcatel,vqjR,94,-59,2024-09-03 21-16-09,40707319026,6091,40708350309
alcatel,CPChMQ,67,-93,2024-09-03 21-19-57,40736995135,-14122,40782508225
alcatel,mYRf,111,61,2024-09-03 21-18-35,40741852892,21423,40731934328
alcatel,KmD,-42,-103,2024-09-03 21-17-26,40779914389,20044,40714086054
alcatel,yeXzU,-4,44,2024-09-03 21-17-49,40724646035,16907,40724401020
alcatel,McMMAL,34,-2,2024-09-03 21-16-18,40749747107,-14688,40757654254
alcatel,kYpWY,-124,-13,2024-09-03 21-18-40,40728361362,445,40761935646
alcatel,PAFvct,103,-7,2024-09-03 21-17-43,40794683803,15005,40794073375
alcatel,TcNOw,28,32,2024-09-03 21-17-23,40794354713,16222,40700970104
alcatel,zRkw,49,-114,2024-09-03 21-18-05,40794491470,-22987,40726373254
alcatel,LCL,48,57,2024-09-03 21-18-53,40741134552,13588,40745954425
alcatel,OiWRZl,-119,48,2024-09-03 21-18-59,40772119627,8808,40787813519
alcatel,TTTRgw,49,-54,2024-09-03 21-18-21,40734883204,-2688,40745309545
alcatel,uQMTx,-124,-45,2024-09-03 21-19-58,40764179454,-9475,40703472799
alcatel,Cnoo,-46,31,2024-09-03 21-15-38,40774243411,-3604,40736150517
alcatel,sIX,76,46,2024-09-03 21-16-45,40728179963,32168,40706179481
alcatel,fNnygx,-65,-68,2024-09-03 21-19-23,40769601426,21235,40782148537
alcatel,ORJbBw,116,101,2024-09-03 21-19-53,40749174431,24833,40797728831
alcatel,sArn,-2,-101,2024-09-03 21-15-09,40705159104,20929,40777381396
alcatel,iKiHF,-102,-88,2024-09-03 21-19-27,40793834593,-5502,40758407951
alcatel,lJF,3,-101,2024-09-03 21-15-04,40731264833,10063,40741117647
alcatel,QlG,-79,-22,2024-09-03 21-18-46,40738709676,-8065,40745420419
alcatel,oaca,81,-56,2024-09-03 21-16-36,40737655917,-10532,40720447160
alcatel,vqekUp,76,46,2024-09-03 21-15-19,40714323689,-2023,40760753203
alcatel,wscPxA,-100,-12,2024-09-03 21-17-16,40778343806,6515,40766739091
alcatel,HJc,-127,-13,2024-09-03 21-19-33,40727522087,-2200,40715169954
alcatel,XBOJ,-45,124,2024-09-03 21-18-55,40746762622,-16220,40756560201
alcatel,FhjkC,12,115,2024-09-03 21-18-31,40738705541,7740,40786635621
alcatel,ucsX,-122,-76,2024-09-03 21-18-43,40777095065,17394,40741790971
alcatel,VOq,-94,91,2024-09-03 21-16-51,40714333283,-12801,40774831429
alcatel,Rua,22,54,2024-09-03 21-18-03,40759079528,7253,40705990793
alcatel,VXcu,111,50,2024-09-03 21-18-17,40705428030,-28327,40730295680
alcatel,lTgml,-63,18,2024-09-03 21-19-55,40720633487,-26377,40730802571
alcatel,gNcTC,85,63,2024-09-03 21-19-12,40763618525,20229,40792634344
alcatel,QTbtv,8,53,2024-09-03 21-17-35,40744507762,27600,40711192511
alcatel,ttZK,77,46,2024-09-03 21-16-59,40718178819,14545,40716497708
alcatel,AHNOCv,96,100,2024-09-03 21-19-56,40749380449,-18949,40782648442
alcatel,kjt,-114,-15,2024-09-03 21-15-09,40738410042,2727,40742825657
alcatel,IlO,-35,-29,2024-09-03 21-18-09,40735893838,18032,40753586215
alcatel,yUWmn,48,-31,2024-09-03 21-16-20,40738793061,18224,40765401739
alcatel,dNHX,43,-78,2024-09-03 21-18-49,40752872360,13695,40785813218
alcatel,tZuN,112,-100,2024-09-03 21-19-00,40753997132,-2535,40765348286
alcatel,DGpMj,-120,62,2024-09-03 21-19-34,40744173895,-27088,40715965942
alcatel,leM,-115,-110,2024-09-03 21-19-25,40762410263,28059,40786288825
alcatel,zVFj,56,103,2024-09-03 21-17-00,40730139259,1060,40760988622
alcatel,DVXAPs,-105,-26,2024-09-03 21-17-41,40777149526,-15406,40749661125
alcatel,Kutb,95,-11,2024-09-03 21-15-30,40788992399,14479,40776358491
alcatel,ROhp,13,84,2024-09-03 21-16-35,40706236510,16170,40717476959
alcatel,MWHCDk,-36,-72,2024-09-03 21-17-49,40717937313,5836,40754569921
alcatel,miN,-82,22,2024-09-03 21-15-53,40757987168,-14176,40709557686
alcatel,wXq,-56,-128,2024-09-03 21-15-24,40730608658,23811,40787511495
alcatel,ESeWpm,34,-109,2024-09-03 21-17-54,40769529574,16695,40769030270
alcatel,FaS,27,66,2024-09-03 21-19-48,40793971483,-20766,40798406454
alcatel,azasH,119,-106,2024-09-03 21-16-34,40733856812,-13589,40720671930
alcatel,gNLd,-2,54,2024-09-03 21-19-40,40704714732,4995,40722576972
alcatel,BAsvMe,-45,72,2024-09-03 21-19-41,40737163451,-2283,40718518005
alcatel,EZSCLK,27,-107,2024-09-03 21-15-26,40707835056,25320,40797168088
alcatel,itLcJ,23,65,2024-09-03 21-19-08,40736636528,-1048,40766685379
alcatel,uDDPa,7,39,2024-09-03 21-16-48,40710219680,12830,40740940028
alcatel,PJYk,-52,-83,2024-09-03 21-15-31,40789250692,-11227,40725713591
alcatel,TpmK,75,86,2024-09-03 21-15-27,40740378208,32740,40743723903
alcatel,fnwUVm,-76,-97,2024-09-03 21-18-56,40751070254,21310,40700277971
alcatel,idRbhy,110,-3,2024-09-03 21-18-27,40789240007,3195,40796613776
alcatel,xoTz,105,-58,2024-09-03 21-19-03,40717877659,-26468,40750983307
alcatel,FwT,-79,-65,2024-09-03 21-19-21,40797311872,19524,40753345346
alcatel,YKkIdf,-39,30,2024-09-03 21-15-18,40779431699,-22012,40707417034
alcatel,ceOA,-98,-105,2024-09-03 21-19-03,40746656348,-7918,40768676195
alcatel,iJmxWZ,-74,75,2024-09-03 21-19-59,40746523486,-18594,40793838893
alcatel,feih,-106,-43,2024-09-03 21-17-10,40758126521,-13013,40754961168
alcatel,xgkOk,-22,73,2024-09-03 21-15-44,40724236915,-30144,40760372159
alcatel,tWudO,15,-101,2024-09-03 21-18-32,40717257625,-28773,40729435054
alcatel,YKvI,88,61,2024-09-03 21-18-45,40729365578,2034,40715728090
alcatel,IpNnZx,-39,61,2024-09-03 21-16-26,40712509512,-4361,40757119602
alcatel,TeMHv,68,126,2024-09-03 21-15-22,40796097468,27262,40764265608
alcatel,xFP,-45,44,2024-09-03 21-15-36,40754100578,28182,40784954130
alcatel,gPQ,72,13,2024-09-03 21-16-48,40755747547,-15583,40719756787
alcatel,EgKz,-72,-9,2024-09-03 21-17-47,40738840531,-9583,40738378163
alcatel,xJPY,93,44,2024-09-03 21-19-11,40778870344,28610,40746333376
alcatel,LIn,74,-26,2024-09-03 21-19-54,40762093419,-7129,40715036342
alcatel,qHy,12,54,2024-09-03 21-19-29,40701552113,-4156,40761597804
alcatel,QdXWwa,-22,-71,2024-09-03 21-16-32,40727825468,12903,40738436343
alcatel,lEdsc,107,-61,2024-09-03 21-17-03,40787784149,-8324,40791521998
alcatel,eopKIy,83,53,2024-09-03 21-19-57,40794682107,19218,40789721811
alcatel,SCgVkl,3,-89,2024-09-03 21-15-05,40756959401,-32724,40704903962
alcatel,gfE,-99,105,2024-09-03 21-16-17,40756473129,3975,40764887606
alcatel,lJOz,-54,-116,2024-09-03 21-19-44,40758025003,-28043,40775653159
alcatel,shdfrt,-43,-68,2024-09-03 21-19-18,40761529694,-23921,40725027577
alcatel,flJ,-25,56,2024-09-03 21-16-30,40775118730,26479,40700256891
alcatel,cNQWnd,42,-104,2024-09-03 21-19-00,40712759237,-5193,40758990638
alcatel,Fdkj,-104,45,2024-09-03 21-15-17,40744980532,29675,40756188840
alcatel,rbBp,-97,-82,2024-09-03 21-18-52,40770883578,-4755,40720683039
alcatel,yLb,-103,19,2024-09-03 21-19-05,40717415211,26244,40778752528
alcatel,xkMKL,109,-107,2024-09-03 21-17-01,40758158916,5679,40775475050
alcatel,XjpNZ,109,82,2024-09-03 21-17-46,40755517679,-1898,40769772646
alcatel,KLfn,-79,104,2024-09-03 21-18-01,40786010324,-24609,40770445830
alcatel,ued,-90,95,2024-09-03 21-19-32,40729299869,8018,40731571523
alcatel,rckXb,-83,-64,2024-09-03 21-19-54,40787298522,-9603,40727501246
alcatel,buJ,88,64,2024-09-03 21-17-21,40786286337,-18380,40742917535
alcatel,hTk,-47,-59,2024-09-03 21-16-14,40704995751,13106,40731457530
alcatel,AhJng,-123,-109,2024-09-03 21-16-58,40744597710,19027,40774798858
alcatel,ZZty,-47,-119,2024-09-03 21-16-29,40760705467,-31266,40723533122
