src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,bgoDRF,73,94,2024-09-03 21-22-26,40770541040,-331,40787971429
alcatel,Sfih,-93,45,2024-09-03 21-22-21,40726414741,24640,40766142291
alcatel,sgmVDx,-18,69,2024-09-03 21-21-56,40790026552,15102,40774070574
alcatel,bvsdVa,-78,26,2024-09-03 21-22-58,40724078522,10842,40748163608
alcatel,Psf,108,79,2024-09-03 21-21-13,40722266948,25048,40766865190
alcatel,JaxwR,-120,-5,2024-09-03 21-21-00,40706597316,960,40700808213
alcatel,Oqepx,-73,-94,2024-09-03 21-24-12,40714315309,-25486,40722868333
alcatel,TqC,100,-47,2024-09-03 21-21-32,40768768293,-25725,40750553455
alcatel,mWIBr,-45,76,2024-09-03 21-22-09,40770694548,-14060,40789698510
alcatel,fLAAPn,-56,-20,2024-09-03 21-22-03,40764397457,-2830,40728454596
alcatel,qxmk,-39,125,2024-09-03 21-24-50,40707138223,-20022,40738135702
alcatel,anLo,39,25,2024-09-03 21-24-34,40784203385,-27860,40770307719
alcatel,awIHgZ,62,66,2024-09-03 21-20-12,40710378089,5587,40702068953
alcatel,COpo,-25,111,2024-09-03 21-20-16,40723539282,-32696,40759981099
alcatel,kDg,-119,-75,2024-09-03 21-20-08,40729576288,-15877,40705652196
alcatel,bngp,78,53,2024-09-03 21-21-15,40793771957,5195,40747482160
alcatel,sfe,51,-57,2024-09-03 21-21-22,40707348069,31061,40754603899
alcatel,WDrtJ,-19,-84,2024-09-03 21-24-02,40729808323,3442,40784040274
alcatel,CWh,-93,-70,2024-09-03 21-20-18,40799215838,-20222,40748559218
alcatel,dFqUNh,2,-105,2024-09-03 21-24-57,40734586929,-27777,40720665293
alcatel,RRU,-84,52,2024-09-03 21-20-06,40747202765,19290,40708070348
alcatel,GzW,62,-64,2024-09-03 21-24-08,40712597982,8534,40756856714
alcatel,rRuIoi,20,47,2024-09-03 21-23-37,40705447107,-5230,40711936798
alcatel,DxRU,42,-64,2024-09-03 21-23-58,40726171249,8436,40710686808
alcatel,gHQA,61,-102,2024-09-03 21-22-44,40736828431,7894,40746338102
