src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,HEPf,-113,3,2024-09-03 21-28-58,40769293293,30924,40712637811
alcatel,OIzEVV,46,38,2024-09-03 21-29-48,40785190331,20003,40735190464
alcatel,tstgpu,-1,39,2024-09-03 21-27-13,40767944796,-1646,40747875113
alcatel,pKXk,44,-46,2024-09-03 21-27-08,40749836573,7919,40741485140
alcatel,Bnu,100,-57,2024-09-03 21-27-25,40770322973,-11497,40712059106
alcatel,zUCXX,-36,-105,2024-09-03 21-28-58,40764875185,23929,40735495192
alcatel,pPB,127,-56,2024-09-03 21-26-17,40740300577,-5160,40719596908
alcatel,MdsTMb,-43,-31,2024-09-03 21-27-20,40724910997,3795,40768418879
alcatel,xRIn,-94,-15,2024-09-03 21-29-59,40729478262,-22513,40713098709
alcatel,bEgJ,-60,-20,2024-09-03 21-27-30,40744569615,31588,40759094646
alcatel,rGG,-11,104,2024-09-03 21-30-00,40707341034,29354,40713133907
alcatel,NmlxT,47,106,2024-09-03 21-29-16,40774322163,10883,40743628663
alcatel,hmqf,48,50,2024-09-03 21-30-01,40712317067,24607,40765349271
alcatel,RbBb,95,-102,2024-09-03 21-26-19,40791850389,13381,40716273629
alcatel,iBfJi,32,35,2024-09-03 21-25-18,40714468360,-12054,40760148592
alcatel,UWf,107,-110,2024-09-03 21-28-02,40753640412,15174,40772206487
alcatel,dMz,82,-57,2024-09-03 21-28-28,40729891683,-5195,40744413488
alcatel,MCOZ,44,-80,2024-09-03 21-29-39,40747179799,20831,40703837248
alcatel,McNPD,84,28,2024-09-03 21-27-01,40765796185,-24418,40769649537
alcatel,BXpQf,-56,-120,2024-09-03 21-29-15,40786754704,22721,40708538381
alcatel,aFT,103,21,2024-09-03 21-27-16,40776454158,-32322,40794224643
alcatel,MQNdE,-60,-116,2024-09-03 21-27-31,40726813684,-7890,40775398300
alcatel,nupqKN,-58,109,2024-09-03 21-28-52,40768846436,18841,40734582402
alcatel,ZryAq,-84,-113,2024-09-03 21-27-55,40739773362,-10990,40735581534
alcatel,pEW,29,126,2024-09-03 21-25-37,40776862593,-7752,40725714689
alcatel,uPdt,105,-2,2024-09-03 21-25-43,40780015049,3095,40747351173
alcatel,BegRI,34,12,2024-09-03 21-27-32,40715394109,26426,40749608523
alcatel,Nrb,-101,-32,2024-09-03 21-28-37,40702354769,633,40780473846
alcatel,tykfhK,-113,26,2024-09-03 21-25-41,40720914674,-125,40764217570
alcatel,SWSydi,48,-9,2024-09-03 21-29-52,40721283767,10727,40702323970
alcatel,lHNShl,94,121,2024-09-03 21-25-03,40733436581,-11146,40742640801
alcatel,VOrM,-105,-70,2024-09-03 21-26-49,40753446022,-30034,40749069532
alcatel,akl,-90,-99,2024-09-03 21-28-56,40746694014,-17793,40784802247
alcatel,rXpU,-34,35,2024-09-03 21-25-48,40727897904,-27082,40749838112
alcatel,eHxc,-128,93,2024-09-03 21-29-01,40769665614,-25132,40742727361
alcatel,rJn,7,-80,2024-09-03 21-26-41,40725966749,-19054,40779102114
alcatel,iFaB,107,40,2024-09-03 21-27-01,40758104134,29625,40715233805
alcatel,hfg,53,-38,2024-09-03 21-27-26,40774571693,9665,40772490602
