src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,vAM,-103,-121,2024-09-03 21-52-05,40781009477,3511,40714755738
alcatel,nJdoD,-91,108,2024-09-03 21-54-30,40789809825,1515,40736195475
alcatel,mFwb,-14,-112,2024-09-03 21-51-44,40727723286,7984,40755206070
alcatel,nKCb,-113,-93,2024-09-03 21-53-32,40702124416,-8505,40794546098
alcatel,AYt,11,95,2024-09-03 21-54-12,40790351563,13461,40723767839
alcatel,FOMk,36,36,2024-09-03 21-52-19,40743452186,15361,40726610609
alcatel,itsC,-81,44,2024-09-03 21-51-37,40781892531,32574,40729107589
alcatel,rbhiWD,107,-118,2024-09-03 21-52-56,40777597523,6274,40763548109
alcatel,dTcaY,-38,70,2024-09-03 21-54-23,40704847315,25514,40797129779
alcatel,vvZvj,-86,-89,2024-09-03 21-51-24,40733347079,10833,40765985042
alcatel,cuwF,125,-4,2024-09-03 21-54-43,40733923386,-9150,40704139596
alcatel,JdZd,-98,-118,2024-09-03 21-50-10,40722187846,27294,40723910170
alcatel,vWr,79,-14,2024-09-03 21-54-44,40790603719,-301,40768667217
alcatel,tzZzy,101,107,2024-09-03 21-53-45,40713150270,-983,40778320475
alcatel,IwB,99,-90,2024-09-03 21-53-40,40780686862,-9922,40747989458
alcatel,mLwZ,64,-84,2024-09-03 21-50-04,40704006764,-28648,40731375136
alcatel,QWXYw,66,88,2024-09-03 21-51-39,40739986613,3838,40747402494
alcatel,pMgg,-68,81,2024-09-03 21-51-59,40779711048,-16801,40708556976
alcatel,HntAR,-88,-102,2024-09-03 21-50-39,40716881922,26652,40723715206
alcatel,pWu,88,-12,2024-09-03 21-51-32,40719442949,-22000,40756748999
alcatel,eql,37,-89,2024-09-03 21-54-55,40701478541,-2053,40715038807
alcatel,CWdi,-8,110,2024-09-03 21-53-30,40746364284,-20439,40736192444
alcatel,Jdve,13,-127,2024-09-03 21-51-13,40786904529,16086,40715106177
alcatel,PRdsEk,-128,-66,2024-09-03 21-54-03,40760316888,-7138,40767235429
alcatel,qoC,-100,110,2024-09-03 21-54-09,40743697565,13646,40739909310
alcatel,GlQFqY,27,-10,2024-09-03 21-53-01,40714400905,7887,40762462215
alcatel,zTtNOD,21,-126,2024-09-03 21-51-52,40790177741,28654,40717819938
alcatel,nLXujC,75,-97,2024-09-03 21-50-48,40726952367,2564,40728824614
alcatel,izXK,-122,54,2024-09-03 21-54-01,40774577332,-28447,40725341939
alcatel,QirlV,54,-83,2024-09-03 21-50-18,40711015247,-1383,40728845139
alcatel,RERf,24,28,2024-09-03 21-50-43,40736714407,9482,40766425334
alcatel,oevs,-96,-12,2024-09-03 21-50-34,40722081963,19390,40716073753
alcatel,esVQc,-10,-105,2024-09-03 21-50-38,40766020562,21135,40781370349
alcatel,mRcPyV,50,-25,2024-09-03 21-50-01,40747080557,16347,40778289598
alcatel,fUKlG,8,-33,2024-09-03 21-54-32,40763026466,-32690,40770238462
alcatel,CnHVE,-29,-4,2024-09-03 21-53-22,40719126453,-27591,40785683473
alcatel,oSlF,23,-34,2024-09-03 21-54-36,40797536016,-20044,40752236350
alcatel,zSDvNl,-21,18,2024-09-03 21-54-44,40739965252,22974,40701837612
alcatel,pGNYB,93,37,2024-09-03 21-51-03,40765168922,-29092,40750423119
alcatel,DUtUwJ,6,-87,2024-09-03 21-54-13,40777843677,25215,40722804260
alcatel,jVrZ,-12,-17,2024-09-03 21-53-26,40710180838,11874,40710287748
alcatel,ceWHkQ,-93,-4,2024-09-03 21-50-44,40773151577,30726,40736863956
alcatel,lHn,-94,-77,2024-09-03 21-53-00,40729159265,9134,40752158192
alcatel,hZXwc,-33,65,2024-09-03 21-52-16,40746391814,-8359,40742637842
