src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,nFX,-38,-76,2024-09-03 22-04-02,40739484272,-27965,40715471741
alcatel,gdaNQS,-33,-90,2024-09-03 22-01-59,40777986927,-32549,40766074055
alcatel,tFh,-69,34,2024-09-03 22-04-28,40746828085,-7954,40754180556
alcatel,rjwAS,43,-6,2024-09-03 22-03-46,40709350348,24246,40791757140
alcatel,EqiG,-82,21,2024-09-03 22-04-10,40779862428,-22274,40702169335
alcatel,wpfv,57,-59,2024-09-03 22-01-52,40719955018,-4555,40773561437
alcatel,KpB,-89,-4,2024-09-03 22-01-28,40794211407,-21779,40768106164
alcatel,HuBIrN,-88,4,2024-09-03 22-03-33,40746494191,-10362,40790247790
alcatel,mCN,-40,-111,2024-09-03 22-00-22,40777751115,11217,40715199078
alcatel,bhkcq,106,116,2024-09-03 22-02-57,40766641357,5192,40758900896
alcatel,vjw,104,-29,2024-09-03 22-00-28,40709116177,28673,40758927468
alcatel,pLARj,63,-110,2024-09-03 22-01-49,40757844333,-18368,40733366294
alcatel,IbTz,80,15,2024-09-03 22-00-25,40792718333,10574,40796558114
alcatel,nixcn,61,124,2024-09-03 22-00-54,40725962602,-7736,40746772274
alcatel,lhilW,97,98,2024-09-03 22-00-37,40773075988,21681,40730317190
alcatel,RpY,117,-40,2024-09-03 22-02-53,40793814523,-26777,40780943437
alcatel,QlKGmH,97,-13,2024-09-03 22-02-17,40781738752,1289,40740001812
alcatel,EMFvMZ,-53,-64,2024-09-03 22-01-46,40721907466,27776,40786751597
alcatel,AObhOm,19,43,2024-09-03 22-02-45,40705754866,19920,40798681713
alcatel,HykUtP,-15,38,2024-09-03 22-04-41,40727929978,-7719,40733617610
alcatel,fLClF,-64,114,2024-09-03 22-03-06,40736103582,-24155,40750490988
alcatel,qvhfm,-65,127,2024-09-03 22-03-41,40724560028,-4765,40753949157
alcatel,hSMTw,-24,127,2024-09-03 22-03-24,40727832557,-10102,40770255851
alcatel,wbIkh,-26,66,2024-09-03 22-02-28,40768063094,-12418,40724729532
alcatel,ipGZk,88,-100,2024-09-03 22-02-08,40789297379,15085,40740271798
alcatel,HfFUR,15,-104,2024-09-03 22-01-40,40781387458,-9872,40774774894
alcatel,kai,66,26,2024-09-03 22-04-03,40715684178,-2342,40786126076
alcatel,PRtMB,113,-85,2024-09-03 22-01-24,40719686577,14957,40718169559
alcatel,guXb,37,-73,2024-09-03 22-04-24,40799920079,-30020,40776184403
alcatel,KqfKU,-57,-13,2024-09-03 22-03-04,40735335783,22397,40722848445
alcatel,fXdqkN,110,-5,2024-09-03 22-03-55,40741296129,28066,40723690026
alcatel,zBYY,-44,-43,2024-09-03 22-03-13,40786223798,-13885,40765224556
alcatel,BAdAof,119,93,2024-09-03 22-01-37,40760835705,17247,40759331009
alcatel,OlihJ,19,-32,2024-09-03 22-01-19,40718569505,-4949,40706151759
alcatel,zWejv,-24,4,2024-09-03 22-01-53,40743888873,-8718,40772865441
alcatel,raPGZ,-119,46,2024-09-03 22-00-13,40743667353,20531,40757265529
alcatel,qXrWb,120,-86,2024-09-03 22-03-57,40720673756,-10405,40799266268
alcatel,IlXm,-41,28,2024-09-03 22-04-14,40737447674,23832,40726802135
alcatel,BLjiZL,-127,119,2024-09-03 22-04-56,40769828069,-22896,40753655314
alcatel,PWN,116,-59,2024-09-03 22-05-00,40742533621,20125,40775811472
alcatel,mtl,116,-91,2024-09-03 22-01-03,40702022849,-1728,40728043595
