src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,rKxp,24,107,2024-09-03 22-05-23,40701032401,20318,40782474266
alcatel,mqDRL,-79,-3,2024-09-03 22-05-12,40755280603,-17332,40720621665
alcatel,jxKrp,60,-90,2024-09-03 22-06-25,40762624236,-11689,40732625589
alcatel,fpaoU,59,-96,2024-09-03 22-09-41,40714768908,-7561,40768802642
alcatel,zcYsNm,-15,99,2024-09-03 22-05-03,40763310946,18577,40728947479
alcatel,eLp,-80,-80,2024-09-03 22-05-44,40788881512,3625,40794339789
alcatel,CzBj,55,114,2024-09-03 22-06-10,40743252609,29575,40748130325
alcatel,HayV,23,-16,2024-09-03 22-07-22,40753407093,24445,40788591399
alcatel,AnkRNs,62,-14,2024-09-03 22-08-59,40799102854,21226,40707226524
alcatel,woWdE,109,122,2024-09-03 22-05-15,40784910718,28918,40772704921
alcatel,Bljv,16,-88,2024-09-03 22-09-19,40787958587,-25029,40798768086
alcatel,HppsMF,-114,-45,2024-09-03 22-08-55,40702023604,11308,40753097460
alcatel,eAnU,116,-98,2024-09-03 22-09-46,40795885334,-9426,40797857448
alcatel,gTpBmJ,28,16,2024-09-03 22-09-27,40726978566,32155,40771752260
alcatel,agGXDB,-79,120,2024-09-03 22-05-04,40796715574,16941,40781625180
alcatel,DiL,63,-51,2024-09-03 22-08-41,40705664369,-13400,40739941419
alcatel,BPW,65,-15,2024-09-03 22-10-00,40707148732,5615,40792186443
alcatel,sUUPS,1,41,2024-09-03 22-07-08,40707628114,-30937,40797614559
alcatel,SWT,-8,-104,2024-09-03 22-09-55,40785553153,21587,40781570953
alcatel,LDYb,-53,46,2024-09-03 22-07-55,40796969366,-22789,40754717177
alcatel,rleYWj,-89,-94,2024-09-03 22-06-28,40708659410,-16849,40778042120
alcatel,NmnA,-69,97,2024-09-03 22-08-24,40778711856,-6926,40744598903
alcatel,URfLR,-96,-77,2024-09-03 22-05-17,40766834355,-2287,40733103736
alcatel,qHw,-60,-21,2024-09-03 22-07-25,40741177968,-13939,40773479302
alcatel,KZRqB,-123,86,2024-09-03 22-07-07,40789751176,10840,40759071184
alcatel,sMgB,55,115,2024-09-03 22-07-32,40768505879,-13538,40784678045
alcatel,qqBM,-96,76,2024-09-03 22-06-29,40756164744,-15850,40738111513
alcatel,rSjZ,8,-37,2024-09-03 22-05-12,40737152192,23592,40746365677
alcatel,wDgLNv,-108,-41,2024-09-03 22-06-02,40705286384,24545,40716469435
alcatel,AyIPy,22,-98,2024-09-03 22-09-28,40761794770,-4528,40785140079
alcatel,bbSCp,11,-17,2024-09-03 22-07-46,40738680652,11330,40794424857
alcatel,noUISK,95,-66,2024-09-03 22-07-00,40796567876,-29888,40762039504
alcatel,OixkE,17,1,2024-09-03 22-05-37,40767409008,30536,40716194631
alcatel,uFIuBr,-104,-86,2024-09-03 22-05-55,40707614827,16902,40705263189
alcatel,VnRBp,-95,25,2024-09-03 22-07-29,40764910047,-18456,40763866854
alcatel,Fkzwwt,-85,-122,2024-09-03 22-07-37,40728353518,-30814,40737548797
alcatel,NJA,34,-108,2024-09-03 22-05-13,40784438447,-20270,40732510640
alcatel,Fqjif,75,91,2024-09-03 22-05-57,40789553454,-14032,40768594229
alcatel,sxtx,126,18,2024-09-03 22-09-23,40749028972,-1855,40779183450
alcatel,ZQRoB,119,85,2024-09-03 22-07-48,40744862336,18942,40725627850
alcatel,jQiAs,35,-83,2024-09-03 22-07-37,40778030061,5870,40754211597
alcatel,soZDfW,-74,27,2024-09-03 22-08-17,40748467748,22914,40710962838
alcatel,gve,-96,-24,2024-09-03 22-09-38,40760493490,-16886,40776909896
alcatel,KBKU,68,-33,2024-09-03 22-06-20,40710667590,-27645,40724128157
alcatel,ZQDqR,-90,-27,2024-09-03 22-08-02,40744965295,21862,40717007848
alcatel,uBPgN,-123,-121,2024-09-03 22-05-56,40766626611,-10271,40734602219
alcatel,ZmjK,121,96,2024-09-03 22-09-39,40763416029,2799,40722328222
alcatel,Aefag,37,97,2024-09-03 22-08-54,40787483830,-20783,40767298236
alcatel,dzLi,-43,94,2024-09-03 22-08-16,40777347119,-18338,40728194758
alcatel,mmEDf,75,120,2024-09-03 22-05-33,40741560509,-25642,40755427725
