src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,pdPf,-77,-21,2024-09-03 22-14-40,40792338203,-22749,40712868195
alcatel,pwWO,106,-91,2024-09-03 22-10-54,40720869501,14220,40714382063
alcatel,GClpVI,-21,-125,2024-09-03 22-11-34,40702787786,-360,40735937143
alcatel,utJAE,-25,74,2024-09-03 22-12-56,40746820625,25676,40746575284
alcatel,Jggtkn,88,9,2024-09-03 22-13-37,40787323025,1529,40732290526
alcatel,wQbT,4,4,2024-09-03 22-13-29,40745508884,4107,40787836426
alcatel,eWma,-124,92,2024-09-03 22-14-00,40756794009,2013,40730168616
alcatel,YlplZ,-101,100,2024-09-03 22-10-32,40750983931,30409,40718569449
alcatel,iSwIlk,-22,-46,2024-09-03 22-11-35,40721294582,-12464,40785715889
alcatel,tLZ,74,-83,2024-09-03 22-11-16,40742721599,18747,40790253719
alcatel,tHsdm,-75,67,2024-09-03 22-14-39,40776579018,-20188,40747290489
alcatel,RbX,50,-111,2024-09-03 22-11-59,40736432498,25175,40788439900
alcatel,izk,-9,-70,2024-09-03 22-11-17,40777887162,-27100,40788952991
alcatel,uKRQ,-48,-4,2024-09-03 22-13-19,40765179392,-17175,40765228571
alcatel,bTuQ,-88,-115,2024-09-03 22-11-27,40717354021,-18173,40711327816
alcatel,bnuwkt,-18,113,2024-09-03 22-13-57,40708191442,32037,40788575308
alcatel,UFKM,-93,80,2024-09-03 22-12-52,40788059725,-24938,40746823369
alcatel,bPmD,-73,112,2024-09-03 22-10-34,40727447562,-20348,40771987401
alcatel,qoCwh,54,-22,2024-09-03 22-12-42,40708023531,-8814,40705454336
alcatel,tka,48,121,2024-09-03 22-12-24,40743594571,10620,40747517767
alcatel,YgXuDz,31,-70,2024-09-03 22-12-42,40755858196,3357,40701670567
alcatel,iVmQ,-66,29,2024-09-03 22-10-29,40758705725,-31324,40770422109
alcatel,rtsjc,7,68,2024-09-03 22-14-02,40719584485,-32196,40790545010
alcatel,SYXh,78,83,2024-09-03 22-10-32,40721955247,3761,40776383199
alcatel,tdCSs,75,-66,2024-09-03 22-12-10,40796305955,6466,40733624067
alcatel,ZNnWcG,13,-26,2024-09-03 22-13-53,40788217572,12019,40785844701
alcatel,BxmFrq,85,8,2024-09-03 22-11-12,40719954999,-21118,40733084155
alcatel,cvjDf,125,-54,2024-09-03 22-12-39,40772020261,-7816,40714005346
alcatel,KDWmb,-30,-42,2024-09-03 22-12-28,40748794297,-2984,40788554304
alcatel,LBW,-125,-126,2024-09-03 22-13-39,40759579272,12529,40766636445
alcatel,Dpd,-76,106,2024-09-03 22-13-22,40794382546,19890,40788700478
alcatel,UClMng,-23,-31,2024-09-03 22-13-07,40720475987,-28107,40721122810
alcatel,nmZnCu,125,-22,2024-09-03 22-13-38,40771328751,16661,40752064796
alcatel,PgBxS,-93,-19,2024-09-03 22-11-13,40711400149,9792,40729229238
alcatel,PVNw,-7,20,2024-09-03 22-14-31,40753889192,-22304,40751820447
alcatel,WoK,-33,75,2024-09-03 22-13-19,40770672136,30297,40709045367
alcatel,OMKS,99,78,2024-09-03 22-14-20,40766560226,-376,40705158441
alcatel,ImhH,13,106,2024-09-03 22-10-05,40726950112,1242,40779235875
alcatel,NfxUH,-49,110,2024-09-03 22-10-11,40765737056,3170,40728085391
alcatel,UaaKMZ,-122,89,2024-09-03 22-13-57,40761085530,-801,40735885162
alcatel,gHZoF,30,111,2024-09-03 22-11-52,40745043273,-585,40737781600
alcatel,XwqhZ,-10,30,2024-09-03 22-13-28,40702552083,11483,40777904371
alcatel,MZfs,109,54,2024-09-03 22-12-22,40775829247,3148,40732123493
alcatel,haZf,-127,-8,2024-09-03 22-13-01,40768777556,15715,40763094499
alcatel,KMAA,123,-64,2024-09-03 22-11-31,40751325546,-14541,40716566749
alcatel,lBoXCV,127,127,2024-09-03 22-12-40,40704378199,7834,40739509826
