src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,ijlRK,-115,80,2024-09-03 22-26-27,40701124276,-13105,40792044904
alcatel,rNKN,-48,53,2024-09-03 22-27-53,40700502277,-22620,40766024618
alcatel,bVS,-102,70,2024-09-03 22-26-26,40755631172,28372,40740392692
alcatel,AKJRH,-22,59,2024-09-03 22-25-12,40745627836,10221,40775278284
alcatel,pFDZ,-54,-121,2024-09-03 22-29-27,40786901562,25407,40786895943
alcatel,bhp,121,-56,2024-09-03 22-29-23,40772378969,-7124,40759276364
alcatel,xBnFZv,-35,-90,2024-09-03 22-28-51,40790474266,-28528,40764016313
alcatel,vGWJq,-96,-58,2024-09-03 22-29-04,40753853660,-12998,40769196916
alcatel,KJw,-33,-20,2024-09-03 22-28-18,40784520223,-20679,40785046899
alcatel,ZjydD,-103,119,2024-09-03 22-26-54,40712305830,12171,40775558823
alcatel,YllvWK,29,-126,2024-09-03 22-25-09,40721428786,-10624,40766488021
alcatel,rhH,-86,-125,2024-09-03 22-26-27,40743496807,-2152,40729071890
alcatel,HBCt,-115,-50,2024-09-03 22-29-49,40731278498,9471,40786682604
alcatel,XWpMY,81,-39,2024-09-03 22-29-29,40742351532,13243,40787567327
alcatel,bgCpD,116,52,2024-09-03 22-28-46,40773990027,-1069,40736007662
alcatel,zCGR,-105,-51,2024-09-03 22-25-43,40791070439,-7812,40730393213
alcatel,kNsf,95,-48,2024-09-03 22-29-37,40705713896,23477,40784939349
alcatel,qvwZgw,78,70,2024-09-03 22-27-39,40768640240,16042,40701987884
alcatel,HTH,53,48,2024-09-03 22-27-05,40716563008,-14370,40752730969
alcatel,eDF,-73,12,2024-09-03 22-28-12,40748984275,-30814,40714060617
alcatel,qlHP,-93,5,2024-09-03 22-29-41,40783726944,-24610,40738429557
alcatel,XQBIbV,62,-53,2024-09-03 22-29-57,40733467431,-5669,40708568940
alcatel,RtQm,67,81,2024-09-03 22-25-55,40789409964,9772,40772577980
