src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,XnFMu,-89,95,2024-09-03 22-38-26,40793501523,-21008,40784664187
alcatel,MaUD,40,-12,2024-09-03 22-35-47,40703978318,13678,40708090285
alcatel,XkHCW,-11,88,2024-09-03 22-35-15,40740533076,-28452,40776228827
alcatel,kcJ,13,-42,2024-09-03 22-35-49,40719045116,15369,40710295608
alcatel,VEWCo,22,45,2024-09-03 22-35-04,40787138642,28099,40704329445
alcatel,oAkB,-72,51,2024-09-03 22-36-42,40708625071,16930,40765121766
alcatel,KMM,18,-29,2024-09-03 22-38-37,40791370462,25246,40793725443
alcatel,QVHAup,115,-34,2024-09-03 22-37-40,40739217163,-12715,40764701588
alcatel,btvn,-79,69,2024-09-03 22-35-05,40725884666,26106,40737855817
alcatel,pYxDn,74,113,2024-09-03 22-37-49,40707421314,14070,40762521004
alcatel,fsj,-70,-97,2024-09-03 22-39-35,40733334095,24818,40722444530
alcatel,zdpyAv,-124,-53,2024-09-03 22-39-38,40768187243,-7788,40779678087
alcatel,qFi,59,-24,2024-09-03 22-39-16,40795801078,-3008,40798622672
alcatel,DjgX,-49,-25,2024-09-03 22-38-09,40738329848,1753,40727501029
alcatel,KdPfyC,-32,-13,2024-09-03 22-39-56,40731743054,-781,40781386184
alcatel,nxj,-127,102,2024-09-03 22-38-07,40787456938,-1589,40749983825
alcatel,HSjUL,27,-73,2024-09-03 22-35-10,40715026667,-5933,40754209336
alcatel,ihRY,121,-13,2024-09-03 22-35-44,40738894841,-19248,40781769964
alcatel,ZiUA,21,-62,2024-09-03 22-36-46,40756183692,3542,40707263156
alcatel,fpGsRt,5,-48,2024-09-03 22-38-37,40735398334,-30417,40725014124
alcatel,KeGLR,-30,23,2024-09-03 22-35-55,40782971333,-18416,40783611559
alcatel,SEkvE,56,44,2024-09-03 22-37-22,40713390701,22868,40716877093
alcatel,oChPI,52,99,2024-09-03 22-36-47,40772145917,-8293,40755275750
alcatel,HLtTGs,118,112,2024-09-03 22-36-29,40724960198,-14137,40793554869
alcatel,QqZ,79,-123,2024-09-03 22-35-42,40763915018,-13184,40756191837
alcatel,axvHg,85,-127,2024-09-03 22-39-16,40762779685,14301,40747392949
alcatel,zEKO,-71,-53,2024-09-03 22-37-34,40708276040,18102,40717096340
alcatel,mlz,78,11,2024-09-03 22-35-44,40750351994,14979,40708283015
alcatel,PqZB,12,126,2024-09-03 22-36-24,40747671722,-15469,40741625942
alcatel,Ihntrm,61,44,2024-09-03 22-35-46,40744223902,-26418,40757868345
alcatel,Lpug,-112,45,2024-09-03 22-36-45,40790345451,-13471,40772928110
alcatel,swBCEl,-72,127,2024-09-03 22-37-50,40713081117,-12810,40749782016
alcatel,iluJ,-54,-4,2024-09-03 22-39-08,40755599735,-11275,40724947403
