src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,Oyqp,4,119,2024-09-03 22-43-02,40731864278,-8991,40717003471
alcatel,opl,-94,54,2024-09-03 22-40-58,40701002822,23261,40785725777
alcatel,tUba,-104,54,2024-09-03 22-43-02,40721942461,18600,40768430832
alcatel,HUhHN,55,-50,2024-09-03 22-43-28,40726880671,23692,40707262397
alcatel,dTPnUN,-43,15,2024-09-03 22-40-49,40759127328,21151,40766729740
alcatel,sGemI,36,63,2024-09-03 22-41-31,40732631872,-22263,40753548114
alcatel,CLX,83,-25,2024-09-03 22-43-00,40715175865,-17795,40701171904
alcatel,Tbqd,-5,-1,2024-09-03 22-42-30,40752633793,-775,40798139414
alcatel,Quc,-103,-70,2024-09-03 22-42-13,40728471239,-32340,40781159660
alcatel,UIvTD,-78,3,2024-09-03 22-43-53,40727977111,-32006,40752948381
alcatel,cTY,-124,-7,2024-09-03 22-42-29,40715347464,-29496,40770159382
alcatel,Mue,-65,25,2024-09-03 22-40-31,40761209782,31596,40786485046
alcatel,xhaKYa,-54,-121,2024-09-03 22-43-04,40707218244,-31909,40766342518
alcatel,LWJdb,-26,34,2024-09-03 22-41-20,40763548562,-14689,40728045762
alcatel,fIv,80,79,2024-09-03 22-41-18,40707692167,17613,40794510739
alcatel,nzPiF,112,-71,2024-09-03 22-41-31,40789564898,-10513,40729586589
alcatel,rHT,80,-112,2024-09-03 22-44-21,40731622217,-7121,40705167156
alcatel,ViC,-46,84,2024-09-03 22-42-09,40783326300,26773,40767652040
alcatel,tJx,-45,55,2024-09-03 22-44-31,40733969513,-25388,40747893671
alcatel,OUkZCb,10,-52,2024-09-03 22-40-36,40718600223,8165,40780866368
alcatel,XQF,85,-20,2024-09-03 22-43-39,40796359769,-7335,40757974962
alcatel,rMdA,-12,-7,2024-09-03 22-43-57,40722269067,-9304,40768013358
alcatel,vXYUD,41,55,2024-09-03 22-43-49,40737073935,-864,40722266730
alcatel,rHaALJ,71,69,2024-09-03 22-41-11,40750290743,18055,40715611653
alcatel,UnAZa,-122,-36,2024-09-03 22-43-26,40782865245,25152,40748570136
alcatel,MxuB,91,21,2024-09-03 22-44-58,40782308835,-29107,40795387450
alcatel,UMSolZ,-27,-105,2024-09-03 22-41-33,40795683508,7057,40793250182
alcatel,ZgRhN,45,-61,2024-09-03 22-41-53,40735952090,23631,40795315069
alcatel,NLf,79,-89,2024-09-03 22-42-19,40783650420,-29796,40713502348
alcatel,BvsTs,99,10,2024-09-03 22-42-50,40735553312,26511,40750401266
alcatel,BLl,-122,104,2024-09-03 22-44-56,40773126403,23793,40707155936
alcatel,bDjoF,45,5,2024-09-03 22-42-51,40702611911,-13314,40769514362
alcatel,Dbwf,-51,38,2024-09-03 22-44-30,40772597920,7943,40799860100
alcatel,uXrgb,-49,-109,2024-09-03 22-43-23,40786545555,20166,40705527011
alcatel,dUvzV,-6,36,2024-09-03 22-41-38,40782975242,31676,40789168643
alcatel,IAc,-87,7,2024-09-03 22-42-54,40777847590,29497,40700387671
alcatel,wsn,44,15,2024-09-03 22-40-01,40722694866,4003,40727765926
alcatel,ENik,-21,-55,2024-09-03 22-42-22,40799332643,11505,40748118461
alcatel,eexv,60,9,2024-09-03 22-43-05,40791127055,-22839,40762782774
alcatel,JDWHMV,-125,-21,2024-09-03 22-40-04,40771301543,906,40709493028
