src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,OdEG,72,54,2024-09-03 22-50-25,40760160239,-13290,40734431318
alcatel,xRPrnL,54,-106,2024-09-03 22-53-50,40736799263,29763,40786162097
alcatel,LFjTja,-49,101,2024-09-03 22-51-09,40781917709,20167,40757368307
alcatel,CGozM,118,31,2024-09-03 22-54-08,40760464307,-22397,40747019055
alcatel,GlFBI,-97,84,2024-09-03 22-50-41,40748272995,-25137,40789525142
alcatel,zeyP,-14,-128,2024-09-03 22-52-48,40753025865,-31221,40754492483
alcatel,SXqJ,51,27,2024-09-03 22-53-36,40781055449,-24708,40746912953
alcatel,pbbwR,-61,92,2024-09-03 22-52-29,40738608461,-866,40754871974
alcatel,kOMkec,107,97,2024-09-03 22-51-46,40762518726,-11755,40751029411
alcatel,VrZ,-94,17,2024-09-03 22-53-02,40726003648,-3809,40789667412
alcatel,ieoTp,-17,-8,2024-09-03 22-54-25,40781671780,-16565,40762442639
alcatel,sxpmn,-115,-58,2024-09-03 22-51-34,40728705315,28699,40744038423
alcatel,XFSGa,-5,-37,2024-09-03 22-52-02,40762163058,-17767,40761256521
alcatel,eakLhf,-26,-4,2024-09-03 22-52-34,40752736852,-13031,40774686902
alcatel,hyQk,-63,23,2024-09-03 22-54-10,40751139703,-27631,40701506145
alcatel,EnfHur,-27,60,2024-09-03 22-50-12,40703207887,18741,40700578490
alcatel,LpOkzX,-15,-101,2024-09-03 22-51-02,40766876811,8303,40719664938
alcatel,ZXs,-35,31,2024-09-03 22-52-08,40795291885,26752,40702155628
alcatel,yYCPq,-11,79,2024-09-03 22-54-17,40788248271,15481,40758087075
alcatel,qlKY,82,9,2024-09-03 22-51-39,40716595064,31614,40762585374
alcatel,Jwi,-23,-93,2024-09-03 22-50-34,40734741390,-14209,40755572450
alcatel,KUO,27,-87,2024-09-03 22-51-26,40724589042,30721,40795558245
alcatel,sgTIC,100,7,2024-09-03 22-53-55,40717986019,-4322,40727422075
alcatel,bZQV,-102,20,2024-09-03 22-52-46,40775774305,-10695,40758107720
alcatel,EMg,-82,10,2024-09-03 22-53-09,40730142794,-29984,40700939395
alcatel,CiBpp,21,-57,2024-09-03 22-53-49,40750672630,-5111,40727010916
alcatel,NWSiro,98,-31,2024-09-03 22-51-41,40783026827,-12229,40733552647
alcatel,twDkn,-65,-57,2024-09-03 22-50-31,40797004089,-17848,40724308244
alcatel,IyC,73,-79,2024-09-03 22-53-41,40703367994,-27808,40705175095
alcatel,WyAiVm,122,88,2024-09-03 22-52-45,40756489829,-14960,40734500537
alcatel,qLQJ,74,123,2024-09-03 22-50-13,40774236829,10109,40738035140
alcatel,ZuHOmb,43,20,2024-09-03 22-52-57,40731420710,-4317,40767929519
alcatel,nArzIC,29,-8,2024-09-03 22-54-01,40735786379,-5854,40786308693
alcatel,CHE,33,-9,2024-09-03 22-51-49,40716836373,5986,40723203240
alcatel,ugBB,62,1,2024-09-03 22-54-25,40776102042,2474,40724792259
alcatel,FMA,69,80,2024-09-03 22-53-53,40727588303,28072,40779453662
alcatel,xYWYG,54,8,2024-09-03 22-54-10,40738192918,-26798,40711432851
alcatel,bvjQbe,124,-105,2024-09-03 22-54-32,40735605438,26569,40771205992
alcatel,mhlg,103,122,2024-09-03 22-54-39,40773902027,-30974,40718428680
alcatel,RcLW,72,62,2024-09-03 22-52-28,40711640858,-16674,40711032191
alcatel,hNuna,106,38,2024-09-03 22-54-26,40797194661,21397,40777759074
alcatel,HaY,82,-58,2024-09-03 22-50-35,40762095639,-5135,40734429525
alcatel,Dumw,12,77,2024-09-03 22-50-04,40747659418,-22417,40715908677
alcatel,TkNz,-27,-64,2024-09-03 22-52-46,40776448919,8,40784488154
alcatel,xkCCMC,39,-16,2024-09-03 22-52-15,40790679941,-5940,40763072110
alcatel,YvHEQ,27,-90,2024-09-03 22-51-04,40749335406,25227,40701488733
alcatel,TMA,-57,-15,2024-09-03 22-52-09,40706819439,-11416,40765860281
alcatel,GnuE,-120,64,2024-09-03 22-50-05,40784777421,-26724,40727721577
alcatel,dGTVIg,-13,-42,2024-09-03 22-53-21,40793322358,10326,40721088569
alcatel,GWY,-23,-27,2024-09-03 22-54-41,40740585294,-6629,40775417636
alcatel,CvO,-59,-122,2024-09-03 22-51-11,40769706838,-32524,40722378518
alcatel,sOH,63,-38,2024-09-03 22-50-32,40722458667,-6134,40730396570
alcatel,XLetAw,-77,-102,2024-09-03 22-50-15,40704784312,-17053,40783616635
alcatel,Svr,-111,-111,2024-09-03 22-53-52,40719365278,-1689,40791868854
alcatel,JfImnx,9,53,2024-09-03 22-51-38,40730723979,-32285,40746014334
alcatel,shs,102,44,2024-09-03 22-51-37,40710709853,-6537,40723807094
alcatel,plNgWp,55,42,2024-09-03 22-51-01,40768837140,23766,40794154667
alcatel,mpDUGc,-94,-114,2024-09-03 22-51-47,40783757543,6567,40799867516
alcatel,aNmU,-99,63,2024-09-03 22-53-24,40788123148,24717,40739976849
alcatel,nkT,-64,101,2024-09-03 22-51-46,40762652529,-19890,40735332033
alcatel,HHf,-79,-120,2024-09-03 22-54-14,40773017807,-28638,40715718679
alcatel,wxi,49,113,2024-09-03 22-50-20,40790412204,9541,40716658074
alcatel,kQbF,90,41,2024-09-03 22-50-16,40777613113,-8225,40774714058
alcatel,lmQ,42,72,2024-09-03 22-53-32,40788528662,24229,40771014816
alcatel,OlBRJ,-121,-85,2024-09-03 22-54-34,40721911321,-1751,40771276522
alcatel,XnB,-34,-93,2024-09-03 22-54-42,40766592128,-26606,40777622559
alcatel,Tdl,82,112,2024-09-03 22-50-18,40781861213,494,40770971908
alcatel,FErhS,-99,-62,2024-09-03 22-52-34,40767164136,13101,40726229815
alcatel,DXO,118,107,2024-09-03 22-54-47,40736696457,-2841,40775414531
alcatel,PMFGjk,109,79,2024-09-03 22-53-55,40787203971,-12849,40777466285
alcatel,oUw,-55,97,2024-09-03 22-51-18,40757889480,10145,40743033726
alcatel,ZIgYAR,-23,-29,2024-09-03 22-51-20,40779863541,-13989,40719162537
alcatel,YsXL,86,-94,2024-09-03 22-52-20,40735677520,-24432,40739245937
alcatel,FNtSRH,-1,45,2024-09-03 22-52-45,40757961290,-6513,40775200347
alcatel,Emz,41,87,2024-09-03 22-51-25,40791161674,3029,40738512958
alcatel,PRdom,-56,15,2024-09-03 22-50-53,40742011515,236,40709759217
alcatel,OfOv,4,-123,2024-09-03 22-50-10,40707844458,7490,40749377697
alcatel,bzu,102,99,2024-09-03 22-51-21,40733043128,17860,40738328657
alcatel,QZIXph,59,17,2024-09-03 22-51-28,40766841641,-407,40739771320
alcatel,RXkt,-32,41,2024-09-03 22-54-51,40722743656,-5941,40719520098
alcatel,fQlBeM,-97,-109,2024-09-03 22-51-43,40797239158,17145,40731027795
alcatel,JTEtb,10,2,2024-09-03 22-54-27,40735612035,4090,40707429952
alcatel,jGwbB,73,-84,2024-09-03 22-50-48,40739575228,-26306,40781585074
alcatel,uRiSX,79,107,2024-09-03 22-54-20,40754630120,28960,40752539277
alcatel,lEZMw,-114,20,2024-09-03 22-54-34,40708772321,7162,40724569008
alcatel,qhQBv,38,65,2024-09-03 22-54-50,40732078593,-4446,40771080465
alcatel,KOK,-96,112,2024-09-03 22-50-32,40748634971,-28792,40785217366
alcatel,ZBMu,-8,32,2024-09-03 22-51-46,40735418599,-31448,40785937146
alcatel,GCFzM,-6,-106,2024-09-03 22-54-08,40711718893,-9446,40718122065
alcatel,hns,114,-13,2024-09-03 22-50-43,40740251932,-22860,40773663341
