src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,alN,-47,29,2024-09-03 23-07-01,40729436417,21275,40783473772
alcatel,Jpt,27,73,2024-09-03 23-05-59,40756766796,-7719,40733800494
alcatel,qMl,80,114,2024-09-03 23-07-24,40718156007,-7660,40731427994
alcatel,RuTGR,-66,-94,2024-09-03 23-05-03,40732613470,31113,40793569659
alcatel,fFMbl,96,-83,2024-09-03 23-05-35,40723911231,-27188,40785917528
alcatel,MBnt,-108,9,2024-09-03 23-07-59,40773760218,24940,40714462623
alcatel,cheVot,-44,-8,2024-09-03 23-05-11,40719395651,-2619,40796672604
alcatel,vWm,68,49,2024-09-03 23-06-41,40735410830,-27723,40723959023
alcatel,WjA,-91,-1,2024-09-03 23-09-38,40780425512,-21209,40790672415
alcatel,kKvP,54,-9,2024-09-03 23-07-31,40766575552,-26352,40731067413
alcatel,XNwkiS,71,26,2024-09-03 23-07-27,40746046551,25947,40781112089
alcatel,AAFx,87,7,2024-09-03 23-07-11,40721262264,18252,40772359176
alcatel,LeZ,46,-48,2024-09-03 23-08-53,40710218640,-4363,40755709302
alcatel,bHpL,-34,-48,2024-09-03 23-08-16,40715850835,8176,40799067238
alcatel,WWDc,-9,-47,2024-09-03 23-09-34,40740903675,-27018,40785696606
alcatel,RclqVm,-122,-43,2024-09-03 23-06-25,40772516306,-16859,40772254181
alcatel,fJMzt,55,79,2024-09-03 23-09-01,40740133686,-10766,40775221875
alcatel,Cqdcd,109,-113,2024-09-03 23-07-46,40799545193,4043,40759173358
alcatel,pVsO,-72,113,2024-09-03 23-06-01,40719964984,20569,40745045084
alcatel,LbSj,-15,-106,2024-09-03 23-09-07,40708377440,-22966,40728557823
alcatel,TVtNRA,59,73,2024-09-03 23-08-53,40760133490,15724,40724061334
alcatel,eiXk,-56,-88,2024-09-03 23-08-50,40776759511,-2186,40793365761
alcatel,ogtvn,-16,19,2024-09-03 23-06-29,40733269703,18549,40737998938
alcatel,dhyT,46,-69,2024-09-03 23-08-43,40725299177,24465,40706192464
alcatel,xNVzAo,-64,-112,2024-09-03 23-07-59,40770317846,16644,40728627832
alcatel,HWrb,122,101,2024-09-03 23-08-53,40778557997,266,40792473459
alcatel,Htzt,127,-127,2024-09-03 23-06-41,40783227343,-10692,40733541441
alcatel,OXtzW,-52,-123,2024-09-03 23-08-23,40703109554,28845,40749776234
alcatel,OswN,-21,98,2024-09-03 23-08-14,40738622453,-16120,40765483047
alcatel,wGBFk,10,-58,2024-09-03 23-05-22,40721610017,-32527,40772098642
alcatel,ZhPRy,-42,11,2024-09-03 23-08-56,40721943559,-2482,40786498055
alcatel,SIEk,-40,68,2024-09-03 23-07-20,40751532119,30502,40761506031
alcatel,ygDkAJ,-52,-80,2024-09-03 23-06-55,40746422729,19973,40784898953
alcatel,CFX,-99,-55,2024-09-03 23-06-26,40743053148,-7157,40758076939
alcatel,wagGi,-28,-69,2024-09-03 23-06-30,40721361720,-7075,40770629650
alcatel,rEk,53,30,2024-09-03 23-07-15,40733692212,13335,40758878803
alcatel,bMlm,65,-75,2024-09-03 23-08-01,40773836272,15292,40746249687
alcatel,XiF,-23,90,2024-09-03 23-05-31,40728313991,-11161,40768076472
alcatel,zisCs,-7,-95,2024-09-03 23-06-06,40719378408,26365,40769631477
alcatel,URSt,-23,71,2024-09-03 23-06-15,40740232895,27406,40713773017
alcatel,yDYJy,102,-63,2024-09-03 23-07-58,40790726341,-1693,40747062058
alcatel,lKWF,-95,95,2024-09-03 23-09-49,40760381726,10277,40723767273
alcatel,Mdjbq,127,-4,2024-09-03 23-09-29,40789579502,-18881,40711643128
alcatel,rMQMsf,-28,-87,2024-09-03 23-08-43,40780405329,25391,40752783920
alcatel,TuP,11,121,2024-09-03 23-07-57,40735616850,-17936,40785586582
alcatel,HIjv,54,12,2024-09-03 23-05-36,40755488171,-19663,40773794137
alcatel,Zin,31,-81,2024-09-03 23-09-48,40722239688,19331,40791969026
alcatel,lFP,82,38,2024-09-03 23-07-10,40764942973,-26663,40749070784
alcatel,NBXGKH,-36,-3,2024-09-03 23-06-02,40738971608,-30851,40740370318
alcatel,xMLrq,22,12,2024-09-03 23-09-59,40732829981,31872,40738281324
alcatel,GLeyV,-93,70,2024-09-03 23-05-17,40795964958,17590,40776708923
alcatel,GyD,-36,84,2024-09-03 23-07-30,40719731045,-32449,40745365694
alcatel,wuh,-86,21,2024-09-03 23-05-13,40775920087,20070,40742397016
alcatel,alZ,114,-100,2024-09-03 23-06-27,40787101399,31963,40704456402
alcatel,OLx,101,-34,2024-09-03 23-05-46,40705702593,-30931,40738484538
alcatel,SRqY,-17,-16,2024-09-03 23-09-01,40766325756,-11516,40733111108
alcatel,hAdesU,-66,2,2024-09-03 23-06-56,40776287788,-9007,40721852358
alcatel,zrS,26,92,2024-09-03 23-08-09,40726109998,16222,40702379319
alcatel,TdiPK,-20,-71,2024-09-03 23-07-25,40798117280,-30982,40713860250
alcatel,oMX,118,62,2024-09-03 23-09-30,40757659331,-30265,40714761846
alcatel,LgVdHY,67,100,2024-09-03 23-05-23,40788726304,16009,40750805551
alcatel,vxk,122,-98,2024-09-03 23-08-49,40727560713,17329,40724194860
alcatel,ZDpeh,-56,14,2024-09-03 23-08-22,40712265364,23301,40768649707
alcatel,XQkW,-5,113,2024-09-03 23-07-00,40710306188,-25626,40734089543
alcatel,dNf,41,-55,2024-09-03 23-08-45,40793930248,-18215,40722842796
alcatel,WHhGQ,-45,-16,2024-09-03 23-06-26,40781678917,-12263,40755516566
alcatel,nUncvY,59,-19,2024-09-03 23-09-11,40714420370,-27673,40748558454
alcatel,fqgFNp,-40,31,2024-09-03 23-05-53,40734462677,15199,40794587344
alcatel,cDOgqo,92,-70,2024-09-03 23-07-09,40788139405,-3316,40758712995
alcatel,Stkf,-71,-86,2024-09-03 23-10-02,40793259041,-25429,40756488315
alcatel,Lfwcj,-51,14,2024-09-03 23-06-52,40724480003,-24587,40720170107
alcatel,BAhuVC,28,113,2024-09-03 23-06-46,40702145639,26247,40741613933
alcatel,ysqx,-81,125,2024-09-03 23-08-13,40706702796,-16212,40729955372
alcatel,UJv,-44,80,2024-09-03 23-08-45,40715617521,-13383,40713452412
alcatel,EGNBSJ,22,11,2024-09-03 23-09-11,40718006294,18412,40747869573
alcatel,Jlr,-5,105,2024-09-03 23-05-26,40763004297,-7422,40785818931
alcatel,nVoY,54,-30,2024-09-03 23-05-17,40733851887,-10439,40713846891
alcatel,MXr,65,26,2024-09-03 23-07-35,40708381279,-14248,40767510671
alcatel,EwAT,-96,99,2024-09-03 23-07-40,40738153353,-9402,40790205299
alcatel,Nfb,-88,12,2024-09-03 23-05-10,40701709186,3748,40738323163
alcatel,OpCSN,52,47,2024-09-03 23-05-17,40793265252,-16405,40744101567
alcatel,UgV,57,-21,2024-09-03 23-07-19,40734675332,20658,40742225086
alcatel,Ehd,-102,26,2024-09-03 23-09-43,40799241620,30467,40700872103
alcatel,NIZm,41,-31,2024-09-03 23-05-57,40753407426,-26782,40709298654
alcatel,IsNCj,61,-117,2024-09-03 23-09-50,40773197693,-14131,40707293992
alcatel,Olc,37,-106,2024-09-03 23-08-36,40787316590,11952,40721598805
alcatel,ebK,-107,-124,2024-09-03 23-08-59,40787157956,-13069,40704215804
alcatel,jyy,37,73,2024-09-03 23-07-20,40795571221,8010,40747845301
alcatel,Cvz,43,-96,2024-09-03 23-05-23,40703316053,11625,40773296627
alcatel,MztIju,-26,-113,2024-09-03 23-10-01,40701100232,31574,40708134231
alcatel,YSi,-44,125,2024-09-03 23-06-31,40739330839,-12774,40737929523
alcatel,uNEc,126,-38,2024-09-03 23-05-10,40742933922,-24178,40784748972
alcatel,XUV,36,-44,2024-09-03 23-09-14,40777462281,2990,40720450929
alcatel,DdXWNc,-26,109,2024-09-03 23-08-04,40751491290,-19689,40787573223
alcatel,edqs,71,23,2024-09-03 23-07-20,40730864813,-10146,40724104858
alcatel,pRd,30,-124,2024-09-03 23-08-16,40722859883,-29086,40789420588
alcatel,KvGwk,-12,74,2024-09-03 23-05-23,40790057300,-29409,40767163052
alcatel,qbZ,89,16,2024-09-03 23-06-12,40788620332,29794,40728327663
alcatel,kfy,-80,96,2024-09-03 23-09-35,40726608606,-15254,40772562630
