src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,fHfiMM,-36,-19,2024-09-03 23-10-56,40754489598,30480,40790348978
alcatel,glKJq,-97,-114,2024-09-03 23-14-07,40787690458,32283,40731166212
alcatel,Pfj,-47,80,2024-09-03 23-14-21,40795735197,20600,40702657085
alcatel,KhLrf,-124,70,2024-09-03 23-12-33,40726953863,16180,40729001191
alcatel,vbx,-12,41,2024-09-03 23-12-26,40758002002,-15437,40728794222
alcatel,dtfIMV,17,-82,2024-09-03 23-11-57,40762775037,-17813,40724099252
alcatel,dfDL,93,-18,2024-09-03 23-12-21,40705180254,2523,40732417374
alcatel,WsNZd,64,21,2024-09-03 23-10-35,40780703859,7944,40762869010
alcatel,qefrWv,23,71,2024-09-03 23-10-29,40797161487,12340,40753404378
alcatel,KSJdmj,-7,104,2024-09-03 23-11-36,40732423950,-10082,40782607929
alcatel,iWqtFH,-93,-94,2024-09-03 23-13-45,40740229741,7442,40795986870
alcatel,BmD,10,-124,2024-09-03 23-11-49,40764044793,2236,40785033179
alcatel,ljhi,100,62,2024-09-03 23-14-06,40715437092,-30010,40750140600
alcatel,NejJ,16,-77,2024-09-03 23-12-20,40728023215,11120,40707977529
alcatel,sEMWya,-88,71,2024-09-03 23-13-47,40735427743,9590,40758874663
alcatel,nho,-128,112,2024-09-03 23-13-50,40796799920,14587,40705960225
alcatel,lzu,59,-30,2024-09-03 23-10-47,40773132762,24179,40752699413
alcatel,tVAXLm,-83,48,2024-09-03 23-13-46,40715278479,-28967,40772292067
alcatel,Yhg,35,-34,2024-09-03 23-14-47,40753408942,-22234,40705567705
alcatel,wIomVs,-128,46,2024-09-03 23-14-15,40746922799,-21182,40788249350
alcatel,bCMelK,-48,1,2024-09-03 23-14-51,40731078532,-29262,40766212120
alcatel,YArcPF,62,125,2024-09-03 23-14-19,40746676956,28894,40702233731
alcatel,pAH,-47,27,2024-09-03 23-14-15,40728596536,16146,40793881354
alcatel,TjbK,-124,14,2024-09-03 23-11-59,40738250337,-30096,40707261089
alcatel,fEs,-86,83,2024-09-03 23-14-42,40791341074,-4348,40717341567
alcatel,fpEi,92,-80,2024-09-03 23-11-26,40754134697,-1230,40798494111
alcatel,Tbvcb,-67,108,2024-09-03 23-12-28,40758528077,-31731,40720268985
alcatel,EIckk,120,91,2024-09-03 23-13-13,40766976819,-25911,40768077496
alcatel,VwI,100,22,2024-09-03 23-12-14,40782134568,-31746,40758738581
alcatel,zDF,-30,11,2024-09-03 23-13-38,40722905216,18225,40755792875
alcatel,WMmk,23,-5,2024-09-03 23-10-18,40747376606,19371,40725661233
