src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,HGEq,-77,5,2024-09-03 23-23-19,40764844862,30937,40775762494
alcatel,MsjqBP,25,-15,2024-09-03 23-22-00,40727487527,-27062,40743082022
alcatel,JIlGw,35,34,2024-09-03 23-22-58,40725384582,27319,40770933431
alcatel,GCLpC,91,38,2024-09-03 23-23-44,40796824924,-12712,40713346827
alcatel,Gtm,-73,41,2024-09-03 23-24-12,40788239852,-17623,40704446383
alcatel,DRA,83,123,2024-09-03 23-24-06,40757710798,23032,40731972192
alcatel,dgws,39,66,2024-09-03 23-22-21,40732959431,-13490,40710148693
alcatel,FoLnU,37,-101,2024-09-03 23-22-43,40787125768,25899,40780759366
alcatel,REL,-70,7,2024-09-03 23-23-48,40705276068,31195,40792616790
alcatel,fMqO,-124,-79,2024-09-03 23-21-10,40723323094,25079,40713309223
alcatel,YCrL,100,94,2024-09-03 23-24-29,40785912040,1016,40793233103
alcatel,ADRgNW,32,-110,2024-09-03 23-21-07,40706155024,28230,40703329168
alcatel,VzEmx,-76,-45,2024-09-03 23-21-28,40760301836,-1896,40798384553
alcatel,mUXl,34,-106,2024-09-03 23-24-58,40788015413,1217,40794852541
alcatel,bTSmnq,97,108,2024-09-03 23-24-26,40720899658,14749,40741984199
alcatel,MOLWG,-22,75,2024-09-03 23-23-46,40796055515,-24028,40776378546
alcatel,SFH,58,94,2024-09-03 23-20-14,40789022272,-510,40757762737
alcatel,FmQy,65,-98,2024-09-03 23-24-22,40751022709,29391,40784909688
alcatel,qLMn,75,39,2024-09-03 23-23-53,40720352249,5694,40746380239
alcatel,vaeqT,56,8,2024-09-03 23-23-28,40793620299,21984,40783675481
alcatel,XYvDZf,4,-68,2024-09-03 23-23-30,40773199539,1776,40791480535
alcatel,Ayzb,-37,82,2024-09-03 23-24-13,40712901414,-22408,40769281458
alcatel,RtT,110,-14,2024-09-03 23-22-09,40705362017,-8588,40750671132
alcatel,Mjrn,-60,-109,2024-09-03 23-20-09,40774044110,20372,40796193224
alcatel,hCVw,92,113,2024-09-03 23-22-40,40706272591,32484,40714864246
alcatel,ATuWs,90,86,2024-09-03 23-24-15,40783916413,-31670,40709771101
alcatel,oGVv,59,21,2024-09-03 23-21-54,40755968811,23817,40742393223
alcatel,PoLb,94,-38,2024-09-03 23-24-36,40703008124,13553,40727560660
alcatel,BLtpp,-46,123,2024-09-03 23-24-15,40705314623,24186,40773658654
alcatel,OEhodM,-108,-69,2024-09-03 23-23-43,40773493372,-14867,40775828510
alcatel,vKECq,-72,-25,2024-09-03 23-22-36,40738980174,-7452,40768348817
alcatel,chSvF,-24,-127,2024-09-03 23-25-01,40750077595,-28355,40753703807
alcatel,YYI,-121,40,2024-09-03 23-21-22,40742528163,16848,40765457182
alcatel,oeG,33,-69,2024-09-03 23-20-52,40765632816,-3135,40721165683
alcatel,lbrtF,-88,-19,2024-09-03 23-20-44,40767903320,-10159,40755355375
alcatel,MTm,-6,32,2024-09-03 23-22-41,40737979587,-29012,40783440433
alcatel,mdmlQP,68,-109,2024-09-03 23-20-14,40770419456,-2723,40790067202
alcatel,vIYiBO,32,-72,2024-09-03 23-23-37,40729372063,-6488,40701280435
alcatel,tRaAHs,-34,-87,2024-09-03 23-22-50,40778469396,31299,40714809714
alcatel,Bhl,57,112,2024-09-03 23-20-46,40761685279,8479,40766066261
alcatel,ATeVx,-34,27,2024-09-03 23-21-36,40715637730,-4164,40732905067
alcatel,uKXiWq,86,22,2024-09-03 23-23-11,40756665681,-17055,40720636656
alcatel,YdGLk,-25,37,2024-09-03 23-22-30,40742014280,-21020,40734895642
alcatel,ahqSbx,77,-125,2024-09-03 23-24-17,40793884961,18496,40765547211
alcatel,AptYNS,15,-7,2024-09-03 23-20-58,40764186109,-10527,40745181875
alcatel,tEisk,-31,86,2024-09-03 23-20-48,40757055106,-5999,40769223559
alcatel,iDE,35,123,2024-09-03 23-21-50,40774110916,-12290,40719337869
alcatel,pBnHkC,-105,-52,2024-09-03 23-22-24,40740913775,-17619,40774678809
alcatel,tSOFYu,43,-114,2024-09-03 23-21-07,40762471570,-27092,40713026232
alcatel,tHMVs,94,121,2024-09-03 23-22-18,40787934987,-6250,40721493736
alcatel,CNV,101,-107,2024-09-03 23-24-21,40715147728,-11480,40796099713
alcatel,djHK,-101,-89,2024-09-03 23-23-59,40758500400,17640,40792454022
alcatel,Dvx,123,-97,2024-09-03 23-21-47,40768420997,25286,40773649397
alcatel,SuTI,117,48,2024-09-03 23-24-47,40746294873,1170,40722673759
alcatel,wCtieP,-28,11,2024-09-03 23-20-16,40717363322,29481,40736975142
alcatel,yAZx,40,-33,2024-09-03 23-24-36,40729720005,18482,40718980360
alcatel,kMSmS,-61,-9,2024-09-03 23-24-40,40738630968,-27237,40713106568
alcatel,txIlB,62,49,2024-09-03 23-25-01,40733548878,30040,40745671812
alcatel,ZBUzMY,-9,86,2024-09-03 23-20-04,40760800554,-29904,40776827542
alcatel,atZ,10,-66,2024-09-03 23-23-02,40774982057,32652,40743807322
alcatel,rIZT,79,94,2024-09-03 23-22-12,40781686011,23604,40758899760
alcatel,VYF,88,59,2024-09-03 23-21-01,40787805740,26899,40719439836
alcatel,jlOt,47,83,2024-09-03 23-24-17,40726089344,8032,40750176520
alcatel,kPL,-68,40,2024-09-03 23-22-45,40752299750,16698,40738167811
