src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,xpN,7,-122,2024-09-03 23-33-27,40705526359,22316,40729368882
alcatel,sYZF,-98,-55,2024-09-03 23-33-50,40739756596,-971,40773873422
alcatel,zoQX,-96,-60,2024-09-03 23-34-48,40759517265,-31963,40772230374
alcatel,PdL,-119,48,2024-09-03 23-30-52,40766577224,25438,40726844735
alcatel,oCG,4,21,2024-09-03 23-32-45,40786760340,3036,40712333854
alcatel,lMWZh,-19,-42,2024-09-03 23-30-34,40727171369,-16531,40765494242
alcatel,biDv,-54,-43,2024-09-03 23-30-12,40705238691,17358,40737767750
alcatel,Hffk,47,-21,2024-09-03 23-30-48,40766300323,9448,40771764916
alcatel,FAT,-111,34,2024-09-03 23-33-10,40789068574,-20752,40759033061
alcatel,SBAB,41,-38,2024-09-03 23-30-47,40783538416,-7949,40762394480
alcatel,OLnbh,64,-88,2024-09-03 23-30-34,40743433861,-18222,40757316973
alcatel,chXa,-10,76,2024-09-03 23-32-45,40721514937,-4949,40783846202
alcatel,UFZX,107,-18,2024-09-03 23-31-09,40725840725,28355,40764083367
alcatel,oLOIp,49,110,2024-09-03 23-31-00,40784946304,-19944,40784682785
alcatel,NOeDy,2,127,2024-09-03 23-31-08,40788455649,7141,40732004993
alcatel,QnswP,59,-87,2024-09-03 23-34-52,40793123724,-32268,40785837469
alcatel,eAPSgO,-119,-99,2024-09-03 23-34-52,40712410329,29276,40749298367
alcatel,fMvneW,-3,-85,2024-09-03 23-33-58,40768801748,6791,40782223698
alcatel,YhXNsu,-94,-92,2024-09-03 23-33-24,40789871503,20100,40783973195
alcatel,VymMNT,52,-41,2024-09-03 23-33-43,40764259175,-32270,40750238263
alcatel,WTTygz,27,40,2024-09-03 23-32-00,40746193013,28557,40774262982
alcatel,fOu,-126,-50,2024-09-03 23-34-33,40746381893,5079,40798224696
alcatel,klGSco,-64,-13,2024-09-03 23-33-55,40784797603,-15748,40776541222
alcatel,OaBQ,96,-87,2024-09-03 23-34-57,40728132626,2548,40756126578
alcatel,MVl,70,-123,2024-09-03 23-30-37,40728167015,12227,40790766537
alcatel,goC,-44,-38,2024-09-03 23-32-04,40710549422,30753,40759716593
alcatel,iNTnVh,-64,33,2024-09-03 23-30-53,40704283517,-9998,40717510532
alcatel,mpxh,-93,32,2024-09-03 23-31-39,40718314963,1520,40721169770
alcatel,XWi,-84,-17,2024-09-03 23-31-56,40732946940,26288,40741348179
alcatel,ZMfW,-33,71,2024-09-03 23-31-18,40737640103,27396,40787972281
alcatel,uhq,-9,91,2024-09-03 23-31-29,40724211127,24256,40796540359
alcatel,cuQmC,96,21,2024-09-03 23-30-04,40731122103,-1548,40762005649
alcatel,sKA,88,18,2024-09-03 23-32-42,40785039235,-11035,40723308477
alcatel,VcQPk,-28,42,2024-09-03 23-32-07,40796909363,30458,40796527600
alcatel,hAFwhk,-79,-12,2024-09-03 23-31-34,40728871447,-22891,40738976789
alcatel,slPP,65,105,2024-09-03 23-30-42,40727416842,5933,40730377289
alcatel,iCW,-108,-104,2024-09-03 23-33-10,40786561876,31978,40708974975
alcatel,FEbQ,4,-66,2024-09-03 23-34-23,40734991440,22050,40709628770
alcatel,SBKs,-68,-116,2024-09-03 23-34-03,40724030274,-20335,40784719465
alcatel,Agcm,-104,-6,2024-09-03 23-31-58,40700494747,11285,40784032139
alcatel,GzWoEA,-90,103,2024-09-03 23-31-52,40777674044,-5041,40771284709
alcatel,AASnsN,-120,102,2024-09-03 23-30-07,40771700794,32729,40779855341
alcatel,ekSo,-120,-77,2024-09-03 23-34-18,40708400432,8640,40791316902
alcatel,VCsj,36,31,2024-09-03 23-32-18,40779308280,-11793,40754374988
alcatel,FMa,-80,71,2024-09-03 23-31-21,40707678533,13621,40763749352
alcatel,oswLSv,-79,53,2024-09-03 23-34-50,40723588766,31679,40779549003
alcatel,hxJJ,-110,-22,2024-09-03 23-34-21,40703420271,3133,40735663393
alcatel,cpH,-22,-7,2024-09-03 23-30-59,40761209283,-12275,40762692674
alcatel,FnpNq,5,-108,2024-09-03 23-32-25,40794086328,-10700,40770756279
alcatel,gEJTtj,-31,19,2024-09-03 23-34-44,40756847126,22525,40757086789
alcatel,JTei,29,-5,2024-09-03 23-30-32,40776768900,-21454,40725829269
alcatel,uUJwc,-58,-3,2024-09-03 23-33-05,40725413003,-16197,40706457435
alcatel,GHZHzh,-58,-55,2024-09-03 23-32-21,40714950655,-23518,40770988580
alcatel,Rwe,-10,101,2024-09-03 23-34-53,40728222232,-32282,40716754840
alcatel,MLMfdI,43,33,2024-09-03 23-32-33,40770773427,-10046,40768509876
alcatel,XMreU,123,-112,2024-09-03 23-30-50,40748566666,17960,40722864685
alcatel,QDtX,97,-47,2024-09-03 23-31-32,40711290084,-8401,40782840961
alcatel,TZKeVe,84,-16,2024-09-03 23-32-45,40730466142,-9038,40784995487
alcatel,hDg,-27,-88,2024-09-03 23-34-59,40781791582,-15451,40772104132
alcatel,emUzP,69,-80,2024-09-03 23-33-55,40739890754,-10787,40716752464
alcatel,mSCxo,91,-10,2024-09-03 23-30-37,40700152571,-19367,40717893619
alcatel,gDare,82,-54,2024-09-03 23-32-52,40754597761,6473,40764322707
alcatel,MFMk,125,97,2024-09-03 23-30-05,40715886492,32576,40788088628
alcatel,rYBHEj,63,-103,2024-09-03 23-33-27,40709105257,-16529,40799738776
alcatel,dtA,61,-70,2024-09-03 23-32-13,40738405161,-9109,40741227961
alcatel,NAzzRe,39,55,2024-09-03 23-31-50,40778875183,-15354,40721060117
alcatel,FHZPKZ,50,93,2024-09-03 23-32-20,40781055192,-22377,40771610040
alcatel,IEdW,26,-26,2024-09-03 23-34-04,40749470718,-6017,40728065300
alcatel,wghCs,-96,-81,2024-09-03 23-31-58,40758980352,27484,40745128020
alcatel,xYU,-59,16,2024-09-03 23-31-19,40775663918,-2171,40705792943
alcatel,eTpN,11,35,2024-09-03 23-31-48,40716706397,1776,40701013244
alcatel,aTqu,4,85,2024-09-03 23-33-47,40743197711,-26833,40759496422
alcatel,DilQh,34,-118,2024-09-03 23-30-42,40794617668,23692,40791735540
alcatel,OAIUXJ,27,-11,2024-09-03 23-31-11,40705026168,31058,40702865756
alcatel,cEr,49,52,2024-09-03 23-31-26,40728291275,26708,40753042693
alcatel,AfdGbh,3,-88,2024-09-03 23-31-11,40711299400,-31612,40780225535
alcatel,FIUJc,98,-25,2024-09-03 23-31-34,40703333796,14885,40751139012
alcatel,kMP,74,-42,2024-09-03 23-34-36,40750183023,-7696,40749220939
alcatel,Aeu,13,-90,2024-09-03 23-30-56,40704638717,-16895,40779589850
alcatel,tRnqd,-114,-105,2024-09-03 23-31-02,40781719496,-25261,40727405177
alcatel,BGP,-120,-94,2024-09-03 23-31-36,40748658318,-3927,40748572542
alcatel,yOd,7,-123,2024-09-03 23-32-11,40771122857,18782,40733599360
alcatel,JLTkwx,31,45,2024-09-03 23-34-17,40734100166,20861,40747495970
alcatel,gAYSjJ,3,17,2024-09-03 23-31-22,40749628346,-3847,40727601560
alcatel,bcxDd,-96,-111,2024-09-03 23-31-53,40734065444,8816,40772674468
alcatel,UPfQl,-77,100,2024-09-03 23-34-44,40756996931,-16092,40704570746
alcatel,EWLp,125,20,2024-09-03 23-33-34,40749469355,9228,40795888378
alcatel,UhTBFj,-98,21,2024-09-03 23-32-41,40746577934,31397,40786430565
alcatel,YjKoZ,-16,-8,2024-09-03 23-32-18,40794496637,591,40771363468
alcatel,SBHcA,-11,73,2024-09-03 23-31-25,40778579357,14185,40795864668
alcatel,GLF,-64,125,2024-09-03 23-31-43,40711354865,5221,40764876245
alcatel,hgtK,10,-61,2024-09-03 23-30-52,40703177136,22463,40718020616
alcatel,jhVeCp,-122,23,2024-09-03 23-32-46,40727526973,-20603,40753879491
alcatel,OwXgp,106,73,2024-09-03 23-34-56,40789323312,-21009,40730512234
alcatel,TonTH,-31,89,2024-09-03 23-31-00,40730647385,6030,40781617102
alcatel,Uav,13,2,2024-09-03 23-33-26,40776196488,-8574,40731916529
alcatel,myOnr,-14,-69,2024-09-03 23-33-27,40704869577,-7632,40760460667
alcatel,ieZxSu,69,-32,2024-09-03 23-30-51,40716219055,-1943,40770284512
alcatel,TkT,-29,118,2024-09-03 23-33-31,40784618781,22524,40791213714
alcatel,wHMoIs,-45,-5,2024-09-03 23-32-58,40799541502,-1105,40719347331
alcatel,doEciT,-12,-103,2024-09-03 23-31-48,40746623753,-21090,40747723259
alcatel,llLRLm,-66,103,2024-09-03 23-30-10,40775038287,27436,40758151005
alcatel,OSa,-64,58,2024-09-03 23-33-44,40784636206,-27769,40798489823
alcatel,TawAh,22,49,2024-09-03 23-31-20,40761776393,-21650,40789166071
alcatel,xUVV,-114,-106,2024-09-03 23-32-38,40732524610,22822,40719156445
alcatel,wLYEvf,4,43,2024-09-03 23-31-57,40706757948,9886,40749135621
alcatel,Fkbm,123,52,2024-09-03 23-32-20,40726849611,12676,40733695917
alcatel,dfYmL,-15,-29,2024-09-03 23-34-27,40712065444,-12290,40734948729
alcatel,IQAW,74,-117,2024-09-03 23-34-24,40727530134,24593,40707453861
alcatel,IGjEX,117,-89,2024-09-03 23-34-49,40753281085,903,40738393119
alcatel,PhMH,-106,54,2024-09-03 23-32-08,40741489934,-16924,40756864734
alcatel,UyBvUv,36,63,2024-09-03 23-31-10,40780447730,11035,40793430059
alcatel,PvJe,28,-41,2024-09-03 23-34-16,40770838130,-15813,40776610066
alcatel,oGyl,-28,50,2024-09-03 23-33-46,40758148976,-21742,40748637559
alcatel,ONF,49,88,2024-09-03 23-33-38,40748482419,3313,40746986498
alcatel,rulPR,41,-62,2024-09-03 23-30-40,40762883146,-29767,40719510704
alcatel,MoiMbb,97,0,2024-09-03 23-34-04,40700542220,3663,40747880246
alcatel,fwcwR,-58,-58,2024-09-03 23-33-18,40727631676,-29406,40734378952
alcatel,Exg,-113,-60,2024-09-03 23-34-25,40726100287,1142,40705736923
alcatel,DxXVlp,-45,56,2024-09-03 23-30-56,40739450835,-21820,40725502222
alcatel,RrH,-126,-33,2024-09-03 23-31-44,40797825008,-8489,40741117694
alcatel,MkWhK,-18,-20,2024-09-03 23-34-22,40786043541,-7301,40779416565
alcatel,xNX,-76,-80,2024-09-03 23-30-10,40791441025,-28350,40772227825
alcatel,ncM,-107,-72,2024-09-03 23-34-21,40789154020,-19230,40700534651
alcatel,iHvu,-30,117,2024-09-03 23-33-44,40709787948,-4813,40741118819
alcatel,DWcH,-41,30,2024-09-03 23-31-38,40743025234,17254,40761306646
alcatel,DaC,-1,13,2024-09-03 23-30-06,40706754662,18520,40786440070
alcatel,ZIoGG,114,106,2024-09-03 23-33-00,40798506766,-10622,40722715582
alcatel,mOoZ,-70,99,2024-09-03 23-30-34,40756407464,11236,40733266650
alcatel,RhL,-119,127,2024-09-03 23-33-32,40735142957,-21476,40794334312
alcatel,EYqSra,-13,-27,2024-09-03 23-30-15,40725046450,5850,40724347245
alcatel,DGXWwU,97,28,2024-09-03 23-34-15,40718383408,-21104,40787583504
alcatel,xWU,-113,15,2024-09-03 23-34-54,40751056818,-19204,40721140983
alcatel,ydgdbo,91,-95,2024-09-03 23-30-01,40722993300,26392,40739997266
alcatel,TOyR,56,-2,2024-09-03 23-34-06,40730072135,-11333,40753985854
alcatel,lqnBQ,-43,9,2024-09-03 23-33-19,40712851027,-27645,40798515612
alcatel,rZDO,41,-116,2024-09-03 23-32-18,40768601148,-12988,40702746388
alcatel,EuwkuN,-45,-4,2024-09-03 23-33-44,40729811881,11871,40787641576
alcatel,WEAhBk,-42,-114,2024-09-03 23-31-39,40770759625,24275,40766754321
