src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,cDLsQ,0,25,2024-09-03 23-48-50,40759732728,-30599,40720434642
alcatel,XfKMSI,11,14,2024-09-03 23-47-27,40776874790,14095,40751010134
alcatel,UmWCg,-42,93,2024-09-03 23-45-47,40768610122,5182,40703571878
alcatel,aAp,-23,-59,2024-09-03 23-49-46,40747343131,27055,40785359770
alcatel,Sust,123,95,2024-09-03 23-47-44,40720680270,13177,40795663038
alcatel,wZGz,8,-124,2024-09-03 23-45-44,40760957898,-5751,40703341475
alcatel,VBQMBh,18,-56,2024-09-03 23-45-22,40712903419,29632,40728511058
alcatel,NRJK,-70,-69,2024-09-03 23-49-06,40749742440,-22227,40787646576
alcatel,wEpzUC,-6,-102,2024-09-03 23-45-46,40785487100,-32605,40759145032
alcatel,Zml,52,15,2024-09-03 23-45-24,40746268847,6850,40713593132
alcatel,MnK,102,75,2024-09-03 23-47-00,40783903645,-28827,40773507997
alcatel,RzfIoO,16,-59,2024-09-03 23-47-26,40782055558,14061,40742852475
alcatel,nWaOy,-89,-65,2024-09-03 23-46-47,40713370942,-20631,40768240610
alcatel,HClSt,-85,19,2024-09-03 23-47-45,40776014110,-13106,40736018047
alcatel,dnds,-70,-124,2024-09-03 23-48-16,40777984200,24367,40753976063
alcatel,rNjiO,-100,-120,2024-09-03 23-47-47,40734496910,-27273,40779209211
alcatel,UXQ,47,-105,2024-09-03 23-45-50,40724015788,14245,40787531454
alcatel,erQN,87,4,2024-09-03 23-47-29,40725966571,-21798,40718578823
alcatel,rZndlS,41,125,2024-09-03 23-48-24,40775625494,-32006,40709881206
alcatel,qQBWNH,-47,108,2024-09-03 23-48-24,40785828844,4809,40724710442
alcatel,Niza,-69,25,2024-09-03 23-46-02,40727003764,-787,40750659605
alcatel,pEVi,-32,-3,2024-09-03 23-47-59,40756668062,-31148,40778714416
alcatel,RCDj,-18,-107,2024-09-03 23-47-54,40751943185,19623,40710985791
alcatel,mtutK,-65,127,2024-09-03 23-45-06,40703547607,-32534,40768621638
alcatel,KgEq,-44,99,2024-09-03 23-46-12,40762040715,17194,40768210964
alcatel,gOz,-108,-100,2024-09-03 23-47-38,40776084277,-2221,40744186402
alcatel,Csbu,97,32,2024-09-03 23-47-52,40722809000,-32562,40757734098
alcatel,kaxMs,95,5,2024-09-03 23-48-07,40784014521,-8856,40700267290
alcatel,VPFDtS,79,24,2024-09-03 23-48-43,40788586500,-14233,40794993214
alcatel,Whk,-72,101,2024-09-03 23-47-37,40741199137,27508,40793248566
alcatel,hrrOGM,-112,-75,2024-09-03 23-45-12,40728345332,-10816,40713755380
alcatel,ZTYaF,-83,-2,2024-09-03 23-46-35,40787620920,-16475,40779099197
alcatel,EGLF,32,117,2024-09-03 23-49-04,40745050563,-6504,40704007001
alcatel,VdVnj,-106,8,2024-09-03 23-45-20,40708937725,-8844,40754624091
alcatel,dsepLT,-92,102,2024-09-03 23-46-42,40792229587,-15000,40798614553
alcatel,WbzuDT,100,33,2024-09-03 23-47-51,40754603405,-9473,40763885336
alcatel,qlWeV,32,-50,2024-09-03 23-48-02,40728926225,14633,40712720893
alcatel,UrNp,-8,79,2024-09-03 23-45-18,40784525318,-23630,40705947762
alcatel,xcFw,-45,-38,2024-09-03 23-47-55,40773754004,10271,40731031860
alcatel,QHnGt,-109,38,2024-09-03 23-45-54,40764586405,28145,40781201699
alcatel,TKRF,40,-90,2024-09-03 23-47-57,40706029306,-30007,40792836931
alcatel,Vfxqa,22,-47,2024-09-03 23-46-56,40730421323,19781,40774720518
alcatel,jNC,-67,-7,2024-09-03 23-45-30,40744632545,-611,40716361364
alcatel,ruYNhU,48,24,2024-09-03 23-45-49,40791694893,-5129,40761125240
alcatel,Tda,111,-107,2024-09-03 23-47-49,40752380257,22716,40731020068
alcatel,gXOH,87,-8,2024-09-03 23-47-34,40714649418,-24236,40768046442
alcatel,WhZDR,-77,82,2024-09-03 23-49-23,40729222573,18763,40702757243
