src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,ZHJVy,49,-98,2024-09-03 23-58-55,40779644679,-23414,40737614912
alcatel,VJJ,79,124,2024-09-03 23-59-45,40797030770,24684,40754887987
alcatel,aJz,-5,121,2024-09-03 23-59-42,40739308042,-19482,40731107308
alcatel,uFGG,98,-9,2024-09-03 23-55-28,40726979235,11419,40733540716
alcatel,qVYPVy,50,98,2024-09-03 23-58-48,40764053128,-25391,40756453485
alcatel,YqAYN,-75,76,2024-09-03 23-58-55,40741259785,29653,40753868233
alcatel,FBTj,-73,24,2024-09-03 23-55-50,40793590491,28587,40720136519
alcatel,vfeOdZ,125,36,2024-09-03 23-59-57,40717044390,16354,40762471429
alcatel,AiWQW,-100,-43,2024-09-03 23-57-00,40751176785,24810,40706319620
alcatel,tKuszN,-125,-80,2024-09-03 23-57-33,40717341675,13630,40744320100
alcatel,YiH,-99,11,2024-09-03 23-56-38,40792917517,-5960,40754386025
alcatel,ZsPrM,-34,-38,2024-09-03 23-58-44,40757484314,15681,40701638941
alcatel,DbcC,75,-105,2024-09-03 23-58-01,40767500437,-17334,40776899784
alcatel,nkcDfa,-110,-46,2024-09-03 23-57-18,40799321391,31024,40721890315
alcatel,thQXC,101,46,2024-09-03 23-59-38,40704185443,-1208,40749309014
alcatel,cUm,69,3,2024-09-03 23-57-31,40790744936,14352,40708004145
alcatel,dUAIa,-28,125,2024-09-03 23-58-17,40762739585,-9742,40798813675
alcatel,oWFG,-117,-125,2024-09-03 23-55-12,40785128523,-17990,40787978261
alcatel,bkXea,-98,-110,2024-09-03 23-59-31,40766260594,2337,40783221857
alcatel,AtPB,68,3,2024-09-03 23-58-03,40779265893,-10189,40766611271
alcatel,wbC,-39,-125,2024-09-03 23-58-10,40746460869,5151,40712774987
alcatel,STnr,-23,9,2024-09-03 23-55-42,40708038621,30339,40735991840
alcatel,Ghb,-16,-85,2024-09-03 23-58-16,40778856223,17001,40765356191
alcatel,JmHBF,123,-31,2024-09-03 23-57-35,40777532353,-23219,40732722138
alcatel,Nhe,98,-109,2024-09-03 23-57-59,40798851746,-3276,40724573664
alcatel,JLJJ,123,86,2024-09-03 23-57-30,40701416114,17955,40716775316
alcatel,bsslZa,-104,-46,2024-09-03 23-57-18,40773883824,4643,40795808289
alcatel,zCV,-41,-48,2024-09-03 23-57-02,40706100706,-19075,40798264198
alcatel,sRTaR,79,-5,2024-09-03 23-59-24,40716777147,-18151,40734471948
