src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,xskB,13,27,2024-09-04 00-00-18,40797556930,15462,40723662831
alcatel,gziba,-21,-80,2024-09-04 00-02-07,40719043446,-29749,40744928786
alcatel,USFInm,107,1,2024-09-04 00-02-13,40789056342,12391,40739609558
alcatel,eUL,-17,-32,2024-09-04 00-02-31,40770960188,31107,40775643785
alcatel,OizTHO,71,-74,2024-09-04 00-00-31,40773032414,31122,40717457399
alcatel,WBxPs,-91,8,2024-09-04 00-02-25,40774765703,-671,40767724144
alcatel,OTrheq,-5,127,2024-09-04 00-03-49,40722492267,-5155,40785452586
alcatel,TGcc,113,-28,2024-09-04 00-03-14,40744918049,-18404,40761546238
alcatel,YHV,3,-33,2024-09-04 00-03-20,40706986000,11969,40780226522
alcatel,cwKb,39,-89,2024-09-04 00-03-43,40747204987,-15209,40713202342
alcatel,LAl,-16,122,2024-09-04 00-03-49,40739346470,29425,40754474315
alcatel,JxvhDA,63,-95,2024-09-04 00-01-52,40723073478,7612,40734277912
alcatel,sOVCke,41,56,2024-09-04 00-01-44,40783900903,31488,40759871208
alcatel,GEUAb,27,-40,2024-09-04 00-02-26,40705145798,1383,40720000152
alcatel,hBUViw,-99,-128,2024-09-04 00-04-50,40747829420,-14028,40721845172
alcatel,bkKCIK,70,-125,2024-09-04 00-01-30,40793087621,-17222,40799681320
alcatel,wbV,18,-65,2024-09-04 00-00-11,40787249933,-14012,40769350436
alcatel,hnc,127,70,2024-09-04 00-01-18,40740166590,21191,40760070411
alcatel,rtFQGE,-112,126,2024-09-04 00-01-23,40729832076,-4394,40741721530
alcatel,KQjZ,-85,-93,2024-09-04 00-00-22,40763557756,19661,40727498752
alcatel,ITXA,-67,-80,2024-09-04 00-03-38,40748585762,-14267,40746029239
alcatel,QRl,-91,-99,2024-09-04 00-01-25,40740384702,-16814,40739077978
alcatel,VXu,1,70,2024-09-04 00-02-48,40786722588,-352,40771189657
alcatel,xLzk,62,53,2024-09-04 00-00-13,40758540110,-1536,40760855538
alcatel,dMH,92,109,2024-09-04 00-00-59,40746246770,-8234,40703018868
alcatel,MjziB,-121,6,2024-09-04 00-04-33,40721609948,-12424,40792835000
alcatel,rHc,-81,47,2024-09-04 00-04-12,40701564733,25662,40761512470
alcatel,Idzf,-18,-27,2024-09-04 00-00-19,40723563185,-30400,40790290994
alcatel,KjdZzD,-122,-98,2024-09-04 00-00-35,40792378378,32014,40722175042
alcatel,VoGvu,-42,-54,2024-09-04 00-03-01,40705943372,26081,40739354461
alcatel,zRKwqH,-100,-85,2024-09-04 00-01-14,40717296572,4912,40752155612
alcatel,wOPRZn,99,-86,2024-09-04 00-00-13,40719926888,-901,40734601614
alcatel,YQzQVj,46,-29,2024-09-04 00-03-19,40763807255,27064,40736536654
alcatel,mfmu,108,92,2024-09-04 00-02-24,40738567431,-9163,40729797745
alcatel,PURUdj,-27,-113,2024-09-04 00-01-36,40788940193,-8154,40744189276
alcatel,hEzh,98,60,2024-09-04 00-02-12,40782182140,32743,40721506162
alcatel,rAB,-13,125,2024-09-04 00-01-39,40774744854,16359,40788849193
alcatel,zQnhtd,103,93,2024-09-04 00-04-51,40721448101,-5433,40732433557
alcatel,HJVO,-109,-56,2024-09-04 00-02-19,40714280848,24306,40782229093
alcatel,WdEV,117,-102,2024-09-04 00-04-45,40727166795,-32054,40733012092
alcatel,pvithM,-119,-96,2024-09-04 00-02-25,40722159305,-3491,40774582989
alcatel,hIC,45,70,2024-09-04 00-03-14,40790704543,19795,40760153234
alcatel,Llfz,-43,-116,2024-09-04 00-04-18,40783292549,-18711,40758749766
alcatel,MDkB,-89,-90,2024-09-04 00-03-01,40787471779,-10902,40790133182
alcatel,gtYYf,-47,-50,2024-09-04 00-04-44,40727296696,3355,40722219891
alcatel,LnMCSF,-79,40,2024-09-04 00-04-44,40738623320,-14684,40789230878
alcatel,CiFtpg,56,-16,2024-09-04 00-02-15,40779679121,13661,40755996058
alcatel,xICF,-68,53,2024-09-04 00-01-22,40755578009,-818,40798079582
alcatel,jxACP,8,29,2024-09-04 00-00-06,40746857615,5850,40753211991
alcatel,uEaouz,-41,-15,2024-09-04 00-02-38,40773644456,19637,40715025403
alcatel,nqJxj,4,-47,2024-09-04 00-04-36,40763040309,-16852,40740937187
alcatel,NdF,26,-93,2024-09-04 00-00-23,40713215485,31399,40752569377
alcatel,gJXDk,-42,-55,2024-09-04 00-00-26,40727329239,-30413,40746925866
alcatel,MzD,-103,38,2024-09-04 00-02-49,40754437459,23309,40740991384
alcatel,IvN,77,60,2024-09-04 00-00-20,40775739460,13381,40721394841
alcatel,mzb,-32,119,2024-09-04 00-03-40,40785852659,-513,40778791929
alcatel,GER,-6,-66,2024-09-04 00-01-55,40742021763,-8257,40710517211
alcatel,PRm,-108,123,2024-09-04 00-02-09,40724728793,4134,40782618817
alcatel,OMVot,-62,109,2024-09-04 00-01-40,40725310346,-21567,40715721132
alcatel,ZNNo,32,34,2024-09-04 00-03-31,40795342135,-30580,40789128768
alcatel,gDE,43,100,2024-09-04 00-04-02,40748361617,30613,40773323803
alcatel,FWyn,-75,93,2024-09-04 00-04-26,40772419017,21535,40790631991
alcatel,Mvwf,-112,120,2024-09-04 00-01-06,40726635885,-12964,40761520557
alcatel,Qdv,48,71,2024-09-04 00-03-24,40797523609,15114,40776042446
alcatel,PvuLYh,76,-67,2024-09-04 00-00-36,40708872406,-2856,40732408392
alcatel,xwoXZ,-123,-35,2024-09-04 00-02-49,40774948004,-18336,40743200527
alcatel,LVAbf,43,-91,2024-09-04 00-00-51,40767135984,-12261,40768670538
alcatel,OnnAtQ,52,3,2024-09-04 00-04-26,40716347686,-13819,40779933066
alcatel,CctQEK,36,-53,2024-09-04 00-03-36,40754596152,-21567,40726320542
alcatel,mirbMA,-27,87,2024-09-04 00-00-41,40731914229,-20506,40754785206
alcatel,CgUBTz,52,-61,2024-09-04 00-04-47,40747641949,-17172,40710810266
alcatel,Snh,53,-70,2024-09-04 00-01-27,40750962402,10954,40768047289
alcatel,oJJTo,-89,-51,2024-09-04 00-02-05,40718788403,15677,40712590557
alcatel,IGV,-19,-29,2024-09-04 00-02-58,40708634699,-10074,40710558382
alcatel,lvtBHd,11,116,2024-09-04 00-03-12,40769758417,-23234,40794419647
alcatel,caf,47,-6,2024-09-04 00-03-08,40711657306,11270,40757364279
alcatel,tlMVEM,-99,-106,2024-09-04 00-01-18,40720478835,-32570,40700004408
alcatel,Oxnbw,-13,-128,2024-09-04 00-04-38,40761945832,16642,40736116363
alcatel,wLaT,7,-107,2024-09-04 00-02-23,40741148693,-20465,40746156099
alcatel,nDo,-115,-59,2024-09-04 00-05-01,40701364543,-20259,40700949160
alcatel,DwpngN,77,88,2024-09-04 00-00-35,40780822632,-1305,40796537092
alcatel,wrFGL,0,122,2024-09-04 00-01-58,40745328383,13313,40723664639
alcatel,xpGB,83,29,2024-09-04 00-02-52,40775111989,-22419,40757262222
alcatel,uiD,-27,-8,2024-09-04 00-00-47,40729980271,-9923,40775592860
alcatel,BtsTtZ,-9,-62,2024-09-04 00-00-09,40701045956,25294,40734233751
alcatel,Tdh,-17,-26,2024-09-04 00-00-43,40770906796,31765,40730312128
alcatel,YGIw,44,-77,2024-09-04 00-03-45,40727681484,16619,40791320671
alcatel,zMice,-45,-11,2024-09-04 00-00-49,40780525950,-19302,40788515496
alcatel,WHWhJy,-119,55,2024-09-04 00-03-44,40748513299,-11709,40739198510
alcatel,ZEREpI,39,88,2024-09-04 00-00-09,40765454362,-28352,40735990870
alcatel,jbMUf,49,-90,2024-09-04 00-03-41,40710860182,-10784,40772669475
alcatel,ikEqOF,-7,-88,2024-09-04 00-00-26,40791563118,20294,40701952987
alcatel,OnvuS,65,-72,2024-09-04 00-00-14,40785296005,-28596,40756132366
alcatel,RvyLhz,-43,86,2024-09-04 00-01-38,40783995855,3559,40794258710
alcatel,hUl,-29,116,2024-09-04 00-03-32,40762747661,30119,40723504727
alcatel,DzO,-22,23,2024-09-04 00-02-09,40710003004,17173,40721225730
alcatel,xEuB,16,109,2024-09-04 00-02-39,40777128231,-6925,40737731059
alcatel,ZnV,66,41,2024-09-04 00-00-30,40737275339,-32148,40737846034
alcatel,xrbiuI,-6,75,2024-09-04 00-00-10,40714133883,3194,40700489545
alcatel,Phg,95,25,2024-09-04 00-02-32,40729829616,18483,40768789644
alcatel,REjlKS,-36,-42,2024-09-04 00-04-05,40754985260,-16197,40742917175
alcatel,MkO,-11,61,2024-09-04 00-01-35,40738330170,-8097,40744943905
alcatel,fSSc,17,-121,2024-09-04 00-04-13,40795638860,7539,40709628929
alcatel,SBsSq,50,-12,2024-09-04 00-04-40,40779753718,-15654,40740335121
alcatel,RLn,51,36,2024-09-04 00-03-47,40711303973,-30416,40709700762
alcatel,Eyn,-24,68,2024-09-04 00-02-32,40754446714,-31380,40778102953
alcatel,fpO,61,-116,2024-09-04 00-01-18,40797828543,-1217,40743813373
alcatel,sdCa,-21,92,2024-09-04 00-01-13,40743709567,7359,40701412171
alcatel,kjm,85,-60,2024-09-04 00-04-42,40765283258,1545,40753832471
alcatel,IcK,103,-126,2024-09-04 00-04-16,40733902522,6756,40763030190
alcatel,RsKNqV,123,-14,2024-09-04 00-02-57,40787979029,-23372,40721511694
alcatel,Hpt,116,47,2024-09-04 00-03-02,40796657669,23874,40762900324
alcatel,ZGDKRU,79,0,2024-09-04 00-04-46,40715538634,21758,40736057820
alcatel,McOIKM,-70,-27,2024-09-04 00-03-58,40773769857,699,40785217140
alcatel,CIEE,-124,125,2024-09-04 00-04-48,40762064684,2586,40758444455
alcatel,cAeM,-8,64,2024-09-04 00-00-17,40713684263,27337,40748051828
alcatel,prFAFF,0,2,2024-09-04 00-02-42,40786195275,-823,40723280970
alcatel,pEdMSu,39,100,2024-09-04 00-00-29,40765410140,26215,40797262920
alcatel,FZnyN,-108,127,2024-09-04 00-02-54,40772230019,10295,40759129982
alcatel,TVV,-31,31,2024-09-04 00-04-24,40742847917,-25545,40759253349
alcatel,DWEDv,-92,112,2024-09-04 00-02-49,40749112886,-26316,40719226072
alcatel,QekYc,-99,-86,2024-09-04 00-03-21,40752981891,-23917,40750549924
alcatel,HPNl,-42,-127,2024-09-04 00-02-01,40757630901,-31336,40714512265
alcatel,Jdj,-52,-127,2024-09-04 00-01-22,40799724069,-1965,40734485761
alcatel,fRuxtk,42,18,2024-09-04 00-01-19,40788882075,20636,40720614023
alcatel,IBeHE,67,-24,2024-09-04 00-01-26,40779275282,27709,40781487174
alcatel,tjmFMG,-67,-89,2024-09-04 00-04-19,40732051425,-14254,40769436043
alcatel,amc,-116,-13,2024-09-04 00-01-20,40712957981,-17299,40701363400
alcatel,GPCt,-2,-81,2024-09-04 00-02-16,40782024387,-3380,40765128883
alcatel,JLV,56,-47,2024-09-04 00-04-04,40744229601,-8223,40781179010
alcatel,xKbz,45,-105,2024-09-04 00-04-12,40733957333,17652,40770408900
alcatel,RuAMC,-8,66,2024-09-04 00-01-17,40753890690,-3707,40758995839
alcatel,LKiD,21,24,2024-09-04 00-01-50,40749502450,28145,40729514951
alcatel,XSn,-85,112,2024-09-04 00-01-53,40751337622,29542,40767120674
alcatel,wMeSfi,-56,-3,2024-09-04 00-00-22,40714945098,15417,40763254453
alcatel,zAiD,36,39,2024-09-04 00-03-17,40704138450,-19803,40774044633
alcatel,aqcHcw,-53,-5,2024-09-04 00-03-31,40744398195,21808,40755979126
alcatel,XQn,-96,30,2024-09-04 00-00-10,40757804374,11893,40740028644
alcatel,nAZ,-7,67,2024-09-04 00-03-38,40768152051,-22922,40764404400
alcatel,FybIsL,25,102,2024-09-04 00-02-03,40765989563,23764,40732962701
alcatel,FESV,50,105,2024-09-04 00-00-58,40718471157,28703,40700453900
alcatel,lgC,5,-99,2024-09-04 00-01-39,40778630217,-15494,40779111491
alcatel,jkR,123,43,2024-09-04 00-02-47,40766408211,12547,40701944226
alcatel,rDXNbU,83,71,2024-09-04 00-03-10,40729602343,25092,40773290446
alcatel,quuye,121,-1,2024-09-04 00-03-04,40733115093,27491,40738695464
alcatel,mAkm,107,-123,2024-09-04 00-01-49,40757317380,-14087,40730574306
alcatel,nHf,-80,-25,2024-09-04 00-00-55,40786248716,375,40712195094
alcatel,zdV,85,98,2024-09-04 00-03-27,40728406403,14452,40749438132
alcatel,PMVl,17,-38,2024-09-04 00-03-58,40784448938,-8536,40777705755
alcatel,qrJplV,-86,-57,2024-09-04 00-02-53,40707834975,13420,40759953635
alcatel,tdih,-85,32,2024-09-04 00-00-06,40719331499,6346,40703086317
alcatel,LNJ,67,-91,2024-09-04 00-01-25,40735535403,7472,40729150081
alcatel,WEbtJt,48,83,2024-09-04 00-04-49,40717309036,-12083,40795865238
alcatel,sEoZvO,18,-49,2024-09-04 00-00-40,40722856370,32413,40758239353
