src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,MEhG,-33,24,2024-09-04 00-22-49,40721525187,16063,40740313614
alcatel,mSpIa,-84,-11,2024-09-04 00-20-42,40752838607,20903,40709487056
alcatel,fjB,-93,-47,2024-09-04 00-22-03,40733476559,19166,40753562098
alcatel,ROkj,103,78,2024-09-04 00-21-49,40788517839,-9326,40727566302
alcatel,lIWgzn,76,-125,2024-09-04 00-23-55,40787622256,13837,40707366133
alcatel,boUCEH,40,-58,2024-09-04 00-21-39,40775815871,15023,40703069573
alcatel,Xrhb,-31,77,2024-09-04 00-21-44,40796334399,-17803,40760945820
alcatel,BcTK,-28,-47,2024-09-04 00-23-44,40777012622,21694,40792277268
alcatel,kMT,-127,81,2024-09-04 00-21-00,40797427392,11798,40742925595
alcatel,aRV,-101,-26,2024-09-04 00-24-34,40754846511,4798,40759942603
alcatel,mHvahJ,-114,99,2024-09-04 00-21-34,40733446593,-20828,40765641834
alcatel,bfR,67,20,2024-09-04 00-21-11,40789639316,4543,40701497257
alcatel,LwEsK,-121,-71,2024-09-04 00-24-48,40796049951,-13113,40764105272
alcatel,eWfRx,-114,-46,2024-09-04 00-23-19,40750454598,26287,40724060047
alcatel,LEshJ,45,-34,2024-09-04 00-24-06,40797404702,28808,40742600611
alcatel,pKkmGG,-91,-47,2024-09-04 00-23-14,40794481544,-23454,40722165858
alcatel,Yvzk,103,75,2024-09-04 00-22-12,40741412753,-30541,40744628061
alcatel,tQNK,-110,-89,2024-09-04 00-20-05,40722865447,3872,40789756068
alcatel,Uzs,97,-91,2024-09-04 00-21-01,40796778720,4270,40787706092
alcatel,saNhcb,17,65,2024-09-04 00-20-50,40781170257,-5706,40741013109
alcatel,zDRO,-31,-13,2024-09-04 00-22-12,40781652879,7241,40738618273
alcatel,sSRgBD,90,46,2024-09-04 00-21-08,40708329321,28987,40788579114
alcatel,SvN,118,-69,2024-09-04 00-20-29,40748184630,24799,40782673537
alcatel,fnL,-47,-108,2024-09-04 00-23-28,40770100772,21261,40718314062
alcatel,OlURxG,38,121,2024-09-04 00-24-13,40724439387,2996,40752193618
alcatel,YuMPwY,-42,103,2024-09-04 00-21-23,40740442525,7628,40743566549
alcatel,jSZsF,7,49,2024-09-04 00-20-13,40705735375,-11853,40756244663
alcatel,TQa,-48,76,2024-09-04 00-22-51,40724167714,-633,40701400228
alcatel,nuXzNI,-26,-127,2024-09-04 00-21-21,40794104089,-25191,40740044590
alcatel,VNxcq,19,115,2024-09-04 00-23-12,40786460088,28395,40715239978
alcatel,mRtfv,23,-83,2024-09-04 00-23-40,40740950268,14589,40781554398
alcatel,FmvipF,-38,-54,2024-09-04 00-20-26,40784153535,2530,40701183977
alcatel,TPs,87,-63,2024-09-04 00-22-41,40785686992,-13860,40709503595
alcatel,yBYSUN,-9,97,2024-09-04 00-24-44,40786485398,-19657,40779120826
alcatel,spJd,-65,127,2024-09-04 00-22-11,40750052840,9347,40784490828
alcatel,WFRR,100,3,2024-09-04 00-21-11,40799862413,-29126,40758132473
alcatel,voWZ,-70,27,2024-09-04 00-20-35,40751557725,16646,40798804449
alcatel,ABTO,-123,-15,2024-09-04 00-22-42,40768706092,-18001,40799420917
alcatel,foSD,3,-71,2024-09-04 00-23-33,40739680685,30582,40782979285
alcatel,znNxAb,58,-40,2024-09-04 00-21-32,40748478428,-14532,40780669383
alcatel,nOsB,67,30,2024-09-04 00-20-39,40720676781,-20486,40736758601
alcatel,PbyCp,116,104,2024-09-04 00-24-54,40767642776,-16871,40772398935
alcatel,jsgubR,-84,59,2024-09-04 00-23-02,40781149775,25029,40785285201
alcatel,ZkDJP,-11,-109,2024-09-04 00-22-08,40787694847,5758,40782799201
alcatel,ABhxt,114,-36,2024-09-04 00-20-53,40747892301,2238,40765157579
alcatel,kHicY,-122,126,2024-09-04 00-20-40,40760736218,-6810,40704099799
alcatel,ehAOH,70,-102,2024-09-04 00-22-38,40736468201,-8612,40746035390
alcatel,ilmGzS,-99,33,2024-09-04 00-22-51,40782215179,6946,40735085202
alcatel,XkBMR,79,-3,2024-09-04 00-22-21,40799701867,30641,40794513211
alcatel,pmKbJ,119,-115,2024-09-04 00-23-00,40792242093,26639,40727516884
alcatel,fOLYCA,64,-78,2024-09-04 00-20-30,40774135440,7158,40732085271
alcatel,TTk,-101,36,2024-09-04 00-22-07,40728498991,28508,40757516300
alcatel,PjWr,115,78,2024-09-04 00-20-13,40770095542,15008,40766535109
alcatel,bjbOj,91,-105,2024-09-04 00-20-39,40796684676,16508,40792449564
alcatel,ebOq,-47,-68,2024-09-04 00-22-38,40751574665,30602,40732349283
alcatel,Bde,-31,-64,2024-09-04 00-21-50,40705387594,8339,40787446547
alcatel,abbB,-31,115,2024-09-04 00-22-51,40737170718,-23680,40784677805
alcatel,VOAZC,47,-99,2024-09-04 00-20-53,40725505626,6532,40759733301
alcatel,MUNp,123,-106,2024-09-04 00-24-35,40704605650,11766,40793922499
alcatel,QJei,58,-128,2024-09-04 00-22-07,40771782045,-20831,40748850483
alcatel,eBjAq,-104,31,2024-09-04 00-21-36,40709122919,31382,40759237690
alcatel,PQlV,45,25,2024-09-04 00-22-56,40794174458,30588,40751783069
alcatel,pVEd,-47,40,2024-09-04 00-21-37,40727377030,-77,40707637916
alcatel,PHt,61,-56,2024-09-04 00-20-01,40717021172,-20928,40771157844
alcatel,jLPh,-75,67,2024-09-04 00-23-22,40715289284,29962,40742335946
alcatel,oseQg,-61,19,2024-09-04 00-22-47,40767082202,-19349,40710485167
alcatel,dfsXR,7,120,2024-09-04 00-24-58,40724032858,-3478,40764306764
alcatel,gaHTWP,95,93,2024-09-04 00-24-02,40770163547,-31379,40704549361
alcatel,dBvKr,-5,-118,2024-09-04 00-20-49,40736474391,25988,40765189186
alcatel,tiH,-37,-66,2024-09-04 00-22-13,40765880952,-2880,40777611254
alcatel,GttY,121,75,2024-09-04 00-21-22,40735598665,32245,40781447555
alcatel,tkyt,-111,-87,2024-09-04 00-23-14,40777463636,12991,40768267677
alcatel,VWQk,-121,14,2024-09-04 00-21-28,40787903744,13857,40799622203
alcatel,ifWT,-14,49,2024-09-04 00-23-41,40761823269,-1199,40734161943
alcatel,yAa,-35,8,2024-09-04 00-21-53,40793997714,-30119,40742164659
alcatel,heKu,-61,101,2024-09-04 00-22-32,40784530016,3138,40774644332
alcatel,vgcWY,-118,3,2024-09-04 00-21-20,40796061668,15907,40788213884
alcatel,gkQqAf,109,45,2024-09-04 00-21-53,40709781836,-32561,40777679614
alcatel,sJUOh,-100,-118,2024-09-04 00-23-59,40770533230,-10638,40751610564
alcatel,QNkFUY,54,-1,2024-09-04 00-23-29,40701957184,20536,40702418022
alcatel,BxqS,118,6,2024-09-04 00-21-57,40716115005,26437,40770374581
alcatel,Slt,-64,-79,2024-09-04 00-22-45,40778489072,24608,40775031377
alcatel,Sjt,73,26,2024-09-04 00-20-19,40738945067,-28556,40789653417
alcatel,lDoRtE,-74,48,2024-09-04 00-21-15,40780285900,25852,40785325595
alcatel,rlvD,-124,-95,2024-09-04 00-22-16,40746467559,7020,40754770075
alcatel,Lvcw,-13,-19,2024-09-04 00-22-01,40792332336,6877,40745109336
alcatel,CwRr,-81,-9,2024-09-04 00-24-37,40711746653,-1807,40706739494
alcatel,Tpz,-48,4,2024-09-04 00-21-42,40715759467,24494,40764641271
alcatel,ADhz,-90,-67,2024-09-04 00-20-44,40740370652,5552,40795076823
alcatel,oaUyI,91,51,2024-09-04 00-20-03,40743212987,30697,40771304231
alcatel,cpECg,106,-126,2024-09-04 00-21-33,40792754315,10118,40731496561
alcatel,GBn,45,11,2024-09-04 00-20-42,40722004828,-20416,40746771342
alcatel,RKMfOP,-59,112,2024-09-04 00-20-04,40764016025,-27429,40771686829
alcatel,TgiWP,-23,-80,2024-09-04 00-22-41,40755020024,12834,40795144251
alcatel,hnCBs,85,19,2024-09-04 00-21-04,40759970966,11230,40766250191
alcatel,ouQmT,112,98,2024-09-04 00-21-58,40784322836,-6346,40782233145
alcatel,eIjt,-58,98,2024-09-04 00-20-02,40705219888,262,40727721760
alcatel,CEG,-101,-93,2024-09-04 00-20-15,40750302822,-17661,40729950042
alcatel,BBMH,-44,-123,2024-09-04 00-20-15,40708829305,-3122,40796367159
alcatel,wfNHb,-96,-42,2024-09-04 00-24-36,40734933110,29405,40712069016
alcatel,RWD,-105,-5,2024-09-04 00-23-35,40799384577,28811,40795234117
alcatel,FuRMCM,18,72,2024-09-04 00-22-37,40706303042,2144,40797570999
alcatel,xpI,13,-84,2024-09-04 00-22-58,40771188726,-26652,40708577363
alcatel,OsuQfl,65,83,2024-09-04 00-21-21,40725524738,3131,40771786210
alcatel,OeTm,44,-58,2024-09-04 00-21-59,40773794961,-3944,40774488840
alcatel,trrmc,74,-34,2024-09-04 00-22-02,40718513193,-5046,40776324683
alcatel,YaO,-122,83,2024-09-04 00-23-13,40762983978,-23145,40786019425
alcatel,YLExAP,-90,-120,2024-09-04 00-21-49,40765246504,9712,40797712151
alcatel,UtQhJ,120,106,2024-09-04 00-21-06,40767494667,-11429,40770302934
alcatel,MOTN,127,80,2024-09-04 00-21-15,40701003695,-14206,40719426556
alcatel,jmZbP,-34,21,2024-09-04 00-21-17,40765607029,-21161,40758231453
