src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,bKWE,53,-12,2024-09-04 00-26-46,40790607041,21531,40763094778
alcatel,ctLCQQ,-56,33,2024-09-04 00-28-26,40762916209,13409,40753547680
alcatel,IwLmc,-69,47,2024-09-04 00-25-08,40735114553,21156,40763818151
alcatel,BjkNCf,73,72,2024-09-04 00-26-25,40764015622,-5567,40752358384
alcatel,GEdi,24,99,2024-09-04 00-30-00,40711090663,-29292,40776465154
alcatel,AAVhF,119,58,2024-09-04 00-30-01,40773160819,-21406,40705557952
alcatel,DxWZNw,28,65,2024-09-04 00-27-29,40709906820,-26751,40785762902
alcatel,BiGMZg,-13,-22,2024-09-04 00-25-27,40742600250,21579,40771592476
alcatel,UbQM,-84,-59,2024-09-04 00-27-08,40743310529,6192,40782413754
alcatel,GOQeo,68,38,2024-09-04 00-28-48,40762588117,-27540,40757593227
alcatel,Iqyu,29,-29,2024-09-04 00-27-27,40780972704,-20373,40798383412
alcatel,ipc,-119,81,2024-09-04 00-25-03,40716334977,-11073,40703620884
alcatel,JbDF,105,43,2024-09-04 00-26-02,40743402960,-5284,40710423263
alcatel,IvK,-111,-41,2024-09-04 00-27-58,40757476619,-12107,40764773337
alcatel,HflPBp,69,-5,2024-09-04 00-27-39,40797331512,-28086,40766293358
alcatel,APfOe,67,79,2024-09-04 00-25-18,40719845597,-13952,40716582279
alcatel,OJiZZ,-111,83,2024-09-04 00-27-26,40732912257,10522,40772602945
alcatel,lszk,-11,25,2024-09-04 00-27-20,40784552804,-18449,40754061414
alcatel,iYhP,-35,99,2024-09-04 00-26-09,40709335798,10693,40721739109
alcatel,niM,17,-15,2024-09-04 00-25-40,40723715394,-18947,40740569715
alcatel,Kfr,77,107,2024-09-04 00-30-00,40757651814,10922,40773966849
alcatel,KJy,2,98,2024-09-04 00-26-21,40707147576,-32185,40782906586
alcatel,VswmaA,-57,-27,2024-09-04 00-26-47,40732419573,16233,40788164479
alcatel,OrqZA,46,-59,2024-09-04 00-26-37,40730163131,-11341,40796711157
alcatel,qni,63,30,2024-09-04 00-26-02,40728881432,-1333,40716671185
alcatel,Cwqx,46,-112,2024-09-04 00-25-01,40717139463,21903,40785924600
alcatel,gHthMo,12,-107,2024-09-04 00-27-52,40799751154,23153,40728146698
alcatel,FllC,-124,-43,2024-09-04 00-28-21,40769333161,-18335,40737819601
alcatel,ydZt,46,-78,2024-09-04 00-28-01,40737251028,28621,40791761195
alcatel,aILW,101,63,2024-09-04 00-26-23,40731069769,-7115,40736805833
