src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,uDCi,-89,72,2024-09-04 00-37-36,40780164628,-32046,40794264051
alcatel,GZq,-79,60,2024-09-04 00-36-47,40701302247,-26285,40747319882
alcatel,diFBcD,-93,-5,2024-09-04 00-38-59,40768364043,32200,40766625160
alcatel,kyO,-18,-69,2024-09-04 00-37-03,40779881730,-16149,40717654301
alcatel,lmmmRQ,-64,-73,2024-09-04 00-37-30,40786603231,6221,40703556330
alcatel,VNWlbw,84,-80,2024-09-04 00-38-58,40757793096,4201,40700375399
alcatel,sNegi,-94,-69,2024-09-04 00-37-28,40775522589,-19476,40786997540
alcatel,fRj,-9,-70,2024-09-04 00-37-32,40753771410,5073,40705411812
alcatel,wUGDYB,17,11,2024-09-04 00-38-30,40789974887,28411,40759276940
alcatel,qSX,-5,-86,2024-09-04 00-38-31,40798304291,11764,40720038717
alcatel,AOHX,78,-126,2024-09-04 00-38-26,40762933471,8057,40732761854
alcatel,GIvl,-128,56,2024-09-04 00-35-09,40797775344,-23274,40780405745
alcatel,zMBRG,7,-113,2024-09-04 00-39-14,40729037419,-24730,40766034712
alcatel,RrfQvq,94,-110,2024-09-04 00-37-41,40700832087,-25975,40796360173
alcatel,Ovhx,-87,-46,2024-09-04 00-39-55,40704925001,-26351,40712890509
alcatel,BsoW,-63,85,2024-09-04 00-35-19,40764996312,7188,40792253155
alcatel,cTyK,108,-10,2024-09-04 00-35-42,40751494377,-11979,40796971366
alcatel,ONs,92,-120,2024-09-04 00-36-58,40767236833,23026,40752725612
alcatel,znANN,-41,-56,2024-09-04 00-36-02,40773747159,-13930,40785573794
alcatel,FdR,32,-2,2024-09-04 00-36-53,40751244240,24237,40715826172
alcatel,gnzsJ,-8,-85,2024-09-04 00-36-44,40798437001,-19280,40742131038
alcatel,SDcvr,0,10,2024-09-04 00-35-04,40719274838,-6036,40745062834
alcatel,zreU,33,-102,2024-09-04 00-39-59,40778321843,27795,40734494853
alcatel,nqM,-41,-121,2024-09-04 00-39-16,40781891919,-22469,40761109907
alcatel,cuwfzW,-12,5,2024-09-04 00-39-36,40751874255,-3267,40781115945
alcatel,GPmt,17,34,2024-09-04 00-37-43,40742446985,26654,40767039132
alcatel,xQpAtH,-75,-1,2024-09-04 00-39-14,40772907104,-18583,40797720519
alcatel,taxQ,-85,12,2024-09-04 00-39-48,40745945673,-10607,40769263357
alcatel,smql,99,-99,2024-09-04 00-35-40,40791393519,30755,40797435144
alcatel,PUqTx,-45,-94,2024-09-04 00-35-03,40787321998,10208,40780934251
alcatel,hCgSUb,95,41,2024-09-04 00-39-12,40703607705,28049,40795255535
alcatel,PgfmGn,-84,59,2024-09-04 00-35-51,40731330245,31454,40778490071
alcatel,WWxpR,11,20,2024-09-04 00-36-23,40720138632,23548,40741702624
alcatel,kHaeP,91,-27,2024-09-04 00-35-09,40726786780,31233,40778346227
alcatel,PhMdUf,74,99,2024-09-04 00-35-01,40756896144,-21499,40725717415
alcatel,CVf,126,30,2024-09-04 00-36-17,40755079318,14454,40755780360
alcatel,ZQxK,-24,-96,2024-09-04 00-36-15,40770177195,9294,40746658032
alcatel,ZhnSoA,107,20,2024-09-04 00-37-09,40710227566,-4197,40717443456
alcatel,peAs,53,-14,2024-09-04 00-38-45,40722514037,21223,40745596498
alcatel,yooRDL,-95,20,2024-09-04 00-38-38,40776274635,30946,40728574483
alcatel,SPb,-61,-100,2024-09-04 00-37-32,40744756683,9703,40728851351
alcatel,IGrZ,-41,-76,2024-09-04 00-38-07,40751361350,23842,40754199081
alcatel,mej,18,-62,2024-09-04 00-37-14,40736284883,-25935,40714937325
alcatel,rHbI,50,-13,2024-09-04 00-35-37,40776970258,6139,40745025815
alcatel,OTbVnS,104,16,2024-09-04 00-35-21,40706348194,14698,40784693684
alcatel,CWFVh,-67,57,2024-09-04 00-36-01,40713512420,20278,40701092714
alcatel,DjSF,-89,126,2024-09-04 00-35-51,40718402190,30632,40724663938
alcatel,tpDt,28,-6,2024-09-04 00-35-11,40740051202,13419,40749784183
alcatel,bNlkB,-64,-74,2024-09-04 00-36-35,40708969928,29509,40707456825
alcatel,RFS,-96,-59,2024-09-04 00-35-17,40759576298,-26974,40708252525
alcatel,tBxz,89,-114,2024-09-04 00-35-17,40726817157,-21343,40775239669
alcatel,HXUo,-70,-3,2024-09-04 00-39-16,40719488935,-7994,40737405140
alcatel,smX,65,-34,2024-09-04 00-39-25,40704550726,26798,40761473769
alcatel,IMsU,-17,113,2024-09-04 00-36-39,40743001594,-28607,40797704511
alcatel,XumH,-80,-124,2024-09-04 00-39-24,40773985037,3494,40762250105
alcatel,JAUj,-16,-50,2024-09-04 00-38-21,40783808570,3443,40709203470
alcatel,PuxO,108,-103,2024-09-04 00-37-05,40797095394,-1065,40766551784
alcatel,qKNQ,-75,113,2024-09-04 00-38-39,40755436818,-17445,40788016264
alcatel,hpY,-37,-73,2024-09-04 00-35-25,40753914882,-6345,40793867892
alcatel,JNDEUS,-115,-51,2024-09-04 00-36-30,40741180241,-13895,40770933200
alcatel,Uia,79,-66,2024-09-04 00-39-19,40772773131,-1022,40720613466
alcatel,aMFtqJ,46,122,2024-09-04 00-38-31,40778169652,-24889,40723302300
alcatel,HKlV,60,48,2024-09-04 00-39-36,40730064436,-14559,40746293314
alcatel,NfwS,104,122,2024-09-04 00-36-40,40724794311,-29070,40735430546
alcatel,ZNHrZ,7,9,2024-09-04 00-36-54,40777576370,-22707,40724391939
alcatel,PUld,118,-23,2024-09-04 00-35-22,40726242608,16662,40734295717
alcatel,qipE,110,-75,2024-09-04 00-39-41,40766911092,-16010,40739081258
alcatel,klCTJR,24,67,2024-09-04 00-36-06,40789416281,-13688,40728087920
alcatel,ytqSu,-121,-69,2024-09-04 00-39-07,40781437437,-15331,40701816629
alcatel,XYDXTH,-35,-128,2024-09-04 00-35-35,40788919161,4947,40798374696
alcatel,eKgfC,102,100,2024-09-04 00-36-47,40714907831,226,40722041215
alcatel,EfdfB,-73,49,2024-09-04 00-37-11,40723193357,-29793,40710882044
alcatel,DIYF,-73,124,2024-09-04 00-38-13,40719461424,12560,40705753431
alcatel,ElIiX,-63,24,2024-09-04 00-35-16,40714140329,-31963,40715268924
alcatel,VVTi,-38,4,2024-09-04 00-38-59,40753702802,24348,40755738889
alcatel,FrNuBY,-70,45,2024-09-04 00-38-49,40713141966,-7682,40705957176
alcatel,zxyP,-66,-96,2024-09-04 00-39-48,40745226355,18222,40734490209
alcatel,nSZv,38,66,2024-09-04 00-38-48,40751285695,17065,40718545938
alcatel,sCP,9,38,2024-09-04 00-36-40,40784658919,-26132,40735894172
alcatel,OSAvQf,109,124,2024-09-04 00-38-18,40763008922,-27115,40795598852
alcatel,JrHST,-48,37,2024-09-04 00-36-26,40786411528,16410,40752145434
alcatel,sNAPz,-93,7,2024-09-04 00-39-14,40708460365,-32516,40700253826
alcatel,zptnH,-92,-103,2024-09-04 00-35-47,40774482786,-13813,40782275126
alcatel,wumIEv,65,-53,2024-09-04 00-39-07,40764923059,31026,40772432354
alcatel,MwHsxq,-69,62,2024-09-04 00-35-47,40776404742,32465,40769877743
alcatel,yVc,-46,-25,2024-09-04 00-35-20,40782217828,5274,40700471675
alcatel,sdtSP,101,-107,2024-09-04 00-38-21,40716128264,29089,40776713423
alcatel,CqAl,-93,-30,2024-09-04 00-38-33,40720058507,13607,40722630165
alcatel,IYCHA,67,-94,2024-09-04 00-36-48,40740519193,21043,40764600661
alcatel,FdF,-81,-92,2024-09-04 00-35-09,40718552503,-8653,40734565591
alcatel,TSMvo,126,-123,2024-09-04 00-36-34,40768687778,17248,40731014542
alcatel,CVpdU,-22,96,2024-09-04 00-35-21,40727205105,-11463,40717240294
alcatel,GBPqj,-56,-126,2024-09-04 00-38-42,40768149288,-918,40740870344
alcatel,rVS,-83,108,2024-09-04 00-39-01,40774792361,-23411,40758737663
alcatel,hvF,103,28,2024-09-04 00-38-34,40741253818,8847,40761753112
alcatel,WwJXLG,23,29,2024-09-04 00-35-06,40751511224,-14986,40785044744
alcatel,SVVb,27,-115,2024-09-04 00-35-12,40781200716,-17127,40732455797
alcatel,hcHF,-119,48,2024-09-04 00-39-01,40741269936,-30854,40795578556
alcatel,SWh,100,-59,2024-09-04 00-36-13,40701356441,-4365,40783485079
alcatel,gxWKif,115,2,2024-09-04 00-39-06,40787433419,-16061,40704959267
alcatel,enW,-62,95,2024-09-04 00-36-21,40713849696,-14795,40723964750
alcatel,VEM,10,91,2024-09-04 00-39-26,40734925923,-817,40755700280
