src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,DxxF,44,-12,2024-09-04 00-40-06,40725931489,13490,40793381340
alcatel,KLzJA,7,-58,2024-09-04 00-44-14,40796327625,-15425,40764714660
alcatel,atm,104,-100,2024-09-04 00-42-10,40794715937,-19665,40720132047
alcatel,nBwLr,110,117,2024-09-04 00-42-09,40755168800,-10930,40700213776
alcatel,sWd,74,126,2024-09-04 00-41-05,40745935560,7069,40712791167
alcatel,FPyjMk,-119,-14,2024-09-04 00-43-27,40779193445,-30375,40705970592
alcatel,nCE,67,108,2024-09-04 00-44-40,40738582418,-17955,40768761160
alcatel,CbQLTA,4,59,2024-09-04 00-40-17,40775054003,4378,40718495236
alcatel,NjSvW,-63,-96,2024-09-04 00-40-25,40716630494,27353,40789637522
alcatel,ONaf,14,-57,2024-09-04 00-41-08,40795172561,-31188,40733907105
alcatel,WFDcRz,79,125,2024-09-04 00-41-05,40766002256,121,40728940217
alcatel,vUVOGY,-30,35,2024-09-04 00-43-48,40721157319,-24126,40754771939
alcatel,kjGLW,83,-109,2024-09-04 00-41-41,40706052846,-3465,40781431767
alcatel,Gaw,-105,-65,2024-09-04 00-43-50,40714121520,-21648,40705214648
alcatel,xHIdnO,-62,13,2024-09-04 00-44-46,40782348842,-8766,40713858002
alcatel,caff,-86,60,2024-09-04 00-41-07,40783842634,1625,40760768119
alcatel,affJi,-113,43,2024-09-04 00-41-37,40788903699,-28222,40702544631
alcatel,reY,-10,-120,2024-09-04 00-43-55,40739264772,12861,40723412940
alcatel,XEPkP,36,-85,2024-09-04 00-44-54,40745285379,6010,40700189262
alcatel,tVhk,12,-69,2024-09-04 00-43-29,40740901258,18188,40798506722
alcatel,PuHaUA,90,-98,2024-09-04 00-43-43,40724372975,153,40757909986
alcatel,PpfcQ,-100,-17,2024-09-04 00-40-05,40703898618,-16336,40793137798
alcatel,WQYe,102,-15,2024-09-04 00-42-43,40799312788,11321,40753068315
alcatel,wPICGa,-11,52,2024-09-04 00-42-17,40753500367,10953,40743904112
alcatel,cfJHlZ,116,69,2024-09-04 00-42-27,40783242960,-25852,40759689940
alcatel,xiY,72,-75,2024-09-04 00-43-33,40757583794,-32520,40793551954
alcatel,ggKwZE,62,9,2024-09-04 00-40-48,40784848384,27745,40750889156
alcatel,NFRL,118,102,2024-09-04 00-43-42,40738591060,-22270,40786940368
alcatel,VtV,-43,50,2024-09-04 00-42-14,40719985895,-3924,40720272137
alcatel,ffb,-61,35,2024-09-04 00-41-21,40752307901,-15087,40787512798
alcatel,QOyXtk,72,33,2024-09-04 00-40-25,40726735155,-2511,40786653007
alcatel,ligF,20,53,2024-09-04 00-44-45,40713709514,7611,40706657818
alcatel,GOtk,-80,66,2024-09-04 00-42-28,40728887458,28666,40763521905
alcatel,sfo,-12,-17,2024-09-04 00-41-00,40785622180,16499,40707999725
alcatel,ExFwl,7,81,2024-09-04 00-40-23,40727700230,15171,40738012759
alcatel,rxpfJM,-42,111,2024-09-04 00-43-29,40725381707,-16587,40766802440
alcatel,HCw,-76,23,2024-09-04 00-44-38,40763716220,16421,40766893074
alcatel,aGGFNk,-78,-45,2024-09-04 00-43-39,40761795398,26331,40769567168
alcatel,brlLD,14,54,2024-09-04 00-43-29,40705412119,29896,40796748113
alcatel,wzq,-114,-76,2024-09-04 00-40-29,40762055183,16717,40736091791
alcatel,gUzAj,-77,-68,2024-09-04 00-42-26,40730974082,-6453,40730170560
alcatel,VHM,125,73,2024-09-04 00-42-38,40738229543,10900,40739469298
alcatel,MaZVP,-53,13,2024-09-04 00-44-53,40743833160,14667,40729232344
alcatel,ADkb,-96,30,2024-09-04 00-44-33,40706868339,-3660,40749854136
alcatel,nbuVHJ,89,-62,2024-09-04 00-40-28,40748437331,-16181,40715533396
alcatel,wPrCmH,-10,0,2024-09-04 00-44-11,40767146964,-5331,40715741660
alcatel,Kjptf,-48,-119,2024-09-04 00-42-46,40722574228,-15611,40716108211
alcatel,pCLIFb,-47,-73,2024-09-04 00-44-33,40784936507,-18605,40745356550
alcatel,Mxp,120,43,2024-09-04 00-44-34,40709459293,-11799,40751230722
alcatel,lkofoH,-6,92,2024-09-04 00-42-14,40765049638,15931,40776988566
alcatel,BIdNeK,122,-62,2024-09-04 00-41-47,40749499004,6407,40734856457
alcatel,GGnvq,-63,114,2024-09-04 00-42-36,40799821471,-12032,40798393942
alcatel,lgzi,-108,94,2024-09-04 00-42-43,40725858819,-5455,40771146946
alcatel,YpeJX,-104,83,2024-09-04 00-42-36,40756856783,-28986,40732460679
alcatel,ErgbwR,-27,89,2024-09-04 00-42-27,40715832259,-30239,40791416486
alcatel,IJOjR,64,-118,2024-09-04 00-42-23,40787143374,373,40782907328
alcatel,SoMFP,-53,-45,2024-09-04 00-42-50,40713043829,12506,40796329035
alcatel,wvV,-11,80,2024-09-04 00-41-22,40771602608,3053,40778223415
alcatel,gjl,-98,35,2024-09-04 00-41-19,40793156334,20883,40747179565
alcatel,dVBy,-3,72,2024-09-04 00-43-30,40731433356,-19836,40790589001
alcatel,yAGIpO,-65,1,2024-09-04 00-43-25,40718821003,10456,40786393443
alcatel,czN,11,7,2024-09-04 00-42-33,40762909865,-21282,40712796411
alcatel,Nir,74,-10,2024-09-04 00-41-37,40743836685,-29655,40790755075
alcatel,oFDy,-40,-96,2024-09-04 00-41-03,40780105631,-2515,40713573155
alcatel,Haziv,-7,44,2024-09-04 00-42-07,40758344250,-12604,40755382880
alcatel,FpK,-10,-103,2024-09-04 00-40-17,40730632293,-6217,40779384118
alcatel,xEksU,-92,68,2024-09-04 00-43-35,40701814829,26672,40750621313
alcatel,ACPA,69,17,2024-09-04 00-40-44,40791768179,10446,40703836880
alcatel,lOKxMX,110,45,2024-09-04 00-44-02,40772908709,-7203,40723639405
alcatel,lvmULa,36,7,2024-09-04 00-44-16,40783483282,19989,40758568590
alcatel,fAuj,8,-112,2024-09-04 00-40-40,40716275383,16968,40700260312
alcatel,tAUAWx,-61,-15,2024-09-04 00-44-31,40794013035,13336,40784937962
alcatel,sENq,-34,-18,2024-09-04 00-43-35,40714251495,24485,40738702973
alcatel,nmg,-20,-88,2024-09-04 00-42-54,40748436077,5384,40732736569
alcatel,NsysFj,65,21,2024-09-04 00-42-34,40741629066,-25474,40727847065
alcatel,kCOx,-112,-25,2024-09-04 00-42-18,40755777518,14427,40736677215
alcatel,zqWD,-28,74,2024-09-04 00-40-28,40791128590,-6411,40744961204
alcatel,GhLh,100,109,2024-09-04 00-40-33,40734309931,6852,40760869241
alcatel,OLNEX,-101,95,2024-09-04 00-44-06,40770189340,19960,40747631252
alcatel,CLShg,108,68,2024-09-04 00-41-53,40732333284,20135,40711537309
alcatel,Fzh,-124,-35,2024-09-04 00-43-47,40751800045,-6663,40767745811
alcatel,NDo,109,-81,2024-09-04 00-41-25,40764855869,25853,40785659448
alcatel,XlYua,-10,-40,2024-09-04 00-40-13,40717291663,-32074,40701860556
alcatel,UDlov,-108,-88,2024-09-04 00-40-41,40774638440,18784,40781493684
alcatel,FwTm,76,-69,2024-09-04 00-43-33,40766970913,-20341,40771667047
alcatel,ElJNeO,-4,-10,2024-09-04 00-43-34,40728671662,-8248,40787971452
alcatel,TXFtxS,-113,124,2024-09-04 00-40-03,40733760083,-17976,40750955108
alcatel,Bwe,-47,62,2024-09-04 00-44-31,40722244731,-29644,40718343495
alcatel,mOE,44,-57,2024-09-04 00-42-12,40788316251,-17815,40717894210
alcatel,zPzFd,61,11,2024-09-04 00-42-37,40717117775,-11832,40701788535
alcatel,IZaMf,-20,100,2024-09-04 00-40-21,40787557940,-9526,40750956343
alcatel,NNvl,79,63,2024-09-04 00-44-45,40780927497,-3602,40745114929
alcatel,ntd,30,54,2024-09-04 00-42-05,40765261117,13092,40790760001
alcatel,FKRjQ,-114,-46,2024-09-04 00-42-55,40730407284,7732,40714335255
alcatel,HWhI,34,4,2024-09-04 00-41-03,40765901550,-17118,40790927190
alcatel,gjn,-29,-37,2024-09-04 00-44-09,40748674893,4822,40715478078
alcatel,bRyN,-68,-25,2024-09-04 00-41-23,40725126054,1465,40713088452
alcatel,MkHp,16,40,2024-09-04 00-44-57,40743300333,-22059,40789904513
alcatel,hCZjo,-3,30,2024-09-04 00-44-46,40784355666,-1564,40728307625
alcatel,rdtY,117,-122,2024-09-04 00-40-19,40791829546,3624,40730304381
alcatel,SmE,-62,85,2024-09-04 00-42-35,40706472598,3491,40739877817
alcatel,uxbIa,59,33,2024-09-04 00-42-58,40741666209,14079,40797097083
alcatel,PRUpE,118,-42,2024-09-04 00-40-14,40707792971,24957,40785578451
alcatel,VPznj,-40,42,2024-09-04 00-44-13,40798153487,-14422,40795066193
alcatel,XbF,75,-43,2024-09-04 00-44-36,40741638721,3150,40744361092
alcatel,UPP,25,-28,2024-09-04 00-41-51,40788341210,13027,40790534418
alcatel,JYwvH,23,51,2024-09-04 00-42-02,40724612104,-26365,40792236465
alcatel,xiJ,31,93,2024-09-04 00-40-40,40742195448,-29539,40739014225
alcatel,SrskSx,97,-18,2024-09-04 00-43-18,40757724182,-23831,40738221807
alcatel,neGex,13,68,2024-09-04 00-42-29,40746500591,14005,40785723967
alcatel,AVFLR,37,18,2024-09-04 00-42-18,40703876131,-13646,40742554925
alcatel,uJFiYw,-86,72,2024-09-04 00-43-24,40786136831,-540,40741876801
alcatel,yNrSV,-16,-105,2024-09-04 00-40-45,40702180439,15956,40741685988
alcatel,AhxjJ,108,91,2024-09-04 00-44-27,40701091774,-7664,40736894764
alcatel,Ihr,-31,60,2024-09-04 00-40-18,40738014717,26874,40740984281
alcatel,zUnoA,-95,-112,2024-09-04 00-40-16,40702046189,-11069,40789746407
alcatel,KRQg,120,66,2024-09-04 00-43-41,40790160442,12041,40712989834
alcatel,oSoty,-109,6,2024-09-04 00-43-41,40758477519,-812,40779474891
alcatel,xsAMvN,45,80,2024-09-04 00-43-07,40776498983,-31604,40740856276
alcatel,xpaGc,15,-72,2024-09-04 00-43-17,40725953178,8445,40735274206
alcatel,taOf,-3,117,2024-09-04 00-44-48,40732617243,20442,40793530801
alcatel,kBKJuj,-100,-90,2024-09-04 00-44-34,40711997204,-32458,40716978495
alcatel,kVMzPL,102,-99,2024-09-04 00-41-22,40763899962,-1713,40769804193
alcatel,ThwYhZ,73,88,2024-09-04 00-44-10,40768888158,-9272,40789564195
alcatel,dBZMe,-13,73,2024-09-04 00-40-11,40773496717,29464,40762659955
alcatel,YjamrW,-31,-44,2024-09-04 00-42-33,40718702731,-11541,40769048936
alcatel,YjF,-64,-12,2024-09-04 00-42-01,40796077872,19433,40783116948
alcatel,pLrId,-74,97,2024-09-04 00-44-44,40737035392,26393,40705758327
alcatel,CVdNNO,-88,-50,2024-09-04 00-42-40,40775565362,-16602,40731832689
alcatel,pPgK,14,-34,2024-09-04 00-40-38,40790474222,7923,40755378230
alcatel,ulh,28,37,2024-09-04 00-44-43,40719118211,-26385,40780509066
alcatel,iOlxjY,114,59,2024-09-04 00-43-28,40700687766,-29393,40796557063
alcatel,LVtP,-122,76,2024-09-04 00-42-35,40770354026,-18779,40765582137
alcatel,VjWc,18,64,2024-09-04 00-43-00,40736268927,24484,40729407335
alcatel,rPBS,35,-82,2024-09-04 00-41-38,40789467309,-25452,40734547975
alcatel,wiNzT,-61,79,2024-09-04 00-42-44,40716553071,-6025,40759220557
alcatel,nPpYY,-64,-65,2024-09-04 00-43-52,40708837440,7347,40762799988
alcatel,CyLH,25,72,2024-09-04 00-40-28,40754945103,30009,40722362964
alcatel,jWNJzB,1,30,2024-09-04 00-43-54,40735124092,-23410,40765057921
alcatel,JhrBaD,-24,-105,2024-09-04 00-43-47,40737349888,-6953,40782799786
alcatel,KMK,102,60,2024-09-04 00-40-45,40752689690,4631,40742026736
alcatel,HPIut,-34,-35,2024-09-04 00-40-21,40779620297,-13579,40735837963
alcatel,eHLQ,71,-26,2024-09-04 00-41-07,40770761134,-17513,40702183625
alcatel,gsl,-23,43,2024-09-04 00-42-21,40765341288,-16576,40782040328
alcatel,Eer,95,-18,2024-09-04 00-42-39,40796331503,-26404,40760562805
alcatel,sLCAzN,-91,-89,2024-09-04 00-41-46,40725838800,32727,40785686872
alcatel,BJun,59,-122,2024-09-04 00-41-23,40779024764,-18564,40731465245
alcatel,knSzJ,14,-97,2024-09-04 00-44-47,40756459341,13203,40775161471
alcatel,bWR,0,2,2024-09-04 00-41-24,40759184639,6693,40730834248
alcatel,csiP,74,25,2024-09-04 00-42-07,40794112552,-17107,40744024026
alcatel,NXDQ,67,-83,2024-09-04 00-41-43,40774902364,19844,40799257721
alcatel,lxk,-24,62,2024-09-04 00-43-50,40717986825,-25461,40771887242
alcatel,qtVVn,-81,-114,2024-09-04 00-42-45,40761614039,24710,40727699610
alcatel,UhkM,-49,-38,2024-09-04 00-41-02,40733717092,27930,40768464822
alcatel,Uqri,-4,13,2024-09-04 00-44-33,40758778636,27592,40774963540
alcatel,PALmCT,72,4,2024-09-04 00-41-37,40754603812,-22604,40778284801
alcatel,ubSKiA,83,-35,2024-09-04 00-40-25,40752394066,-19915,40708931939
alcatel,TpHASx,-64,65,2024-09-04 00-41-08,40706633258,23449,40700444833
alcatel,CwhnwA,-59,-34,2024-09-04 00-41-11,40766234716,-11666,40733156390
alcatel,qgJqB,126,91,2024-09-04 00-43-59,40704509972,-26535,40741531196
alcatel,ZEMWwB,-124,98,2024-09-04 00-43-15,40704073482,22640,40759388131
alcatel,bKpWmF,-51,34,2024-09-04 00-40-32,40798168345,30798,40721978066
alcatel,zjG,-120,87,2024-09-04 00-40-51,40713766144,8588,40750778937
