src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,OodWoc,24,-31,2024-09-04 01-01-37,40737666964,-24517,40709997683
alcatel,ITgIJF,114,3,2024-09-04 01-02-42,40744755170,6927,40774335105
alcatel,cUyd,-34,55,2024-09-04 01-03-34,40733177710,-979,40794300936
alcatel,aAq,-128,19,2024-09-04 01-03-25,40741571495,11566,40795605010
alcatel,GScZ,-102,-46,2024-09-04 01-00-21,40748328362,2434,40720303724
alcatel,ZNBe,9,-126,2024-09-04 01-01-29,40754909074,-19844,40719679377
alcatel,ExLxS,117,106,2024-09-04 01-04-53,40738854299,26140,40716100787
alcatel,hlRLv,14,114,2024-09-04 01-04-53,40778708888,-16798,40737843401
alcatel,iCK,-57,115,2024-09-04 01-00-14,40783715587,25364,40704850826
alcatel,csh,60,-115,2024-09-04 01-03-21,40791782564,12828,40732906579
alcatel,EWPy,-116,-106,2024-09-04 01-02-30,40777985293,25755,40751388838
alcatel,HDru,-125,-103,2024-09-04 01-03-46,40771226152,-5062,40729220143
alcatel,ktrdl,28,-70,2024-09-04 01-04-20,40726736419,-8379,40749483631
alcatel,JQPY,-20,15,2024-09-04 01-00-09,40787508701,-23268,40799588496
alcatel,jzJ,-46,-53,2024-09-04 01-03-30,40707165678,11847,40732801289
alcatel,gsqid,-52,45,2024-09-04 01-02-46,40779189314,24252,40763749420
alcatel,sKWKOi,62,-56,2024-09-04 01-01-49,40702941450,17224,40743069235
alcatel,PPtb,68,-83,2024-09-04 01-04-52,40742721128,3104,40712652583
alcatel,ZPRBP,-46,-38,2024-09-04 01-03-42,40796258112,5832,40781238476
alcatel,RNfb,119,49,2024-09-04 01-03-21,40706194515,-1351,40745381836
alcatel,Juj,-28,39,2024-09-04 01-01-16,40729738893,-9456,40732486809
alcatel,HbPTa,49,112,2024-09-04 01-00-15,40718554439,-21158,40791913577
alcatel,tIt,-34,-92,2024-09-04 01-03-31,40761238490,2205,40794379332
alcatel,gDrgbM,72,-108,2024-09-04 01-02-11,40722409234,19160,40703951969
alcatel,nwjleX,40,-78,2024-09-04 01-00-21,40783801686,22714,40786667159
alcatel,MJqAv,-127,34,2024-09-04 01-01-49,40771789064,7368,40763848100
alcatel,dOdwjF,-71,12,2024-09-04 01-04-59,40702588559,-19745,40730473429
alcatel,yKyfK,120,109,2024-09-04 01-02-36,40725819915,4705,40769401046
alcatel,zoDuY,56,47,2024-09-04 01-02-30,40788512188,-23418,40773177436
alcatel,AluAi,103,42,2024-09-04 01-04-44,40767308747,-25962,40767122485
alcatel,lwWgXn,-79,-104,2024-09-04 01-04-27,40793993869,21492,40797085587
alcatel,kZxk,103,-74,2024-09-04 01-04-12,40736645673,-28198,40732745560
alcatel,xmVT,94,103,2024-09-04 01-03-28,40714310699,8832,40727517948
alcatel,HlB,-105,-103,2024-09-04 01-03-03,40770182170,-239,40749527554
alcatel,PGR,-108,126,2024-09-04 01-00-28,40746749141,14565,40741251167
alcatel,ZtGdmJ,20,104,2024-09-04 01-03-13,40799752149,13849,40774574770
alcatel,gYwXry,-17,-104,2024-09-04 01-02-16,40714082257,8712,40737393390
alcatel,Gfy,-77,106,2024-09-04 01-00-28,40768554066,24024,40790197840
alcatel,VTZ,-26,-82,2024-09-04 01-02-07,40714239339,-23224,40798767106
alcatel,FstRl,-40,-63,2024-09-04 01-03-47,40798835977,23503,40757233502
alcatel,cLbGk,-80,-97,2024-09-04 01-00-47,40726700717,-15299,40730686012
alcatel,HzwghI,33,-74,2024-09-04 01-01-50,40768473860,2054,40700170002
alcatel,KipLyQ,-44,-14,2024-09-04 01-03-26,40727027254,14897,40748131744
alcatel,lfe,-87,-80,2024-09-04 01-03-54,40778810015,22534,40717048373
alcatel,mryRU,37,-65,2024-09-04 01-03-06,40754002296,-9136,40725064917
alcatel,Lqwx,116,21,2024-09-04 01-00-35,40739800042,-28472,40766587687
alcatel,kwI,23,-48,2024-09-04 01-01-30,40766892614,8581,40757969481
alcatel,PxprT,-71,126,2024-09-04 01-00-11,40701571815,-13314,40794652419
alcatel,rqUTB,101,115,2024-09-04 01-03-17,40731164657,-29173,40722972169
alcatel,KWAy,-40,-91,2024-09-04 01-02-45,40790374889,-27047,40776345735
alcatel,MHwQxi,-10,76,2024-09-04 01-04-47,40715317646,-10452,40770684962
alcatel,uQbhl,-65,92,2024-09-04 01-04-43,40745210249,-15541,40798776277
alcatel,TCDl,-126,118,2024-09-04 01-04-12,40785132530,10897,40739017639
alcatel,tSzNO,-117,-50,2024-09-04 01-01-55,40787709361,-1677,40732065082
alcatel,Xpb,93,-50,2024-09-04 01-03-49,40788477746,25750,40711810377
alcatel,Ozvo,-9,-121,2024-09-04 01-00-41,40710492492,-27949,40717650516
alcatel,rREy,33,114,2024-09-04 01-00-48,40775490408,-16128,40736195483
alcatel,CdN,114,-121,2024-09-04 01-04-19,40717625705,24300,40723649087
alcatel,TdFDZQ,-20,-72,2024-09-04 01-03-05,40794511005,-27524,40702352968
alcatel,dQX,-38,-61,2024-09-04 01-00-47,40701232973,-12883,40737853533
alcatel,pGNkG,-120,125,2024-09-04 01-00-08,40702791100,27813,40702498949
alcatel,KdqN,83,-91,2024-09-04 01-01-26,40793619541,30704,40750813724
alcatel,CmOHy,-128,82,2024-09-04 01-02-11,40789555400,11411,40732456509
alcatel,mwI,-98,-9,2024-09-04 01-03-16,40710036528,-12608,40710626862
alcatel,CHINV,94,-39,2024-09-04 01-01-23,40777972830,31480,40719785018
alcatel,qFu,-93,35,2024-09-04 01-02-55,40717859404,-10895,40754618353
alcatel,jUkgJ,21,109,2024-09-04 01-01-20,40771097185,28349,40793094090
alcatel,dWFV,-120,40,2024-09-04 01-01-39,40716971476,8641,40737946589
alcatel,Sfp,-109,35,2024-09-04 01-00-17,40755118552,-8547,40797303809
alcatel,NSaTs,-14,116,2024-09-04 01-04-42,40722644984,25111,40754278197
alcatel,SpBdpR,103,-124,2024-09-04 01-00-08,40797044376,-7633,40782002731
alcatel,IqPY,-106,97,2024-09-04 01-01-39,40733341234,-18865,40792987397
alcatel,dDHf,104,-93,2024-09-04 01-04-33,40712063155,24305,40725262191
alcatel,GswtPV,-7,-86,2024-09-04 01-04-55,40781869299,-19130,40730546834
alcatel,DVAFh,-58,33,2024-09-04 01-04-11,40726030980,-16556,40757089693
