src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,pyi,-79,126,2024-09-04 01-19-52,40794787808,-4894,40758935910
alcatel,PUaPL,8,-122,2024-09-04 01-17-26,40781941621,26395,40751227020
alcatel,AcOKF,28,-14,2024-09-04 01-18-27,40794233077,30961,40738409884
alcatel,tCtf,75,7,2024-09-04 01-17-44,40799470575,-25231,40706438865
alcatel,FKhg,-56,46,2024-09-04 01-15-43,40765231146,-1561,40781490530
alcatel,OHxpcK,98,-101,2024-09-04 01-19-30,40775975469,-18699,40705359027
alcatel,tEFrq,17,11,2024-09-04 01-18-44,40786839578,8344,40732294500
alcatel,CNDM,58,82,2024-09-04 01-17-08,40764431715,-8987,40723767198
alcatel,rmR,-76,-80,2024-09-04 01-18-35,40759971455,-8086,40717507252
alcatel,iRxts,-105,-25,2024-09-04 01-16-46,40767340698,25072,40706668691
alcatel,XhwC,39,99,2024-09-04 01-17-11,40729325351,-21027,40709733450
alcatel,eESr,-95,19,2024-09-04 01-15-55,40715675331,30087,40785453993
alcatel,QWDXW,-59,0,2024-09-04 01-15-55,40798955977,9705,40797985531
alcatel,ZMT,-22,-82,2024-09-04 01-17-17,40781756068,18565,40724187718
alcatel,NOnG,91,102,2024-09-04 01-15-19,40712199498,14873,40759436108
alcatel,lLq,64,60,2024-09-04 01-16-08,40706800075,18325,40714109279
alcatel,ydkVn,48,125,2024-09-04 01-19-32,40735358987,-25141,40754041729
alcatel,PLxm,79,-76,2024-09-04 01-19-33,40751528038,-9508,40751378760
alcatel,XHeTy,120,-35,2024-09-04 01-18-15,40750924168,-9372,40761304367
alcatel,onkINk,39,5,2024-09-04 01-17-03,40728145830,-23102,40708410717
alcatel,qjtC,47,58,2024-09-04 01-16-25,40753128678,16122,40778432816
alcatel,sFJo,-71,-55,2024-09-04 01-16-04,40774712283,14364,40749699364
alcatel,Tweq,91,51,2024-09-04 01-15-17,40786734611,8253,40708797958
alcatel,WNuh,-31,-48,2024-09-04 01-19-08,40732885756,25074,40704018228
alcatel,dFmYp,-28,89,2024-09-04 01-18-10,40783790356,-18359,40755831362
alcatel,DgxPX,-103,121,2024-09-04 01-17-02,40774702702,-10582,40726052052
alcatel,fYyW,46,7,2024-09-04 01-19-26,40750710274,8129,40773437017
alcatel,DSg,25,125,2024-09-04 01-17-05,40708579813,13478,40731332094
alcatel,ZqdjS,64,-80,2024-09-04 01-19-46,40731579676,28792,40737266608
alcatel,NGwoj,-117,12,2024-09-04 01-18-54,40767811391,24249,40771156205
alcatel,tIX,54,42,2024-09-04 01-15-40,40717033145,-18315,40725238267
alcatel,NClxW,66,-52,2024-09-04 01-18-32,40746561396,-8821,40748013213
alcatel,encHg,34,52,2024-09-04 01-18-22,40788707068,-1206,40755251262
alcatel,aFs,-34,-111,2024-09-04 01-15-09,40775924550,32655,40705963045
alcatel,Pzu,114,74,2024-09-04 01-16-22,40739750584,-4032,40771213819
alcatel,gKzSf,16,35,2024-09-04 01-18-08,40779039860,-3475,40720439501
alcatel,BnCDN,116,-119,2024-09-04 01-15-46,40774988684,23319,40768250487
alcatel,NUZ,116,44,2024-09-04 01-17-05,40793577763,21822,40745231711
alcatel,bFJzc,-128,-30,2024-09-04 01-18-24,40719651933,25042,40785509156
alcatel,OxzUeD,-48,20,2024-09-04 01-17-24,40771299107,20566,40780410877
alcatel,kizj,-97,77,2024-09-04 01-15-44,40753716322,-6825,40752927454
alcatel,XFUnS,96,-63,2024-09-04 01-15-54,40775331441,19236,40788214813
alcatel,NpwQwI,-23,-51,2024-09-04 01-16-32,40718872969,23420,40738407713
alcatel,qxx,-85,-34,2024-09-04 01-15-50,40735089404,24810,40719147379
alcatel,FyXsV,-20,25,2024-09-04 01-15-36,40770604887,-1963,40735986010
alcatel,uKU,-3,74,2024-09-04 01-15-06,40730916365,-19327,40795129189
alcatel,zVJpPa,11,69,2024-09-04 01-15-28,40797943509,26386,40791308943
alcatel,qpg,-125,-88,2024-09-04 01-16-24,40756907992,-31626,40745813440
alcatel,zGe,-53,-128,2024-09-04 01-15-09,40723980924,-19800,40702083039
alcatel,BIZSA,64,79,2024-09-04 01-18-36,40718020099,20865,40717426574
alcatel,sgVgp,-73,-53,2024-09-04 01-17-05,40700262964,-4893,40723852901
alcatel,fqCrVX,3,-8,2024-09-04 01-19-15,40789413022,31775,40755341692
alcatel,fzBm,37,95,2024-09-04 01-18-49,40773001384,-31054,40725556048
alcatel,vdD,-56,-114,2024-09-04 01-17-17,40720151985,19336,40755689121
alcatel,mEE,-16,75,2024-09-04 01-18-56,40784224172,-19679,40796837203
alcatel,yjPsM,-47,-118,2024-09-04 01-19-14,40721506542,25339,40766173279
alcatel,mfRp,-110,115,2024-09-04 01-19-55,40730743762,197,40795861616
alcatel,qCsz,7,-72,2024-09-04 01-16-30,40772949558,3099,40782332990
alcatel,PpvZ,-36,-114,2024-09-04 01-16-48,40722182250,3487,40759759509
alcatel,LuMJq,70,-16,2024-09-04 01-18-46,40761245782,-15257,40749072086
alcatel,xoqCGw,-98,-56,2024-09-04 01-18-26,40709262770,21628,40730233428
alcatel,DCSMb,14,60,2024-09-04 01-19-24,40720702806,-21168,40787219895
alcatel,MyTp,51,-20,2024-09-04 01-16-38,40708511396,10835,40700209052
alcatel,czPguO,61,-104,2024-09-04 01-18-46,40775095424,11237,40772426662
alcatel,zlWUfP,-105,125,2024-09-04 01-18-35,40798187477,29498,40754988100
alcatel,wWzrnZ,-106,49,2024-09-04 01-17-44,40757583669,2508,40716018796
alcatel,WvZaF,-120,103,2024-09-04 01-17-29,40750268817,9640,40795290521
alcatel,ZIAfGR,116,-120,2024-09-04 01-19-21,40716813816,-13034,40706708061
alcatel,oRldF,-111,87,2024-09-04 01-17-58,40764744464,18904,40779564479
alcatel,ryjO,72,4,2024-09-04 01-15-58,40796697332,23489,40744271685
alcatel,POiqp,78,-91,2024-09-04 01-18-58,40754003971,21492,40780989111
alcatel,MuOCbI,-111,-98,2024-09-04 01-15-26,40725082196,4251,40706592114
alcatel,bpRma,122,-11,2024-09-04 01-15-18,40784616777,-30703,40729314773
alcatel,trCtvn,-87,-57,2024-09-04 01-16-19,40754162904,-15870,40793747336
alcatel,apLrOR,-95,-36,2024-09-04 01-15-43,40761099027,-13013,40766218227
alcatel,GlxFUX,28,104,2024-09-04 01-17-16,40710982291,-7980,40762427345
alcatel,YPJeo,-99,41,2024-09-04 01-18-40,40737221574,6244,40743893475
alcatel,cAmRAH,-64,-22,2024-09-04 01-16-08,40708005524,2108,40782622174
alcatel,biosv,-37,-45,2024-09-04 01-17-54,40799937626,11485,40706859636
alcatel,IaRBc,-13,-15,2024-09-04 01-16-31,40781696835,5445,40760843215
alcatel,JrQGO,-26,-103,2024-09-04 01-18-34,40762829042,-14056,40737008213
alcatel,OuLts,1,-54,2024-09-04 01-20-01,40745751043,-7317,40727843977
alcatel,FiJV,119,56,2024-09-04 01-18-01,40708393461,-24076,40765911579
alcatel,qSEZ,-99,-121,2024-09-04 01-15-13,40724588466,-29311,40762189672
