src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,puOapH,12,58,2024-09-04 01-20-15,40720896514,-30378,40796729204
alcatel,deRblY,-123,-38,2024-09-04 01-20-22,40776490369,124,40772102375
alcatel,VsLGYK,16,4,2024-09-04 01-21-34,40782176028,-455,40735758892
alcatel,aSAQWF,-14,43,2024-09-04 01-22-14,40793863970,24921,40752133806
alcatel,RvKO,-9,5,2024-09-04 01-22-43,40798185331,30485,40773967339
alcatel,gDIkr,-96,101,2024-09-04 01-24-49,40793402352,6923,40711441146
alcatel,WsLl,-89,43,2024-09-04 01-24-15,40723615240,1799,40713513903
alcatel,Xgwo,48,125,2024-09-04 01-23-59,40724678194,29983,40787771509
alcatel,AcU,-13,-104,2024-09-04 01-24-34,40764029309,-3226,40782995835
alcatel,AEFy,107,78,2024-09-04 01-23-35,40770507555,15661,40700345382
alcatel,jMrJFK,111,-85,2024-09-04 01-24-39,40732654568,31990,40766812719
alcatel,TRAP,-75,53,2024-09-04 01-23-43,40782792213,21487,40702970943
alcatel,qqoxYt,-38,13,2024-09-04 01-24-48,40729590854,-23770,40739014379
alcatel,irRP,41,107,2024-09-04 01-24-27,40758340903,10192,40758263876
alcatel,DHEKg,103,38,2024-09-04 01-22-08,40795243579,31944,40730666713
alcatel,DVhPG,-42,54,2024-09-04 01-22-41,40747031566,-7429,40707093113
alcatel,QNk,89,-60,2024-09-04 01-22-17,40795257852,8717,40777647774
alcatel,Ghk,-50,-91,2024-09-04 01-22-22,40720371108,6662,40797329411
alcatel,lHLCRu,-25,-116,2024-09-04 01-24-00,40711632637,4828,40778226872
alcatel,kWottk,-43,80,2024-09-04 01-20-22,40749728752,29392,40700737813
alcatel,RGi,81,-39,2024-09-04 01-21-24,40731705204,-3585,40758771786
alcatel,sFiTW,79,-46,2024-09-04 01-25-00,40727903861,21178,40790627412
alcatel,vCTG,68,40,2024-09-04 01-20-32,40764883030,21342,40769287149
alcatel,cBM,-27,68,2024-09-04 01-24-58,40710987214,-26421,40784003808
alcatel,FRSow,-95,-102,2024-09-04 01-21-34,40797115219,-7391,40748035337
alcatel,CSn,1,33,2024-09-04 01-20-54,40785359606,19033,40796447962
alcatel,zuh,95,-122,2024-09-04 01-22-45,40753700907,-23954,40715400816
alcatel,ysyuw,-38,-54,2024-09-04 01-22-13,40778469513,-6631,40728157520
alcatel,nBl,77,85,2024-09-04 01-23-17,40713465537,26402,40711474719
alcatel,duhZ,-57,85,2024-09-04 01-24-30,40778197399,-8117,40710689277
alcatel,NsM,-27,38,2024-09-04 01-20-04,40745263228,11317,40796206009
alcatel,Zwuf,-37,-36,2024-09-04 01-24-07,40739233350,8834,40796866510
alcatel,ajTAhp,67,-117,2024-09-04 01-21-39,40777998287,-25307,40769431635
alcatel,EqT,7,62,2024-09-04 01-20-54,40777484407,8606,40721254093
alcatel,fgAD,-73,22,2024-09-04 01-21-13,40764641510,11803,40754576122
alcatel,AxIlb,122,115,2024-09-04 01-20-17,40732650290,32236,40713307088
