src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,vKJqpf,117,-59,2024-09-04 01-40-29,40793270304,8645,40789479890
alcatel,TiK,30,21,2024-09-04 01-44-52,40783568974,6891,40717296598
alcatel,EbGWAb,-66,-51,2024-09-04 01-41-47,40791363043,25044,40798745152
alcatel,akju,67,73,2024-09-04 01-41-51,40769242371,-11967,40772227569
alcatel,wesWm,60,21,2024-09-04 01-40-31,40741387794,31308,40731089653
alcatel,GxJ,-21,13,2024-09-04 01-44-34,40759357607,25650,40750423619
alcatel,KYB,97,-53,2024-09-04 01-44-18,40726562291,399,40767334988
alcatel,fNuMZ,65,-30,2024-09-04 01-40-50,40728238303,23692,40736935934
alcatel,ZZvwFs,28,-105,2024-09-04 01-40-53,40725096222,-26338,40786266155
alcatel,SUT,-33,41,2024-09-04 01-42-02,40775344265,12449,40787790540
alcatel,CvL,-55,26,2024-09-04 01-44-01,40797251894,-27096,40783421777
alcatel,MMQrTq,-72,10,2024-09-04 01-41-51,40789321659,7961,40720825839
alcatel,HSgsjn,21,-64,2024-09-04 01-41-36,40799185420,23207,40778546631
alcatel,jDPb,67,-37,2024-09-04 01-41-24,40723518726,-26804,40714652260
alcatel,AoAYy,23,15,2024-09-04 01-42-51,40761221245,-8344,40754728849
alcatel,Gly,72,-16,2024-09-04 01-42-55,40744739849,-15265,40727815382
alcatel,oqZISX,92,-119,2024-09-04 01-40-42,40734357949,-3691,40796500886
alcatel,tUAkrY,-110,-43,2024-09-04 01-42-08,40780644295,-6427,40745089701
alcatel,EtC,-72,-43,2024-09-04 01-44-50,40761487686,20481,40782919824
alcatel,awfVO,88,-63,2024-09-04 01-42-51,40753754956,23476,40778215184
alcatel,WhoG,52,53,2024-09-04 01-40-53,40709159461,12224,40769472412
alcatel,Mgv,-63,-113,2024-09-04 01-44-44,40780747985,-241,40786061472
alcatel,TWGoB,56,91,2024-09-04 01-42-11,40748020854,30746,40737527181
alcatel,UCBxch,37,86,2024-09-04 01-42-20,40798529060,-22455,40787009969
alcatel,NrXD,-95,3,2024-09-04 01-40-06,40762290487,29870,40724976837
alcatel,wBfVY,-21,-29,2024-09-04 01-43-58,40702154653,481,40732140491
alcatel,oAzV,43,51,2024-09-04 01-43-09,40742672900,-32251,40719267703
