src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,qFMw,1,-34,2024-09-04 01-51-57,40720593576,-5448,40707218082
alcatel,kPEkE,69,29,2024-09-04 01-52-19,40745315795,-26461,40703709063
alcatel,qYPQ,-105,114,2024-09-04 01-54-18,40767782349,25793,40716984824
alcatel,byB,-11,47,2024-09-04 01-54-45,40728687062,-20029,40713998361
alcatel,zXFkw,94,-56,2024-09-04 01-54-43,40714209108,-24642,40752444488
alcatel,STWG,-4,-1,2024-09-04 01-51-17,40774439419,10535,40738422856
alcatel,hwRhg,84,62,2024-09-04 01-50-27,40719775089,16168,40775746650
alcatel,oxI,15,-65,2024-09-04 01-52-50,40771619305,5199,40735306771
alcatel,XYTye,97,-3,2024-09-04 01-54-54,40712832218,804,40728475504
alcatel,iiIuE,-27,53,2024-09-04 01-51-08,40781933489,14707,40759241931
alcatel,tyGBw,-3,49,2024-09-04 01-51-18,40785320252,-712,40747967443
alcatel,qviwSD,-35,87,2024-09-04 01-53-51,40724405990,-18728,40722237965
alcatel,ieApmv,37,-52,2024-09-04 01-52-53,40733518514,25842,40792097351
alcatel,wtZrgy,-80,88,2024-09-04 01-51-33,40744617628,760,40738482390
alcatel,JoT,126,-60,2024-09-04 01-52-50,40719832088,29358,40798302752
alcatel,PZxw,48,20,2024-09-04 01-51-26,40716138062,12937,40723157574
alcatel,ijk,58,51,2024-09-04 01-50-05,40781677120,30515,40792533006
alcatel,QHA,-19,-86,2024-09-04 01-54-51,40725134423,9002,40715861190
alcatel,NKq,46,-40,2024-09-04 01-50-29,40723559979,24233,40736518479
alcatel,PWzb,-40,67,2024-09-04 01-52-37,40799986680,18235,40792618091
alcatel,NwTk,114,-95,2024-09-04 01-50-44,40749628434,10792,40767165504
alcatel,UVP,3,123,2024-09-04 01-51-21,40720323413,-24031,40729749416
alcatel,Cmqsh,-52,-51,2024-09-04 01-50-50,40797156221,-2738,40740656848
alcatel,DQUE,5,-127,2024-09-04 01-53-43,40739949997,25779,40787419697
alcatel,OERd,49,-18,2024-09-04 01-54-22,40730679698,-6704,40784337371
alcatel,SeOkMP,68,29,2024-09-04 01-54-52,40769056961,-9249,40751073967
alcatel,CiGCOD,-73,58,2024-09-04 01-53-56,40754741044,2709,40792247274
alcatel,DiiDQY,-125,52,2024-09-04 01-53-58,40783749100,5482,40796584424
alcatel,UFYRQf,-36,-28,2024-09-04 01-52-24,40760939053,-20614,40719308942
alcatel,LWsYW,-68,-6,2024-09-04 01-51-43,40794932726,14358,40765704421
alcatel,bnENZI,73,82,2024-09-04 01-52-12,40736103265,-20819,40738150722
alcatel,GJMpC,-123,-9,2024-09-04 01-50-10,40760306154,-31618,40718228998
alcatel,xUQDo,-43,-61,2024-09-04 01-50-33,40703685848,-8798,40707327811
alcatel,HRftW,50,-97,2024-09-04 01-54-35,40707491961,8833,40731492383
alcatel,UEC,-52,-15,2024-09-04 01-54-37,40798339877,26075,40745160518
alcatel,pot,71,44,2024-09-04 01-54-59,40704027363,10306,40787434459
alcatel,JJJc,37,-82,2024-09-04 01-52-03,40725949032,16879,40724767857
alcatel,rGf,111,102,2024-09-04 01-54-30,40757391174,12213,40746119705
alcatel,KqC,53,16,2024-09-04 01-53-49,40776579684,23770,40781105535
alcatel,FBtVwp,-38,-31,2024-09-04 01-53-14,40783069547,-32170,40731921087
alcatel,tsyOQ,32,105,2024-09-04 01-52-33,40716076502,-30314,40764823825
alcatel,LgAE,126,-11,2024-09-04 01-54-08,40775814568,-20478,40753049596
alcatel,BAMmT,74,-14,2024-09-04 01-51-24,40704172954,22311,40766514363
alcatel,VYk,20,-126,2024-09-04 01-50-15,40754231150,-12542,40761169407
alcatel,rtndlx,92,-28,2024-09-04 01-53-41,40780524455,10256,40736713950
alcatel,mbJko,53,5,2024-09-04 01-51-17,40764519136,-9578,40724118696
alcatel,oUgSY,51,-42,2024-09-04 01-50-14,40743685669,20061,40747122202
alcatel,SWhIee,87,-39,2024-09-04 01-51-44,40763954415,12802,40762119008
alcatel,uxVId,-86,11,2024-09-04 01-50-59,40788690635,-13324,40766051371
alcatel,BuI,-80,-32,2024-09-04 01-53-10,40740893186,-8178,40749998643
alcatel,vlpWkD,56,121,2024-09-04 01-52-59,40799362537,-10794,40754702904
alcatel,QEnhk,50,-84,2024-09-04 01-54-55,40757336985,5289,40774843293
alcatel,uQIhS,-116,39,2024-09-04 01-54-05,40736838042,-15350,40705031961
alcatel,eJdh,-117,75,2024-09-04 01-52-54,40788844289,6720,40795934255
alcatel,CvJ,87,40,2024-09-04 01-53-42,40738098887,1161,40717230966
alcatel,cfveV,46,-25,2024-09-04 01-54-53,40768372305,-21652,40789429288
alcatel,YzjgXx,5,-25,2024-09-04 01-54-38,40784602899,-19032,40726430356
alcatel,HtuU,-38,-84,2024-09-04 01-54-17,40769091229,5331,40716860080
alcatel,reYx,-120,-62,2024-09-04 01-53-43,40700301381,23935,40766700630
alcatel,DnoQcv,39,116,2024-09-04 01-50-23,40725618047,8288,40774566644
alcatel,FpIP,88,60,2024-09-04 01-52-06,40785623475,29021,40709714877
alcatel,CqZF,-13,-8,2024-09-04 01-53-48,40708273360,-6788,40731949560
alcatel,dzbG,15,-101,2024-09-04 01-52-56,40756332960,-5554,40708370321
alcatel,izDe,57,107,2024-09-04 01-53-01,40709168416,16549,40782969484
alcatel,DlU,115,107,2024-09-04 01-52-02,40765820994,-148,40769826279
alcatel,yubSXM,23,-67,2024-09-04 01-50-10,40799735452,12996,40712603508
alcatel,eyH,33,-39,2024-09-04 01-51-06,40710022648,21226,40781766632
alcatel,RzqyIc,-6,14,2024-09-04 01-53-31,40709050410,-9071,40739609089
alcatel,EySUDu,15,-96,2024-09-04 01-52-27,40710258603,28159,40783145058
alcatel,ibZ,39,8,2024-09-04 01-52-38,40727626704,20126,40768502229
alcatel,UdFE,-88,-100,2024-09-04 01-53-41,40772097207,-5016,40765106745
alcatel,MqUWXp,-28,-71,2024-09-04 01-51-02,40708693456,1766,40702607584
alcatel,HQYAmg,-61,56,2024-09-04 01-53-17,40729287755,-24150,40704111236
alcatel,ghV,-75,-63,2024-09-04 01-53-30,40787356127,23481,40745938624
alcatel,OeR,-25,40,2024-09-04 01-54-05,40786739003,4368,40706035424
alcatel,jsWsu,-77,-127,2024-09-04 01-50-53,40754551922,6481,40798652783
alcatel,KBjofE,-44,-19,2024-09-04 01-50-04,40701638591,-16640,40755067410
alcatel,nem,-39,-53,2024-09-04 01-54-12,40797541230,-9506,40783356319
alcatel,fKG,-102,-13,2024-09-04 01-52-50,40747861488,-12374,40704595666
alcatel,gDYA,75,-63,2024-09-04 01-53-16,40712867777,11926,40773909709
alcatel,Ztpl,38,3,2024-09-04 01-51-46,40746487404,31014,40742437768
alcatel,hBjVho,-106,-58,2024-09-04 01-51-19,40715439789,-19204,40765914998
alcatel,PBUzYE,-75,49,2024-09-04 01-53-49,40738342351,23415,40745272873
alcatel,yUZ,88,70,2024-09-04 01-53-36,40780843953,11522,40785589183
alcatel,dpmxFQ,2,-17,2024-09-04 01-51-44,40755708653,30160,40702223232
alcatel,ycZD,-12,-93,2024-09-04 01-54-22,40724954865,4378,40766853496
alcatel,IvrQHc,-94,54,2024-09-04 01-53-35,40708769641,-27480,40723994567
alcatel,rld,22,-8,2024-09-04 01-54-25,40783750519,23395,40732776281
alcatel,OajA,-91,-108,2024-09-04 01-54-39,40715514965,9310,40700179911
alcatel,RwcR,15,-100,2024-09-04 01-50-23,40714948360,-16491,40722105350
alcatel,Aawxd,76,117,2024-09-04 01-51-39,40745964704,-9399,40796351390
alcatel,FuqU,-46,-6,2024-09-04 01-54-47,40731463389,-5370,40798837527
alcatel,kDvh,61,74,2024-09-04 01-50-14,40753480563,-12582,40728856671
alcatel,DRN,-122,30,2024-09-04 01-51-18,40716055358,148,40743485851
alcatel,WdvWrb,124,62,2024-09-04 01-53-49,40716977450,-31937,40784188672
alcatel,CQUW,-104,-6,2024-09-04 01-53-44,40761355187,-29884,40750993985
alcatel,VjrL,102,118,2024-09-04 01-51-54,40700568171,-419,40740013907
alcatel,sdzFBK,-79,-91,2024-09-04 01-53-23,40789767637,16766,40719456010
alcatel,dkGe,105,-5,2024-09-04 01-53-16,40784078958,20326,40782463825
alcatel,MZJ,68,17,2024-09-04 01-50-27,40700632687,18044,40767415810
alcatel,DCua,112,123,2024-09-04 01-53-24,40707996542,-2962,40725255467
alcatel,GnbN,-122,-43,2024-09-04 01-51-25,40738349939,-19599,40758541153
alcatel,nookCQ,104,37,2024-09-04 01-53-30,40776641999,-30481,40722514753
alcatel,eeg,103,74,2024-09-04 01-54-40,40757519820,4969,40737313634
alcatel,DQkvp,-128,-21,2024-09-04 01-53-02,40787155343,-22538,40783757170
alcatel,llGr,-120,-70,2024-09-04 01-54-16,40701800075,31570,40772336324
alcatel,EFhY,29,-54,2024-09-04 01-50-05,40737397131,-20516,40761792200
alcatel,Kyy,74,36,2024-09-04 01-51-32,40773716589,25736,40744002636
alcatel,CcK,-110,-88,2024-09-04 01-54-17,40783150287,-19108,40715050706
