src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,kDbyAL,94,111,2024-09-04 01-58-46,40794934988,10878,40793556530
alcatel,Jma,-101,80,2024-09-04 01-55-12,40701060560,7492,40761373016
alcatel,lpVP,-123,-40,2024-09-04 01-56-10,40758473420,15604,40724485458
alcatel,CicO,-15,-1,2024-09-04 01-59-20,40797245102,30485,40717101818
alcatel,Fyeb,25,92,2024-09-04 01-58-28,40705899454,-27430,40777878410
alcatel,MbaP,-99,127,2024-09-04 01-59-09,40725962473,-27549,40759616333
alcatel,iWyzFm,29,111,2024-09-04 01-59-23,40717493889,-3980,40740204373
alcatel,nVj,125,58,2024-09-04 01-55-34,40774824662,25890,40774522487
alcatel,QOCbtS,-26,22,2024-09-04 01-56-49,40718005691,31529,40777809772
alcatel,kZJvEK,24,23,2024-09-04 01-58-59,40773939183,9413,40789308864
alcatel,pmd,-79,-2,2024-09-04 01-59-42,40782143351,-27016,40714682048
alcatel,prFyka,-124,5,2024-09-04 01-57-20,40798650803,-32201,40781397585
alcatel,xwPANC,32,-3,2024-09-04 01-55-36,40749916870,15354,40757603097
alcatel,xkl,38,-99,2024-09-04 01-58-37,40729214090,22899,40738094357
alcatel,vfNn,-37,-78,2024-09-04 01-55-50,40715983741,16327,40750250919
alcatel,YDr,51,-104,2024-09-04 01-56-38,40780400663,-4466,40766091345
alcatel,ZolcZ,-59,24,2024-09-04 01-57-09,40704843240,16925,40733760350
alcatel,VnNZ,58,101,2024-09-04 01-58-00,40784955292,20956,40783362733
alcatel,yOvMlS,-106,-115,2024-09-04 01-58-24,40765204974,20658,40768286763
alcatel,mZspZT,-5,-67,2024-09-04 01-59-13,40772879469,-26212,40744482215
alcatel,vnyhS,121,1,2024-09-04 01-58-27,40709417983,-4302,40722509501
alcatel,Rkz,-53,-79,2024-09-04 01-56-27,40764485310,-27632,40743506108
alcatel,NHyatz,-70,9,2024-09-04 01-58-26,40720289373,-13646,40743098112
alcatel,hqP,91,-35,2024-09-04 01-57-29,40795327651,-3671,40747797115
alcatel,IogZV,-47,115,2024-09-04 01-57-54,40732181071,-3197,40727122890
alcatel,thrte,40,37,2024-09-04 01-55-43,40785703166,1880,40724766635
alcatel,GuqNxm,81,8,2024-09-04 01-59-24,40776807164,5561,40719548454
alcatel,bfq,-116,-52,2024-09-04 01-55-50,40750123063,12411,40702467809
alcatel,yOr,-54,42,2024-09-04 01-56-58,40715653337,-11075,40714016464
alcatel,vqSsLO,-75,16,2024-09-04 01-59-13,40730862578,-16014,40722772959
alcatel,RUa,-125,96,2024-09-04 01-59-13,40771762000,31685,40784282973
alcatel,LfKV,-19,-86,2024-09-04 01-58-51,40781860361,-4829,40722473885
alcatel,cCa,82,-25,2024-09-04 01-59-57,40722874410,3550,40786699358
alcatel,xDESbl,94,-64,2024-09-04 01-55-14,40796864518,-27069,40717183588
alcatel,FFN,-123,39,2024-09-04 01-56-00,40776730990,-27222,40702058527
alcatel,zjYK,12,85,2024-09-04 01-56-26,40744374235,-11803,40790252245
