src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,gsQ,50,11,2024-09-04 02-01-38,40707588414,29168,40787372560
alcatel,MnkPja,-100,13,2024-09-04 02-03-08,40724769594,-21235,40723782388
alcatel,iONYmE,118,-116,2024-09-04 02-04-22,40774905530,-28638,40708801476
alcatel,kXYA,-38,120,2024-09-04 02-03-38,40781790715,-19441,40780921037
alcatel,TMfY,89,55,2024-09-04 02-04-35,40710880022,-27515,40702709553
alcatel,CuimAM,-106,-20,2024-09-04 02-01-57,40772793277,-13200,40730159812
alcatel,gNyrfG,118,-3,2024-09-04 02-04-03,40747281245,31008,40761910730
alcatel,UUnp,31,80,2024-09-04 02-02-48,40747630301,-18169,40783545181
alcatel,NzwcDq,-11,100,2024-09-04 02-01-34,40735673306,4631,40765720475
alcatel,UHH,-4,-47,2024-09-04 02-00-07,40732005906,10260,40727871126
alcatel,jzwNJg,-94,112,2024-09-04 02-01-55,40789260634,9886,40751209197
alcatel,LusjxV,18,-50,2024-09-04 02-01-36,40784690303,30723,40713615407
alcatel,zhbUJJ,-46,-17,2024-09-04 02-00-54,40771986752,25959,40752506237
alcatel,dkpTei,68,78,2024-09-04 02-00-54,40782857706,-20568,40723412587
alcatel,STe,32,-122,2024-09-04 02-04-52,40735992032,-10796,40750070811
alcatel,Gyo,30,-31,2024-09-04 02-01-26,40700349021,12934,40760259159
alcatel,DNgvb,-119,-116,2024-09-04 02-04-36,40792238165,13893,40753891699
alcatel,kcSwQH,-2,33,2024-09-04 02-02-59,40725184235,17259,40785317526
alcatel,hMwIi,-30,33,2024-09-04 02-04-16,40717100897,-14783,40739322329
alcatel,NSubpZ,44,117,2024-09-04 02-00-50,40752405737,-23676,40766255049
alcatel,jEZKC,74,42,2024-09-04 02-01-35,40781254410,5819,40743641581
alcatel,zEzR,18,13,2024-09-04 02-00-33,40791175637,16626,40728824501
alcatel,YkKYox,115,-9,2024-09-04 02-04-44,40738717999,-28560,40708040159
alcatel,fCmgSM,-49,22,2024-09-04 02-03-25,40747257902,-13911,40757554181
alcatel,OidVB,67,-74,2024-09-04 02-03-42,40711045764,-25728,40766001549
alcatel,qkiQhv,92,93,2024-09-04 02-02-15,40731948927,20993,40716031305
alcatel,mOlx,-19,43,2024-09-04 02-00-05,40705026167,-13914,40733274234
alcatel,oGJ,118,-68,2024-09-04 02-01-36,40704471724,-9100,40790179250
alcatel,KGDu,61,-38,2024-09-04 02-02-36,40770527513,26991,40727122393
alcatel,uRH,-117,110,2024-09-04 02-00-44,40771905225,-12677,40770155760
alcatel,jVd,85,-15,2024-09-04 02-04-19,40724585891,-3221,40753188428
alcatel,cAm,21,105,2024-09-04 02-04-44,40747735994,464,40728919006
alcatel,yDdtr,121,-107,2024-09-04 02-04-09,40776060844,-8867,40756852900
