src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,Zjk,-13,-111,2024-09-04 02-06-38,40740866930,-18948,40753963570
alcatel,YZNLc,9,40,2024-09-04 02-06-53,40759633361,24753,40734918100
alcatel,bJYY,-93,-99,2024-09-04 02-05-40,40711130809,-24794,40788983736
alcatel,RhSgO,58,-71,2024-09-04 02-09-00,40701171045,29289,40743321051
alcatel,TItdSR,-126,-102,2024-09-04 02-05-18,40789176151,-30655,40752229578
alcatel,Eip,-82,100,2024-09-04 02-07-04,40727143029,13173,40742448257
alcatel,WQV,-5,-24,2024-09-04 02-09-14,40709009545,29344,40792675297
alcatel,abNTV,15,-34,2024-09-04 02-05-19,40793644563,26459,40790946758
alcatel,xrEgok,49,-43,2024-09-04 02-06-03,40720348029,-6272,40783843741
alcatel,bbdDd,98,20,2024-09-04 02-06-36,40756403772,15258,40731874279
alcatel,XAtCW,-112,99,2024-09-04 02-08-38,40791585506,-25263,40774812257
alcatel,haEgN,65,76,2024-09-04 02-05-36,40726108785,-31406,40778559517
alcatel,BRv,-62,38,2024-09-04 02-05-29,40780841406,28661,40743811687
alcatel,AlgQ,82,94,2024-09-04 02-08-44,40715784402,24326,40752432026
alcatel,wXaUV,-81,-56,2024-09-04 02-08-49,40792260446,-28714,40724573587
alcatel,shgrRt,-73,53,2024-09-04 02-07-39,40795168338,32022,40754209599
alcatel,nVo,8,68,2024-09-04 02-06-42,40706391493,-18127,40755637720
alcatel,NQGcO,75,69,2024-09-04 02-06-11,40763057812,27954,40764267554
alcatel,cqDSj,-58,-42,2024-09-04 02-09-25,40787244092,4121,40752566917
alcatel,mvG,103,-78,2024-09-04 02-09-24,40793012165,6002,40728080418
alcatel,AChdK,-2,100,2024-09-04 02-08-36,40770064449,16087,40799534970
alcatel,vdZv,43,-121,2024-09-04 02-08-11,40784221772,23353,40788951833
alcatel,JOmP,-79,93,2024-09-04 02-09-10,40718371066,-9325,40793315989
alcatel,nunG,-21,-95,2024-09-04 02-05-11,40786850918,-7916,40739060002
alcatel,cXl,31,109,2024-09-04 02-05-06,40743379017,-19712,40748866876
alcatel,oBl,-47,-83,2024-09-04 02-08-05,40779469824,-4254,40700621814
alcatel,XEUO,127,31,2024-09-04 02-09-38,40714009942,23360,40794406235
alcatel,msworq,108,-47,2024-09-04 02-07-12,40791336070,692,40755488058
alcatel,SkIhZj,-119,9,2024-09-04 02-05-37,40762092466,21928,40732438009
alcatel,ZlRb,-77,60,2024-09-04 02-06-23,40739854825,-10704,40719798698
alcatel,lUmnYS,83,-16,2024-09-04 02-06-56,40761914099,16527,40777793201
alcatel,fHDEIQ,-44,40,2024-09-04 02-08-38,40797622398,28664,40737708907
alcatel,kHTb,2,56,2024-09-04 02-09-18,40777428910,-22999,40751728213
