src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,thvwyk,-76,25,2024-09-04 02-18-54,40742111955,24617,40754260165
alcatel,mkkq,-12,20,2024-09-04 02-19-28,40710555055,-9473,40755226050
alcatel,enL,46,97,2024-09-04 02-15-19,40756752344,1752,40773552759
alcatel,kDwnwQ,33,126,2024-09-04 02-17-04,40722744024,16633,40730710553
alcatel,QyI,87,-124,2024-09-04 02-20-00,40760632202,-26668,40794315432
alcatel,pGnNN,-101,-30,2024-09-04 02-19-35,40780070106,15159,40762066716
alcatel,WpRayb,-73,-13,2024-09-04 02-18-04,40706870668,19984,40770939582
alcatel,ppT,-83,0,2024-09-04 02-16-03,40747110582,12682,40704287023
alcatel,dNIfSX,-27,40,2024-09-04 02-18-29,40763463983,20759,40705225183
alcatel,Bqi,-123,115,2024-09-04 02-15-26,40745439280,-24582,40706265128
alcatel,pZjtgU,-71,90,2024-09-04 02-19-15,40726143755,-30330,40762888699
alcatel,wAjGk,52,-128,2024-09-04 02-17-16,40720613385,11066,40769991599
alcatel,hjAmRj,-47,-90,2024-09-04 02-19-55,40710504521,-23301,40744025845
alcatel,PwhhFd,-19,125,2024-09-04 02-18-12,40797862906,24857,40797954950
alcatel,QrJO,-32,-103,2024-09-04 02-15-14,40747566486,11336,40756112590
alcatel,Rhmc,-101,-118,2024-09-04 02-18-14,40777504769,2679,40787209148
alcatel,lDM,-96,-45,2024-09-04 02-17-22,40736855931,14663,40734071098
alcatel,DEp,92,-89,2024-09-04 02-16-42,40796008769,31699,40759146262
alcatel,yaTWjW,-77,-26,2024-09-04 02-15-30,40774281480,-20898,40752413031
alcatel,rtlBfW,-107,27,2024-09-04 02-16-03,40714281189,-18339,40792664877
alcatel,HLsy,103,69,2024-09-04 02-18-25,40767366424,-32038,40748316628
alcatel,TAbQx,-19,-99,2024-09-04 02-16-16,40723764200,20812,40759945114
alcatel,lQTmgd,-127,-63,2024-09-04 02-15-34,40712942225,22508,40727055577
alcatel,ASgXdy,41,-8,2024-09-04 02-18-38,40754168921,1746,40740347412
alcatel,fvs,-97,12,2024-09-04 02-19-12,40795250976,-21636,40735195742
alcatel,KZp,-24,-8,2024-09-04 02-18-35,40779093660,-436,40777298502
alcatel,mihjg,-76,30,2024-09-04 02-18-21,40798951146,-13836,40769782866
alcatel,mZP,-24,-116,2024-09-04 02-16-56,40707378604,-20582,40790292978
alcatel,oqUbbX,-57,86,2024-09-04 02-17-48,40707249082,-16606,40727272672
alcatel,Vixd,-84,-63,2024-09-04 02-18-22,40780339055,27611,40738905187
alcatel,clNf,52,-92,2024-09-04 02-15-52,40719242224,-32403,40702203137
alcatel,HgGoPp,82,35,2024-09-04 02-17-27,40706747294,-22363,40710055441
alcatel,kRyV,-35,-37,2024-09-04 02-15-26,40763880222,6718,40775861290
alcatel,pRgr,-114,-40,2024-09-04 02-15-22,40731493649,2989,40718507972
alcatel,NoDF,99,-119,2024-09-04 02-19-18,40739892453,8087,40710173655
alcatel,zuwDGz,80,43,2024-09-04 02-18-20,40762653171,29285,40711065957
