src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,vDPX,-100,-51,2024-09-04 02-26-33,40714134459,17959,40706910262
alcatel,aDog,-70,-128,2024-09-04 02-26-02,40783333904,-18753,40791098930
alcatel,eWVf,-31,-18,2024-09-04 02-26-14,40756396934,31036,40736889001
alcatel,pPE,62,125,2024-09-04 02-26-02,40763207063,-18890,40752952607
alcatel,OtdsP,-7,-79,2024-09-04 02-28-55,40745048691,5330,40737296341
alcatel,Wevj,31,103,2024-09-04 02-29-14,40750327905,-25352,40772004138
alcatel,uHyA,7,119,2024-09-04 02-27-45,40740995596,27651,40736935366
alcatel,jAPFte,-44,-6,2024-09-04 02-28-27,40767166448,-7166,40759597324
alcatel,NWu,27,-108,2024-09-04 02-26-08,40759930380,-6160,40778502769
alcatel,rqX,21,-53,2024-09-04 02-27-57,40729912829,-10387,40755415520
alcatel,MlJ,-6,7,2024-09-04 02-27-17,40725644861,2400,40733770206
alcatel,CWAa,-115,25,2024-09-04 02-28-08,40779564119,15762,40787807976
alcatel,Igx,0,98,2024-09-04 02-29-11,40720342713,14441,40793836801
alcatel,XpiC,-52,-10,2024-09-04 02-26-13,40780936036,3840,40722818867
alcatel,vvjoaN,-114,-21,2024-09-04 02-29-01,40763894591,15085,40744050477
alcatel,SaeKHr,-35,-48,2024-09-04 02-28-32,40753635947,-13700,40708965033
alcatel,uwPoF,105,89,2024-09-04 02-25-33,40701877939,7475,40709195452
alcatel,CmGGhL,-84,-32,2024-09-04 02-25-07,40798591089,21730,40735773692
alcatel,siHy,-83,84,2024-09-04 02-25-35,40770264892,-7772,40745982436
alcatel,oPW,-83,120,2024-09-04 02-28-19,40718857466,24893,40775116712
alcatel,beVUF,-45,123,2024-09-04 02-25-16,40779537573,29501,40759747825
alcatel,WhVe,-94,-17,2024-09-04 02-29-05,40738531979,21551,40731992012
alcatel,psOfX,55,-16,2024-09-04 02-29-30,40787092602,-30437,40794664590
alcatel,JAZ,-87,-95,2024-09-04 02-25-34,40790389275,14856,40787651568
alcatel,GOtfIm,61,1,2024-09-04 02-29-45,40757053757,-22162,40762747740
alcatel,bLANPL,19,-101,2024-09-04 02-27-01,40795182189,-5918,40761899983
alcatel,jizmb,-90,-105,2024-09-04 02-26-28,40708034175,-31109,40794154557
alcatel,IuyW,-57,-12,2024-09-04 02-27-20,40746405418,2751,40768883017
alcatel,nRoSO,-125,-34,2024-09-04 02-28-40,40782945474,-5663,40762285359
alcatel,PIypMz,-16,42,2024-09-04 02-27-58,40718834427,9083,40726606349
alcatel,ahnfL,29,29,2024-09-04 02-27-37,40720232900,20595,40749093740
alcatel,wipW,-64,80,2024-09-04 02-27-28,40784757988,-27476,40769264856
alcatel,KgURb,-51,-48,2024-09-04 02-26-44,40700431874,29611,40752736140
alcatel,Vjstkf,68,3,2024-09-04 02-29-41,40795744266,9971,40718488429
alcatel,juEAd,-14,34,2024-09-04 02-27-27,40720961090,3033,40755575053
alcatel,ERhCSj,85,31,2024-09-04 02-29-11,40756524367,10075,40732719601
alcatel,vRH,14,-125,2024-09-04 02-27-42,40717335097,-410,40712970750
alcatel,QRVUFi,-49,-97,2024-09-04 02-27-35,40790909987,-8073,40742002872
alcatel,YbX,-18,117,2024-09-04 02-25-40,40755934557,16073,40768318080
alcatel,TPb,17,110,2024-09-04 02-25-10,40724599411,-11120,40776785948
alcatel,CNCtiO,88,37,2024-09-04 02-25-46,40703934990,-7491,40776944054
alcatel,bgM,-27,-119,2024-09-04 02-26-47,40736841932,-26428,40785713995
alcatel,tbf,59,-104,2024-09-04 02-25-59,40783797323,30380,40775075509
alcatel,MAvhXD,-115,-58,2024-09-04 02-28-12,40752165702,-12616,40793480664
alcatel,DUW,35,26,2024-09-04 02-26-35,40753054519,21791,40784891936
alcatel,Ftets,-110,-15,2024-09-04 02-28-09,40773554300,10775,40747783385
alcatel,VmKW,-47,84,2024-09-04 02-25-40,40792564080,4724,40738368185
alcatel,iJf,-128,-112,2024-09-04 02-25-56,40747741348,31919,40758981398
alcatel,FQphn,37,-65,2024-09-04 02-27-46,40741190575,-13086,40727885059
alcatel,WBin,47,-60,2024-09-04 02-26-09,40724461050,-12086,40727616685
alcatel,bXK,-107,101,2024-09-04 02-26-09,40719392203,25195,40758871081
alcatel,GPk,-91,123,2024-09-04 02-27-09,40737949554,-1737,40780141425
alcatel,ZiTDQ,-24,-32,2024-09-04 02-27-38,40768896199,3401,40717014797
alcatel,Crj,52,114,2024-09-04 02-26-37,40744086100,-13648,40725393788
alcatel,NGvFed,-85,17,2024-09-04 02-29-12,40757446099,-15232,40725000049
alcatel,vfWby,19,-89,2024-09-04 02-28-52,40717666076,29880,40753879984
alcatel,cKkN,40,-36,2024-09-04 02-25-15,40774541384,29178,40757893348
alcatel,DtzAAS,46,-112,2024-09-04 02-27-20,40701847142,8556,40746279590
alcatel,WCTk,-8,-49,2024-09-04 02-28-31,40727593860,16427,40740123310
alcatel,UwlyL,35,36,2024-09-04 02-29-45,40772370046,-24977,40791703946
alcatel,Aek,-46,-27,2024-09-04 02-28-12,40756232617,-12645,40784089163
alcatel,PghGO,-108,-81,2024-09-04 02-28-45,40778637476,13509,40753258644
alcatel,QamVa,-74,-77,2024-09-04 02-25-04,40723775132,-8264,40729577273
alcatel,gtKumi,125,-67,2024-09-04 02-28-05,40700541484,-20305,40738161698
alcatel,xujbbk,-99,-97,2024-09-04 02-28-28,40745547487,30041,40777706864
alcatel,TalPoF,64,2,2024-09-04 02-26-28,40785736609,23363,40733691068
alcatel,sqVLnn,122,26,2024-09-04 02-28-35,40764436979,14639,40718050611
alcatel,djeF,8,79,2024-09-04 02-26-59,40786953456,-16524,40797658144
alcatel,IrSRV,108,-106,2024-09-04 02-26-15,40716478053,15660,40706149462
alcatel,GhrmHl,22,51,2024-09-04 02-29-10,40784484365,-12785,40753725048
alcatel,pOfUaN,75,38,2024-09-04 02-28-36,40759473646,-877,40740098781
alcatel,pyc,-62,105,2024-09-04 02-28-36,40738479913,962,40774994180
alcatel,Zxrju,94,-67,2024-09-04 02-27-30,40758640042,1082,40798018802
alcatel,gftKDu,-95,40,2024-09-04 02-27-29,40762770629,-27556,40712557024
alcatel,eCk,6,-40,2024-09-04 02-25-14,40749713526,-1430,40781936715
alcatel,tdpq,93,-39,2024-09-04 02-28-32,40736606545,17860,40765051089
alcatel,xjHD,-110,-84,2024-09-04 02-27-50,40724460796,16216,40751159270
alcatel,nAesjB,77,59,2024-09-04 02-29-15,40762466651,13204,40774411886
alcatel,cHKVX,9,-8,2024-09-04 02-25-19,40793265904,23387,40794872991
alcatel,zkG,-112,-51,2024-09-04 02-29-51,40785822783,22688,40752095407
alcatel,Dkn,121,20,2024-09-04 02-25-37,40781621073,26306,40759525530
alcatel,WFrXD,99,82,2024-09-04 02-28-12,40713337056,-11781,40733512163
alcatel,QyosET,69,-66,2024-09-04 02-26-17,40706995981,-5031,40771778783
alcatel,rSHX,33,71,2024-09-04 02-30-01,40700173540,-18080,40720381147
