src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,iRCHU,-61,-118,2024-09-04 02-34-02,40725045996,-3542,40760729706
alcatel,vIW,44,52,2024-09-04 02-30-16,40727627078,14405,40705385615
alcatel,xaA,15,34,2024-09-04 02-30-58,40713567729,-8417,40754075143
alcatel,RBASn,-106,-24,2024-09-04 02-31-06,40718043816,-11496,40703885708
alcatel,uiq,-68,0,2024-09-04 02-30-03,40703736080,6649,40727564788
alcatel,BQV,84,125,2024-09-04 02-32-38,40763789686,13840,40717423549
alcatel,UsUkH,24,121,2024-09-04 02-31-07,40758435792,2040,40794581608
alcatel,aYdcW,-113,69,2024-09-04 02-34-18,40783552435,4062,40749511500
alcatel,PEZ,-16,74,2024-09-04 02-33-56,40757702489,-18914,40767240851
alcatel,UrYOl,-59,-108,2024-09-04 02-34-14,40767394624,-4583,40733302831
alcatel,mOYzXL,-96,-68,2024-09-04 02-30-03,40751847278,9371,40794443332
alcatel,ZUob,-111,49,2024-09-04 02-33-10,40729421936,6983,40723336111
alcatel,mPo,-89,12,2024-09-04 02-30-32,40729405098,-5661,40715093129
alcatel,EMXNz,-120,-121,2024-09-04 02-32-05,40712437675,-11378,40712521330
alcatel,zBUPm,104,123,2024-09-04 02-32-10,40769294238,-14298,40717942300
alcatel,rZCIGI,46,-128,2024-09-04 02-32-32,40792689622,-8932,40711137659
alcatel,GMiM,-87,-39,2024-09-04 02-33-02,40726358527,-1306,40705417186
alcatel,RVLzfe,-11,89,2024-09-04 02-33-07,40701337253,20171,40758705241
alcatel,Eevx,-77,19,2024-09-04 02-31-55,40775511379,11770,40744389725
alcatel,jzl,67,-93,2024-09-04 02-34-32,40729467516,11450,40767150635
alcatel,bxnsb,-103,-115,2024-09-04 02-34-50,40778278099,8386,40733023625
alcatel,PRCGY,25,-95,2024-09-04 02-32-00,40704433727,5759,40702684869
alcatel,Hvvr,46,-53,2024-09-04 02-31-09,40751798575,-24933,40789677542
alcatel,mWrM,-41,0,2024-09-04 02-30-15,40739651614,16844,40713874643
alcatel,FHW,-76,-76,2024-09-04 02-33-03,40794548876,16918,40723851543
alcatel,Ibn,-67,92,2024-09-04 02-30-34,40715745780,-11714,40705684327
alcatel,xKw,121,-74,2024-09-04 02-33-43,40763120279,-18536,40776559079
alcatel,kLmMS,-82,20,2024-09-04 02-31-55,40716056501,-24297,40784591342
alcatel,fNY,82,73,2024-09-04 02-33-55,40748074871,4867,40759909327
alcatel,auh,14,7,2024-09-04 02-33-21,40785606094,-24727,40724300711
alcatel,Bmop,-46,11,2024-09-04 02-33-45,40755376716,-24343,40722157484
alcatel,apj,-25,-113,2024-09-04 02-33-19,40767871839,8624,40719864770
alcatel,EDXC,11,-75,2024-09-04 02-34-17,40784345801,22028,40712079529
alcatel,RIM,24,-113,2024-09-04 02-31-10,40797333243,-10288,40780416497
alcatel,umdw,-27,-53,2024-09-04 02-32-40,40776804625,7357,40713067262
alcatel,KjJ,84,-31,2024-09-04 02-34-29,40713853802,23113,40756956650
alcatel,KCZW,110,65,2024-09-04 02-33-45,40733521658,10022,40725157705
alcatel,EjAVa,-128,-29,2024-09-04 02-31-31,40781291223,30776,40741489611
alcatel,xhVx,119,100,2024-09-04 02-32-37,40750563386,-32508,40791568971
alcatel,lvklz,-34,96,2024-09-04 02-34-25,40768902099,16498,40769295202
alcatel,SLBvx,-64,99,2024-09-04 02-33-41,40708990687,14053,40730105599
alcatel,GLR,-116,105,2024-09-04 02-30-43,40708752944,8512,40722336340
alcatel,oQeIM,-77,71,2024-09-04 02-33-38,40742472143,11630,40751101625
alcatel,WBvDwn,104,20,2024-09-04 02-34-11,40717338203,12589,40750811505
alcatel,RLgoay,-27,104,2024-09-04 02-34-53,40748297427,6004,40731717550
alcatel,KUY,-37,34,2024-09-04 02-33-16,40772516337,3356,40753938302
alcatel,Pnn,20,84,2024-09-04 02-31-14,40795074390,-22662,40724770713
alcatel,UbxZm,65,73,2024-09-04 02-31-06,40748500217,19925,40767363211
alcatel,ANlDhy,-82,66,2024-09-04 02-32-24,40715898467,31956,40744429391
alcatel,XEZjy,-104,-22,2024-09-04 02-32-26,40701164904,-31924,40795455709
alcatel,TziA,-57,78,2024-09-04 02-33-11,40733220596,24889,40777516928
alcatel,uniN,118,-92,2024-09-04 02-33-15,40794245799,-14140,40743869682
alcatel,GQoK,124,1,2024-09-04 02-34-30,40797664139,28752,40717217070
alcatel,Wfzj,126,109,2024-09-04 02-32-54,40744681048,22606,40755002911
alcatel,pMex,30,56,2024-09-04 02-31-47,40726737767,-27146,40791946876
alcatel,hrj,-121,110,2024-09-04 02-34-59,40783310442,4198,40716581438
alcatel,QdPtm,-20,99,2024-09-04 02-34-20,40702518388,-21267,40791573294
alcatel,JEO,106,-1,2024-09-04 02-31-55,40724654133,-9091,40772491643
alcatel,pTWP,92,-118,2024-09-04 02-33-21,40704328959,-32104,40748529035
alcatel,gvp,91,-114,2024-09-04 02-32-44,40730062305,-23818,40779881021
alcatel,mqH,2,-31,2024-09-04 02-31-15,40700895411,25324,40731225622
alcatel,CRo,-82,107,2024-09-04 02-34-11,40749627615,-7965,40756393613
alcatel,CTAtv,81,13,2024-09-04 02-30-15,40737742146,-23169,40700130341
alcatel,tRzR,87,38,2024-09-04 02-34-58,40717424213,-18830,40723902773
alcatel,bbEle,-64,55,2024-09-04 02-33-45,40781134178,17338,40761592199
alcatel,IOG,-18,106,2024-09-04 02-33-20,40745140229,-16877,40735608797
alcatel,tEVs,65,12,2024-09-04 02-34-20,40713919278,-30299,40752489423
