src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,Azpmg,-32,-41,2024-09-04 02-37-04,40797361423,18692,40712022144
alcatel,qZHy,99,-19,2024-09-04 02-36-41,40723233067,9116,40737928044
alcatel,Pvf,-14,65,2024-09-04 02-36-49,40701025123,-16208,40789271508
alcatel,gqYVGz,80,-65,2024-09-04 02-35-58,40756568792,-17603,40735374021
alcatel,vsUXo,-115,116,2024-09-04 02-39-49,40792729099,-22116,40747356593
alcatel,drvqZI,19,86,2024-09-04 02-36-05,40761604808,20609,40700912695
alcatel,rkti,16,121,2024-09-04 02-36-46,40764543948,4304,40772876783
alcatel,BLaH,78,-78,2024-09-04 02-36-22,40752346855,28427,40706492878
alcatel,ZvzTgG,-111,61,2024-09-04 02-39-13,40796529992,-5328,40742199861
alcatel,HhFgJ,17,-117,2024-09-04 02-37-00,40764140551,9242,40737071893
alcatel,ncoTm,59,10,2024-09-04 02-35-38,40708894393,13299,40754723517
alcatel,HHIMyQ,96,-33,2024-09-04 02-36-37,40777190085,-6946,40712207536
alcatel,LlEE,65,-56,2024-09-04 02-38-29,40791237308,536,40795405035
alcatel,IJe,-91,-64,2024-09-04 02-35-22,40762229524,-15717,40721993801
alcatel,Ksj,107,-54,2024-09-04 02-35-40,40727514407,18237,40794756171
alcatel,QMUO,-52,-80,2024-09-04 02-35-08,40731001769,-12091,40778341337
alcatel,SeTlpF,21,71,2024-09-04 02-37-12,40716268598,-1053,40712387747
alcatel,EOZTHD,-98,30,2024-09-04 02-39-24,40769980860,-25782,40755063193
alcatel,gHsj,-21,50,2024-09-04 02-37-32,40724909904,-21643,40716954102
alcatel,TJrS,91,99,2024-09-04 02-36-18,40750758858,-18933,40749952070
alcatel,mZeRUa,-46,3,2024-09-04 02-37-31,40721619249,11786,40714893626
alcatel,rhgJl,-18,23,2024-09-04 02-39-28,40759940147,-5512,40718745695
alcatel,XTBU,-90,95,2024-09-04 02-38-29,40739917135,17963,40782737390
alcatel,YAC,42,86,2024-09-04 02-39-52,40736192878,-20655,40746194732
alcatel,BPRG,63,20,2024-09-04 02-37-32,40738001521,29809,40737297629
alcatel,YWwqoY,-119,-83,2024-09-04 02-39-15,40783263526,20743,40768854721
alcatel,dPAqT,-86,-52,2024-09-04 02-37-32,40789493207,26668,40753770560
alcatel,urg,72,-61,2024-09-04 02-38-37,40794730623,17182,40780449154
alcatel,AcCcw,-40,24,2024-09-04 02-38-51,40740438412,6049,40725365182
alcatel,vNS,85,-103,2024-09-04 02-39-22,40771850124,-9856,40774213113
alcatel,ytYs,-76,-115,2024-09-04 02-39-43,40753255994,5317,40723025463
alcatel,tBn,-76,-99,2024-09-04 02-38-29,40789192129,-27626,40712715345
alcatel,Bxhxuz,74,-79,2024-09-04 02-36-29,40768378822,30791,40792110385
alcatel,ayLZxd,-51,-95,2024-09-04 02-35-24,40708870751,-12396,40769736079
alcatel,Vuo,-97,80,2024-09-04 02-38-55,40709594293,-17597,40778007161
alcatel,VDBWW,25,-69,2024-09-04 02-37-38,40774435355,30938,40739911000
alcatel,TEO,-96,-95,2024-09-04 02-35-21,40745007324,-2042,40732824350
alcatel,rSrjg,50,-17,2024-09-04 02-38-28,40734493402,8170,40797007407
alcatel,ERDo,42,-8,2024-09-04 02-35-52,40795365681,-4659,40771405132
alcatel,BRPaJn,-107,31,2024-09-04 02-36-26,40730659546,-31300,40721085684
