src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,xoKK,89,-19,2024-09-04 02-44-40,40767862076,-13605,40729446866
alcatel,scbPV,114,14,2024-09-04 02-42-06,40718270202,-2213,40778037410
alcatel,vlhf,35,89,2024-09-04 02-40-34,40749240192,-14678,40700052640
alcatel,uZC,-127,35,2024-09-04 02-44-34,40746190968,-24324,40750404925
alcatel,dxCY,19,-122,2024-09-04 02-41-00,40785510936,-4748,40714324657
alcatel,wVrd,-24,-56,2024-09-04 02-40-12,40720369044,17421,40762959973
alcatel,Hsg,101,-54,2024-09-04 02-40-51,40772215822,4237,40795351367
alcatel,kKTFu,63,87,2024-09-04 02-40-13,40778011380,7076,40772573765
alcatel,majdee,-100,-123,2024-09-04 02-44-44,40767652967,-29379,40714479293
alcatel,rBvTpp,77,-102,2024-09-04 02-43-27,40777335096,-19251,40787976862
alcatel,fmE,119,96,2024-09-04 02-44-27,40720907349,16909,40790115661
alcatel,HRDFGd,-86,114,2024-09-04 02-44-00,40709543131,-397,40754121135
alcatel,wZPx,-97,-37,2024-09-04 02-42-33,40795532991,29547,40742046818
alcatel,QmFXQO,23,22,2024-09-04 02-40-04,40739272448,-21606,40761799678
alcatel,wJWA,-1,-44,2024-09-04 02-43-09,40772867810,-14857,40776202062
alcatel,scd,19,-77,2024-09-04 02-41-05,40716617002,26420,40707851779
alcatel,IRMmR,62,-18,2024-09-04 02-43-20,40741812005,16080,40744730987
alcatel,XpH,107,-83,2024-09-04 02-41-28,40778081307,-13803,40736726997
alcatel,DtssC,-60,-60,2024-09-04 02-42-32,40744050332,22439,40794019693
alcatel,HTK,101,88,2024-09-04 02-42-11,40710245391,24692,40744430356
alcatel,IBRK,12,-26,2024-09-04 02-40-01,40762207390,-7988,40777623980
alcatel,qvVAdN,28,-98,2024-09-04 02-44-11,40725861104,-20227,40710892930
alcatel,EDD,-54,124,2024-09-04 02-40-04,40734846957,-13585,40776535147
alcatel,JRl,85,-52,2024-09-04 02-40-27,40796336467,14436,40762910998
alcatel,JNqgrK,30,-127,2024-09-04 02-44-19,40723168189,25303,40759213486
alcatel,bKH,91,60,2024-09-04 02-40-32,40728892793,26694,40791213155
alcatel,WdQp,-100,52,2024-09-04 02-42-08,40795532703,-30805,40714746009
alcatel,KnNJq,90,126,2024-09-04 02-42-59,40756444215,-19902,40725448366
alcatel,qKMaRq,-65,60,2024-09-04 02-42-21,40721020292,19482,40723656398
alcatel,taL,-67,22,2024-09-04 02-41-17,40779008789,-2972,40705490682
alcatel,xwPU,89,70,2024-09-04 02-44-32,40726878743,4908,40746505951
alcatel,uqTC,-105,-67,2024-09-04 02-44-53,40785325686,-28147,40732157209
alcatel,xYylTD,-55,-119,2024-09-04 02-42-27,40794295355,26884,40704524363
alcatel,csoAO,59,35,2024-09-04 02-41-43,40755641534,-31878,40747436675
