src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,GGq,61,-126,2024-09-04 02-47-44,40710437711,-3057,40777322555
alcatel,kEOQgR,-63,83,2024-09-04 02-48-44,40785607770,23245,40762810801
alcatel,RlINE,39,-89,2024-09-04 02-45-57,40766321177,12049,40715152543
alcatel,MZZ,-15,-87,2024-09-04 02-47-23,40798789420,28856,40720849581
alcatel,fwqY,53,-14,2024-09-04 02-48-28,40772006605,-12329,40779386460
alcatel,PDbK,124,89,2024-09-04 02-47-35,40706756226,22661,40725278541
alcatel,jMWBXx,112,108,2024-09-04 02-45-06,40790280926,-27635,40742246013
alcatel,peTKg,19,-89,2024-09-04 02-48-11,40709214388,17449,40705559729
alcatel,aLy,40,47,2024-09-04 02-48-37,40767491493,-26415,40753221288
alcatel,XKqW,94,85,2024-09-04 02-47-55,40795473496,3053,40729278704
alcatel,iVLmJb,-20,3,2024-09-04 02-46-12,40775092630,-14510,40753139310
alcatel,seE,75,-12,2024-09-04 02-49-52,40783829953,-29036,40745456008
alcatel,kJmKLD,64,-106,2024-09-04 02-45-22,40712452814,-2850,40795023189
alcatel,ANFiD,-108,69,2024-09-04 02-48-46,40725056375,-22022,40798821465
alcatel,KFW,3,-49,2024-09-04 02-49-55,40761045423,8459,40710185865
alcatel,JniZa,-111,47,2024-09-04 02-45-34,40725561972,22637,40754915542
alcatel,bQSxFt,-45,-77,2024-09-04 02-47-38,40783541042,16400,40713804591
alcatel,ptyE,5,69,2024-09-04 02-48-30,40707440248,5962,40713448581
alcatel,UNH,-96,-73,2024-09-04 02-47-22,40711520376,12601,40742155609
alcatel,LnoSyf,82,-87,2024-09-04 02-49-35,40770375914,-11759,40746622777
alcatel,aZg,-39,-50,2024-09-04 02-47-13,40752657417,-21644,40771848516
alcatel,rdy,55,-115,2024-09-04 02-49-39,40752255219,-11395,40778778013
alcatel,kSXG,104,35,2024-09-04 02-47-24,40758135682,25372,40710449319
alcatel,TBkS,118,124,2024-09-04 02-49-38,40736988681,-11874,40740295814
alcatel,JnI,83,-4,2024-09-04 02-49-02,40737982162,-22377,40712896284
alcatel,XWQuI,88,28,2024-09-04 02-47-13,40766746808,-23755,40789731227
alcatel,zMS,-20,-22,2024-09-04 02-47-52,40718336172,-13043,40703208085
alcatel,nXu,-31,95,2024-09-04 02-50-02,40764640507,-2432,40720275488
alcatel,RsBuK,-90,-69,2024-09-04 02-45-47,40769647270,16501,40752387315
alcatel,CaOnp,-59,121,2024-09-04 02-46-34,40754487061,19251,40781247249
alcatel,KXw,-62,-72,2024-09-04 02-48-12,40782777849,-1878,40799264034
alcatel,JYwKF,-19,35,2024-09-04 02-46-22,40719094880,25244,40752556562
alcatel,SdUnF,-53,-45,2024-09-04 02-48-44,40778937537,15163,40743796024
alcatel,vUocwJ,60,96,2024-09-04 02-49-45,40712751642,13402,40782744197
