src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,FJuC,-33,67,2024-09-04 02-58-29,40796230768,-21470,40748478880
alcatel,KuLgC,-65,102,2024-09-04 02-59-56,40739386891,-762,40789765947
alcatel,gQLvL,40,55,2024-09-04 02-58-13,40700152369,-12574,40708680548
alcatel,XUZA,91,81,2024-09-04 02-59-48,40724061286,18857,40774779375
alcatel,jQhdb,-19,-59,2024-09-04 02-57-52,40741714550,-21001,40752034524
alcatel,cqONO,59,-85,2024-09-04 02-58-11,40714910128,-16426,40701443650
alcatel,agvB,-125,66,2024-09-04 02-58-00,40719166731,-26676,40773455601
alcatel,WqAkaa,-66,28,2024-09-04 02-59-43,40764434059,15145,40799714327
alcatel,vwNdl,24,2,2024-09-04 02-55-42,40788980935,-7876,40723150159
alcatel,fFPVM,2,-1,2024-09-04 02-57-37,40704288720,-3727,40729271421
alcatel,bPHFi,18,102,2024-09-04 02-56-51,40703286847,-5103,40758181951
alcatel,xigi,23,115,2024-09-04 02-57-39,40724053477,-22654,40706436146
alcatel,dFXqwp,92,71,2024-09-04 02-55-50,40742258074,12600,40786371087
alcatel,dgqy,-125,-121,2024-09-04 02-57-00,40760858769,32398,40756539710
alcatel,LeGrr,-56,-34,2024-09-04 02-57-41,40704579160,-12149,40714824451
alcatel,mCq,98,-69,2024-09-04 02-58-07,40723265730,12654,40708382833
alcatel,gZLB,102,-3,2024-09-04 02-59-27,40769428293,-1659,40737444706
alcatel,ZKO,51,27,2024-09-04 02-56-37,40721059673,19799,40711388904
alcatel,Nes,-46,-101,2024-09-04 02-58-07,40764600855,23900,40765881094
alcatel,Oehk,-113,27,2024-09-04 02-58-07,40744068821,11199,40709897280
alcatel,oMR,-121,-42,2024-09-04 02-55-54,40760929549,-28586,40742760573
alcatel,zAJTid,-53,-112,2024-09-04 02-55-26,40768377144,-2428,40747156304
alcatel,UbH,20,13,2024-09-04 02-56-01,40756568542,-31605,40735997058
alcatel,dXski,35,-106,2024-09-04 02-59-08,40747087666,-8772,40787159776
alcatel,gFjBgg,-58,-125,2024-09-04 02-55-45,40706210975,28095,40778704083
alcatel,aIExP,86,-121,2024-09-04 02-59-53,40717643150,27444,40778972895
alcatel,RIb,24,-38,2024-09-04 02-55-02,40797096612,-18442,40740540529
alcatel,yfzB,-99,79,2024-09-04 02-58-13,40740762136,-6759,40716448530
alcatel,XeQm,117,83,2024-09-04 02-59-33,40758406915,-6632,40736336033
alcatel,Pkld,-67,-80,2024-09-04 02-58-28,40784759694,23136,40705873172
alcatel,bZq,-113,-86,2024-09-04 02-58-42,40786010864,1334,40705733701
alcatel,hnkqeW,21,45,2024-09-04 02-59-01,40710398185,24691,40744688413
alcatel,oVt,-8,-7,2024-09-04 02-58-04,40716230014,30507,40779793038
alcatel,LFz,-14,-46,2024-09-04 02-56-57,40715514419,-12768,40751848161
alcatel,uFe,61,76,2024-09-04 02-58-49,40761171389,4848,40741602624
alcatel,Gij,33,-105,2024-09-04 02-55-29,40739861326,2032,40779642658
alcatel,yqA,-62,-71,2024-09-04 02-58-49,40752769686,-15763,40751513914
alcatel,cCSvr,-3,-122,2024-09-04 02-56-21,40797769301,-22500,40797460282
alcatel,QbJThp,60,-121,2024-09-04 02-59-05,40770275277,20925,40729013417
alcatel,eGgYcV,112,26,2024-09-04 02-55-16,40789836812,1376,40778443339
