src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,Ksms,-82,-118,2024-09-04 03-30-26,40774707419,16998,40731886912
alcatel,JumwkQ,-64,68,2024-09-04 03-32-58,40758837915,23307,40733097642
alcatel,rYLTH,-79,-5,2024-09-04 03-34-23,40755449817,-32219,40757296869
alcatel,xdsSZg,24,21,2024-09-04 03-31-24,40738595305,-32220,40773164899
alcatel,xUpUD,125,-91,2024-09-04 03-34-59,40746922726,-2547,40799785563
alcatel,eQD,-21,49,2024-09-04 03-30-02,40769641918,6022,40748991162
alcatel,ISqNS,-97,-118,2024-09-04 03-31-51,40718613054,14005,40731157073
alcatel,kFZQF,-112,-29,2024-09-04 03-32-02,40736648808,-2396,40715627052
alcatel,LNZcxQ,-87,126,2024-09-04 03-31-47,40737864115,-2930,40704057349
alcatel,mUBNOa,0,101,2024-09-04 03-30-53,40713034148,17685,40729215372
alcatel,SDH,119,-88,2024-09-04 03-30-44,40709505215,25348,40771322744
alcatel,YWVBF,-30,-49,2024-09-04 03-32-29,40775255699,26460,40764699418
alcatel,zjL,66,75,2024-09-04 03-32-59,40747476238,-15492,40749868216
alcatel,JSnoZ,-24,-93,2024-09-04 03-31-50,40767706159,29084,40778931393
alcatel,WVD,-101,-21,2024-09-04 03-32-09,40764441409,-10864,40766427758
alcatel,PyE,-33,-116,2024-09-04 03-31-20,40722388146,-15430,40773920395
alcatel,HDfgN,-85,4,2024-09-04 03-30-08,40795552309,-32201,40746598072
alcatel,wIvcC,-45,-54,2024-09-04 03-33-37,40789650515,-32302,40768989449
alcatel,TXNZS,108,-11,2024-09-04 03-33-04,40783845684,-21590,40780163570
alcatel,ocbhB,2,-68,2024-09-04 03-31-59,40716894500,28172,40738372403
alcatel,OWf,-19,-92,2024-09-04 03-31-38,40765461611,22735,40775935579
alcatel,iuJNl,3,104,2024-09-04 03-33-48,40744334149,3660,40738892575
alcatel,nKN,-49,122,2024-09-04 03-33-11,40752846504,-28539,40701823610
alcatel,GEx,103,-49,2024-09-04 03-33-54,40769824798,-5054,40759773013
alcatel,vuoi,-127,-74,2024-09-04 03-33-28,40717516742,1767,40763415032
alcatel,fXNB,-49,-4,2024-09-04 03-32-59,40781385345,31787,40735504486
alcatel,GBNA,55,89,2024-09-04 03-30-50,40789048833,-13229,40712753404
alcatel,Qkbkc,6,18,2024-09-04 03-31-59,40767929253,23905,40789041495
alcatel,Lpq,-101,90,2024-09-04 03-32-59,40736246531,31102,40761862334
alcatel,sDj,-64,72,2024-09-04 03-32-45,40700684619,2242,40715958651
alcatel,nxVJ,53,59,2024-09-04 03-34-26,40738968316,-6910,40724167275
alcatel,frKOT,-90,-112,2024-09-04 03-30-50,40762786227,12504,40779840450
alcatel,pwVw,69,-117,2024-09-04 03-33-08,40774746898,4020,40737145472
alcatel,laPZBZ,-68,92,2024-09-04 03-34-32,40706074406,-15053,40758703083
alcatel,RSL,117,-20,2024-09-04 03-30-52,40732342585,23246,40774969221
alcatel,NUBG,89,-44,2024-09-04 03-33-29,40779344337,-5968,40715758013
alcatel,deoV,-8,6,2024-09-04 03-33-28,40702323176,14328,40704604082
alcatel,irB,-104,-16,2024-09-04 03-32-27,40758780317,-15407,40753253440
alcatel,RubcHw,105,36,2024-09-04 03-30-17,40757463672,7866,40772876758
alcatel,RkZe,109,-73,2024-09-04 03-31-35,40791825245,-1883,40786266798
alcatel,CNFGh,19,-43,2024-09-04 03-32-58,40737351660,-11246,40766287819
alcatel,lCFea,-107,-65,2024-09-04 03-33-29,40759848996,11718,40781568932
alcatel,KKM,118,114,2024-09-04 03-34-52,40792184754,5538,40700275540
alcatel,zDL,26,-40,2024-09-04 03-30-29,40727376109,-5277,40775733753
alcatel,kbC,46,12,2024-09-04 03-31-21,40744151110,-7394,40712056969
alcatel,IIiW,-90,104,2024-09-04 03-32-25,40769936162,1462,40732022798
alcatel,tjQjzH,-16,-39,2024-09-04 03-31-25,40787039744,18016,40713902899
alcatel,EQX,41,122,2024-09-04 03-34-11,40705415544,6661,40775644931
alcatel,PVdVu,-120,-54,2024-09-04 03-31-39,40767508139,28423,40743807356
alcatel,ntFJk,-13,26,2024-09-04 03-33-36,40729963805,-7931,40762837825
alcatel,mHDoc,76,-1,2024-09-04 03-32-25,40709667862,-13317,40786199283
alcatel,kdA,-18,-113,2024-09-04 03-34-47,40747940110,12855,40739808545
alcatel,HFQNSe,-30,13,2024-09-04 03-30-30,40743666128,147,40702731688
alcatel,SWlHU,88,42,2024-09-04 03-31-36,40746542591,9063,40787067332
alcatel,vgSmX,-36,80,2024-09-04 03-31-49,40750191819,-1266,40730706828
alcatel,JjrXI,123,-31,2024-09-04 03-34-04,40767452594,16530,40720758434
alcatel,tlXoi,5,-102,2024-09-04 03-31-58,40770672268,3638,40742214293
alcatel,hmeDQ,-47,-2,2024-09-04 03-31-12,40749080059,9238,40704902020
alcatel,GWYa,-2,78,2024-09-04 03-31-34,40791517546,-14042,40735435955
alcatel,uUmHoK,-18,-7,2024-09-04 03-33-38,40704093316,11377,40741808122
alcatel,YaaIUo,19,-92,2024-09-04 03-31-01,40761772720,-15339,40777809802
alcatel,fFPvBU,-23,63,2024-09-04 03-30-52,40753567515,-19502,40727769784
alcatel,RCsWv,-2,-106,2024-09-04 03-33-20,40706109764,-16083,40798099318
alcatel,fPGl,37,122,2024-09-04 03-31-49,40770664792,-14880,40721924536
alcatel,euYRJ,124,-81,2024-09-04 03-34-27,40716866322,24528,40762663215
alcatel,kBj,-19,82,2024-09-04 03-31-50,40771038564,-7679,40707146290
alcatel,QXIZUL,-8,96,2024-09-04 03-34-18,40796126204,17860,40773309565
alcatel,YLyWz,44,-80,2024-09-04 03-34-15,40702700055,-6270,40774462901
alcatel,Ubf,111,-76,2024-09-04 03-32-49,40708806851,-28061,40744359909
alcatel,ZDS,-55,42,2024-09-04 03-32-36,40787825993,13291,40706347707
alcatel,jKzMLl,91,26,2024-09-04 03-34-01,40749123512,416,40790602695
alcatel,QaiV,13,-122,2024-09-04 03-32-08,40773786190,-28379,40744940948
alcatel,rHr,-78,-29,2024-09-04 03-33-17,40730770820,9251,40715296825
alcatel,XuThsy,-116,93,2024-09-04 03-30-58,40776836039,29279,40751621557
alcatel,AgMld,42,-56,2024-09-04 03-33-53,40718470250,-13057,40732784954
alcatel,eEJJK,-116,65,2024-09-04 03-30-01,40786642734,23140,40753606066
alcatel,ter,-66,-90,2024-09-04 03-32-55,40762628091,20017,40788623828
alcatel,ZhLRMK,97,-117,2024-09-04 03-32-11,40704272280,15356,40721772183
alcatel,hSrhFq,-24,-38,2024-09-04 03-33-01,40727739023,27077,40701275846
alcatel,xmqhpO,110,-77,2024-09-04 03-31-48,40772312787,17653,40770526168
