src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,ojdlX,56,67,2024-09-04 03-41-10,40798697131,30093,40700933720
alcatel,JPUdQc,28,50,2024-09-04 03-42-16,40724406139,21742,40751368830
alcatel,DRgwP,77,17,2024-09-04 03-40-03,40785134475,-6289,40762966843
alcatel,xlQZFt,18,-2,2024-09-04 03-40-56,40796096560,13801,40716689607
alcatel,FPLe,27,36,2024-09-04 03-41-02,40779228640,3275,40755658170
alcatel,WAywU,-74,2,2024-09-04 03-43-55,40749353389,-3217,40748271988
alcatel,noyu,71,-54,2024-09-04 03-41-56,40730375094,11865,40734178553
alcatel,TlV,68,51,2024-09-04 03-42-27,40779308309,15895,40714949966
alcatel,vdGtPz,-53,58,2024-09-04 03-43-44,40787408430,27995,40710241005
alcatel,CZHGj,67,107,2024-09-04 03-44-45,40777933580,23999,40751462256
alcatel,MXhlx,-54,-121,2024-09-04 03-44-38,40767395973,-13210,40760410770
alcatel,snlz,-56,63,2024-09-04 03-42-44,40732264647,-25682,40725305813
alcatel,HWyIsR,118,-109,2024-09-04 03-42-13,40773608335,-8935,40731514001
alcatel,LLgY,-44,-98,2024-09-04 03-41-29,40743512238,28408,40726769118
alcatel,FtWJdE,-27,-31,2024-09-04 03-41-43,40735182107,29537,40781494992
alcatel,ZpGKfM,122,-41,2024-09-04 03-42-00,40718030222,-27157,40768854387
alcatel,RWcr,-94,-45,2024-09-04 03-44-04,40756013243,-19503,40753012856
alcatel,MpuU,44,125,2024-09-04 03-44-25,40703673702,16349,40776310775
alcatel,hPsl,37,1,2024-09-04 03-41-32,40716390096,-31640,40741633932
alcatel,UaaJYc,58,-9,2024-09-04 03-43-16,40778622546,5804,40724435378
alcatel,AdTq,-7,73,2024-09-04 03-41-42,40766961119,10244,40737911287
alcatel,MqbQOz,-1,121,2024-09-04 03-43-13,40706647255,10225,40714308446
alcatel,rSFJiy,47,55,2024-09-04 03-44-12,40791065288,16650,40725088016
alcatel,zCw,121,-9,2024-09-04 03-42-45,40754346282,-3621,40775399743
alcatel,Ltdcoa,-31,-85,2024-09-04 03-43-58,40705084586,-27961,40770712770
alcatel,byR,69,-18,2024-09-04 03-42-06,40746199726,9887,40796369491
alcatel,gOeovM,57,74,2024-09-04 03-41-12,40731928109,-28263,40708661292
alcatel,MQi,6,-5,2024-09-04 03-42-36,40786281161,23823,40746809503
alcatel,hQO,-81,82,2024-09-04 03-43-26,40720268576,967,40713017189
alcatel,AErN,-32,-80,2024-09-04 03-42-06,40741941323,-17708,40795836760
alcatel,KRk,-39,123,2024-09-04 03-43-24,40727846498,-6926,40780014496
alcatel,afqiUP,116,-45,2024-09-04 03-43-49,40720715932,2276,40742785393
alcatel,vzB,53,42,2024-09-04 03-42-04,40744312340,17913,40749444484
alcatel,WohH,-25,-27,2024-09-04 03-43-44,40725559464,-28680,40799253914
alcatel,gEHNm,39,-22,2024-09-04 03-43-22,40788511098,17207,40737165571
alcatel,ywxKAv,13,64,2024-09-04 03-42-38,40781098427,13986,40722404051
alcatel,BzqU,-8,36,2024-09-04 03-42-53,40709127899,13159,40703224667
alcatel,nZljWc,90,-29,2024-09-04 03-43-01,40765733573,12206,40775671819
alcatel,wFDs,86,-100,2024-09-04 03-40-48,40785150757,-19486,40787003067
alcatel,bWg,-42,0,2024-09-04 03-40-40,40794212120,8996,40717962553
alcatel,kgrgFP,60,-115,2024-09-04 03-44-48,40761154139,-9787,40782965327
alcatel,dVON,-37,-80,2024-09-04 03-43-17,40765939590,2048,40745444846
alcatel,UfyJu,126,58,2024-09-04 03-44-52,40726479946,-1210,40785218425
alcatel,ZBPKj,-7,17,2024-09-04 03-44-34,40740820160,-19814,40705836528
alcatel,HHPyzJ,-41,64,2024-09-04 03-42-37,40766474485,1995,40737242858
alcatel,QYFmFF,66,29,2024-09-04 03-44-55,40750924719,25916,40745816693
alcatel,FLCjP,84,-36,2024-09-04 03-44-21,40792689034,22148,40796095601
alcatel,kDnCHe,20,-73,2024-09-04 03-43-44,40779282911,22394,40713523573
alcatel,Nxuf,-102,4,2024-09-04 03-44-06,40726614986,-4023,40743347806
alcatel,agaZ,-46,114,2024-09-04 03-41-13,40700840111,18753,40778540905
alcatel,mBnUK,82,-36,2024-09-04 03-42-12,40721180680,3545,40768017625
alcatel,IkyBc,89,52,2024-09-04 03-44-49,40765048647,-12226,40736154599
alcatel,ffCvS,-61,-73,2024-09-04 03-43-54,40756470872,13210,40773251036
alcatel,sWYo,-87,-21,2024-09-04 03-41-05,40746696898,9839,40785293425
alcatel,kKy,-47,-78,2024-09-04 03-41-37,40780607783,-26322,40758979734
alcatel,saVb,-57,-3,2024-09-04 03-44-24,40712485679,21838,40786191448
alcatel,ggTRL,105,11,2024-09-04 03-40-19,40752120876,11921,40790988846
alcatel,RdUAM,-15,29,2024-09-04 03-44-08,40785146126,17509,40780051832
alcatel,yDWblW,94,-76,2024-09-04 03-44-43,40707634297,11470,40772120893
alcatel,qOH,17,8,2024-09-04 03-40-29,40762026091,19717,40701547318
alcatel,Wqsbc,-122,-97,2024-09-04 03-42-12,40756904174,17875,40758649958
alcatel,vQMq,-25,-85,2024-09-04 03-42-46,40709451105,16413,40787257068
alcatel,PZB,126,109,2024-09-04 03-43-10,40770968485,-23118,40789101724
alcatel,fHUmZf,-63,-37,2024-09-04 03-40-40,40763474820,-16976,40707417540
alcatel,kLz,-81,-68,2024-09-04 03-42-23,40705361131,-23429,40742056964
alcatel,vKAGtP,31,-37,2024-09-04 03-41-17,40782150864,28720,40742456241
alcatel,kbBG,8,12,2024-09-04 03-40-49,40706215406,10675,40757511799
alcatel,bjCcch,-123,-101,2024-09-04 03-44-16,40739514110,20550,40762211772
alcatel,kiAxHH,-10,-97,2024-09-04 03-43-11,40774104403,8756,40748846571
alcatel,LCCk,19,48,2024-09-04 03-42-51,40775236420,12662,40786581415
alcatel,yPy,-107,115,2024-09-04 03-40-36,40739447286,-18908,40731183256
alcatel,pvT,100,26,2024-09-04 03-43-59,40766532662,-5456,40753808682
alcatel,VBo,-35,-56,2024-09-04 03-42-23,40732970578,-9265,40777326974
alcatel,nIEUE,-28,14,2024-09-04 03-44-10,40768070349,-7964,40712978784
alcatel,TUgi,2,-26,2024-09-04 03-44-19,40753781464,-3748,40788750562
alcatel,wQlPIp,-64,5,2024-09-04 03-40-26,40738781966,-546,40757567949
alcatel,ESGH,21,-24,2024-09-04 03-40-47,40777174289,17278,40707962428
alcatel,xrKMMl,0,-80,2024-09-04 03-40-47,40738291507,27951,40787457167
alcatel,VbC,17,-57,2024-09-04 03-44-15,40779295532,-19139,40712869229
alcatel,ECUP,113,58,2024-09-04 03-45-00,40745879310,12955,40754186766
alcatel,UTXUK,116,72,2024-09-04 03-42-27,40713156975,10271,40738902807
alcatel,ohaFsM,72,-35,2024-09-04 03-42-18,40747566370,-15657,40756917620
alcatel,cygH,0,-59,2024-09-04 03-44-19,40793354535,-15309,40734293169
alcatel,Xhu,41,8,2024-09-04 03-40-48,40757255449,-18267,40729131775
alcatel,VsT,-61,58,2024-09-04 03-42-54,40704659561,11290,40784108631
alcatel,hnHnmm,-124,-65,2024-09-04 03-44-14,40718174956,-30472,40728103970
alcatel,EoFKm,40,55,2024-09-04 03-40-01,40767614161,27386,40796219480
alcatel,nfYeV,47,44,2024-09-04 03-43-02,40735564184,27727,40753598996
alcatel,jUOL,-51,6,2024-09-04 03-44-18,40724693885,-6039,40791618155
alcatel,SKA,-59,-4,2024-09-04 03-42-36,40797470669,-15064,40726382539
alcatel,csHYi,68,-53,2024-09-04 03-41-22,40780306731,-16138,40726448573
alcatel,vWUxbP,38,62,2024-09-04 03-43-26,40785609721,-9311,40740736422
alcatel,VwQwn,-25,105,2024-09-04 03-44-46,40798420793,-23341,40732525819
alcatel,YxBZgs,-36,-28,2024-09-04 03-40-17,40792974886,27822,40777116887
alcatel,HdOD,11,37,2024-09-04 03-40-04,40708141662,12311,40771042657
alcatel,kTESka,70,-53,2024-09-04 03-43-28,40780178107,-3070,40708916941
alcatel,lhJ,-9,-32,2024-09-04 03-43-42,40792772407,-118,40703208472
alcatel,dhs,-35,29,2024-09-04 03-42-01,40749134622,-30424,40755480016
alcatel,VUt,12,-71,2024-09-04 03-41-11,40784583680,-19388,40798636723
alcatel,PadA,30,95,2024-09-04 03-43-19,40741803346,-15083,40704862125
alcatel,RZq,-89,-80,2024-09-04 03-41-42,40736814936,25471,40784630790
alcatel,WXEI,12,-114,2024-09-04 03-43-04,40714499329,-21292,40797874859
alcatel,FSdu,-33,115,2024-09-04 03-41-03,40715401697,30433,40741973710
alcatel,gUcBV,67,-77,2024-09-04 03-43-08,40774672072,-15520,40754561466
alcatel,HQwvL,-88,-97,2024-09-04 03-43-09,40783841835,6985,40772322820
alcatel,QygXYx,-66,103,2024-09-04 03-43-27,40723708197,-3710,40700402815
alcatel,QzH,78,127,2024-09-04 03-41-00,40778435054,6869,40701781425
alcatel,XsuT,-95,-11,2024-09-04 03-43-31,40757101142,-17457,40774703386
alcatel,YPfX,-57,-117,2024-09-04 03-43-12,40704785523,-7702,40751754741
alcatel,bNSf,-71,114,2024-09-04 03-41-11,40732144106,-28219,40726605446
alcatel,lDCwzN,-92,-30,2024-09-04 03-44-53,40796654000,22975,40750139635
alcatel,HrAQK,-35,28,2024-09-04 03-42-22,40744753517,6437,40710197554
alcatel,KQWE,-4,123,2024-09-04 03-44-13,40748866670,15014,40794407762
alcatel,OJjt,125,110,2024-09-04 03-43-12,40761973669,-22365,40778122259
alcatel,aUIaoL,27,14,2024-09-04 03-44-25,40786566976,-11444,40791294906
alcatel,tsEKse,51,-105,2024-09-04 03-43-41,40790079303,30711,40777615212
alcatel,IID,74,71,2024-09-04 03-40-06,40770998034,8093,40772964126
alcatel,uTG,-101,-26,2024-09-04 03-40-26,40726129047,2722,40792271549
alcatel,zVBiI,-14,-110,2024-09-04 03-43-14,40774412017,30633,40770039060
alcatel,dmQ,-101,-7,2024-09-04 03-43-58,40744281408,-13066,40702900600
alcatel,Wcai,-128,21,2024-09-04 03-44-01,40798320683,-8549,40702708056
alcatel,dkjDLH,118,76,2024-09-04 03-40-42,40759051353,-19034,40739131875
