src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,ukel,102,71,2024-09-04 03-48-32,40713511490,28319,40712735439
alcatel,BfBAN,-23,66,2024-09-04 03-47-10,40759650716,-3858,40703586040
alcatel,xwflqv,-121,112,2024-09-04 03-46-16,40799564855,-11197,40750853502
alcatel,zlV,58,51,2024-09-04 03-46-16,40797060003,-32633,40718174843
alcatel,HvKc,-58,-106,2024-09-04 03-47-35,40715824512,-8823,40739037402
alcatel,xyY,59,-2,2024-09-04 03-47-58,40760138761,10567,40742966678
alcatel,hyiN,-22,-114,2024-09-04 03-46-18,40726986994,-30527,40743013596
alcatel,CPKLwi,60,-123,2024-09-04 03-47-32,40774063862,12995,40729749544
alcatel,OCT,115,108,2024-09-04 03-46-25,40756190368,-19894,40745920984
alcatel,Yomfw,-84,-108,2024-09-04 03-48-15,40704078517,24827,40721837511
alcatel,Jdbz,29,-52,2024-09-04 03-49-16,40785746766,-1187,40752891150
alcatel,trpkr,-80,26,2024-09-04 03-50-00,40760661945,13828,40750806435
alcatel,Nyt,-98,-69,2024-09-04 03-48-24,40710813625,-29158,40797396786
alcatel,LlkR,118,-70,2024-09-04 03-45-05,40766033655,-13830,40782139435
alcatel,ubQe,-7,-63,2024-09-04 03-48-11,40720340661,-27509,40797463015
alcatel,yENzj,-18,27,2024-09-04 03-49-13,40730843435,19122,40778435295
alcatel,iDSs,-47,106,2024-09-04 03-46-48,40727434268,-25758,40788255496
alcatel,EvSMMH,-117,71,2024-09-04 03-46-06,40721443688,-10955,40730408250
alcatel,ngbj,64,-34,2024-09-04 03-49-17,40774495979,-5429,40714912839
alcatel,HLfOw,-115,100,2024-09-04 03-48-56,40715737621,-23660,40791872967
alcatel,KRxO,77,-90,2024-09-04 03-47-10,40774347723,26168,40704812861
alcatel,REVuaQ,-115,124,2024-09-04 03-48-56,40779107077,18719,40722347617
alcatel,GBxg,-69,-73,2024-09-04 03-47-29,40711414205,13492,40729961193
alcatel,QgByF,-9,-28,2024-09-04 03-47-33,40795265886,12709,40743074399
alcatel,IyV,-54,-88,2024-09-04 03-46-15,40714853857,24731,40737165917
alcatel,MceH,-88,-92,2024-09-04 03-46-32,40742810792,-1165,40759063037
alcatel,vSO,13,-98,2024-09-04 03-46-13,40756463275,21558,40731063905
