src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,aJRFH,-74,-18,2024-09-04 03-50-47,40744736496,-19293,40712626833
alcatel,NxrtRu,98,-42,2024-09-04 03-52-19,40761902928,-8593,40724538443
alcatel,rhqqLB,33,84,2024-09-04 03-52-11,40737313028,-1448,40709930517
alcatel,kHK,-53,1,2024-09-04 03-51-47,40783555566,9663,40741189238
alcatel,xInE,-55,-14,2024-09-04 03-52-19,40730623903,22125,40743149964
alcatel,WEr,-93,32,2024-09-04 03-54-02,40756846062,-18175,40751652189
alcatel,bfh,101,62,2024-09-04 03-54-52,40766305132,1027,40701675858
alcatel,EbC,21,115,2024-09-04 03-51-24,40712582294,862,40776902635
alcatel,lYjoa,96,-84,2024-09-04 03-52-58,40720191260,-8993,40772226350
alcatel,Vzw,-57,-121,2024-09-04 03-54-04,40722813923,-1570,40764163566
alcatel,gcI,86,-65,2024-09-04 03-54-28,40732209002,21546,40798100425
alcatel,GuKb,95,-113,2024-09-04 03-51-23,40764316117,10708,40772517744
alcatel,yZlDoX,-100,42,2024-09-04 03-51-58,40790746159,18335,40780325664
alcatel,UuH,15,25,2024-09-04 03-50-10,40750848366,-22272,40781031842
alcatel,YlfLJw,-19,126,2024-09-04 03-54-47,40754976673,31422,40710581847
alcatel,jKbbI,13,110,2024-09-04 03-51-33,40791211935,-21676,40778268491
alcatel,WfNpz,43,115,2024-09-04 03-51-17,40787088774,14177,40728761951
alcatel,wgqlr,-127,-127,2024-09-04 03-52-38,40763093782,-7817,40702081065
alcatel,ekSS,-83,28,2024-09-04 03-50-48,40735223859,-18050,40728163560
alcatel,owQIx,-37,28,2024-09-04 03-53-59,40788287733,4442,40772042693
alcatel,Wvy,-23,-50,2024-09-04 03-52-29,40729272848,23748,40730220809
alcatel,qHOuM,55,-76,2024-09-04 03-51-59,40772845971,10715,40790546167
alcatel,HqbJ,121,54,2024-09-04 03-50-04,40792058060,-3897,40714220713
alcatel,fQRBK,13,-69,2024-09-04 03-50-34,40732578508,4140,40719603822
alcatel,FJm,-19,-106,2024-09-04 03-51-21,40771021373,11125,40735410829
alcatel,vKpZQ,105,37,2024-09-04 03-53-50,40725328317,6663,40712763727
alcatel,cDmLv,26,114,2024-09-04 03-53-32,40707484106,-29722,40784644029
alcatel,xTUj,-79,-121,2024-09-04 03-51-29,40783177833,-10683,40795429521
alcatel,RJXk,78,-54,2024-09-04 03-54-15,40750951257,-21430,40764981838
alcatel,FBDO,-52,41,2024-09-04 03-50-03,40728703413,16484,40764533289
alcatel,MvOCBI,-108,-84,2024-09-04 03-50-36,40793306573,-6269,40779473538
alcatel,XuqV,114,-60,2024-09-04 03-51-16,40729804937,-27753,40748619302
alcatel,oPMO,126,-17,2024-09-04 03-51-47,40794575539,5870,40732632179
alcatel,MTuAt,-79,36,2024-09-04 03-51-30,40714673821,-10970,40723306919
alcatel,xKp,-83,101,2024-09-04 03-51-43,40739720042,-21003,40765341019
alcatel,XBNBZg,9,-100,2024-09-04 03-52-28,40723735866,-31074,40750486613
alcatel,hWSwXq,-49,54,2024-09-04 03-52-58,40713336058,-31863,40737548441
alcatel,lqLHFd,-99,-19,2024-09-04 03-53-11,40790814520,-14849,40794569681
alcatel,gDsp,-26,22,2024-09-04 03-52-57,40775439514,-18000,40737051861
alcatel,poF,118,56,2024-09-04 03-50-10,40751684075,26254,40714057491
alcatel,lKIZ,70,14,2024-09-04 03-53-57,40761452842,8893,40758193191
alcatel,IyxEJ,-89,9,2024-09-04 03-50-30,40725402684,25687,40784387286
alcatel,wNeB,55,41,2024-09-04 03-53-40,40743052014,8923,40718226341
alcatel,YGob,97,25,2024-09-04 03-51-05,40745611448,19988,40713226268
alcatel,Rmwqp,-54,-95,2024-09-04 03-50-47,40789638048,-24611,40708847000
alcatel,jCk,49,7,2024-09-04 03-54-44,40790723493,-26874,40776551770
alcatel,LHZf,-116,-26,2024-09-04 03-52-39,40715399646,-20578,40705394663
alcatel,mnD,-25,-109,2024-09-04 03-50-40,40733066414,-23010,40707508523
alcatel,REI,-117,-29,2024-09-04 03-52-32,40767138979,8812,40736033803
alcatel,QXTP,61,57,2024-09-04 03-53-40,40779085535,18972,40726242921
alcatel,uKxSEM,82,57,2024-09-04 03-54-50,40797404329,11669,40763464974
alcatel,pECQfk,-33,20,2024-09-04 03-53-36,40753721416,7382,40798270039
alcatel,FSkcO,-17,37,2024-09-04 03-50-50,40759679516,28772,40777870196
alcatel,gJq,-68,5,2024-09-04 03-51-09,40705931164,750,40785533313
alcatel,vEPrso,-43,112,2024-09-04 03-51-12,40704952412,8119,40793846113
alcatel,JiOwhq,3,-49,2024-09-04 03-52-40,40776897273,-7698,40745866345
alcatel,gSzCY,42,69,2024-09-04 03-52-22,40739862151,-29723,40746122457
alcatel,cQz,-87,-120,2024-09-04 03-53-31,40784993192,7362,40735467800
alcatel,NGs,31,-127,2024-09-04 03-51-50,40753246021,3665,40788977293
alcatel,OMSdM,-41,-98,2024-09-04 03-51-27,40705782069,-18330,40759686921
alcatel,vbyu,48,-83,2024-09-04 03-53-01,40789314285,3522,40787268969
alcatel,tqBzQ,121,-53,2024-09-04 03-50-05,40748398374,-15924,40709534933
alcatel,DQwlT,101,71,2024-09-04 03-52-43,40774390725,-9218,40792163672
alcatel,sdHrgu,97,73,2024-09-04 03-52-58,40730648107,-16347,40730068866
alcatel,flfkWX,93,65,2024-09-04 03-53-48,40794276330,8465,40730780406
alcatel,UBmxK,10,23,2024-09-04 03-50-46,40783954199,-24495,40737542817
alcatel,ffoV,10,-97,2024-09-04 03-50-53,40754574111,-8798,40772783033
alcatel,svb,-77,73,2024-09-04 03-52-52,40780515564,-25723,40773295531
alcatel,OIpr,8,86,2024-09-04 03-51-44,40725842904,-5342,40724383210
alcatel,jdd,-11,-85,2024-09-04 03-53-42,40708961970,-11079,40717057275
alcatel,jfv,-83,118,2024-09-04 03-53-49,40794929303,-22440,40785474351
alcatel,VTYMj,-52,-78,2024-09-04 03-54-01,40799686068,4632,40768593176
alcatel,TkeJ,-89,-124,2024-09-04 03-54-11,40795105382,15974,40731921752
alcatel,ZaKdMF,56,120,2024-09-04 03-52-36,40772711442,2981,40742857500
alcatel,rDG,-94,-66,2024-09-04 03-51-04,40772564783,5618,40748232054
alcatel,sib,-25,-18,2024-09-04 03-51-47,40756803989,-27948,40724017326
alcatel,wZgm,-108,83,2024-09-04 03-53-42,40774856022,-10387,40703524410
