src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,vBop,-101,10,2024-09-04 03-56-30,40799855938,-12171,40707177294
alcatel,Ytnit,124,-21,2024-09-04 03-55-15,40761256570,3559,40779520110
alcatel,JuN,95,-10,2024-09-04 03-56-49,40757741280,18700,40721429285
alcatel,LLWgX,-92,-56,2024-09-04 03-56-11,40785591572,10400,40786595795
alcatel,yoG,-9,-101,2024-09-04 03-56-12,40788353634,-31669,40776163881
alcatel,ddBQO,104,-94,2024-09-04 03-57-39,40713216880,-14056,40750735485
alcatel,qqcG,-44,72,2024-09-04 03-58-09,40705933152,18878,40719329187
alcatel,gruWn,63,79,2024-09-04 03-58-50,40731713140,-6485,40705445732
alcatel,sunpRm,-41,98,2024-09-04 03-55-20,40748856150,-6918,40758594472
alcatel,CyDFpl,-109,-100,2024-09-04 03-56-38,40740204450,-4001,40780496089
alcatel,IKzV,76,41,2024-09-04 03-58-34,40705815715,-3354,40781739993
alcatel,tdr,-40,-98,2024-09-04 03-56-15,40721982892,12808,40739635849
alcatel,MnrtIB,-105,69,2024-09-04 03-57-00,40715676975,-15914,40756484020
alcatel,qVzYI,117,-96,2024-09-04 03-56-25,40790664632,9748,40774983680
alcatel,VljE,-47,-111,2024-09-04 03-59-16,40754764114,-6669,40746648978
alcatel,Yzjo,-39,3,2024-09-04 03-55-52,40751632053,9223,40761421756
alcatel,nqeB,-62,1,2024-09-04 03-57-11,40773968824,21881,40764706701
alcatel,Ugh,-86,24,2024-09-04 03-55-24,40733595608,21894,40702174760
alcatel,pHJF,26,72,2024-09-04 03-55-27,40742417909,11265,40725492218
alcatel,SprHIm,58,-97,2024-09-04 03-56-46,40757540759,-8631,40719412506
alcatel,sBpeop,-103,-118,2024-09-04 03-59-08,40791348663,1596,40700250792
alcatel,nAiYdH,-87,54,2024-09-04 03-58-05,40724840072,28234,40726699533
alcatel,qulo,78,-15,2024-09-04 03-58-15,40701729619,17808,40748647497
alcatel,hjG,95,28,2024-09-04 03-59-37,40714550373,25292,40755150736
alcatel,mESZ,43,-25,2024-09-04 03-55-48,40737229818,-1926,40739385741
