src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,Tzr,23,43,2024-09-04 04-16-50,40713407316,22780,40759899909
alcatel,skyFnb,-44,-110,2024-09-04 04-15-20,40787815648,-19064,40725719494
alcatel,ODtb,57,70,2024-09-04 04-17-47,40780871149,-629,40791690230
alcatel,WYf,39,-111,2024-09-04 04-18-20,40741717324,7346,40707672958
alcatel,CGsfD,-117,44,2024-09-04 04-16-15,40721908189,12297,40757507359
alcatel,cZKGd,-76,-74,2024-09-04 04-15-27,40737363634,-9612,40726702652
alcatel,sQhiTB,-67,-89,2024-09-04 04-18-23,40715700958,9054,40756587556
alcatel,heLVe,61,-56,2024-09-04 04-18-06,40729332296,25726,40702846530
alcatel,pYeuTu,-37,77,2024-09-04 04-19-24,40789727663,2604,40771011437
alcatel,THTF,-57,50,2024-09-04 04-16-53,40720747457,-2554,40764990837
alcatel,SAY,16,-77,2024-09-04 04-18-55,40788184846,-9377,40778304915
alcatel,pKpnxV,-126,92,2024-09-04 04-15-54,40751107592,-22617,40787360412
alcatel,GxD,-92,-22,2024-09-04 04-20-01,40791771327,1534,40758561598
alcatel,lhPy,41,8,2024-09-04 04-17-09,40793178731,-29655,40777840841
alcatel,LpP,-126,-19,2024-09-04 04-18-37,40773952666,-8651,40756376944
alcatel,ktB,-80,94,2024-09-04 04-16-57,40707863243,26864,40764839727
alcatel,fdHh,-75,-28,2024-09-04 04-19-50,40744077103,17839,40761605637
alcatel,pbnUX,-7,-44,2024-09-04 04-19-03,40708624324,-24448,40743279328
alcatel,VSIsn,-23,2,2024-09-04 04-17-34,40799771852,-157,40715161815
alcatel,YLoAjQ,76,-94,2024-09-04 04-19-07,40701441347,-12108,40737759055
alcatel,FEWd,-78,-82,2024-09-04 04-15-54,40701967672,27414,40734454475
alcatel,pJT,-101,80,2024-09-04 04-19-38,40764570864,18560,40771323091
alcatel,ceUmZg,-92,-86,2024-09-04 04-16-45,40797884979,26471,40720649413
alcatel,nJFI,110,-78,2024-09-04 04-16-21,40792799654,-30266,40754390409
alcatel,lRMHyH,75,99,2024-09-04 04-18-08,40740891580,-6885,40747423847
alcatel,XWJNfT,-83,70,2024-09-04 04-15-23,40783002194,-29766,40729585457
alcatel,Hyk,-30,-51,2024-09-04 04-18-21,40786714637,-4261,40736893109
alcatel,omH,14,-40,2024-09-04 04-16-30,40773609899,-16196,40755518260
alcatel,Itbfmc,-2,63,2024-09-04 04-18-34,40799398482,22043,40779921416
alcatel,HGBy,-75,71,2024-09-04 04-15-06,40790946538,31024,40796643132
alcatel,Gql,47,-120,2024-09-04 04-16-00,40748336309,-4854,40761999424
alcatel,YHFaK,47,-54,2024-09-04 04-17-03,40723800725,-26156,40783558169
alcatel,scD,-28,-83,2024-09-04 04-16-00,40746729989,22046,40713973427
alcatel,rEfVwE,98,111,2024-09-04 04-15-13,40704378253,27314,40726477051
alcatel,RDNxH,36,76,2024-09-04 04-18-00,40714897768,-28107,40723324971
alcatel,pDym,-43,6,2024-09-04 04-19-28,40787050987,16172,40743663111
alcatel,ZBV,17,-76,2024-09-04 04-15-51,40779343076,-22417,40733309042
alcatel,bOhTWJ,-111,-96,2024-09-04 04-15-31,40763321580,-23314,40717657874
alcatel,LUi,95,104,2024-09-04 04-19-45,40715122709,3403,40783761829
alcatel,aCUla,117,-27,2024-09-04 04-16-21,40729132351,-18254,40799282329
alcatel,uQIB,-75,-53,2024-09-04 04-19-36,40748045591,-10899,40715071887
