src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,YoIVne,-46,-113,2024-09-04 04-33-15,40760369533,29495,40716156385
alcatel,csccf,43,-30,2024-09-04 04-33-30,40716301573,-3894,40778045247
alcatel,ZClkk,-78,91,2024-09-04 04-30-56,40781196443,-18876,40729873805
alcatel,uEDuK,83,50,2024-09-04 04-33-53,40768015813,25070,40728931616
alcatel,TIWRS,61,32,2024-09-04 04-34-04,40742515389,11963,40792623169
alcatel,YDaR,100,-62,2024-09-04 04-34-49,40791656327,-25502,40712534963
alcatel,iKZ,-100,78,2024-09-04 04-31-52,40703165582,17077,40746500825
alcatel,kEljBG,-123,-38,2024-09-04 04-30-37,40769165473,-26529,40730703570
alcatel,jIsS,-61,-21,2024-09-04 04-30-45,40784263663,12319,40733784240
alcatel,RaTRf,-89,31,2024-09-04 04-30-58,40768646662,-23177,40771070572
alcatel,oZalhS,97,-55,2024-09-04 04-31-17,40769403449,6367,40701718828
alcatel,RtpwK,-69,-118,2024-09-04 04-32-57,40726966272,28277,40703483866
alcatel,QEVPY,93,-32,2024-09-04 04-32-35,40769788411,2363,40766340671
alcatel,RnVb,-85,-119,2024-09-04 04-31-01,40749316363,-7310,40710195550
alcatel,rKZx,26,39,2024-09-04 04-30-43,40756891452,-23009,40712888487
alcatel,zeBl,-36,111,2024-09-04 04-31-22,40726936186,-678,40700481290
alcatel,NnPJ,54,107,2024-09-04 04-32-32,40791116064,13405,40776266820
alcatel,lGlUA,-69,-117,2024-09-04 04-30-38,40748175918,14073,40796645653
alcatel,HiH,89,-116,2024-09-04 04-32-27,40772302937,13028,40777787845
alcatel,iStIfC,-57,71,2024-09-04 04-34-51,40730268249,-20297,40747179374
alcatel,nuyOC,90,-107,2024-09-04 04-33-30,40782907637,32596,40716497389
alcatel,avWVEs,100,-58,2024-09-04 04-31-04,40798420117,-7894,40729572321
alcatel,IkK,78,84,2024-09-04 04-30-23,40786859629,-32286,40714374472
alcatel,OJQhbQ,33,-83,2024-09-04 04-34-09,40705043845,28726,40706328885
alcatel,zlsE,-62,-22,2024-09-04 04-33-52,40753036642,1,40775501241
alcatel,stnwl,-112,41,2024-09-04 04-34-10,40710946119,-19171,40718031303
alcatel,oNdj,79,-88,2024-09-04 04-31-21,40792048053,9338,40760838743
alcatel,JwIbXR,-103,56,2024-09-04 04-30-25,40725706776,29640,40742060742
alcatel,ren,-37,43,2024-09-04 04-32-55,40768287989,-3529,40721689575
alcatel,QfPzov,122,56,2024-09-04 04-34-53,40772092079,-4956,40797124386
alcatel,BPOL,-26,123,2024-09-04 04-30-09,40726693109,25136,40785243383
alcatel,jjbrux,-65,87,2024-09-04 04-32-09,40720936153,6797,40794756154
alcatel,JVr,-28,58,2024-09-04 04-33-11,40779984762,-29214,40725321544
alcatel,ubnaEL,40,-9,2024-09-04 04-31-45,40786409673,-15258,40711941790
alcatel,nYqJs,-122,-71,2024-09-04 04-32-03,40727852767,28380,40741204670
alcatel,rEwDeP,-125,-16,2024-09-04 04-31-31,40751313000,-5316,40701245107
alcatel,TWlab,70,-53,2024-09-04 04-31-54,40740316571,-8041,40758685554
alcatel,efBgnk,-93,42,2024-09-04 04-33-59,40737155478,28214,40746542212
alcatel,YIhQ,105,62,2024-09-04 04-35-01,40797375130,23759,40798339143
alcatel,lNwOu,-111,13,2024-09-04 04-32-49,40738205382,-27037,40778550559
alcatel,KOvW,-116,-54,2024-09-04 04-30-30,40796754300,-15701,40733033002
alcatel,DvT,-39,109,2024-09-04 04-34-25,40716816307,11748,40767941333
alcatel,qDw,110,-53,2024-09-04 04-30-55,40791611665,-25660,40748965209
alcatel,nYefR,-45,125,2024-09-04 04-32-23,40794258266,8449,40728313973
alcatel,JtSB,16,-79,2024-09-04 04-34-47,40771795514,30438,40720529151
alcatel,pXH,-13,-100,2024-09-04 04-30-36,40793454431,29095,40760604113
alcatel,xuET,25,-115,2024-09-04 04-31-02,40730294482,24059,40741309737
alcatel,qaT,108,-7,2024-09-04 04-32-52,40711692902,-11357,40744843188
alcatel,ghTPCF,15,-49,2024-09-04 04-30-34,40750377577,-20507,40790705821
alcatel,bot,127,-54,2024-09-04 04-32-37,40772423842,-28346,40720639446
alcatel,WFl,74,-21,2024-09-04 04-34-07,40755229004,14506,40777706271
alcatel,DMaU,-88,-9,2024-09-04 04-31-50,40730871100,-14024,40725461120
alcatel,avoq,115,50,2024-09-04 04-31-58,40749747637,-13710,40771785805
alcatel,KVGgMO,-28,-14,2024-09-04 04-33-53,40751088785,-25391,40796382484
alcatel,tqxR,114,-102,2024-09-04 04-34-32,40763597772,-6683,40763789914
alcatel,jyZLrw,80,-72,2024-09-04 04-30-35,40760591930,2440,40709844936
alcatel,fFc,93,15,2024-09-04 04-32-37,40708460062,9608,40767248653
alcatel,kOR,61,64,2024-09-04 04-32-35,40766446050,1046,40778356612
alcatel,rtr,116,99,2024-09-04 04-34-06,40753564215,-4979,40725388774
alcatel,ITfhO,-55,-53,2024-09-04 04-32-57,40764880350,-20620,40794978714
alcatel,vYlTjB,42,8,2024-09-04 04-32-46,40790263404,-18934,40740800535
alcatel,RiiCbs,-105,30,2024-09-04 04-31-20,40709632387,-29054,40713262571
alcatel,cfP,-95,-78,2024-09-04 04-32-43,40736478518,10073,40759785194
alcatel,OPLMl,-127,29,2024-09-04 04-33-24,40763773152,-3256,40713303729
alcatel,KtipM,118,2,2024-09-04 04-32-11,40782146422,32458,40759156063
alcatel,AtKkg,-26,-20,2024-09-04 04-33-03,40721308821,20234,40711750224
alcatel,XkGCa,-117,57,2024-09-04 04-34-04,40742398451,-25314,40782190520
alcatel,mvHyp,27,73,2024-09-04 04-32-45,40776781254,29914,40713186837
