src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,omg,-23,-26,2024-09-04 05-12-38,40767224349,31562,40723967959
alcatel,kxaMvZ,84,37,2024-09-04 05-11-30,40791842669,-17001,40728606109
alcatel,EQMsB,67,75,2024-09-04 05-13-59,40704495273,16807,40766578424
alcatel,obzsFg,89,11,2024-09-04 05-11-26,40766293727,2689,40727464760
alcatel,xVhDKi,4,-87,2024-09-04 05-11-42,40712320776,-14938,40750680624
alcatel,dYSKuI,57,108,2024-09-04 05-12-08,40767173869,-20206,40709628906
alcatel,vOf,120,96,2024-09-04 05-11-39,40787347117,12359,40755897481
alcatel,dhCtWP,60,-116,2024-09-04 05-13-11,40743585402,26579,40700302277
alcatel,VaA,-55,76,2024-09-04 05-11-35,40746825646,11542,40731195183
alcatel,QlUkU,-35,56,2024-09-04 05-11-16,40724284793,-28754,40703648285
alcatel,aSXf,9,-17,2024-09-04 05-14-29,40786775413,7369,40733674517
alcatel,tNqPLz,-65,30,2024-09-04 05-10-45,40707681986,1389,40722076793
alcatel,crdZ,-87,-103,2024-09-04 05-13-41,40761161867,20147,40741224837
alcatel,WciN,63,35,2024-09-04 05-12-23,40763256368,-13220,40754060859
alcatel,wFR,-6,90,2024-09-04 05-11-05,40736550362,-28929,40751568853
alcatel,RaDwJ,-15,18,2024-09-04 05-13-21,40785377235,20466,40794623950
alcatel,fqDqA,87,80,2024-09-04 05-10-24,40743776702,-19377,40763411930
alcatel,rnMrxL,12,-24,2024-09-04 05-10-30,40716077183,-26736,40785344679
alcatel,tFp,-44,-65,2024-09-04 05-13-36,40727200783,14122,40779464644
alcatel,BzQY,-45,-74,2024-09-04 05-11-27,40771613507,-11272,40721049855
alcatel,IQDy,43,49,2024-09-04 05-14-46,40742495721,-16639,40793120711
alcatel,Gfi,30,65,2024-09-04 05-11-42,40779247333,23095,40738704508
alcatel,uUlh,5,16,2024-09-04 05-13-36,40788126168,-4684,40742903434
alcatel,QQk,65,-24,2024-09-04 05-12-24,40763463055,16401,40737617898
alcatel,pCCCd,90,119,2024-09-04 05-12-17,40769835045,13319,40744170767
alcatel,fAg,-68,-103,2024-09-04 05-12-12,40787241224,-28949,40718903749
alcatel,xdEmKJ,81,100,2024-09-04 05-10-50,40771804876,28895,40784631279
alcatel,pUrA,-40,-62,2024-09-04 05-12-30,40777445895,-3625,40726842821
alcatel,zknru,0,-13,2024-09-04 05-12-57,40759860484,-15401,40720384281
alcatel,ydoo,-117,113,2024-09-04 05-12-32,40717843869,15586,40765029368
alcatel,CYo,43,-17,2024-09-04 05-14-33,40741970634,-12221,40775623767
alcatel,ipt,-13,26,2024-09-04 05-10-30,40736921785,-29723,40754181144
alcatel,WHe,102,38,2024-09-04 05-14-29,40700263209,3934,40798310361
alcatel,aVu,-94,-80,2024-09-04 05-13-58,40772596154,20292,40740805032
alcatel,bmE,-71,75,2024-09-04 05-13-44,40758919539,15638,40782484681
alcatel,oBY,-78,116,2024-09-04 05-13-09,40790232922,-7976,40777466760
alcatel,vDA,79,-18,2024-09-04 05-11-36,40789937963,-26061,40716048321
alcatel,gZPS,-35,-54,2024-09-04 05-10-39,40708348621,15297,40774279421
alcatel,kDPt,31,-20,2024-09-04 05-13-24,40770772513,26851,40728359094
alcatel,TqhwKl,-62,-62,2024-09-04 05-10-10,40759993978,32502,40748354728
alcatel,SWuYK,84,109,2024-09-04 05-14-06,40788604006,-25503,40771627042
alcatel,UWFqd,29,99,2024-09-04 05-11-27,40757641021,-28204,40702710035
alcatel,bGckK,-25,-83,2024-09-04 05-11-13,40791559944,-1092,40734097904
alcatel,yZHs,119,-66,2024-09-04 05-12-51,40782165569,16127,40722058129
alcatel,RyIpO,49,100,2024-09-04 05-14-05,40712446562,-26443,40735931594
alcatel,jauLA,-125,70,2024-09-04 05-10-25,40726544069,-16023,40711049976
alcatel,RrTtvk,-15,-86,2024-09-04 05-14-05,40759353889,7941,40785806075
alcatel,FKclAe,-59,113,2024-09-04 05-11-39,40752658662,-987,40744800612
alcatel,Ruv,113,-36,2024-09-04 05-11-13,40714230127,24871,40717953383
alcatel,lcFnn,27,-70,2024-09-04 05-13-17,40719172214,-14442,40766143465
alcatel,xCIHYW,117,25,2024-09-04 05-10-36,40711349544,-11352,40748194177
alcatel,pvlO,3,126,2024-09-04 05-10-54,40708353876,28213,40736295055
alcatel,fAfER,109,70,2024-09-04 05-14-30,40734789968,-25648,40789854627
alcatel,DxagWV,-121,34,2024-09-04 05-11-44,40756142776,-20421,40774186946
alcatel,VzFmx,122,-110,2024-09-04 05-10-54,40706875297,-14065,40791302020
