src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,MqWrr,-47,-7,2024-09-04 05-24-12,40773016873,32463,40712892664
alcatel,eDP,-6,92,2024-09-04 05-23-17,40734380363,-6306,40718213711
alcatel,GgPV,127,120,2024-09-04 05-23-34,40764745816,12618,40791249617
alcatel,rhZ,32,125,2024-09-04 05-21-08,40743225981,16470,40788334811
alcatel,wmBdE,74,-24,2024-09-04 05-21-44,40765217183,31054,40757228823
alcatel,rFvdYA,-78,24,2024-09-04 05-21-37,40744234776,-3582,40761723290
alcatel,BYuzI,26,51,2024-09-04 05-21-36,40701890514,-23743,40743946360
alcatel,sjDMU,26,-120,2024-09-04 05-23-48,40789025510,24283,40795577873
alcatel,zsnXUi,29,110,2024-09-04 05-23-01,40751998715,-1539,40713214998
alcatel,Uwyeh,119,104,2024-09-04 05-24-12,40720000958,-22677,40745647147
alcatel,The,72,-108,2024-09-04 05-24-25,40763017307,-24536,40774648304
alcatel,VyaVgs,52,-43,2024-09-04 05-22-29,40717584467,-21882,40779752047
alcatel,pWm,40,59,2024-09-04 05-23-42,40752701263,-27649,40728407934
alcatel,WdF,-35,-112,2024-09-04 05-24-19,40713492185,20143,40788238136
alcatel,hEoyHM,71,116,2024-09-04 05-22-44,40712474761,-32173,40747322107
alcatel,TLqRt,-113,-33,2024-09-04 05-22-46,40763489249,-26631,40777213761
alcatel,uPGubQ,93,92,2024-09-04 05-24-55,40704076746,-14331,40795501457
alcatel,IrE,98,112,2024-09-04 05-23-07,40710150269,27570,40786463238
alcatel,nsQkha,-40,-76,2024-09-04 05-24-33,40793036554,26740,40727606445
alcatel,mPm,-32,-98,2024-09-04 05-23-23,40789843332,-25904,40764620677
alcatel,KqA,-102,-4,2024-09-04 05-21-55,40789860502,767,40776224606
alcatel,TqvCQa,104,41,2024-09-04 05-20-47,40770471844,27568,40721305260
alcatel,zPKo,87,27,2024-09-04 05-23-45,40714723938,11317,40753664834
alcatel,yGkR,-4,27,2024-09-04 05-23-09,40795209575,12623,40746307217
alcatel,nATj,93,31,2024-09-04 05-20-27,40794387507,-1043,40768905348
alcatel,Uiu,-66,17,2024-09-04 05-21-15,40721556972,25200,40753556880
alcatel,IPmDHn,-30,62,2024-09-04 05-22-46,40770015668,15119,40787038320
alcatel,MxFZ,-17,36,2024-09-04 05-23-50,40785027435,-14336,40707022884
alcatel,yFqHW,-94,57,2024-09-04 05-23-48,40757911661,-29529,40743777835
alcatel,paiCPM,-79,-40,2024-09-04 05-21-23,40719881122,23418,40739949823
alcatel,LSmq,-36,39,2024-09-04 05-22-59,40702798455,15680,40756686533
alcatel,SOSxvq,48,-65,2024-09-04 05-21-08,40745028369,2316,40705546060
alcatel,Ldpir,-125,50,2024-09-04 05-23-51,40732659309,-19628,40786981110
alcatel,jdPw,35,118,2024-09-04 05-21-05,40782483425,-13213,40733593740
alcatel,yYPAk,94,27,2024-09-04 05-23-23,40711787800,-27997,40777982676
alcatel,aNvA,122,-20,2024-09-04 05-21-37,40786189093,-18101,40737734225
alcatel,PTMF,44,21,2024-09-04 05-20-48,40726835380,3234,40757767877
alcatel,ReIiEX,121,53,2024-09-04 05-20-19,40756920307,-6813,40733624441
alcatel,ajI,-120,-107,2024-09-04 05-21-31,40702891675,13830,40746344901
alcatel,SkckTn,-17,31,2024-09-04 05-21-37,40791387912,27501,40712652834
alcatel,MkMVm,-27,94,2024-09-04 05-20-13,40779555503,27104,40749330044
alcatel,oiuBYX,17,-26,2024-09-04 05-22-46,40719644396,26613,40731717190
alcatel,rviwR,22,-91,2024-09-04 05-22-34,40717719484,-32491,40711492563
alcatel,QzGI,14,61,2024-09-04 05-22-07,40789309944,-8668,40761712445
alcatel,iEft,-29,-69,2024-09-04 05-22-24,40750738365,11679,40762431787
alcatel,SJKpP,-26,77,2024-09-04 05-23-28,40765491232,-10984,40769121150
alcatel,ILCAc,126,-92,2024-09-04 05-20-08,40722921133,-7687,40712211663
alcatel,ZmpaiS,69,-106,2024-09-04 05-20-22,40753754707,-32163,40784847792
alcatel,MxvZ,79,-14,2024-09-04 05-20-40,40712903570,12275,40778080998
alcatel,saLO,-121,106,2024-09-04 05-20-27,40705729334,-2196,40707691512
alcatel,ausr,-75,103,2024-09-04 05-23-43,40705331433,15269,40737442227
alcatel,qNCppR,102,42,2024-09-04 05-22-29,40783953834,-29866,40711997755
alcatel,qHs,35,21,2024-09-04 05-21-24,40762441131,7411,40779531811
alcatel,qnstj,-52,-124,2024-09-04 05-22-21,40737323590,1581,40714928205
alcatel,ROBH,-72,84,2024-09-04 05-22-16,40756427565,-25376,40750086307
alcatel,mVD,-45,48,2024-09-04 05-23-55,40718115770,900,40768689135
alcatel,VtqcY,18,-32,2024-09-04 05-20-36,40716121435,16665,40719111689
alcatel,ifbEg,6,25,2024-09-04 05-22-08,40709391556,-9583,40730799040
alcatel,hWL,112,105,2024-09-04 05-21-37,40736777556,22699,40790516061
alcatel,XGfh,-26,-17,2024-09-04 05-20-08,40725759565,418,40712125347
alcatel,qriA,55,89,2024-09-04 05-22-34,40743886930,-1951,40753611446
alcatel,BlI,20,44,2024-09-04 05-20-13,40708986060,-14523,40765845243
alcatel,PYMzd,-116,-80,2024-09-04 05-23-08,40786735729,18332,40736136343
alcatel,RETmCA,-72,68,2024-09-04 05-21-58,40731136504,-11004,40783062543
alcatel,yIkdO,-76,51,2024-09-04 05-21-49,40710427017,-19549,40763528994
alcatel,oUkXB,90,123,2024-09-04 05-21-05,40776894533,24057,40741479679
alcatel,OgvSog,54,27,2024-09-04 05-22-27,40705821873,23287,40791538453
alcatel,Lvs,28,-10,2024-09-04 05-23-39,40786855555,-11721,40711995772
alcatel,LNFFB,86,58,2024-09-04 05-21-17,40740396609,-9851,40757607180
alcatel,ZPQpsi,31,94,2024-09-04 05-24-12,40754806849,-2486,40779713144
alcatel,RwKPd,-123,-104,2024-09-04 05-21-18,40747885444,-4512,40790246546
alcatel,CKQfGf,-84,-4,2024-09-04 05-24-28,40700715687,23248,40727054444
alcatel,QqvA,-70,40,2024-09-04 05-23-15,40704423180,1219,40775175379
alcatel,Qqi,52,23,2024-09-04 05-21-38,40767731503,-13740,40704883746
alcatel,Bddmo,-116,58,2024-09-04 05-24-13,40718403928,25820,40728248954
alcatel,wAKW,7,-32,2024-09-04 05-23-29,40742813815,2455,40767629260
alcatel,KMPbup,-70,112,2024-09-04 05-20-20,40717125133,25892,40732505778
alcatel,dhzPBL,-18,-33,2024-09-04 05-23-30,40742197328,-5086,40793697022
alcatel,ROn,-26,61,2024-09-04 05-22-11,40781671255,3285,40747989122
alcatel,ayW,111,-28,2024-09-04 05-24-02,40729656393,-2499,40756181655
alcatel,pvC,-73,19,2024-09-04 05-23-36,40702460791,19606,40704565427
alcatel,dZJe,-122,-25,2024-09-04 05-24-39,40701087574,-3187,40707162304
alcatel,aufxg,-58,30,2024-09-04 05-24-47,40704160354,5970,40796641834
alcatel,lqS,-117,-58,2024-09-04 05-20-40,40754214335,-5429,40755881078
alcatel,fuYIt,-100,-25,2024-09-04 05-22-50,40767986292,-18344,40757703198
alcatel,EXoBj,-78,41,2024-09-04 05-21-03,40764493780,-31804,40751278205
alcatel,sdACiR,39,1,2024-09-04 05-22-22,40724836810,-6114,40736189275
alcatel,EZeM,0,72,2024-09-04 05-20-59,40746897900,-22017,40769235971
alcatel,MTcH,-116,4,2024-09-04 05-22-14,40737706884,-31597,40759851262
alcatel,MWqa,30,-81,2024-09-04 05-20-48,40755412890,-2125,40744742444
alcatel,xzsZ,-106,-17,2024-09-04 05-22-56,40735449447,-27819,40761845619
alcatel,gZD,-66,0,2024-09-04 05-22-33,40778827565,-17091,40703842929
alcatel,qEnxOR,59,116,2024-09-04 05-21-31,40727523673,-7727,40783604745
alcatel,GZvsi,127,-85,2024-09-04 05-20-51,40738579894,23853,40751025658
alcatel,gfhk,-2,65,2024-09-04 05-24-46,40757226024,14771,40739813095
alcatel,QZvTI,-62,87,2024-09-04 05-20-53,40758485240,-27300,40778433839
alcatel,xNIyOk,-108,119,2024-09-04 05-24-07,40761410267,-27555,40782148973
alcatel,wrcY,-101,-72,2024-09-04 05-23-13,40737760788,-3530,40779470298
alcatel,sbok,-105,-105,2024-09-04 05-24-54,40785256250,9821,40774509885
alcatel,hHsUIJ,11,-94,2024-09-04 05-22-47,40718866280,6725,40768648891
alcatel,oWGw,-119,-17,2024-09-04 05-20-06,40769300481,-28399,40797438763
alcatel,tXFa,19,36,2024-09-04 05-23-50,40739320966,24464,40731951772
alcatel,ZFc,78,-64,2024-09-04 05-23-13,40784115605,29644,40704142643
