src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,sKXpz,-87,12,2024-09-04 05-34-36,40702103696,4192,40761856043
alcatel,uSJ,-50,-60,2024-09-04 05-34-20,40759147420,27482,40743149598
alcatel,rusv,-88,125,2024-09-04 05-31-32,40730393855,-24030,40704708997
alcatel,WxZwFa,-127,76,2024-09-04 05-31-44,40727170659,-13387,40784739655
alcatel,HkLvQZ,-49,106,2024-09-04 05-32-05,40774724107,-563,40756733879
alcatel,QIJ,-128,-105,2024-09-04 05-32-39,40745675184,23120,40738364329
alcatel,yAYO,9,121,2024-09-04 05-31-20,40711239311,-5080,40722204352
alcatel,aSChdM,-82,-45,2024-09-04 05-31-13,40701312261,21367,40768403766
alcatel,HTkV,14,84,2024-09-04 05-34-47,40793410371,-29175,40700907412
alcatel,QxkxzA,-28,-94,2024-09-04 05-34-41,40791243998,-3675,40748182384
alcatel,rnQ,36,-2,2024-09-04 05-32-59,40705073826,30084,40701715772
alcatel,lTwMgv,-35,-77,2024-09-04 05-33-44,40707685025,-29801,40778943843
alcatel,bfkZ,-51,98,2024-09-04 05-34-16,40749268515,-25934,40728293667
alcatel,fZOLLZ,125,-8,2024-09-04 05-32-58,40775188650,-20104,40765412991
alcatel,eYXZE,68,67,2024-09-04 05-33-21,40743684145,-9817,40767027495
alcatel,HEwNHS,65,22,2024-09-04 05-32-52,40753204292,30956,40785609716
alcatel,vdQT,31,32,2024-09-04 05-34-15,40762785636,-19168,40750974458
alcatel,fuvp,-58,49,2024-09-04 05-34-37,40738169401,2067,40744506930
alcatel,Rvf,-24,-15,2024-09-04 05-30-45,40799977696,-3997,40745803945
alcatel,Rsm,1,121,2024-09-04 05-33-22,40716520434,-16975,40709875698
alcatel,mwTDOO,-39,57,2024-09-04 05-34-12,40765518904,-4334,40716281662
alcatel,uWdCV,-123,100,2024-09-04 05-32-16,40771419584,24441,40709414171
alcatel,cpo,-21,118,2024-09-04 05-34-15,40711321964,-3259,40780888773
alcatel,SsT,-1,39,2024-09-04 05-33-31,40705594497,-26162,40709540835
alcatel,eZttnx,75,114,2024-09-04 05-32-26,40798638985,16956,40704105177
alcatel,Ogci,83,17,2024-09-04 05-31-23,40731940519,598,40731456911
alcatel,xEnGN,77,124,2024-09-04 05-32-05,40740933613,32222,40780483689
alcatel,eVe,108,-99,2024-09-04 05-30-02,40744825790,1988,40761236311
alcatel,mot,-81,15,2024-09-04 05-33-28,40791254674,4311,40767397996
alcatel,XlG,-67,-103,2024-09-04 05-31-41,40715645030,22465,40727733041
alcatel,YNmXCt,46,-29,2024-09-04 05-33-50,40767852773,23384,40774339882
alcatel,WzB,123,-77,2024-09-04 05-33-14,40782870366,26979,40750430295
alcatel,vHL,83,78,2024-09-04 05-34-28,40765506587,7847,40709859677
alcatel,FHS,-28,-109,2024-09-04 05-32-46,40762811664,19252,40722692819
alcatel,CXq,19,101,2024-09-04 05-31-23,40736628321,-8710,40749125177
alcatel,fuE,25,99,2024-09-04 05-33-34,40797453724,18481,40746812170
alcatel,IvyZy,-80,20,2024-09-04 05-31-06,40724066844,6113,40742770075
alcatel,hpztBm,-21,101,2024-09-04 05-34-32,40711315269,8158,40725376462
alcatel,TzPbAp,50,53,2024-09-04 05-30-04,40740216588,6498,40711812568
alcatel,XYjv,-76,-81,2024-09-04 05-33-16,40774569712,22772,40712558079
alcatel,lFWyq,-53,98,2024-09-04 05-34-35,40726716952,-21685,40795241327
alcatel,oIHVIF,-46,68,2024-09-04 05-32-33,40780295725,18287,40796521765
alcatel,Cqo,-22,47,2024-09-04 05-33-29,40783089129,5728,40780761540
alcatel,XcIfa,-19,65,2024-09-04 05-34-10,40769023541,-10994,40753123098
alcatel,QGTMn,-51,-32,2024-09-04 05-33-11,40773957461,-1420,40703811145
alcatel,HqUlNH,-79,-102,2024-09-04 05-32-33,40720164354,23794,40724053179
alcatel,DdRoM,-126,19,2024-09-04 05-31-13,40718648316,13665,40733644517
alcatel,CNnqo,84,-29,2024-09-04 05-34-45,40708509487,-16332,40720298449
alcatel,EVO,37,-77,2024-09-04 05-30-23,40708024376,-24295,40755054070
alcatel,PMf,-10,84,2024-09-04 05-30-19,40773884642,13676,40724355333
alcatel,gdrfH,-105,-102,2024-09-04 05-34-13,40708862049,11607,40705636568
alcatel,MDXh,112,126,2024-09-04 05-34-34,40779770435,22775,40765323309
alcatel,xXaNLp,-114,-57,2024-09-04 05-33-06,40709924059,-15566,40725152306
alcatel,dXOo,44,54,2024-09-04 05-32-36,40728305675,3741,40794350834
alcatel,GUPEk,36,51,2024-09-04 05-30-10,40741937192,-2856,40784284980
alcatel,BFSb,-78,39,2024-09-04 05-34-03,40736415303,-27222,40765185012
