src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,ulAUO,-39,100,2024-09-04 05-38-51,40776710384,-16464,40712346251
alcatel,yyJg,23,91,2024-09-04 05-36-57,40754788177,-28059,40776584676
alcatel,iFkM,48,-27,2024-09-04 05-39-10,40786686279,14625,40789507006
alcatel,vWQ,45,-127,2024-09-04 05-38-55,40764922212,-7411,40736231915
alcatel,aHe,66,64,2024-09-04 05-37-37,40733689959,30106,40764030338
alcatel,WLBlaw,66,-49,2024-09-04 05-39-39,40771717542,27260,40700273871
alcatel,yppRw,81,102,2024-09-04 05-36-12,40720360120,7419,40728451622
alcatel,zAGn,-50,-120,2024-09-04 05-36-53,40730096964,21364,40727731399
alcatel,IyM,-14,36,2024-09-04 05-38-31,40720515368,1267,40791213925
alcatel,FHV,-8,37,2024-09-04 05-37-33,40757125204,-12505,40767591583
alcatel,XPA,-47,-125,2024-09-04 05-35-44,40725160692,27209,40735673248
alcatel,UgNA,102,-87,2024-09-04 05-38-09,40717824238,-24148,40745177816
alcatel,RAk,-99,-108,2024-09-04 05-36-56,40733159436,16405,40719767505
alcatel,OVUtn,76,-63,2024-09-04 05-36-05,40787554018,32741,40737431877
alcatel,eAdeNw,121,14,2024-09-04 05-39-34,40724991001,25039,40724791135
alcatel,clzWTb,89,-81,2024-09-04 05-38-20,40761891767,-3844,40723472191
alcatel,gObPG,-66,-66,2024-09-04 05-35-44,40798456639,20704,40782371787
alcatel,ZApHGh,-64,60,2024-09-04 05-35-39,40754575970,-30516,40762456500
alcatel,XxVm,13,-37,2024-09-04 05-37-52,40708497969,16737,40720729132
alcatel,ElF,-77,-10,2024-09-04 05-36-58,40711859971,2715,40756767353
alcatel,Ibw,124,-72,2024-09-04 05-35-36,40765408613,-31829,40712707763
alcatel,nGQfY,-53,-50,2024-09-04 05-38-35,40751109260,25687,40773072086
alcatel,KYHQvt,23,-39,2024-09-04 05-36-59,40710580140,20171,40738830261
alcatel,KmbLE,26,53,2024-09-04 05-38-31,40759296600,-1229,40780950706
alcatel,rdv,-74,43,2024-09-04 05-39-21,40707203806,-27553,40761560120
alcatel,FCQp,-124,72,2024-09-04 05-37-48,40784290993,-31823,40723232026
alcatel,yOnW,89,-42,2024-09-04 05-35-14,40780917273,-25829,40712342291
alcatel,iesC,18,-80,2024-09-04 05-35-15,40737557066,-18888,40754165581
alcatel,vDqJx,-102,-29,2024-09-04 05-39-11,40713916246,16875,40769473174
alcatel,OGi,28,-93,2024-09-04 05-39-47,40748721368,-7118,40744696928
alcatel,WYDrc,86,-85,2024-09-04 05-38-50,40709087666,-3143,40755448114
alcatel,MkEDc,107,49,2024-09-04 05-39-22,40705351882,3397,40756243993
alcatel,Aoc,111,98,2024-09-04 05-37-17,40786291794,-25978,40776743144
alcatel,gwG,121,97,2024-09-04 05-36-28,40713769146,22646,40771748471
alcatel,GJK,87,-53,2024-09-04 05-39-00,40738091576,-28996,40797196538
alcatel,Mqle,16,12,2024-09-04 05-38-21,40739027503,32645,40771232679
alcatel,MMID,-92,-121,2024-09-04 05-37-21,40719263087,28245,40724664966
alcatel,VWlOkv,-12,98,2024-09-04 05-35-45,40727923943,-15967,40720491706
alcatel,sXlpMA,-124,125,2024-09-04 05-35-51,40735916399,-6410,40715130288
alcatel,OPGt,-99,85,2024-09-04 05-38-17,40708276517,-40,40722480245
alcatel,OgJ,72,56,2024-09-04 05-35-17,40743571545,-5750,40732575316
alcatel,MmTCqc,-15,36,2024-09-04 05-37-31,40710889361,17828,40738469939
alcatel,yBCtM,36,90,2024-09-04 05-38-43,40777017077,17426,40796426874
alcatel,pBnJlJ,-113,-59,2024-09-04 05-36-13,40709512898,-25075,40787748509
alcatel,jlytC,-105,0,2024-09-04 05-39-45,40762174057,-8501,40792278306
alcatel,xObTBk,11,-123,2024-09-04 05-35-37,40737117557,-25668,40706248909
alcatel,bLPxNC,-42,-104,2024-09-04 05-38-38,40782665805,24633,40727717916
alcatel,SraS,21,104,2024-09-04 05-39-58,40746860030,-21517,40735356151
alcatel,xAS,86,-50,2024-09-04 05-39-50,40769809148,7988,40761033132
alcatel,UAhH,29,-59,2024-09-04 05-39-25,40753676185,-20542,40763353107
alcatel,neZbe,103,88,2024-09-04 05-38-54,40707321996,16696,40745730283
alcatel,fbyQuo,19,113,2024-09-04 05-38-48,40725108193,5318,40700923178
alcatel,oDY,-115,-77,2024-09-04 05-38-44,40782207634,-3483,40782990039
alcatel,LvJjS,-46,-9,2024-09-04 05-35-22,40721079183,17446,40796257815
alcatel,SGtR,-15,44,2024-09-04 05-37-30,40718387498,20009,40747084572
alcatel,sKhe,-68,-120,2024-09-04 05-38-10,40725555767,20731,40771726187
alcatel,nUOfBP,9,22,2024-09-04 05-36-16,40752315967,24033,40718266476
alcatel,Vuylkl,-3,40,2024-09-04 05-35-23,40776314766,25999,40743841570
alcatel,asbz,-58,41,2024-09-04 05-39-57,40734997496,16259,40788442259
alcatel,djlvfX,90,18,2024-09-04 05-39-49,40779619887,30448,40779593910
alcatel,wjzCx,6,-16,2024-09-04 05-39-39,40771841784,28304,40782666822
alcatel,djw,39,-46,2024-09-04 05-36-46,40711188879,12099,40777445074
alcatel,eQUqO,-61,102,2024-09-04 05-38-21,40713510795,-8753,40701442070
alcatel,pGAY,75,41,2024-09-04 05-38-02,40796041772,-4386,40744382770
alcatel,hHU,-81,-128,2024-09-04 05-38-08,40758991578,-31921,40709576153
alcatel,UCH,-116,53,2024-09-04 05-39-38,40727948990,3066,40780947178
alcatel,NtkxWG,-105,52,2024-09-04 05-35-07,40700250847,-13343,40768084782
alcatel,jHTxPN,66,-51,2024-09-04 05-39-56,40714545225,-4492,40744333866
alcatel,eiv,-60,31,2024-09-04 05-39-21,40716340748,-41,40724584930
alcatel,DRUi,48,-43,2024-09-04 05-35-53,40722756765,-8135,40777097241
alcatel,YAOdS,-36,1,2024-09-04 05-39-04,40747545039,-2181,40742761119
alcatel,JwIk,113,13,2024-09-04 05-35-27,40762892763,-15520,40772160660
alcatel,xfjMjg,-66,-44,2024-09-04 05-36-37,40729389400,-20199,40748425771
alcatel,mhkav,115,9,2024-09-04 05-38-19,40781554110,20423,40749416495
alcatel,sftAxB,-102,74,2024-09-04 05-36-15,40706971754,14819,40711275382
alcatel,LGThQ,100,64,2024-09-04 05-36-58,40785795330,-9850,40729321970
alcatel,XatL,-112,31,2024-09-04 05-37-36,40741379420,16952,40734782113
alcatel,zrn,-71,-117,2024-09-04 05-37-56,40792712380,24197,40728248016
alcatel,zJWa,88,-73,2024-09-04 05-38-48,40794738929,-21151,40752053948
alcatel,SNTau,59,28,2024-09-04 05-36-40,40731905484,6689,40775103504
alcatel,MJX,28,11,2024-09-04 05-38-12,40787151437,31746,40790565477
alcatel,MHMkK,-21,34,2024-09-04 05-35-39,40746193352,18048,40711520226
alcatel,CTDkph,-128,-15,2024-09-04 05-39-20,40712935109,29062,40703738164
alcatel,qdiG,-86,29,2024-09-04 05-38-57,40749290539,32721,40797092014
alcatel,SZDBc,108,-28,2024-09-04 05-35-01,40788554709,-23851,40747130250
alcatel,iBNeB,-75,-75,2024-09-04 05-35-19,40736833936,-12163,40729554540
alcatel,UFCP,-122,102,2024-09-04 05-39-13,40717034241,28902,40792859329
alcatel,rXRN,-120,-36,2024-09-04 05-35-18,40763237017,-18137,40715306177
alcatel,EZMH,60,110,2024-09-04 05-37-33,40751123734,-9637,40737542380
alcatel,gdew,86,-87,2024-09-04 05-38-24,40753389816,18685,40719440738
alcatel,ETXc,-64,-109,2024-09-04 05-37-44,40737277535,1994,40736006871
alcatel,YIQ,29,-20,2024-09-04 05-36-46,40759445661,-8617,40746931395
alcatel,yWJPz,-83,-128,2024-09-04 05-37-10,40739989030,5525,40738270480
alcatel,VamD,41,69,2024-09-04 05-35-13,40718864554,9886,40777653817
alcatel,NGMlHJ,74,-42,2024-09-04 05-36-43,40782564593,4256,40792933317
alcatel,ZFPm,-26,94,2024-09-04 05-39-47,40726226422,18587,40765508704
alcatel,KypmrK,114,100,2024-09-04 05-38-14,40743374700,-1628,40759789090
alcatel,DugvRS,-57,88,2024-09-04 05-36-54,40756910125,14193,40774928438
